Date,Open,High,Low,Close,Volume,OpenInt
20170512,10.09,10.17,10.09,10.11,1929911,0
20170515,10.12,10.15,10.11,10.13,363691,0
20170516,10.13,10.15,10.13,10.15,11100,0
20170517,10.14,10.14,10.13,10.14,36999,0
20170518,10.14,10.14,10.13,10.135,46989,0
20170519,10.1458,10.1458,10.13,10.14,7700,0
20170522,10.14,10.15,10.13,10.15,122420,0
20170523,10.13,10.16,10.11,10.16,197921,0
20170524,10.14,10.16,10.14,10.15,69280,0
20170525,10.1,10.1664,10.1,10.15,106040,0
20170526,10.17,10.17,10.15,10.15,10500,0
20170530,10.13,10.15,10.13,10.14,18388,0
20170531,10.11,10.1522,10.11,10.13,23150,0
20170601,10.12,10.13,10.12,10.13,5180,0
20170602,10.13,10.1501,10.1,10.15,123600,0
20170606,10.1,10.16,10.1,10.16,91416,0
20170607,10.16,10.2,10.1401,10.2,304900,0
20170608,10.2,10.22,10.19,10.2185,160630,0
20170609,10.16,10.27,10.16,10.2,899540,0
20170612,10.219,10.25,10.219,10.25,306008,0
20170613,10.22,10.26,10.16,10.25,6885,0
20170614,10.16,10.28,10.16,10.28,28660,0
20170615,10.16,10.29,10.16,10.29,1393,0
20170616,10.17,10.3,10.16,10.3,340690,0
20170619,10.23,10.4,10.23,10.4,56827,0
20170620,10.34,10.38,10.34,10.38,25220,0
20170621,10.34,10.34,10.34,10.34,100,0
20170626,10.24,10.33,10.2,10.33,21500,0
20170627,10.23,10.23,10.22,10.22,1215,0
20170629,10.24,10.24,10.24,10.24,100,0
20170630,10.26,10.26,10.26,10.26,400,0
20170703,10.23,10.28,10.2,10.2628,820,0
20170705,10.4,10.4,10.4,10.4,100,0
20170707,10.28,10.33,10.21,10.32,9159,0
20170712,10.35,10.4,10.35,10.4,50300,0
20170714,10.22,10.35,10.2,10.35,1280,0
20170717,10.26,10.37,10.25,10.37,2480,0
20170718,10.3,10.36,10.3,10.36,1300,0
20170719,10.3,10.3,10.3,10.3,500,0
20170725,10.31,10.31,10.31,10.31,100,0
20170726,10.32,10.32,10.32,10.32,133,0
20170727,10.27,10.35,10.25,10.35,57085,0
20170728,10.25,10.34,10.16,10.34,2040,0
20170731,10.25,10.35,10.16,10.35,1750,0
20170801,10.34,10.35,10.2,10.32,7170,0
