Date,Open,High,Low,Close,Volume,OpenInt
20141211,14.25,17.5,13.8,17.02,19845528,0
20141212,16.5,16.5,14.89,15.15,6048931,0
20141215,15.4,15.4,13.6,14.46,2894916,0
20141216,14.46,14.46,13.81,13.92,1442593,0
20141217,13.8,14,13.2,13.29,1946137,0
20141218,13.24,14.17,12.91,13.76,2092225,0
20141219,13.69,13.69,12.01,12.56,2624320,0
20141222,12.29,12.3,10.82,10.83,2647792,0
20141223,10.85,12.13,10.84,11.97,2734873,0
20141224,12.29,12.379,11.75,12.03,678946,0
20141226,12.14,12.35,11.5,11.53,779712,0
20141229,11.63,12.195,11.45,11.53,516062,0
20141230,11.42,11.95,11.32,11.87,300374,0
20141231,11.82,12.22,11.665,12,476520,0
20150102,12,12.8,11.95,12.77,781588,0
20150105,12.77,13.63,12.42,13.09,1265955,0
20150106,13.21,13.349,11.88,12.16,1168632,0
20150107,12.34,12.67,11.99,12.25,394640,0
20150108,12.38,12.38,12.06,12.08,386783,0
20150109,12.01,12.33,11.75,12.07,658374,0
20150112,12.09,12.43,11.76,11.97,366404,0
20150113,12,12.07,10.05,10.78,1326066,0
20150114,10.58,10.88,10.3,10.73,653410,0
20150115,10.71,11.4,10.08,11.12,530241,0
20150116,10.76,11.189,10.76,10.95,149685,0
20150120,10.9,11.15,10.58,10.9,281140,0
20150121,10.85,11.34,10.7,11.17,196011,0
20150122,11.25,11.25,10.75,10.81,741513,0
20150123,10.74,10.9,10.21,10.5,768899,0
20150126,10.53,10.67,10.25,10.33,226155,0
20150127,10.2,10.25,9.8,10.02,608092,0
20150128,10.17,10.46,10.01,10.28,578312,0
20150129,10.22,10.28,9.7,9.94,710108,0
20150130,9.92,10,9.818,9.84,250140,0
20150202,9.84,9.98,9.72,9.82,285349,0
20150203,9.94,10.35,9.79,10.19,316686,0
20150204,10.3,11.73,10.11,10.71,704647,0
20150205,10.7,11.17,10.46,10.48,393209,0
20150206,10.56,10.83,10.3,10.335,194379,0
20150209,10.31,10.5,10.31,10.38,130016,0
20150210,10.4,10.64,10.18,10.27,183104,0
20150211,10.23,10.44,10.18,10.25,81769,0
20150212,10.41,11.59,10.33,11.49,596969,0
20150213,11.6,12.17,11.01,11.02,754785,0
20150217,11.12,11.364,11,11.22,148163,0
20150218,11.3,11.3,11.09,11.21,98894,0
20150219,11.12,11.4,11.11,11.15,47945,0
20150220,11.4,11.58,11.11,11.5,204533,0
20150223,11.5,11.73,11.414,11.5,175946,0
20150224,11.6,12.28,11.5,12.27,420650,0
20150225,12.27,12.71,12.04,12.52,520046,0
20150226,12.72,12.81,12.4,12.52,773411,0
20150227,12.33,12.615,11.25,11.31,349691,0
20150302,11.85,12.88,11.4,12,722200,0
20150303,11.89,12.45,11.71,12.18,1382900,0
20150304,12.03,12.85,12.03,12.55,1168000,0
20150305,12.6,12.6,10.5,11.09,1982800,0
20150306,10.69,11.25,10.58,11.03,996500,0
20150309,10.99,11.08,10.7,10.93,336600,0
20150310,10.85,10.95,10.37,10.44,768600,0
20150311,10.5,10.69,10.3,10.62,1095600,0
20150312,10.57,10.66,10.2,10.28,257500,0
20150313,10.3,10.5,10,10.02,501900,0
20150316,10,10.55,10,10.3,449300,0
20150317,10.3,10.3,10,10,255300,0
20150318,10.2,10.2,9.83,10.01,250100,0
20150319,10,10.19,9.96,10.02,158900,0
20150320,10.05,10.55,10.04,10.41,346000,0
20150323,10.38,10.5,9.96,10.4,733200,0
20150324,10.35,10.5,10.09,10.44,433900,0
20150325,10.23,10.44,10.1,10.29,276500,0
20150326,10.06,10.53,10.06,10.52,271300,0
20150327,10.46,10.88,10.42,10.7,321000,0
20150330,10.63,10.88,10.4,10.5,277600,0
20150331,10.52,10.64,10.4,10.6,306200,0
20150401,10.63,10.74,10.15,10.59,313400,0
20150402,10.38,10.65,9.5,10.51,978200,0
20150406,10.43,10.99,10.35,10.85,267100,0
20150407,10.61,10.9,10.46,10.5,159494,0
20150408,10.34,11.49,10.34,11.17,469800,0
20150409,11.11,12.12,10.9,11.96,794473,0
20150410,12.13,12.18,11.52,11.52,192400,0
20150413,11.49,11.93,10.92,11.2,348300,0
20150414,11.06,11.46,10.93,11.41,184300,0
20150415,11.39,11.39,10.9,10.99,365182,0
20150416,11.03,11.4,10.952,11.26,232600,0
20150417,11.16,11.47,10.86,10.92,210400,0
20150420,11.14,11.267,10.75,10.99,309549,0
20150421,11.09,11.138,10.94,11,277022,0
20150422,11.07,11.73,10.955,11.2,706640,0
20150423,11.1,11.8,11.1,11.39,566600,0
20150424,11.4,12.47,11.4,12.41,591100,0
20150427,12.36,12.4,11.81,11.93,543100,0
20150428,12.52,12.73,11.6,11.7,528200,0
20150429,11.53,11.73,11.3,11.36,204100,0
20150430,11.3,11.42,10.9,11.05,319600,0
20150501,11.05,11.31,10.9,11.17,200100,0
20150504,11.23,11.45,11.07,11.26,756200,0
20150505,11.25,11.26,10.56,10.88,196100,0
20150506,10.81,11.1,10.67,10.96,115230,0
20150507,11,11.25,10.8,10.93,121055,0
20150508,11.14,11.5,10.96,11.29,227400,0
20150511,11.23,11.59,11.01,11.07,414400,0
20150512,11.16,11.31,10.82,11.1,298695,0
20150513,11.18,11.33,10.96,10.98,228500,0
20150514,11.06,12.48,10.88,12.38,1040200,0
20150515,12.4,12.75,11.73,12.39,702440,0
20150518,12.3,13.16,12.01,12.82,1485130,0
20150519,15.22,16.35,14.55,16.27,9333800,0
20150520,15.82,19.15,15.36,17.2,6262600,0
20150521,17.6,18.37,16.22,16.85,2244900,0
20150522,16.98,18.65,16.98,17.9,2060500,0
20150526,17.89,19.38,17.29,18.94,2319541,0
20150527,18.88,19.89,18.35,19.11,1253400,0
20150528,18.7,18.71,16.69,18.34,1718948,0
20150529,18.43,19.09,17.77,18.06,806300,0
20150601,18.5,18.9,16.95,17.02,1340800,0
20150602,17.07,17.9,16.91,17.05,913866,0
20150603,17.28,17.6,16.91,17.51,605700,0
20150604,17.32,18.09,16.92,16.98,1075700,0
20150605,16.99,18.1,16.51,17.13,2055100,0
20150608,17.3,18.12,17.01,17.04,1497500,0
20150609,16.56,16.68,15.06,16,3932058,0
20150610,15.61,16.1,15.6,15.8,1804033,0
20150611,15.8,16,15.39,15.46,2254594,0
20150612,15.45,15.97,15.15,15.65,3391100,0
20150615,15.82,15.88,15.11,15.63,3110400,0
20150616,15.51,15.78,15.13,15.6,2011100,0
20150617,15.9,17.09,15.84,16.41,4370800,0
20150618,16.5,17.38,16.34,16.99,2025500,0
20150619,16.92,17.3,16.6,16.83,2673700,0
20150622,16.86,17,15.64,15.69,1566000,0
20150623,17.26,17.8,17.08,17.24,6264905,0
20150624,17.16,17.57,17.16,17.22,1286800,0
20150625,17.1,17.25,16.85,17.06,1169400,0
20150626,16.88,16.93,16.25,16.53,1182300,0
20150629,16.05,16.5,15.8,15.83,1200900,0
20150630,16.2,16.66,15.93,16.1,1214602,0
