Date,Open,High,Low,Close,Volume,OpenInt
20161202,2.707,3.13,2.55,2.86,42676,0
20161205,3.31,3.3515,3.2,3.28,36709,0
20161206,3.4,3.49,3.1,3.45,88906,0
20161207,3.85,3.85,3.45,3.52,104136,0
20161208,3.56,3.65,3.2,3.3,52839,0
20161209,3.55,3.55,3.2,3.2869,80257,0
20161212,3.2,3.365,3.2,3.32,67873,0
20161213,3.53,3.53,3.25,3.26,33380,0
20161214,3.2601,3.35,3.23,3.28,21747,0
20161215,3.3011,3.3176,3.1,3.1604,24761,0
20161216,3.29,3.415,3.1,3.1,37904,0
20161219,3.34,3.3493,3.2649,3.3089,22920,0
20161220,3.3035,3.3127,3.2398,3.2894,39636,0
20161221,3.35,3.53,3.254,3.29,14869,0
20161222,3.32,3.32,3.2,3.32,26582,0
20161223,3.3,3.3,3.25,3.29,12399,0
20161227,3.29,3.3,3.2899,3.29,24799,0
20161228,3.25,3.25,3.1899,3.1899,34400,0
20161229,3.18,3.2,3.08,3.08,14822,0
20161230,3.0472,3.215,3.03,3.18,29269,0
20170103,3.1,3.2493,3,3.2,25529,0
20170104,3.2372,3.25,3.22,3.24,11801,0
20170105,3.1588,3.295,3.1,3.25,18615,0
20170106,3.1823,3.2589,3.18,3.23,7320,0
20170109,3.2279,3.2958,3.2,3.2,11400,0
20170110,3.06,3.21,3.04,3.2,4893,0
20170111,3.2,3.22,3.18,3.19,9400,0
20170112,3.25,3.25,3.2,3.2198,14325,0
20170113,3.22,3.2479,3.2198,3.2386,11291,0
20170117,3.2021,3.25,3.1,3.2,26014,0
20170118,3.197,3.27,3.197,3.22,32808,0
20170119,3.2388,3.2699,3.11,3.12,12242,0
20170120,3.1897,3.2,3.0601,3.13,9745,0
20170123,3.1372,3.18,3.1,3.13,5172,0
20170124,3.26,3.29,3.1008,3.23,9701,0
20170125,3.12,3.29,3.08,3.1,6977,0
20170126,3.1982,3.2,3.05,3.06,16978,0
20170127,3.15,3.27,3.02,3.05,13108,0
20170130,3.26,3.26,3.16,3.2,10412,0
20170131,3.2498,3.2498,3.114,3.17,8028,0
20170201,3.2409,3.2409,3.1389,3.17,7278,0
20170202,3.23,3.24,3.19,3.19,9380,0
20170203,3.2,3.2,3.19,3.19,11016,0
20170206,3.05,3.29,3.05,3.21,6358,0
20170207,3.1,3.2387,3.1,3.22,11507,0
20170208,3.1989,3.2,3.18,3.19,24179,0
20170209,3.2,3.3,3.2,3.25,9691,0
20170210,3.2493,3.25,3.18,3.2211,19400,0
20170213,3.247,3.2492,3.13,3.14,7466,0
20170214,3.14,3.14,3.05,3.06,16550,0
20170215,3.09,3.12,3.08,3.1,11510,0
20170216,3.0748,3.1,3.0748,3.1,11200,0
20170217,3.05,3.16,3.05,3.12,16556,0
20170221,3.29,3.29,3.1,3.1,22478,0
20170222,3.22,3.22,3.0593,3.06,9390,0
20170223,3.0503,3.0575,3.01,3.0299,29022,0
20170224,3.22,3.22,3.01,3.04,6362,0
20170227,3.23,3.23,3.03,3.05,8272,0
20170228,3.0401,3.17,3.04,3.04,4422,0
20170301,3.1799,3.2,2.97,2.97,22557,0
20170302,3.1272,3.18,3.1,3.1,11629,0
20170303,3.1,3.19,3.061,3.17,8622,0
20170306,3.2,3.2,3.1296,3.1296,11600,0
20170307,3.19,3.19,3.06,3.06,10793,0
20170308,3.147,3.15,3.05,3.06,13061,0
20170309,3.1,3.1499,3.06,3.0611,17424,0
20170310,3.15,3.15,2.95,2.99,29308,0
20170313,3.06,3.1201,3.03,3.04,6116,0
20170314,3.0716,3.0716,3.02,3.0352,18440,0
20170315,3.0201,3.2,3,3.01,53682,0
20170316,3.1001,3.1001,3,3.0086,15529,0
20170317,3.09,3.1899,3.04,3.04,12150,0
20170320,3.15,3.15,3.12,3.12,759,0
20170321,3.13,3.1414,3.1,3.1,4650,0
20170322,3.05,3.08,3,3,14349,0
20170323,3,3.08,3,3.08,600,0
20170324,3.0532,3.0979,3.05,3.05,2350,0
20170327,3.185,3.185,3.04,3.04,2068,0
20170328,3.04,3.0493,3,3,4006,0
20170329,3.03,3.0865,2.53,2.85,35435,0
20170330,2.9,3,2.9,2.97,13243,0
20170331,2.9968,2.9986,2.9,2.9,11689,0
20170403,2.9,2.946,2.9,2.9001,1650,0
20170404,3,3.0511,2.9485,2.9485,16671,0
20170405,3.02,3.02,2.85,2.85,16450,0
20170406,2.85,2.85,2.62,2.64,24587,0
20170407,2.8,2.9,2.66,2.71,18850,0
20170410,2.73,2.8297,2.696,2.71,18150,0
20170411,2.7184,2.83,2.68,2.83,13800,0
20170412,2.7,2.7,2.6,2.6851,8900,0
20170413,2.7,2.7,2.6,2.67,2200,0
20170417,2.67,2.75,2.67,2.75,970,0
20170418,2.7399,2.74,2.49,2.65,10176,0
20170419,2.6888,2.6888,2.2947,2.65,49255,0
20170420,2.65,2.65,2.3,2.47,17645,0
20170421,2.48,2.48,2.17,2.29,47016,0
20170424,2.4,2.4035,2.18,2.27,3959,0
20170425,2.2501,2.45,2.25,2.25,13916,0
20170426,2.35,2.3593,2.25,2.25,6800,0
20170427,2.25,2.36,2.2,2.21,17563,0
20170428,2.79,2.79,2.4101,2.44,37453,0
20170501,2.34,2.69,2.34,2.55,12820,0
20170502,2.5,2.63,2.4,2.6237,14600,0
20170503,3.1,3.1,2.66,2.67,49658,0
20170504,2.75,2.79,2.7,2.7,30377,0
20170505,3,3,2.8465,2.8489,2050,0
20170508,2.9879,3.07,2.9879,2.99,8590,0
20170509,3,3.08,2.7,3.08,14862,0
20170510,2.96,3.06,2.81,3.06,23597,0
20170511,2.9101,3.0365,2.91,3.0365,11600,0
20170512,3.08,3.08,2.9,3.04,6471,0
20170515,3,3.08,3,3.08,10809,0
20170516,3.02,3.09,3.01,3.09,7753,0
20170517,3.09,3.1,3.0001,3.1,10025,0
20170518,3.1,3.1,3.025,3.07,8358,0
20170519,3.08,3.2,3.0799,3.2,13118,0
20170522,3.2,3.2958,3.2,3.229,8791,0
20170523,3.54,3.54,3.2,3.2899,15193,0
20170524,3.64,3.64,3.2,3.29,24552,0
20170525,3.3101,3.5014,3.1448,3.31,18400,0
20170526,3.5,3.69,3.32,3.49,8575,0
20170530,3.7,3.7,3.33,3.4772,7262,0
20170531,3.4,3.48,3.2,3.48,13916,0
20170601,3.7,3.7,3.19,3.64,7948,0
20170602,3.64,3.64,3.3,3.55,8350,0
20170605,3.65,3.66,3.25,3.46,9935,0
20170606,3.43,3.58,3.4,3.58,4399,0
20170607,3.4,3.4,3.25,3.3802,3170,0
20170608,3.55,3.55,3.3,3.3033,7792,0
20170609,3.96,4.16,3.33,3.33,22443,0
20170612,3.35,3.35,3.2886,3.3,8398,0
20170614,3.36,3.36,3.17,3.2,2595,0
20170615,3.2,3.63,2.77,3.61,11553,0
20170616,3.4001,3.4001,3.3,3.3,3575,0
20170619,3.6014,3.61,3.2,3.2,5229,0
20170620,3,3.2455,3,3.2,6457,0
20170621,3.3399,3.3399,3.3399,3.3399,200,0
20170622,3.32,3.32,3.2001,3.2001,408,0
20170623,3.34,3.34,3.05,3.15,5916,0
20170626,3.23,3.23,3.2,3.2004,8000,0
20170627,3.2,3.3,3.2,3.2,3792,0
20170628,3.3,3.3,3.21,3.21,390,0
20170629,3.21,3.21,3.1579,3.1892,7176,0
20170630,3.247,3.2492,3.19,3.19,3300,0
20170703,3.2,3.2,3.16,3.16,5174,0
20170705,3.24,3.24,3.19,3.19,1734,0
20170706,3.1901,3.21,3.18,3.18,1800,0
20170707,3.207,3.207,3.15,3.1599,7700,0
20170710,3.1749,3.2372,3,3.04,14311,0
20170711,3.05,3.1,3.05,3.1,2061,0
20170712,3.07,3.1,3,3.1,2800,0
20170713,3.09,3.1,3.08,3.1,1350,0
20170714,3.0972,3.1,3.05,3.1,5000,0
20170717,3.16,3.18,3.1,3.18,2200,0
20170718,3.1011,3.145,3.045,3.0969,3260,0
20170719,3.177,3.18,3.11,3.1477,2700,0
20170720,3.1,3.1,3.1,3.1,100,0
20170721,3.1245,3.33,3.05,3.11,9300,0
20170724,3.1,3.19,3.1,3.15,3509,0
20170725,3.1472,3.149,3.145,3.149,450,0
20170726,3.15,3.3,3.15,3.15,18567,0
