Date,Open,High,Low,Close,Volume,OpenInt
20170125,0.65,0.7,0.6,0.65,252760,0
20170126,0.68,0.7092,0.49,0.6484,32758,0
20170127,0.7,0.7,0.6493,0.7,32700,0
20170131,0.65,0.65,0.65,0.65,300,0
20170201,0.61,0.69,0.6,0.6,3700,0
20170202,0.59,0.59,0.5108,0.54,4900,0
20170203,0.5108,0.7,0.39,0.39,8102,0
20170206,0.6999,0.6999,0.63,0.67,428,0
20170207,0.64,0.65,0.64,0.65,7908,0
20170209,0.65,0.65,0.65,0.65,100,0
20170213,0.65,0.65,0.65,0.65,1500,0
20170215,0.65,0.65,0.65,0.65,300,0
20170216,0.63,0.66,0.63,0.65,8200,0
20170217,0.55,0.55,0.55,0.55,2000,0
20170222,0.65,0.65,0.6,0.6,8400,0
20170223,0.5,0.5,0.4801,0.4951,2000,0
20170224,0.6,0.6,0.6,0.6,3000,0
20170228,0.6051,0.61,0.58,0.58,9000,0
20170302,0.6,0.7,0.6,0.7,3300,0
20170303,0.68,0.69,0.68,0.69,1169,0
20170307,0.69,0.69,0.69,0.69,327,0
20170308,0.69,0.69,0.6434,0.65,7204,0
20170310,0.6347,0.67,0.6347,0.67,9300,0
20170313,0.6,0.7,0.6,0.7,3700,0
20170315,0.65,0.65,0.54,0.65,5000,0
20170316,0.6,0.6,0.6,0.6,100,0
20170317,0.6,0.6,0.58,0.58,6400,0
20170320,0.6,0.6,0.6,0.6,3000,0
20170321,0.5,0.5434,0.49,0.53,10300,0
20170322,0.5387,0.59,0.5387,0.54,1730,0
20170324,0.5228,0.56,0.5,0.5001,22000,0
20170327,0.54,0.54,0.54,0.54,200,0
20170328,0.5114,0.605,0.5,0.54,18400,0
20170329,0.505,0.6,0.5,0.5,54678,0
20170330,0.51,0.55,0.48,0.55,50488,0
20170331,0.6,0.6,0.52,0.59,44897,0
20170403,0.603,0.65,0.6,0.65,59700,0
20170404,0.63,0.63,0.61,0.61,28475,0
20170405,0.5975,0.5975,0.5807,0.5807,2500,0
20170406,0.58,0.6098,0.58,0.6098,2150,0
20170407,0.5999,0.5999,0.5999,0.5999,1500,0
20170410,0.5999,0.5999,0.5999,0.5999,100,0
20170411,0.5989,0.61,0.5989,0.61,3826,0
20170412,0.63,0.63,0.5823,0.63,4350,0
20170413,0.6204,0.6204,0.6204,0.6204,150,0
20170417,0.5813,0.5813,0.5813,0.5813,1500,0
20170419,0.5764,0.582,0.5764,0.582,5000,0
20170420,0.5805,0.5805,0.5805,0.5805,774,0
20170421,0.5797,0.6092,0.5797,0.5806,4475,0
20170426,0.5707,0.5707,0.57,0.57,4958,0
20170427,0.56,0.5601,0.51,0.51,56551,0
20170428,0.505,0.5185,0.505,0.5185,1600,0
20170501,0.5471,0.5471,0.53,0.5332,12200,0
20170502,0.53,0.53,0.5,0.5,4500,0
20170503,0.5419,0.5419,0.5419,0.5419,5000,0
20170504,0.5,0.5,0.43,0.43,21901,0
20170505,0.4406,0.4781,0.44,0.44,7375,0
20170508,0.447,0.447,0.4254,0.4254,6400,0
20170509,0.43,0.4305,0.3746,0.3746,15300,0
20170510,0.4,0.4,0.4,0.4,100,0
20170511,0.41,0.41,0.41,0.41,2000,0
20170517,0.41,0.5154,0.41,0.41,5040,0
20170523,0.44,0.44,0.41,0.41,10000,0
20170530,0.42,0.42,0.42,0.42,2000,0
20170531,0.4999,0.55,0.42,0.55,3825,0
20170601,0.42,0.42,0.42,0.42,1500,0
20170605,0.545,0.5498,0.508,0.5498,3100,0
20170606,0.55,0.55,0.4323,0.5,3200,0
20170608,0.4305,0.4305,0.4205,0.4205,5000,0
20170609,0.4301,0.4301,0.4301,0.4301,300,0
20170614,0.42,0.45,0.4,0.4499,19875,0
20170619,0.4,0.4,0.4,0.4,2000,0
20170623,0.4,0.4011,0.3878,0.3878,25650,0
20170626,0.3978,0.3978,0.38,0.38,6500,0
20170627,0.35,0.35,0.2875,0.2886,18501,0
20170628,0.2114,0.25,0.1945,0.1998,21600,0
20170629,0.2001,0.2001,0.2,0.2,12800,0
20170630,0.2011,0.3241,0.2011,0.26,5700,0
20170705,0.328,0.3479,0.328,0.3479,500,0
20170706,0.2647,0.31,0.2647,0.31,300,0
20170707,0.14,0.14,0.14,0.14,100,0
20170710,0.182,0.182,0.182,0.182,100,0
20170718,0.2989,0.2989,0.2989,0.2989,1694,0
20170801,0.235,0.235,0.2,0.235,7697,0
