Date,Open,High,Low,Close,Volume,OpenInt
20140731,8,8.16,8,8,622183,0
20140801,8.02,8.09,8,8,28901,0
20140804,8,8.01,8,8,41317,0
20140805,8,8.11,8,8.09,47230,0
20140806,8,8.1499,8,8.04,24250,0
20140807,8.01,8.06,8,8.04,36520,0
20140808,8,8.04,8,8.02,17860,0
20140811,8,8.05,8,8.05,17760,0
20140812,8,8.14,8,8.075,19123,0
20140813,8.04,8.08,8,8,7956,0
20140814,8,8.085,8,8.07,14060,0
20140815,8.07,8.095,8.018,8.02,3900,0
20140818,8.095,8.0999,8,8,28009,0
20140819,8.01,8.08,8,8.01,11848,0
20140820,8.01,8.0499,8,8,22865,0
20140821,8,8.0395,8,8,15050,0
20140822,8.02,8.04,8,8.04,70085,0
20140825,8.04,8.0799,8,8.04,16241,0
20140826,8.04,8.05,8,8.03,7394,0
20140827,8,8.04,8,8,51678,0
20140828,8,8.07,8,8.07,108902,0
20140829,8.03,8.03,8,8.02,17513,0
20140902,7.9,7.9,7.3601,7.59,24024,0
20140903,7.45,7.45,7.05,7.38,32156,0
20140904,7.04,7.44,7.04,7.33,18799,0
20140905,7.61,8.49,7.32,8.38,60881,0
20140908,8.3,10.58,8.01,8.92,106747,0
20140909,8.51,9.17,8.28,8.49,36194,0
20140910,9.3,9.3,7.42,8.07,36642,0
20140911,7.2178,8.3871,7.2178,8,39723,0
20140912,7.97,8.08,7.65,7.95,27443,0
20140915,7.68,8.07,7.42,7.65,33625,0
20140916,7.5,7.57,7.2,7.44,20819,0
20140917,7.42,7.55,7.42,7.47,14260,0
20140918,7.34,7.51,7.28,7.41,22626,0
20140919,7.49,7.5,6.02,6.26,66918,0
20140922,6.4,6.66,5.49,6.26,37572,0
20140923,6.01,6.71,6.01,6.71,2293,0
20140924,6.52,6.99,6.5,6.91,16316,0
20140925,6.75,7.1,6.75,6.81,6277,0
20140926,6.84,7,6.32,7,2223,0
20140929,6.96,7,6.8,6.99,2032,0
20140930,6.98,6.98,6.29,6.47,11163,0
20141001,6.615,6.88,5.835,5.835,14666,0
20141002,5.94,6.42,5.66,5.87,18584,0
20141003,6.12,6.5,5.76,6.25,8083,0
20141006,6.72,6.94,6.04,6.94,15658,0
20141007,6.65,6.68,6.05,6.17,9817,0
20141008,6.27,6.68,6.01,6.27,21948,0
20141009,6.55,6.55,6.08,6.24,8417,0
20141010,6.365,6.74,6.365,6.45,10338,0
20141013,6.1,6.6,5.8,6.39,14900,0
20141014,6.52,6.52,6.01,6.25,13457,0
20141015,6.62,6.62,5.91,6.25,4978,0
20141016,6.4,7.5,5.85,6.94,27604,0
20141017,7.04,7.4,6.33,6.85,9661,0
20141021,6.32,6.88,6,6.51,12527,0
20141022,6.82,6.95,6.21,6.21,2954,0
20141023,6.56,6.83,6.281,6.485,10260,0
20141024,6.23,7.16,6.225,7.03,5151,0
20141027,7.05,7.05,6.37,6.66,6952,0
20141028,6.85,7.5,6.56,7.46,19297,0
20141029,6.91,7.5,6.91,7.5,13396,0
20141030,7.49,7.54,6.8,7.54,23613,0
20141031,7.4,7.5,6.8101,7.5,7150,0
20141103,7.27,7.48,7.11,7.4,7745,0
20141104,7.12,7.45,6.81,6.81,7009,0
20141105,7.28,7.37,6.98,7.01,33420,0
20141106,7.25,7.34,7,7,9049,0
20141107,7.34,7.34,7.01,7.01,10737,0
20141110,7.04,7.2399,6.9,7.01,17715,0
20141111,7.1499,7.1499,6.55,6.91,12991,0
20141112,7.01,7.01,6.5,6.5,17209,0
20141113,6.67,6.67,6.33,6.36,11410,0
20141114,6.7,6.73,5.9,6.43,16102,0
20141117,6.76,6.77,6.03,6.54,20525,0
20141118,6.08,6.76,6.08,6.2,5319,0
20141119,6.57,6.8,6.53,6.79,6798,0
20141120,6.7,6.7,6.3137,6.57,6132,0
