Date,Open,High,Low,Close,Volume,OpenInt
20151119,13.5,14.89,12.63,14.74,26921600,0
20151120,15.28,16.17,14.37,15.2,7389500,0
20151123,15.96,15.98,14.06,14.37,3233500,0
20151124,14.29,15.1,13.62,14.22,2253800,0
20151125,14.05,14.64,14.05,14.41,1109900,0
20151127,14.6,14.8,14.32,14.62,507100,0
20151130,14.93,14.93,14,14.48,1492200,0
20151201,14.53,14.53,13.9,14.23,915357,0
20151202,14.02,14.2,14,14.1,457788,0
20151203,13.99,14.12,13,13.05,1674474,0
20151204,13.05,13.26,12.82,13.11,1414700,0
20151207,13.39,13.48,13,13.25,663500,0
20151208,13,13.4,13,13.38,629984,0
20151209,13.3,13.84,13.14,13.55,715600,0
20151210,13.93,14,13.45,13.92,1247000,0
20151211,13.65,13.99,13.53,13.84,1020400,0
20151214,13.52,13.87,13.38,13.63,1582890,0
20151215,13.76,14.5,13.57,14.08,1208500,0
20151216,14.5,14.74,14.2,14.68,1351600,0
20151217,14.83,14.95,14.23,14.28,737600,0
20151218,14.28,14.58,13.96,14.33,3261700,0
20151221,14.42,14.45,13.48,13.9,851800,0
20151222,13.59,14.18,13.56,13.91,388415,0
20151223,14.16,14.16,13.64,14.03,636100,0
20151224,13.97,14.295,13.72,14.09,346245,0
20151228,14.19,14.37,13.55,13.73,655092,0
20151229,13.94,13.97,13.5,13.77,772712,0
20151230,13.81,13.89,13.54,13.6,663889,0
20151231,13.67,13.74,13.52,13.55,391556,0
20160104,13.43,13.49,13.04,13.36,1703035,0
20160105,13.44,13.98,13.36,13.67,1261412,0
20160106,13.6,14.25,13.58,13.92,1610694,0
20160107,13.62,13.911,13.16,13.51,1156503,0
20160108,13.55,13.85,13.55,13.59,499714,0
20160111,13.6,14.13,13.49,13.73,597140,0
20160112,13.84,14.14,13.25,13.56,806184,0
20160113,13.78,13.83,13,13.295,923395,0
20160114,13.49,13.6,12.75,13.06,1746375,0
20160115,12.75,13.09,12.13,12.96,1352317,0
20160119,13,13.33,12.11,12.51,1457800,0
20160120,12.21,12.25,11.45,11.95,1449583,0
20160121,12.06,12.2499,11.64,11.94,556019,0
20160122,12.46,12.46,11.88,12.22,1086849,0
20160125,12.57,12.77,11.83,11.97,514453,0
20160126,11.99,12.47,11.81,12.14,454523,0
20160127,12.27,12.5,11.83,11.96,439246,0
20160128,11.87,12.61,11.5,12.47,1036543,0
20160129,12.28,12.69,12.11,12.54,850274,0
20160201,12.11,12.95,12.03,12.79,1018748,0
20160202,12.72,12.825,12,12.19,1825052,0
20160203,9.98,10.82,9.17,10.66,6533822,0
20160204,10.21,10.55,8.75,9.76,5374599,0
20160205,9.78,9.99,9.29,9.3,1345218,0
20160208,9.03,9.75,9,9.19,844709,0
20160209,9,9.26,8.41,9.12,1813860,0
20160210,9.1,9.47,8.84,9.4,615819,0
20160211,9.21,9.95,9.0501,9.7,1201633,0
20160212,9.6,10,9.44,9.82,1022379,0
20160216,10.11,10.5,9.85,10.19,978851,0
20160217,10.18,10.71,10.06,10.11,1130501,0
20160218,10.18,10.77,9.93,10.44,884188,0
20160219,10.42,10.62,10.17,10.5,652114,0
20160222,10.49,10.73,10.38,10.47,769303,0
20160223,10.26,10.69,10.26,10.35,725630,0
20160224,10.49,10.65,10.115,10.58,505617,0
20160225,10.63,10.75,10.51,10.64,343701,0
20160226,10.65,10.7,10.5,10.61,282538,0
20160229,10.74,11.07,10.56,10.89,989010,0
20160301,11.06,11.66,10.81,11.39,975748,0
20160302,11.63,11.97,11.39,11.74,868914,0
20160303,11.81,12.3,11.72,11.97,1062898,0
20160304,12.15,12.18,11.49,11.52,575655,0
20160307,11.55,12,11.5,12,879895,0
20160308,11.93,12.05,11.38,11.53,784410,0
20160309,11.58,11.72,10.81,11.45,778479,0
20160310,11.54,11.71,11.185,11.29,405385,0
20160311,11.43,11.62,11.21,11.43,516714,0
20160314,11.45,11.68,11.18,11.24,1053719,0
20160315,11.14,11.31,10.7401,11.16,640386,0
20160316,11.12,11.38,10.92,11.34,647498,0
20160317,11.33,11.48,11.01,11.2,1141595,0
20160318,11.29,11.4,10.48,10.66,3545333,0
20160321,10.69,10.92,10.537,10.9,745683,0
20160322,10.82,11.07,10.57,10.94,557245,0
20160323,10.9,11,10.56,10.72,445082,0
20160324,10.76,11.15,10.64,11.03,906561,0
20160328,11.13,11.14,10.75,10.87,502153,0
20160329,10.82,10.93,10.58,10.86,379069,0
20160330,11,11.22,10.81,10.93,682667,0
20160331,10.94,11.38,10.81,11.06,546383,0
20160401,11.02,11.64,10.84,11.58,1568602,0
20160404,11.52,11.7,11.06,11.35,903598,0
20160405,11.29,11.33,11.04,11.16,1030943,0
