Date,Open,High,Low,Close,Volume,OpenInt
20050422,0.25,0.25,0.25,0.25,1000,0
20050907,0.22,0.22,0.22,0.22,10500,0
20050916,0.22,0.22,0.22,0.22,7500,0
20050919,0.22,0.22,0.22,0.22,12500,0
20050923,0.23,0.23,0.23,0.23,6500,0
20050926,0.22,0.22,0.22,0.22,9500,0
20051006,0.41,0.48,0.41,0.41,28000,0
20051011,0.43,0.43,0.42,0.43,11000,0
20051018,0.44,0.44,0.44,0.44,10000,0
20051020,0.52,0.52,0.52,0.52,20000,0
20051026,0.64,0.64,0.64,0.64,3000,0
20051027,0.66,0.66,0.66,0.66,10000,0
20051031,0.6,0.6,0.6,0.6,15000,0
20051109,0.63,0.63,0.61,0.63,1000,0
20051110,0.63,0.63,0.63,0.63,6500,0
20051121,0.62,0.62,0.62,0.62,12000,0
20051215,1.02,1.02,1.02,1.02,10000,0
20051216,1,1.01,1,1,12000,0
20051221,1.01,1.01,1.01,1.01,2000,0
20051228,1.05,1.05,1.05,1.05,2000,0
20051230,1.04,1.04,1.04,1.04,10000,0
20060109,1.03,1.03,1.01,1.03,2000,0
20060111,0.94,0.94,0.94,0.94,10000,0
20060117,0.76,0.76,0.76,0.76,5000,0
20060131,0.93,0.93,0.93,0.93,59000,0
20060203,0.83,0.83,0.83,0.83,3000,0
20060206,0.95,0.95,0.94,0.95,2000,0
20060208,0.99,0.99,0.91,0.99,20200,0
20060209,0.99,0.99,0.98,0.99,22600,0
20060210,0.92,0.92,0.92,0.92,10000,0
20060213,0.92,0.92,0.92,0.92,110,0
20060215,0.83,0.83,0.83,0.83,4600,0
20060221,0.9,0.9,0.9,0.9,110,0
20060223,0.99,0.99,0.99,0.99,100,0
20060227,1.15,1.15,1.15,1.15,13000,0
20060228,1.21,1.24,1.16,1.21,35300,0
20060301,1.2,1.23,1.2,1.2,15310,0
20060302,1.18,1.18,1.17,1.18,11000,0
20060303,1.12,1.15,1.1,1.12,17300,0
20060310,1.22,1.22,1.22,1.22,1000,0
20060313,1.18,1.18,1.17,1.18,8800,0
20060314,1.2,1.2,1.17,1.2,8770,0
20060316,1.45,1.45,1.45,1.45,1000,0
20060317,1.47,1.47,1.47,1.47,3000,0
20060320,1.41,1.41,1.41,1.41,12000,0
20060321,1.36,1.36,1.36,1.36,5000,0
20060322,1.3,1.3,1.3,1.3,3000,0
20060327,1.45,1.45,1.45,1.45,5000,0
20060329,1.56,1.56,1.56,1.56,2000,0
20060330,1.69,1.69,1.69,1.69,4100,0
20060331,1.63,1.7,1.6,1.63,41000,0
20060404,1.56,1.56,1.53,1.56,18000,0
20060405,1.5,1.5,1.48,1.5,2000,0
20060406,1.42,1.42,1.4,1.42,1000,0
20060410,1.62,1.62,1.62,1.62,2000,0
