Date,Open,High,Low,Close,Volume,OpenInt
20151023,3.8758,4.118,3.4495,3.7789,218691,0
20151026,3.6433,3.8371,3.5366,3.5851,49126,0
20151027,3.682,3.8758,3.6335,3.6335,74823,0
20151028,3.9727,4.0696,3.8855,3.9242,43862,0
20151029,3.9533,3.9533,3.7692,3.8758,80190,0
20151030,3.9533,4.1859,3.8273,4.1568,314568,0
20151102,4.1859,4.2634,3.9242,4.1278,54875,0
20151103,4.1374,4.1374,3.9436,3.9921,17029,0
20151104,4.1859,4.1859,3.7789,3.8467,17068,0
20151105,3.9242,3.963,3.7886,3.963,15171,0
20151106,3.9824,3.9824,3.8273,3.963,8979,0
20151109,3.8564,3.9678,3.8371,3.963,4062,0
20151110,3.8371,4.1762,3.8371,4.1568,22911,0
20151111,4.0502,4.1568,3.9146,4.1568,8876,0
20151112,4.0017,4.089,3.9921,4.0696,7121,0
20151113,3.934,4.0696,3.934,4.0599,2993,0
20151116,3.9048,3.9048,3.9048,3.9048,206,0
20151117,3.9242,3.9436,3.8855,3.8855,6915,0
20151118,3.9727,4.1665,3.9242,4.0017,172558,0
20151119,4.0405,4.1471,3.9727,4.0017,48300,0
20151120,3.963,4.1278,3.963,4.0502,21983,0
20151123,4.0211,4.0502,4.0115,4.0211,7018,0
20151124,4.0115,4.0115,4.0115,4.0115,516,0
20151130,4.0017,4.0017,3.8855,3.8855,1755,0
20151201,3.8868,3.9855,3.8868,3.9855,2240,0
20151202,3.963,3.9727,3.963,3.9727,1305,0
20151203,3.8856,3.8967,3.8855,3.8855,883,0
20151207,3.8855,3.8952,3.6335,3.6723,10115,0
20151208,3.5366,3.7401,3.1394,3.5948,2684,0
20151209,3.5851,3.6723,3.3138,3.6335,12798,0
20151210,3.1588,3.1588,3.1588,3.1588,2477,0
20151211,3.682,3.682,3.682,3.682,104,0
20151214,3.7789,3.7789,3.4882,3.4882,999,0
20151215,3.6433,3.7498,3.3622,3.6723,1755,0
20151216,3.7789,3.7789,3.4495,3.6335,26111,0
20151217,3.4882,3.6141,3.4882,3.5657,4334,0
20151218,3.4107,3.4785,3.4107,3.4785,2683,0
20151222,3.7498,3.7498,3.4881,3.4881,774,0
20151223,3.7595,3.7595,3.7304,3.7304,2683,0
20151224,3.7595,3.7595,3.7304,3.7304,3884,0
20151228,3.6239,3.6335,3.6239,3.6335,517,0
20151229,3.5851,3.5851,3.5851,3.5851,314,0
20151230,3.4495,3.556,3.4495,3.5464,1032,0
20151231,3.5076,3.5076,3.5076,3.5076,826,0
20160104,3.5949,3.6335,3.5464,3.6045,4603,0
20160105,3.4592,3.4785,3.4591,3.4591,1569,0
20160106,3.4785,3.6334,3.4591,3.6334,1732,0
20160108,3.5366,3.5366,3.4785,3.4785,2576,0
20160111,3.9727,3.9727,3.6723,3.6723,4495,0
20160112,4.118,4.118,3.7443,3.7595,3812,0
20160114,3.7498,4.118,2.7906,3.9727,2266,0
20160115,3.7499,3.7499,3.556,3.6433,692,0
20160119,4.3506,4.3506,3.9727,3.9727,10423,0
20160120,3.9436,3.9872,3.8758,3.8855,1533,0
20160121,3.8273,4.118,3.7595,3.7595,3199,0
20160125,3.6231,3.6231,3.5366,3.5366,6193,0
20160126,3.8952,3.8952,3.6335,3.6335,1084,0
20160127,3.5657,3.5657,3.5366,3.5366,1279,0
20160201,3.7014,3.7014,3.7014,3.7014,222,0
20160202,3.8758,3.8758,3.8758,3.8758,516,0
20160203,3.6626,3.6626,3.5851,3.5851,1032,0
20160204,3.8758,3.8758,3.8564,3.8564,1548,0
20160209,4.1374,4.1374,4.1374,4.1374,1032,0
20160210,3.5298,3.6044,3.5298,3.5948,619,0
20160211,3.8758,3.8758,3.8177,3.8177,206,0
20160212,4.118,4.118,3.7304,3.7304,1548,0
20160216,3.1878,3.1878,3.1006,3.1017,929,0
20160217,3.4591,3.4591,3.4591,3.4591,104,0
20160218,3.6529,3.6529,3.6335,3.6529,619,0
20160219,3.6335,3.698,3.6335,3.682,702,0
20160223,3.963,3.963,3.4397,3.5735,37055,0
20160224,3.6218,3.6334,3.1975,3.4591,15943,0
20160225,3.6141,3.682,3.4253,3.6141,82516,0
20160226,3.6335,3.7208,3.4882,3.5076,143179,0
20160229,3.6335,3.6335,3.1006,3.2459,39026,0
20160301,3.149,3.3225,3.149,3.3138,13477,0
20160302,3.43,3.43,3.149,3.1975,9090,0
20160303,3.2459,3.2459,2.9068,2.9552,10948,0
20160304,3.0521,3.0521,2.81,2.8875,8075,0
20160307,3.0521,3.0521,2.8099,2.8681,10947,0
20160308,3.0521,3.0521,2.6975,2.9834,9044,0
20160309,2.9746,3.0521,2.9457,2.9494,7715,0
20160310,2.9068,3.0714,2.9068,3.0134,2450,0
20160311,2.9756,2.9795,2.9756,2.9766,1032,0
20160314,2.9068,2.9068,2.8875,2.8875,435,0
20160315,2.8757,2.9456,2.667,2.8487,7843,0
20160316,2.9746,2.9857,2.8584,2.9857,1325,0
20160317,2.7615,2.9456,2.7615,2.9262,3329,0
20160318,2.994,2.994,2.994,2.994,543,0
20160321,3.0328,3.0813,3.0037,3.0521,5248,0
20160322,3.1006,3.149,3.1006,3.1006,7549,0
20160323,3.3913,3.3913,3.1588,3.2254,5994,0
20160324,3.1975,3.2345,3.1975,3.1975,2683,0
20160328,3.1994,3.2653,3.1975,3.2072,9951,0
