Date,Open,High,Low,Close,Volume,OpenInt
20140514,4.7243,4.7243,4.5929,4.6237,25344,0
20140515,4.3999,4.6316,4.3999,4.5851,3198,0
20140516,4.2765,4.6316,3.9446,4.5991,16586,0
20140519,4.4539,4.6152,4.3306,4.5158,24827,0
20140520,4.5544,4.5544,4.3998,4.4771,12079,0
20140521,4.3612,4.4539,4.1992,4.3999,9748,0
20140522,4.4771,4.4771,4.3227,4.3227,2460,0
20140523,4.4694,4.6316,4.4463,4.6316,12954,0
20140527,4.5165,4.5165,4.4077,4.4771,12435,0
20140528,4.508,4.5158,4.4694,4.508,4690,0
20140529,4.4771,4.4771,4.4617,4.4694,2091,0
20140530,4.4694,4.4694,4.3459,4.4694,4580,0
20140602,4.4771,4.4771,4.3612,4.3613,4664,0
20140603,4.3612,4.4694,4.2458,4.4232,10478,0
20140604,4.2687,4.4617,4.2687,4.4617,2784,0
20140605,4.4693,4.4694,4.4687,4.4694,2332,0
20140606,4.2687,4.4239,4.2611,4.4232,6608,0
20140609,4.2533,4.4771,4.2224,4.4694,12097,0
20140610,4.2996,4.2996,4.1067,4.2458,7903,0
20140611,4.2919,4.2996,4.1297,4.2919,6969,0
20140613,4.2458,4.2458,4.207,4.207,2657,0
20140616,4.2302,4.2378,3.8826,4.2378,6380,0
20140617,4.0912,4.2458,4.0758,4.1298,5894,0
20140618,4.2378,4.2378,3.9676,3.9676,6023,0
20140619,4.0526,4.1607,4.0009,4.1607,21228,0
20140620,4.2378,4.2458,4.207,4.2146,21798,0
20140623,4.2765,4.2996,4.2302,4.2302,12721,0
20140624,4.2302,4.2302,4.1684,4.207,15593,0
20140625,4.1991,4.1992,4.1684,4.1684,3238,0
20140626,4.2378,4.2378,4.1104,4.2224,6768,0
20140627,4.0681,4.2919,4.0681,4.0758,8380,0
20140630,4.2458,4.2996,3.9366,4.1453,19983,0
20140701,4.2996,4.2996,4.1531,4.1531,10829,0
20140702,4.0912,4.0912,4.0912,4.0912,1813,0
20140707,4.1067,4.2378,3.9446,4.0912,8515,0
20140708,4.0681,4.2687,3.906,4.1297,38667,0
20140709,4.1453,4.2533,4.1453,4.1684,42849,0
20140710,4.2458,4.2919,4.1297,4.2302,27845,0
20140711,4.2533,4.2996,4.1761,4.2251,34295,0
20140714,4.2919,4.4694,4.2458,4.4617,23096,0
20140715,4.4771,4.6316,4.4,4.6316,35792,0
20140716,4.6237,4.7627,4.4098,4.67,58833,0
20140717,4.6316,4.7243,4.5929,4.67,12059,0
20140718,4.67,4.9403,4.67,4.7937,34187,0
20140721,4.7857,4.7857,4.6006,4.67,23984,0
20140722,4.7782,4.7782,4.7088,4.7692,17747,0
20140723,4.863,5.4265,4.7551,5.2337,58771,0
20140724,5.4035,5.5811,5.249,5.5579,108196,0
20140725,5.4961,5.5193,5.28,5.4574,28458,0
20140728,5.7045,6.1751,5.4883,6.0209,114832,0
20140729,5.7894,6.013,5.7894,5.9075,16596,0
20140730,6.0673,6.8411,5.8667,5.9902,77230,0
20140731,5.9438,5.9438,5.7894,5.8049,16998,0
20140801,5.025,5.8667,5.0175,5.8512,14637,0
20140804,5.8667,5.9902,5.7122,5.9902,36449,0
20140805,5.9902,5.9902,5.7894,5.9438,5283,0
20140806,6.0848,6.0848,5.4891,6.0134,27250,0
20140807,6.0458,6.0848,5.1361,5.5675,18460,0
20140808,5.3501,5.6458,5.3501,5.5062,17244,0
20140811,5.5281,5.583,5.3931,5.5517,22663,0
20140812,5.4969,5.5203,5.4891,5.4969,13338,0
20140813,5.543,5.543,5.2459,5.2536,24638,0
20140814,5.2065,5.2459,4.6422,5.1282,11453,0
20140815,5.1754,5.1754,4.9243,5.0178,6631,0
20140818,5.0499,5.1909,5.0186,5.0577,7509,0
20140819,5.0576,5.2381,5.0576,5.0967,19168,0
20140820,5.0967,5.34,4.9244,5.2381,24476,0
