Date,Open,High,Low,Close,Volume,OpenInt
20070301,23.03,23.516,22.942,23.34,271563,0
20070302,23.243,23.311,22.875,22.913,96965,0
20070305,22.661,22.825,22.446,22.446,45243,0
20070306,22.855,23.136,22.778,23.048,47093,0
20070307,23.039,23.271,23,23.048,140254,0
20070308,23.39,23.594,23.34,23.39,84933,0
20070309,23.584,23.584,23.39,23.516,41645,0
20070312,23.506,23.643,23.36,23.594,68789,0
20070313,23.506,23.584,23.03,23.03,50795,0
20070314,23.166,23.166,22.788,23.146,39177,0
20070315,23.243,23.35,23.146,23.311,21695,0
20070316,23.36,23.37,23.077,23.176,50897,0
20070319,23.38,23.506,23.281,23.506,31053,0
20070320,23.546,23.721,23.496,23.701,53368,0
20070321,23.797,24.157,23.701,24.119,253156,0
20070322,24.266,25.851,24.03,24.129,165756,0
20070323,24.187,24.284,24.167,24.226,89150,0
20070326,24.314,24.324,23.931,24.187,100460,0
20070327,24.197,24.197,24.059,24.129,98920,0
20070328,23.971,24.05,23.836,23.874,49560,0
20070329,24.119,24.187,23.777,24.01,63546,0
20070330,24.069,24.216,23.922,24.05,43496,0
20070402,24.147,24.266,24.05,24.236,56861,0
20070403,24.372,24.529,24.372,24.47,217064,0
20070404,24.558,24.575,24.422,24.568,273515,0
20070405,24.585,24.635,24.46,24.605,225906,0
20070409,24.847,24.847,24.644,24.721,212951,0
20070410,24.808,24.905,24.712,24.79,126269,0
20070411,24.837,24.837,24.5,24.568,100665,0
20070412,24.585,24.692,24.48,24.682,66630,0
20070413,24.741,24.761,24.585,24.761,150948,0
20070416,24.944,25.081,24.799,24.984,157734,0
20070417,24.974,25.558,24.886,24.994,74341,0
20070418,24.847,24.994,24.702,24.915,140562,0
20070419,24.847,24.944,24.654,24.857,44319,0
20070420,25.109,25.218,24.944,25.089,95216,0
20070423,25.149,25.296,25.139,25.246,78662,0
20070424,25.276,25.276,25.042,25.188,84008,0
20070425,25.256,25.802,25.139,25.305,57170,0
20070426,25.422,25.47,25.276,25.422,74341,0
20070427,25.286,25.403,25.208,25.364,44421,0
20070430,25.296,25.335,24.925,24.964,96657,0
20070501,24.857,24.944,24.635,24.799,49975,0
20070502,24.828,25.354,24.828,25.296,64573,0
20070503,25.335,25.335,25.119,25.218,75473,0
20070504,25.286,25.871,25.227,25.325,35063,0
20070507,25.45,25.45,25.266,25.345,67763,0
20070508,25.286,25.393,25.042,25.374,105910,0
20070509,25.383,25.723,25.374,25.704,63340,0
20070510,25.597,25.597,25.188,25.256,86269,0
20070511,25.188,25.606,25.188,25.597,47197,0
20070514,25.704,25.704,25.45,25.528,30231,0
20070515,25.578,25.694,25.325,25.393,66118,0
20070516,25.519,25.519,25.236,25.432,78453,0
20070517,25.383,25.479,25.276,25.412,37739,0
20070518,25.499,25.597,25.325,25.528,33727,0
20070521,25.626,26.161,25.558,25.714,117734,0
20070522,25.821,25.831,25.665,25.704,94804,0
20070523,25.782,25.947,25.674,25.674,45038,0
20070524,25.714,25.871,25.149,25.236,90384,0
20070525,25.354,25.762,25.296,25.422,39278,0
20070529,25.597,25.597,25.432,25.558,45654,0
20070530,25.335,25.947,25.335,25.947,111875,0
20070531,26.075,26.142,25.937,26.036,58920,0
20070601,26.258,26.268,26.075,26.122,86784,0
20070604,26.19,26.258,26.055,26.2,82363,0
20070605,26.258,26.258,25.937,26.102,86989,0
20070606,25.879,25.966,25.588,25.674,62723,0
20070607,25.636,25.674,25.089,25.089,52134,0
20070608,25.003,25.383,24.915,25.383,98815,0
20070611,25.256,25.422,25.208,25.305,56039,0
20070612,25.168,25.286,24.964,24.994,34138,0
20070613,25.178,25.393,25.089,25.393,75165,0
20070614,25.479,25.752,25.479,25.606,55524,0
20070615,25.871,25.897,25.743,25.831,197938,0
20070618,25.986,26.19,25.772,25.831,726255,0
20070619,25.723,25.917,25.674,25.917,69615,0
20070620,25.841,25.966,25.45,25.45,60975,0
20070621,25.364,25.597,25.286,25.568,60566,0
20070622,25.626,25.626,25.286,25.383,39896,0
20070625,25.47,25.499,25.109,25.168,56861,0
20070626,25.345,25.345,24.964,24.964,30846,0
20070627,24.799,25.315,24.45,25.315,79483,0
20070628,25.393,25.509,25.276,25.364,70640,0
20070629,25.519,25.578,25.158,25.286,107862,0
20070702,25.383,25.714,25.383,25.714,42468,0
20070703,25.772,25.907,25.772,25.831,13467,0
20070705,26.016,26.016,25.782,25.966,51207,0
20070706,26.016,26.161,25.684,26.161,388885,0
20070709,26.239,26.335,26.152,26.277,30846,0
20070710,26.258,26.258,25.879,25.927,72699,0
20070711,25.812,26.142,25.812,26.132,155985,0
20070712,26.326,26.558,26.326,26.548,182515,0
20070713,26.667,26.725,26.539,26.705,59535,0
20070716,26.793,26.793,26.452,26.491,132026,0
20070717,26.696,26.696,26.432,26.472,151875,0
20070718,26.394,26.511,26.22,26.511,43907,0
20070719,26.598,26.725,26.578,26.705,43598,0
20070720,26.764,26.764,26.249,26.364,53059,0
20070723,26.53,26.53,26.307,26.345,36296,0
20070724,26.045,26.112,25.597,25.674,82055,0
20070725,25.782,25.861,25.188,25.489,86167,0
20070726,25.286,25.286,24.382,24.799,205031,0
20070727,24.799,25.003,24.402,24.5,85036,0
20070730,24.605,25.003,24.5,24.915,49152,0
20070731,25.236,25.354,24.635,24.635,220458,0
20070801,24.605,24.635,24.119,24.539,259530,0
20070802,24.654,24.876,24.568,24.818,26015,0
20070803,24.799,24.818,23.99,23.99,79073,0
20070806,24.069,24.236,23.409,24.216,235160,0
20070807,24.187,24.509,24.167,24.392,25086,0
20070808,24.529,24.925,24.431,24.605,134806,0
20070809,24.177,24.45,23.496,23.961,890467,0
20070810,23.419,24.157,23.39,24.02,76297,0
20070813,24.412,24.644,24.236,24.236,57378,0
20070814,24.412,24.441,23.653,23.653,66528,0
20070815,23.439,23.855,22.98,22.99,154855,0
20070816,22.758,23.194,21.444,23.176,259428,0
20070817,23.574,23.922,22.942,23.39,99743,0
20070820,23.584,23.653,23.223,23.564,60566,0
20070821,23.429,23.721,23.419,23.653,75679,0
20070822,24.059,24.314,24.01,24.275,152695,0
20070823,24.431,24.644,23.951,24.147,270637,0
20070824,24.256,24.568,24.119,24.539,140666,0
20070827,24.558,24.558,24.266,24.324,163287,0
20070828,24.216,24.216,23.614,23.643,138919,0
20070829,23.787,24.314,23.777,24.197,79483,0
20070830,23.941,24.362,23.941,24.157,86682,0
20070831,24.48,24.692,24.412,24.595,129046,0
20070904,24.548,25.042,24.539,24.866,89355,0
20070905,24.876,24.876,24.509,24.664,225599,0
20070906,24.896,24.896,24.568,24.712,164726,0
20070907,24.324,24.509,24.147,24.304,59949,0
20070910,24.314,24.344,23.797,24.069,62310,0
20070911,24.266,24.382,24.109,24.324,38043,0
20070912,24.187,24.45,24.187,24.294,33625,0
20070913,24.509,24.664,24.372,24.509,133056,0
20070914,24.46,24.712,24.314,24.712,24679,0
20070917,24.529,24.682,24.529,24.595,21388,0
20070918,24.664,26.452,24.595,25.393,191974,0
20070919,25.743,25.897,25.489,25.616,152695,0
20070920,25.519,25.665,25.45,25.489,36605,0
20070921,25.578,25.694,25.538,25.606,45140,0
20070924,25.626,25.927,25.509,25.558,36501,0
20070925,25.364,25.578,25.315,25.578,66013,0
20070926,25.723,25.841,25.636,25.812,65291,0
20070927,26.065,26.065,25.861,26.036,40409,0
20070928,25.871,26.152,25.851,25.957,63546,0
20071001,26.112,26.403,26.112,26.335,27660,0
20071002,26.307,26.422,26.2,26.326,55217,0
20071003,26.112,26.249,26.065,26.095,51413,0
20071004,26.095,26.21,25.976,26.21,432174,0
20071005,26.452,26.598,26.345,26.53,51516,0
20071008,26.521,26.598,26.472,26.578,52748,0
20071009,26.647,26.92,26.588,26.92,126680,0
20071010,26.92,27.006,26.715,26.959,62517,0
20071011,27.211,27.23,26.608,26.686,65189,0
20071012,26.696,27.055,26.696,27.026,50282,0
20071015,27.201,27.201,26.637,26.911,59744,0
20071016,26.745,26.745,26.568,26.686,30846,0
20071017,26.95,26.95,26.452,26.745,38560,0
20071018,26.686,26.871,26.618,26.813,33727,0
20071019,26.715,26.715,25.947,25.947,62927,0
20071022,25.403,26.065,25.403,26.045,84008,0
20071023,26.161,26.501,26.152,26.452,90281,0
20071024,26.403,26.481,25.937,26.432,41439,0
20071025,26.374,26.568,26.23,26.491,44521,0
20071026,26.842,26.842,26.598,26.813,20256,0
20071029,26.92,27.083,26.891,27.036,33109,0
20071030,26.881,26.94,26.588,26.627,68381,0
20071031,26.793,27.006,26.568,27.006,37633,0
20071101,26.715,26.745,26.258,26.345,79279,0
20071102,26.511,26.618,26.152,26.578,39585,0
20071105,26.065,26.452,26.065,26.345,26015,0
20071106,26.637,26.803,26.403,26.803,23960,0
20071107,25.907,26.657,25.907,26.132,42363,0
20071108,26.249,26.316,25.723,26.112,74341,0
20071109,25.831,25.957,25.588,25.656,70124,0
20071112,25.422,25.548,24.799,24.925,61283,0
20071113,25.208,25.479,24.984,25.479,60571,0
20071114,25.714,25.897,25.519,25.519,242670,0
20071115,25.489,25.588,25.062,25.286,25086,0
20071116,25.528,25.528,25.109,25.393,106217,0
20071119,25.276,25.276,24.866,24.935,34242,0
20071120,24.994,25.325,24.682,24.925,34961,0
20071121,24.781,24.994,24.5,24.664,25605,0
20071123,24.886,25.052,24.799,25.052,10488,0
20071126,25.081,25.364,24.761,24.781,57581,0
20071127,25.062,25.062,24.682,25.052,241126,0
20071128,25.46,25.917,25.354,25.907,121542,0
20071129,25.871,26.122,25.782,26.006,112799,0
20071130,26.335,26.588,25.927,26.161,570578,0
20071203,26.142,26.249,25.966,26.085,236395,0
20071204,25.802,26.016,25.802,25.927,165343,0
20071205,26.354,26.472,26.239,26.384,510938,0
20071206,26.745,26.94,26.403,26.93,1551429,0
20071207,27.133,27.24,26.92,27.006,286884,0
20071210,27.329,27.668,27.036,27.172,543121,0
20071211,27.309,27.348,26.394,26.432,235777,0
20071212,27.142,27.718,26.307,26.53,1060524,0
20071213,26.53,26.627,26.268,26.627,258298,0
20071214,26.422,26.647,26.345,26.384,99946,0
20071217,26.432,26.452,25.694,25.752,102105,0
20071218,26.085,26.085,25.578,25.957,110229,0
20071219,26.016,26.112,25.879,26.026,785072,0
20071220,25.917,26.345,25.917,26.345,95216,0
20071221,26.403,26.891,26.403,26.881,135317,0
20071224,26.988,27.083,26.901,27.083,96451,0
20071226,27.026,27.123,26.881,27.113,139022,0
20071227,27.103,27.103,26.696,26.705,69478,0
20071228,27.016,27.016,26.657,26.793,79896,0
20071231,26.521,26.842,26.521,26.539,53059,0
20080102,26.833,27.103,26.132,26.268,54312,0
20080103,26.647,26.647,25.937,26.287,123005,0
20080104,25.871,26.102,25.558,25.597,155410,0
20080107,24.818,25.752,24.731,25.364,219943,0
20080108,26.102,26.102,24.954,25.032,688930,0
20080109,24.509,25.062,24.382,25.062,646565,0
20080110,25.656,26.075,23.865,25.276,112695,0
20080111,25.236,25.236,24.799,24.896,78303,0
20080114,24.422,25.305,24.422,25.246,60541,0
20080115,24.539,25.246,24.147,24.625,70744,0
20080116,24.197,24.721,23.623,24.109,291022,0
20080117,23.941,24.304,23.261,23.261,228567,0
20080118,24.157,24.157,22.855,23.213,326072,0
20080122,14.598,23.106,12.641,22.951,511446,0
20080123,21.473,23.281,21.473,23.01,152939,0
20080124,23.826,23.826,23.02,23.506,113054,0
20080125,24.46,24.46,23.233,23.321,128669,0
20080128,24.089,24.089,23.097,23.623,461275,0
20080129,23.971,23.971,23.584,23.922,711654,0
20080130,24.089,24.954,23.584,23.981,635353,0
20080131,24.344,24.344,23.399,24.119,505885,0
20080201,24.886,24.886,24.187,24.519,221348,0
20080204,24.781,24.781,24.392,24.47,379477,0
20080205,24.353,24.353,23.643,23.663,381224,0
20080206,24.01,24.01,23.271,23.301,255933,0
20080207,23.506,23.623,23.039,23.459,83659,0
20080208,23.38,23.738,23.38,23.623,118567,0
20080211,23.34,24.01,23.34,23.981,88798,0
20080212,24.167,24.382,23.912,24.01,230020,0
20080213,24.422,24.644,24.137,24.47,177580,0
20080214,24.548,24.548,24.119,24.167,316803,0
20080215,23.826,24.119,23.826,24.109,90896,0
20080219,24.568,24.568,24.167,24.197,88428,0
20080220,23.922,24.575,23.922,24.49,71625,0
20080221,24.731,24.876,24.246,24.284,101219,0
20080222,24.548,24.548,24.059,24.47,81592,0
20080225,24.382,24.915,24.362,24.905,107349,0
20080226,24.781,25.158,24.682,25.022,229247,0
20080227,24.964,25.139,24.761,24.905,211289,0
20080228,24.751,25.012,24.721,24.857,126958,0
20080229,24.654,24.818,24.109,24.226,575966,0
20080303,24.157,24.362,24.03,24.334,118866,0
20080304,24.137,24.284,23.807,24.119,275199,0
20080305,24.275,24.568,24.197,24.412,105293,0
20080306,24.441,24.441,23.922,23.922,314337,0
20080307,23.701,23.951,23.34,23.536,568830,0
20080310,23.526,23.526,22.835,22.884,405641,0
20080311,22.97,23.855,22.97,23.555,160925,0
20080312,23.683,23.836,23.439,23.476,236201,0
20080313,23.253,23.855,23.039,23.748,462715,0
20080314,23.971,23.971,22.865,23.399,103751,0
20080317,22.951,23.087,22.505,22.875,122483,0
20080318,23.156,23.711,22.99,23.633,179737,0
20080319,23.807,23.941,23.039,23.048,34776,0
20080320,23.067,23.36,22.661,23.33,63049,0
20080324,23.33,24.147,23.33,23.931,205575,0
20080325,24.04,24.548,23.922,24.304,486055,0
20080326,24.099,24.422,24.099,24.314,215522,0
20080327,24.519,24.519,23.961,24.04,162154,0
20080328,24.129,24.187,23.758,23.777,197116,0
20080331,23.865,23.99,23.701,23.874,77735,0
20080401,24.5,24.654,24.04,24.654,93161,0
20080402,24.692,24.974,24.595,24.761,112062,0
20080403,24.721,24.984,24.605,24.808,93469,0
20080404,24.925,25.296,24.866,25.099,190697,0
20080407,25.139,25.393,24.954,25.072,154956,0
20080408,24.954,25.158,24.876,25.129,104985,0
20080409,25.158,25.198,24.761,24.857,80744,0
20080410,24.771,25.022,24.654,24.974,89868,0
20080411,24.828,24.828,24.539,24.595,399735,0
20080414,24.625,24.79,24.509,24.654,57775,0
20080415,24.828,25.528,24.568,24.866,90384,0
20080416,25.022,25.509,25.012,25.479,234703,0
20080417,25.412,25.509,25.149,25.286,83075,0
20080418,25.772,25.861,25.548,25.743,486244,0
20080421,25.636,25.802,25.548,25.762,123105,0
20080422,25.684,25.704,25.354,25.528,141749,0
20080423,25.538,25.714,25.441,25.568,84253,0
20080424,25.538,25.665,25.089,25.568,199803,0
20080425,25.684,25.871,25.489,25.821,219841,0
20080428,25.879,25.917,25.743,25.812,243631,0
20080429,25.597,25.714,25.286,25.345,73913,0
20080430,25.345,25.548,25.149,25.286,195573,0
20080501,25.218,25.528,25.119,25.479,185581,0
20080502,25.733,25.871,25.528,25.646,256412,0
20080505,25.723,25.762,25.606,25.723,155405,0
20080506,25.558,26.142,25.558,26.095,116748,0
20080507,26.122,26.21,25.636,25.684,89305,0
20080508,25.684,25.861,25.616,25.851,174182,0
20080509,25.578,25.879,25.578,25.694,97137,0
20080512,25.772,25.996,25.528,25.996,317408,0
20080513,26.095,26.23,25.879,26.23,122801,0
20080514,26.335,26.511,26.2,26.22,110164,0
20080515,26.132,26.558,26.132,26.558,48940,0
20080516,26.637,26.735,26.452,26.725,79631,0
20080519,26.745,26.969,26.481,26.578,122176,0
20080520,26.472,26.588,26.384,26.588,99712,0
