Date,Open,High,Low,Close,Volume,OpenInt
20050225,28.729,28.729,28.466,28.665,31977,0
20050228,28.729,28.729,26.695,28.135,12947,0
20050301,28.729,28.729,28.153,28.713,7536,0
20050302,27.128,27.928,25.595,27.535,5275,0
20050303,27.382,27.55,27.258,27.518,882,0
20050304,27.961,28.239,27.731,27.738,4057,0
20050307,28.23,28.262,27.077,27.281,6473,0
20050308,25.485,27.304,25.485,26.973,7355,0
20050309,26.625,27.456,26.625,27.216,3733,0
20050310,26.552,28.022,26.552,27.043,9343,0
20050311,27.51,28.269,27.51,27.9,7692,0
20050314,28.081,28.916,28.039,28.799,18944,0
20050315,28.378,28.916,28.378,28.617,6990,0
20050316,28.916,28.916,28.365,28.837,3289,0
20050317,28.916,28.916,27.121,28.648,6244,0
20050318,26.364,28.153,26.364,27.39,3918,0
20050321,27.368,27.702,27.121,27.51,3167,0
20050322,26.712,28.648,26.712,27.892,4809,0
20050323,28.269,28.916,27.892,28.88,8075,0
20050324,28.916,28.916,27.805,28.648,4970,0
20050328,28.88,28.88,27.51,28.188,2289,0
20050329,28.729,28.729,27.51,28.167,4733,0
20050330,28.269,28.269,27.51,27.961,4830,0
20050331,27.281,27.961,27.281,27.961,4449,0
20050401,28.246,28.269,27.51,28.126,7836,0
20050404,28.269,28.269,27.399,27.431,2022,0
20050405,27.128,28.262,27.128,28.039,3475,0
20050406,28.255,28.269,27.51,27.912,3111,0
20050407,27.51,27.892,27.121,27.693,22720,0
20050408,27.892,27.892,26.835,27.623,9644,0
20050411,27.121,27.121,26.742,26.742,3412,0
20050412,27.848,27.848,26.126,26.672,9973,0
20050413,27.249,27.249,26.364,26.742,2756,0
20050414,25.986,27.034,25.986,27.034,7079,0
20050415,25.986,27.083,25.986,26.507,3038,0
20050418,25.976,26.364,25.216,25.976,13554,0
20050419,25.604,26.473,25.604,25.745,3249,0
20050420,25.657,25.991,25.657,25.786,950,0
20050421,25.604,26.142,25.454,25.937,4915,0
20050422,25.595,25.848,25.595,25.716,1897,0
20050425,25.302,25.673,25.302,25.673,305,0
20050426,25.302,25.657,25.302,25.657,1822,0
20050427,25.302,25.666,25.302,25.666,3920,0
20050428,25.517,25.657,24.338,25.657,16220,0
20050429,25.681,25.976,24.449,25.976,4858,0
20050502,26.094,26.094,24.647,25.328,3411,0
20050503,25.328,25.745,25.328,25.586,2997,0
20050504,25.745,25.745,25.216,25.216,1710,0
20050505,25.216,25.777,25.216,25.768,1878,0
20050506,25.026,25.976,25.026,25.976,2222,0
20050509,25.69,25.967,25.681,25.745,2333,0
20050510,25.232,25.745,25.216,25.613,4399,0
20050511,25.604,25.604,25.595,25.604,3587,0
20050512,26.094,26.166,25.493,26.166,1119,0
20050513,26.742,26.742,26.552,26.703,3662,0
20050516,26.703,27.51,26.078,26.853,12826,0
20050517,27.312,27.312,26.664,26.664,1188,0
20050518,26.151,26.308,26.151,26.282,6786,0
20050519,26.212,26.291,26.212,26.282,3136,0
20050520,26.703,26.703,26.498,26.498,256,0
20050523,26.894,26.894,26.166,26.631,2813,0
20050524,26.631,26.631,26.166,26.507,3232,0
20050525,26.166,26.742,26.166,26.386,11192,0
20050526,26.299,26.56,26.252,26.252,6423,0
20050527,26.86,26.86,26.45,26.473,10023,0
20050531,26.473,26.814,26.364,26.522,5459,0
20050601,26.593,26.86,26.593,26.86,2428,0
20050602,27.051,27.44,27.051,27.155,4983,0
20050603,27.631,27.805,27.631,27.805,447,0
20050606,28.006,28.006,27.819,27.819,1542,0
20050607,27.9,28.167,27.638,27.638,2074,0
20050608,27.9,28.205,27.9,28.126,1898,0
20050609,28.126,28.855,28.022,28.048,9550,0
20050610,28.205,28.916,28.205,28.916,411,0
20050613,27.825,28.066,27.825,27.935,3302,0
20050614,27.819,27.819,26.364,27.281,6444,0
20050615,27.281,28.641,27.281,28.641,2889,0
20050616,28.855,28.855,28.013,28.013,263,0
20050617,28.087,28.159,28.087,28.159,1226,0
20050620,27.819,28.159,26.712,27.44,5011,0
20050621,27.44,27.666,27.44,27.666,381,0
20050622,27.44,28.387,26.593,28.387,1833,0
20050623,28.395,28.395,27.819,27.819,624,0
20050624,27.631,28.006,27.241,27.44,4182,0
20050627,28.205,28.205,27.675,27.819,1009,0
20050628,27.702,27.702,27.556,27.564,504,0
20050629,27.702,27.752,27.241,27.752,1508,0
20050706,27.738,27.738,27.738,27.738,633,0
20050707,26.86,27.249,26.86,27.249,2797,0
20050708,27.327,27.631,27.327,27.631,580,0
20050711,28.205,28.205,27.249,27.55,7953,0
20050712,27.44,28.006,27.431,28.006,3607,0
20050713,27.44,27.44,27.258,27.281,1643,0
20050714,27.241,27.281,27.241,27.281,999,0
20050715,27.241,27.241,27.114,27.114,682,0
20050718,27.928,27.928,27.44,27.44,1421,0
20050719,27.638,27.738,27.631,27.631,2863,0
20050720,27.44,27.623,27.01,27.588,1816,0
20050721,27.44,27.44,27.051,27.44,2907,0
20050722,27.241,27.44,27.091,27.44,1583,0
20050725,27.44,27.857,27.44,27.857,2615,0
20050726,28.006,28.006,27.469,28.006,793,0
