Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.723,12.74,11.947,12.433,1239744,0
20050228,12.35,12.52,12.223,12.35,554130,0
20050301,12.303,12.41,12.03,12.037,617880,0
20050302,12.073,12.41,12.017,12.247,351426,0
20050303,12.223,12.34,12.027,12.143,407058,0
20050304,12.173,12.433,11.873,12.32,537651,0
20050307,12.343,12.493,12,12.037,879555,0
20050308,11.98,12.057,11.763,11.807,720180,0
20050309,11.753,12.1,11.453,11.917,570363,0
20050310,11.893,12.007,11.863,11.927,296562,0
20050311,11.91,11.95,11.8,11.817,406380,0
20050314,11.923,12.073,11.823,12.053,566319,0
20050315,12.08,12.207,11.893,11.993,320895,0
20050316,12.027,12.143,11.823,11.83,424557,0
20050317,11.913,12.013,11.727,11.85,387789,0
20050318,11.967,12.027,11.583,11.62,857166,0
20050321,11.62,11.62,11.437,11.523,344184,0
20050322,11.56,11.663,11.263,11.323,500421,0
20050323,11.273,11.323,10.977,11.02,698217,0
20050324,11.02,11.21,10.987,11.013,825498,0
20050328,10.993,11.55,10.97,11.393,601860,0
20050329,11.31,11.413,10.98,11.12,539988,0
20050330,11.057,11.363,11.05,11.257,583179,0
20050331,11.32,11.33,11.093,11.137,442884,0
20050401,11.227,11.307,10.443,10.743,1072101,0
20050404,10.697,11.453,10.66,11.32,776322,0
20050405,11.287,11.58,11.283,11.5,642036,0
20050406,11.44,11.563,11.297,11.383,608121,0
20050407,11.35,11.447,11.223,11.313,194655,0
20050408,11.33,11.367,11.21,11.223,488358,0
20050411,11.227,11.273,11.03,11.133,378528,0
20050412,11.127,11.367,11.01,11.35,363288,0
20050413,11.377,11.377,11.12,11.153,187929,0
20050414,11.127,11.17,10.957,11.067,425931,0
20050415,11.08,11.1,10.86,10.957,404604,0
20050418,10.863,10.943,10.34,10.723,974163,0
20050419,10.673,10.993,10.653,10.837,521025,0
20050420,10.853,10.853,10.41,10.58,1061100,0
20050421,10.65,10.65,10.547,10.63,482085,0
20050422,11.29,12.073,11.147,11.7,2509359,0
20050425,11.96,12.09,11.877,12.073,754959,0
20050426,12.103,12.2,11.7,11.813,548088,0
20050427,11.847,12.107,11.52,11.817,477774,0
20050428,11.75,12,11.707,11.707,353748,0
20050429,11.807,12.02,11.507,11.763,584574,0
20050502,11.78,11.833,11.62,11.82,665004,0
20050503,11.76,12.323,11.737,12.11,487983,0
20050504,12.223,12.38,11.923,12.17,365904,0
20050505,12.233,12.407,12.17,12.267,403368,0
20050506,12.29,12.297,12.17,12.17,184056,0
20050509,12.243,12.327,12.11,12.32,188133,0
20050510,12.367,12.367,11.747,11.823,313020,0
20050511,11.88,11.89,11.643,11.76,271509,0
20050512,11.823,11.89,11.537,11.563,300051,0
20050513,11.56,11.657,11.383,11.45,841464,0
20050516,11.45,11.483,11.38,11.413,512811,0
20050517,11.343,11.443,11.12,11.323,593925,0
20050518,11.4,11.567,11.353,11.52,676566,0
20050519,11.543,11.907,11.437,11.907,1019241,0
20050520,11.91,11.953,11.78,11.953,286248,0
20050523,11.957,12.53,11.95,12.423,1430310,0
20050524,12.423,12.58,12.37,12.567,693225,0
20050525,12.583,12.647,12.523,12.643,564357,0
20050526,12.647,12.893,12.6,12.883,609045,0
20050527,12.927,12.96,12.68,12.757,496539,0
20050531,12.73,12.897,12.683,12.897,566070,0
20050601,12.953,13.07,12.88,12.98,339162,0
20050602,13,13.03,12.787,12.843,294027,0
20050603,12.863,12.923,12.66,12.793,389568,0
20050606,12.813,12.813,12.413,12.553,814062,0
20050607,12.587,12.817,12.5,12.5,438345,0
20050608,12.57,12.657,12.207,12.27,449718,0
20050609,12.343,12.683,12.243,12.627,399537,0
20050610,12.657,12.663,12.433,12.54,147240,0
20050613,12.5,12.78,12.5,12.647,330573,0
20050614,12.65,12.817,12.507,12.76,457293,0
20050615,12.83,13.037,12.633,12.957,837486,0
20050616,13.017,13.137,12.807,13.067,1086144,0
20050617,13.117,13.137,12.813,12.813,640887,0
20050620,12.78,13.25,12.73,12.883,916875,0
20050621,12.86,13.17,12.78,12.947,681924,0
20050622,13.07,13.14,12.763,12.943,285834,0
20050623,12.957,13.167,12.84,12.957,674778,0
20050624,12.927,13.003,12.71,12.947,831681,0
20050627,12.797,13.053,12.773,13.05,326853,0
20050628,13.093,13.793,13.093,13.747,2019960,0
20050629,13.827,13.827,13.677,13.793,808833,0
20050630,13.743,13.84,13.64,13.75,687171,0
20050701,13.707,13.773,13.287,13.423,817755,0
20050705,13.337,13.743,13.337,13.743,497097,0
20050706,13.753,13.903,13.607,13.77,570273,0
20050707,13.89,13.89,13.457,13.783,402531,0
20050708,13.743,13.903,13.607,13.787,389217,0
20050711,13.77,14.32,13.77,14.283,1160670,0
20050712,13.803,14.12,13.61,14.037,1044699,0
20050713,14.043,14.043,13.767,13.907,407964,0
20050714,13.993,14.137,13.807,13.867,345060,0
20050715,13.777,13.837,13.673,13.777,342303,0
20050718,14.03,14.297,13.777,13.847,592041,0
