Date,Open,High,Low,Close,Volume,OpenInt
20170310,13.5,14.36,13.26,14.25,9962855,0
20170313,14.27,14.67,14.06,14.26,841651,0
20170314,14.13,14.5,14.12,14.35,225463,0
20170315,14.21,14.35,14.01,14.12,310644,0
20170316,14.2,14.44,14.06,14.41,290981,0
20170317,14.56,14.6,14.12,14.54,225891,0
20170320,14.27,14.97,14.27,14.9,242857,0
20170321,14.74,15.12,14.48,14.48,285767,0
20170322,14.39,14.73,14.2501,14.68,216667,0
20170323,14.63,14.83,14.53,14.68,156951,0
20170324,14.68,14.85,14.47,14.61,411544,0
20170327,13.87,14.78,13.57,14.68,270452,0
20170328,14.46,14.82,14.46,14.73,187454,0
20170329,14.79,14.95,14.5601,14.8,363350,0
20170330,14.74,15.28,14.1353,15.2,243831,0
20170331,15.2,15.59,15.2,15.485,410360,0
20170403,15.78,15.99,15.5749,15.63,616808,0
20170404,14.83,15.95,14.83,15.6,827941,0
20170405,15.77,15.99,15.2,15.42,531224,0
20170406,15.4,15.75,15.01,15.27,620760,0
20170407,15.19,15.5,15.0408,15.32,301293,0
20170410,15.33,15.51,15.21,15.26,230852,0
20170411,15.2,15.47,15.06,15.23,353744,0
20170412,15.16,15.26,15.0401,15.23,78727,0
20170413,15.1,15.33,15.01,15.13,143761,0
20170417,14.98,15.21,14.9,15.08,99011,0
20170418,15.05,15.37,15.0101,15.2,158012,0
20170419,15.25,15.41,14.95,15.3,157528,0
20170420,15.2,15.39,15.04,15.34,154667,0
20170421,15.3,15.41,15.135,15.26,243265,0
20170424,15.32,15.41,15.111,15.34,123134,0
20170425,15.32,15.49,15.05,15.28,211548,0
20170426,15.1911,15.39,15.13,15.16,144730,0
20170427,15.22,15.31,14.99,15,122514,0
20170428,14.98,14.995,14.73,14.75,238931,0
20170501,14.76,15,14.76,15,136464,0
20170502,14.9707,15.155,14.84,14.97,173092,0
20170503,14.9,15.25,14.9,15.18,33077,0
20170504,15.21,15.41,14.99,15.07,78656,0
20170505,15.09,15.59,14.76,15.46,152659,0
20170508,15.55,15.95,15.11,15.92,327013,0
20170509,15.94,16.38,15.34,15.66,325206,0
20170510,15.75,16.2204,15.5615,15.88,187742,0
20170511,15.92,16.29,15.69,15.96,487086,0
20170512,14,15.3,13.09,14.42,2246665,0
20170515,14.39,14.74,14.14,14.53,302898,0
20170516,14.65,14.675,13.54,13.77,434122,0
20170517,13.82,13.99,12.88,13.11,541367,0
20170518,13.17,13.5266,12.75,12.95,308608,0
20170519,12.9,13.42,12.85,13.05,113947,0
20170522,12.98,13.78,12.98,13.7,259571,0
20170523,13.65,14.28,13.54,14.17,286301,0
20170524,14.19,14.88,14.11,14.59,271358,0
20170525,14.5,14.85,14.36,14.62,196274,0
20170526,14.48,15.2,14.21,14.87,346548,0
20170530,14.76,15.33,14.5947,15.31,428443,0
20170531,15.31,15.49,15.0275,15.37,249547,0
20170601,15.3,15.5,15.125,15.44,132369,0
20170602,15.36,15.68,15.25,15.56,499607,0
20170605,15.6,15.6,15.055,15.35,177014,0
20170606,15.25,15.67,15.08,15.59,266847,0
20170607,15.65,15.75,15,15.24,379450,0
20170608,15.32,15.735,15.305,15.59,309568,0
20170609,15.49,15.85,14.97,14.99,249040,0
20170612,14.85,15.24,14.64,14.95,326337,0
20170613,14.93,15.47,14.89,15.22,262366,0
20170614,15.17,15.25,14.69,15.05,178154,0
20170615,14.92,14.99,14.42,14.91,236348,0
20170616,14.93,15.53,14.4637,15,1826217,0
20170619,15.13,15.47,14.94,15.4,247843,0
20170620,15.43,15.51,15.05,15.45,410010,0
20170621,15.49,15.68,15.11,15.64,307367,0
20170622,15.65,15.69,15.065,15.6,232631,0
20170623,15.64,15.95,15.2,15.81,2432810,0
20170626,15.95,16.25,15.45,15.82,449426,0
20170627,15.76,15.82,14.98,15.11,401172,0
20170628,15.1,15.3,14.91,15.19,156140,0
20170629,15.18,15.1808,14.65,14.74,268931,0
20170630,14.74,14.8,14.3,14.31,158136,0
20170703,14.3,14.5011,14.17,14.35,70430,0
20170705,14.46,14.74,14.12,14.7,138924,0
20170706,14.59,14.59,14,14.17,207074,0
20170707,14.18,14.65,14.17,14.63,133742,0
20170710,14.58,14.665,14.2,14.47,175072,0
20170711,14.4,14.92,14.02,14.85,244118,0
20170712,14.82,15.18,14.52,14.95,183225,0
20170713,14.94,14.985,14.51,14.66,218301,0
20170714,14.54,14.79,14.43,14.67,97348,0
20170717,14.71,14.904,14.39,14.46,77247,0
20170718,14.46,14.76,14.18,14.41,192031,0
20170719,14.51,14.56,13.96,14.32,249523,0
20170720,14.36,14.37,13.69,14.18,178881,0
20170721,14.32,14.32,14,14.08,137922,0
20170724,14.04,14.125,13.795,13.97,73859,0
20170725,13.94,14.105,13.71,14.06,211304,0
20170726,14.09,14.465,13.89,14.2,204122,0
20170727,14.25,14.26,13.4425,14.11,179654,0
20170728,14.02,14.23,13.74,13.95,141791,0
20170731,14.03,14.03,13.63,13.63,125678,0
20170801,13.7,13.8,13.45,13.67,99502,0
