Date,Open,High,Low,Close,Volume,OpenInt
20061012,24.872,25,24.863,25,8150,0
20061013,25.127,25.294,25.117,25.275,10392,0
20061016,25.353,25.499,25.324,25.451,35149,0
20061017,25.421,25.421,25.019,25.285,5298,0
20061018,25.509,25.509,25.087,25.097,7234,0
20061019,25.265,25.265,25.215,25.235,815,0
20061020,25,25.019,24.951,24.961,4890,0
20061023,24.98,25.245,24.98,25.147,7031,0
20061024,25.01,25.029,24.921,24.921,8762,0
20061025,25.058,25.107,25.058,25.107,1630,0
20061026,25.225,25.225,25.107,25.225,3057,0
20061027,25.265,25.314,25.029,25.029,2751,0
20061031,25.285,25.285,25,25.077,5400,0
20061101,25.058,25.058,24.558,24.558,5706,0
20061102,24.529,24.529,24.519,24.519,815,0
20061103,24.45,24.588,24.381,24.558,18848,0
20061106,24.636,25.029,24.636,25,2140,0
20061107,25.048,25.353,25.039,25.195,4890,0
20061108,25.077,25.265,25.077,25.265,2852,0
20061109,25.373,25.393,25.265,25.265,916,0
20061110,25.176,25.176,25.077,25.167,713,0
20061113,25.402,25.421,25.333,25.411,6317,0
20061114,25.314,25.707,25.294,25.707,18644,0
20061115,25.833,25.873,25.707,25.833,24451,0
20061116,25.833,25.833,25.667,25.814,1529,0
20061117,25.667,25.667,25.569,25.618,2344,0
20061120,25.373,25.707,25.373,25.667,12939,0
20061121,25.697,25.716,25.589,25.697,49311,0
20061122,25.804,25.883,25.726,25.883,2852,0
20061124,25.687,25.687,25.687,25.687,203,0
20061127,25.716,25.716,25.137,25.137,23943,0
20061128,25.167,25.195,24.99,25.195,14772,0
20061129,25.353,25.411,25.205,25.353,15079,0
20061130,25.225,25.608,25.225,25.499,30972,0
20061201,25.275,25.275,25.225,25.225,10800,0
20061204,25.569,25.814,25.569,25.794,1222,0
20061205,25.853,25.913,25.833,25.833,5298,0
20061206,25.667,25.883,25.667,25.794,3363,0
20061207,25.589,25.716,25.569,25.589,17320,0
20061208,25.373,25.667,25.373,25.618,27610,0
20061211,25.726,25.726,25.608,25.608,1222,0
20061212,25.529,25.529,25.373,25.49,13957,0
20061213,25.756,25.756,25.451,25.509,5196,0
20061214,25.677,25.843,25.677,25.785,16709,0
20061215,25.913,25.913,25.667,25.716,19357,0
20061218,25.539,25.823,25.509,25.509,916,0
20061219,25.235,25.509,25.205,25.499,25164,0
20061220,25.697,25.736,25.529,25.559,4687,0
20061221,25.667,25.667,25.363,25.363,21396,0
20061222,25.265,25.265,25.157,25.205,1936,0
20061226,25.245,25.373,25.245,25.363,2242,0
20061227,25.559,25.667,25.559,25.667,10188,0
20061228,25.687,25.687,25.569,25.627,2344,0
20061229,25.589,25.687,25.393,25.393,4993,0
20070103,25.539,25.726,25.147,25.353,46560,0
20070104,25.383,25.775,25.383,25.716,32909,0
20070105,25.519,25.519,25.294,25.363,25776,0
20070108,25.519,25.539,25.343,25.471,11817,0
20070109,25.618,25.618,25.324,25.509,7234,0
20070110,25.205,25.599,25.205,25.599,7131,0
20070111,25.716,25.883,25.667,25.804,10291,0
20070112,25.853,25.922,25.736,25.883,14772,0
20070116,26.06,26.06,25.756,25.843,17320,0
20070117,25.804,25.903,25.746,25.766,5706,0
20070118,25.618,25.618,25.137,25.225,7642,0
20070119,25.185,25.245,25.058,25.195,2344,0
20070122,25.285,25.285,24.931,25.048,2650,0
20070123,25.117,25.314,25.107,25.205,3770,0
20070124,25.431,25.657,25.333,25.657,8863,0
20070125,25.627,25.627,25.275,25.275,4279,0
20070126,25.373,25.421,25.304,25.421,916,0
20070129,25.471,25.471,25.402,25.411,2242,0
20070130,25.421,25.618,25.421,25.618,1019,0
20070131,25.441,25.657,25.441,25.637,3363,0
20070201,25.726,25.794,25.677,25.794,1019,0
20070202,25.814,25.971,25.804,25.922,10291,0
20070205,25.961,25.991,25.843,25.991,5706,0
20070206,26.099,26.099,25.913,26.001,34538,0
20070207,26.089,26.315,26.089,26.285,3565,0
20070208,26.207,26.325,26.197,26.275,11309,0
20070209,26.275,26.285,25.913,25.941,18237,0
20070212,25.951,25.951,25.785,25.833,2344,0
20070213,25.843,25.971,25.843,25.941,5094,0
20070214,26.255,26.335,26.236,26.315,1222,0
20070215,26.305,26.383,26.236,26.373,2852,0
20070216,26.305,26.305,26.245,26.275,3565,0
20070220,26.265,26.492,26.216,26.492,6418,0
20070221,26.423,26.561,26.423,26.531,21294,0
20070222,26.687,26.707,26.472,26.619,4687,0
20070223,26.579,26.579,26.531,26.569,8150,0
20070226,26.521,26.551,26.413,26.453,3057,0
20070227,26.001,26.03,25.265,25.49,14670,0
20070228,25.157,25.589,25.107,25.461,4788,0
20070301,24.931,25.471,24.911,25.461,2955,0
20070302,25.304,25.373,25.077,25.137,3667,0
20070305,24.715,25.117,24.607,24.853,52265,0
20070306,25.157,25.373,25.147,25.373,9680,0
20070307,25.373,25.383,25.235,25.265,14772,0
20070308,25.48,25.529,25.393,25.393,2140,0
20070309,25.657,25.657,25.431,25.431,2344,0
20070312,25.677,25.677,25.677,25.677,102,0
20070313,25.549,25.549,25.255,25.314,2445,0
20070314,25.245,25.421,25.087,25.421,1427,0
20070315,25.589,25.608,25.499,25.569,13857,0
20070316,25.529,25.529,25.529,25.529,1019,0
20070319,25.804,25.823,25.785,25.823,1427,0
20070320,25.903,25.941,25.833,25.893,4890,0
20070321,25.893,26.265,25.893,26.265,4788,0
20070322,26.178,26.325,26.178,26.285,1427,0
20070323,26.433,26.433,26.373,26.423,3363,0
20070326,26.472,26.472,26.178,26.383,8457,0
20070327,26.245,26.275,26.197,26.275,3363,0
20070328,25.951,26.148,25.951,26.03,8252,0
20070329,26.099,26.099,25.931,25.931,713,0
20070330,26.021,26.021,25.853,26.011,1529,0
20070402,26.129,26.335,26.129,26.216,40549,0
20070403,26.541,26.551,26.511,26.531,81302,0
20070404,26.561,26.589,26.531,26.579,28833,0
20070405,26.561,26.805,26.561,26.717,30870,0
20070409,26.717,26.795,26.687,26.717,23535,0
20070410,26.767,26.767,26.668,26.717,8252,0
20070411,26.501,26.629,26.501,26.531,4177,0
20070412,26.393,26.727,26.393,26.727,3667,0
20070413,26.658,26.805,26.619,26.805,12532,0
20070416,26.943,27.061,26.943,27.041,3157,0
20070417,27.051,27.081,27.041,27.081,1529,0
20070418,27.021,27.021,26.914,26.962,3363,0
20070419,26.767,26.786,26.727,26.727,1019,0
20070420,27.041,27.081,27.001,27.081,2140,0
20070423,27.099,27.099,27.031,27.099,4890,0
20070424,27.208,27.208,27.011,27.071,1936,0
20070425,27.149,27.169,27.071,27.169,5909,0
20070426,27.433,27.473,27.414,27.463,5400,0
20070427,27.757,27.757,27.591,27.669,35455,0
20070430,27.531,27.611,27.355,27.365,6827,0
20070501,27.297,27.394,27.169,27.365,6520,0
20070502,27.365,27.601,27.365,27.551,815,0
20070503,27.689,27.777,27.669,27.699,13449,0
20070504,27.719,27.738,27.669,27.699,17422,0
20070507,27.757,27.826,27.689,27.826,74067,0
20070508,27.581,27.738,27.571,27.738,11716,0
20070509,27.747,27.993,27.719,27.925,51247,0
20070510,27.699,27.699,27.463,27.463,11410,0
20070511,27.531,27.777,27.503,27.729,14772,0
20070514,27.729,27.729,27.463,27.521,8660,0
20070515,27.601,27.601,27.336,27.336,2751,0
20070516,27.453,27.463,27.267,27.433,6520,0
20070517,27.591,27.621,27.541,27.601,4076,0
20070518,27.551,27.836,27.551,27.836,13144,0
20070521,27.826,28.072,27.826,27.993,8354,0
20070522,28.072,28.189,28.023,28.189,9271,0
20070523,28.179,28.268,28.072,28.12,6010,0
20070524,27.935,27.954,27.483,27.483,12226,0
20070525,27.729,27.797,27.729,27.757,17523,0
20070529,28.052,28.14,27.983,28.082,8150,0
20070530,27.963,28.258,27.963,28.258,11410,0
20070531,28.386,28.435,28.327,28.435,8150,0
20070601,28.631,28.631,28.504,28.504,2242,0
20070604,28.475,28.484,28.396,28.484,4993,0
20070605,28.367,28.396,28.327,28.327,5603,0
20070606,28.268,28.277,28.092,28.209,2650,0
20070607,28.102,28.102,27.669,27.669,5196,0
20070608,27.63,27.925,27.63,27.925,8354,0
20070611,27.935,28.052,27.935,27.983,47070,0
20070612,27.855,27.895,27.709,27.709,4687,0
20070613,27.767,27.954,27.757,27.954,1834,0
20070614,28.15,28.189,28.023,28.052,36066,0
20070615,28.287,28.357,28.179,28.268,14264,0
20070618,28.189,28.258,28.169,28.169,2242,0
20070619,28.16,28.327,28.16,28.327,12939,0
20070620,28.297,28.297,28.12,28.15,3871,0
20070621,28.052,28.13,27.816,28.13,5807,0
20070622,28.169,28.169,27.885,27.905,3770,0
20070625,27.865,28.033,27.65,27.699,13449,0
20070626,27.826,27.865,27.757,27.807,6215,0
20070627,27.738,28.14,27.738,28.14,4585,0
