Date,Open,High,Low,Close,Volume,OpenInt
20050225,37,37,37,37,130,0
20050228,37,37.8,37,37.8,25,0
20050304,37.8,38,37,37.8,195,0
20050309,37.4,38,37.4,38,15,0
20050310,37,37.6,37,37.4,145,0
20050311,38,38,37,37.8,175,0
20050314,37.4,38,37.4,38,55,0
20050315,37.6,37.8,37.4,37.8,335,0
20050316,37.6,37.8,36.2,37,60,0
20050317,37.2,37.2,37,37,100,0
20050318,37,37.8,36.4,37.8,150,0
20050321,37,38,37,38,35,0
20050322,37.6,38,37.2,38,355,0
20050323,37.6,37.8,37.6,37.8,35,0
20050324,37.4,37.6,37.2,37.6,270,0
20050328,37.2,37.2,37.2,37.2,250,0
20050329,37.4,37.4,37.2,37.2,115,0
20050330,37.2,37.8,37,37.8,290,0
20050331,37.8,38,37.8,38,150,0
20050401,36.4,37.8,36.2,37.8,555,0
20050404,36,37.6,36,37.6,85,0
20050405,36.6,36.6,36.6,36.6,10,0
20050406,36.4,36.8,36.2,36.8,260,0
20050407,36.4,36.8,36.2,36.2,65,0
20050408,36.2,36.6,36.2,36.6,290,0
20050411,36.2,36.2,36.2,36.2,50,0
20050412,36.2,36.2,36.2,36.2,150,0
20050413,36.2,36.2,36,36,615,0
20050414,35,35,35,35,105,0
20050415,35,35.8,35,35.8,100,0
20050418,35,35,32.2,33.6,1055,0
20050419,33.2,33.2,33.2,33.2,50,0
20050420,32.8,33.2,31.6,33.2,585,0
20050421,30.6,33.2,30.6,33,115,0
20050422,32.6,32.6,31.4,31.4,105,0
20050425,31,31.4,31,31.4,145,0
20050426,31.4,31.6,31.4,31.6,5720,0
20050427,31.4,31.4,30.6,31.2,340,0
20050428,30.6,30.6,30.2,30.2,395,0
20050429,30,30.4,29.4,30.4,240,0
20050502,29.8,30.6,29.4,30.6,565,0
20050503,30,30,29,29,395,0
20050504,29.2,29.2,27.4,27.6,3170,0
20050505,27.4,27.8,27.4,27.8,910,0
20050506,27.6,28.2,27,28.2,1605,0
20050509,29,29,27.2,27.6,950,0
20050510,27,27,25.4,26.8,800,0
20050511,26.2,26.8,25,26.8,2315,0
20050512,26.8,27,26.6,26.8,450,0
20050513,26.8,27.2,26.8,27.2,215,0
20050516,28,28.2,27.6,27.6,870,0
20050517,28,28,27.6,27.6,140,0
20050518,27,27.6,27,27.4,305,0
20050520,27.8,28,26.8,28,345,0
20050523,28.8,28.8,28,28.2,105,0
20050524,27.6,28.8,27.6,28.8,340,0
20050525,29,30,28.8,29,165,0
20050526,29,29.2,29,29.2,65,0
20050527,29.4,29.4,27.2,28.6,635,0
20050531,28.4,28.8,28.4,28.8,185,0
20050601,28.2,29.4,28.2,29.4,40,0
20050603,28.4,31.4,28.4,31.2,255,0
20050607,33,34,33,33,140,0
20050608,34,34,31,32,255,0
20050609,32.8,32.8,32.6,32.6,15,0
20050610,32,32.4,32,32,70,0
20050613,31.2,31.8,31.2,31.8,35,0
20050614,31.8,32,31.8,32,325,0
20050615,31.4,33,31.4,33,105,0
20050616,32,33,32,33,75,0
20050617,33,33,32,32,160,0
20050620,32.6,32.6,32.4,32.4,130,0
20050621,32.2,32.6,31.6,32,355,0
20050622,31,31,30.2,31,105,0
20050623,31.8,32,31.8,32,405,0
20050624,32,32,32,32,5,0
20050627,32,32,31.4,31.8,1180,0
20050628,31.2,32.2,31.2,31.8,1335,0
20050629,31.8,32.8,31.8,32.2,1015,0
20050630,32.2,32.6,32,32.6,165,0
20050701,31.6,32.6,30.4,32.6,1730,0
20050705,32,32.8,31.8,32.8,450,0
20050706,32,32,31.8,32,530,0
20050707,32.4,32.4,32.4,32.4,5,0
20050708,31.8,31.8,31.2,31.8,135,0
20050711,31.2,31.2,31,31,30,0
20050712,31,31.6,30.2,31.2,505,0
20050713,31.4,31.8,31.2,31.4,265,0
20050714,31.6,31.8,31.6,31.8,375,0
20050715,32,32.2,32,32,290,0
