Date,Open,High,Low,Close,Volume,OpenInt
20101220,10.922,11.174,8.7194,9.1827,31477,0
20101221,9.2955,9.548,8.5184,8.5622,27110,0
20101222,8.1252,8.9816,8.1252,8.5972,26329,0
20101223,8.6059,9.2768,8.5184,8.5622,19707,0
20101227,9.1566,9.1566,8.5708,8.5887,11107,0
20101228,8.5796,8.5796,8.3087,8.536,20693,0
20101229,8.5207,8.5207,7.928,8.2378,35098,0
20101230,8.0874,8.1316,7.8927,8.0607,19473,0
20101231,7.9183,8.0529,7.8646,7.9543,38099,0
20110103,7.374,7.9418,7.2079,7.6275,56551,0
20110104,7.6447,7.9683,7.6186,7.9683,36853,0
20110105,7.9156,8.2565,7.7935,8.2128,13649,0
20110106,7.9506,8.3611,7.8631,8.012,19592,0
20110107,8.3525,8.3525,7.9506,8.1515,8995,0
20110110,7.4875,8.2565,7.4701,8.0206,9582,0
20110111,8.012,8.1953,7.9506,8.012,7434,0
20110112,8.0032,8.2476,7.9941,8.23,11152,0
20110113,7.9683,8.3087,7.9506,8.3087,8645,0
20110114,8.2999,8.6235,8.1778,8.5446,12836,0
20110118,7.4264,8.6492,7.1119,8.2128,15608,0
20110119,8.2875,8.2962,8.1115,8.2435,10948,0
20110120,8.2565,8.2565,7.2603,7.9854,23419,0
20110121,7.9767,7.9767,7.8196,7.9068,23720,0
20110124,8.0381,8.2914,7.4441,7.7844,41482,0
20110125,7.6447,7.9418,7.6447,7.9156,36208,0
20110126,7.9767,8.012,7.715,7.8284,18999,0
20110127,7.6447,8.012,7.6447,7.8019,9111,0
20110128,7.6883,7.8631,7.5662,7.6447,24560,0
20110131,7.6321,7.6587,7.4258,7.4976,16673,0
20110201,7.4,8.1687,7.4,7.4965,10659,0
20110202,7.5573,7.7758,7.505,7.6447,7765,0
20110203,7.6452,7.7859,7.4692,7.5045,10603,0
20110204,7.4701,7.8109,7.2428,7.7585,10927,0
20110207,7.6186,8.1687,7.2865,7.8981,18181,0
20110208,7.9331,8.1427,7.7844,8.0206,9950,0
20110209,7.9418,7.9418,7.6623,7.7232,8396,0
20110210,7.698,8.0232,7.654,7.9883,15455,0
20110211,7.9941,8.0381,7.6447,7.6535,20645,0
20110214,7.7321,8.0381,7.6362,7.6447,11422,0
20110215,7.6798,7.7408,7.6447,7.7321,22836,0
20110216,7.7321,7.837,7.6447,7.7758,9531,0
20110218,7.6803,7.9883,7.6803,7.742,18580,0
20110222,7.8631,8.0381,7.8196,7.9068,19652,0
20110223,7.9068,8.0381,7.8546,7.8546,7731,0
20110224,7.846,7.9418,7.8196,7.8893,34835,0
20110225,7.768,8.0763,7.7598,7.9442,11868,0
20110228,7.9547,7.9547,7.8219,7.9456,8360,0
20110301,7.9357,8.1115,7.8389,7.9269,13622,0
20110302,7.8034,7.9531,7.7859,7.9269,8877,0
20110303,7.8389,8.1555,7.8389,7.9883,5415,0
20110304,8.0501,8.0501,7.83,8.0501,2319,0
20110307,8.2962,8.2962,7.6628,7.7598,16338,0
20110308,7.8211,8.0501,7.742,7.8914,8902,0
20110309,7.8828,7.9092,7.6628,7.6718,33636,0
20110310,7.7333,7.9883,7.4167,7.5835,59013,0
20110311,8.1468,8.7539,8.0412,8.6922,111208,0
20110314,8.5952,9.1324,8.5952,9.0967,19088,0
20110315,8.9209,8.9647,8.8151,8.8944,22592,0
20110316,8.8329,8.9034,8.6304,8.8857,16279,0
20110317,8.415,9.2729,8.3792,8.7598,17783,0
20110318,8.7624,8.824,8.3928,8.5605,28344,0
20110321,8.8329,9.0882,8.604,9.053,28708,0
20110322,8.9559,9.2306,8.8418,8.8944,35034,0
20110323,8.9647,9.0967,8.8503,8.8593,24892,0
20110324,9.521,9.521,8.7802,8.947,19045,0
20110325,8.8329,9.3696,8.8329,8.8857,17112,0
20110328,8.7977,10.31,8.7977,9.0353,23388,0
20110329,8.9559,8.9737,8.8067,8.8329,13589,0
20110330,9.0793,9.1669,8.9122,8.9737,15556,0
20110331,9.862,9.862,9.2364,9.4771,19158,0
20110401,9.862,9.862,9.2478,9.2478,26375,0
20110404,8.9296,9.3244,8.9296,9.0177,14991,0
20110405,9.009,9.633,9.009,9.3058,4683,0
20110406,9.589,9.589,9.3604,9.4572,51014,0
20110407,9.0793,9.767,9.0793,9.722,51545,0
20110408,9.74,9.896,9.563,9.74,8513,0
20110411,9.4842,9.677,9.4572,9.4572,26388,0
20110412,10.052,10.052,9.2393,9.2478,15578,0
20110413,9.896,9.896,9.563,9.616,10772,0
20110414,9.2985,9.775,9.0967,9.581,21913,0
20110415,9.722,9.722,9.4572,9.686,25437,0
20110418,9.536,9.589,9.2478,9.528,11733,0
20110419,9.589,9.589,9.502,9.528,15888,0
20110420,9.625,9.731,9.589,9.633,5556,0
20110421,9.3604,9.853,9.3604,9.853,6884,0
20110425,9.722,9.878,9.554,9.767,4106,0
20110426,9.844,9.853,9.633,9.668,13944,0
20110427,9.704,9.878,9.695,9.862,5268,0
20110428,9.94,9.94,9.775,9.818,5594,0
20110429,9.701,9.934,9.611,9.611,10501,0
20110502,9.862,9.862,9.589,9.759,28764,0
20110503,9.743,9.762,9.1586,9.68,38199,0
20110504,9.651,9.695,9.3244,9.695,8511,0
20110505,9.2729,9.574,9.1942,9.2896,20437,0
20110506,9.1846,9.4057,9.0959,9.4057,29998,0
20110509,9.3784,9.4224,9.2393,9.4224,12475,0
20110510,9.3963,9.686,9.3963,9.686,6518,0
20110511,9.68,9.882,9.582,9.582,8071,0
20110512,9.589,9.775,9.545,9.589,13564,0
20110513,9.555,9.743,9.522,9.725,8261,0
20110516,9.607,9.607,9.2393,9.3244,23185,0
20110517,9.2809,9.4952,9.2393,9.4324,9937,0
20110518,9.4761,9.671,9.2478,9.671,8452,0
20110519,9.635,9.725,9.504,9.68,6858,0
20110520,9.698,9.891,9.2896,9.4324,17338,0
20110523,9.2478,9.68,9.2393,9.3428,11014,0
20110524,9.2554,9.547,9.2478,9.529,17887,0
20110525,9.3972,9.522,9.2393,9.4952,10428,0
20110526,9.4852,9.504,9.2393,9.2393,10171,0
20110527,9.2994,9.734,9.2994,9.522,25477,0
20110531,9.639,9.739,9.55,9.559,29979,0
20110601,9.547,9.813,8.9723,9.2634,26125,0
20110602,9.2634,9.716,8.981,9.2896,38123,0
20110603,9.0784,9.3604,8.8484,9.3331,27313,0
20110606,9.2296,9.2296,8.7155,8.8042,16611,0
20110607,8.8484,9.734,8.6535,8.8042,23493,0
20110608,8.4059,8.9898,8.1939,8.415,37974,0
20110609,8.574,8.5919,8.2732,8.2997,25024,0
