Date,Open,High,Low,Close,Volume,OpenInt
20120928,12,14.85,12,14.16,9749470,0
20121001,14.49,15.25,13.8,13.95,618632,0
20121002,13.95,14.34,13.53,13.69,306717,0
20121003,13.64,13.95,13.4,13.51,158892,0
20121004,13.64,14.22,13.33,13.6,281734,0
20121005,13.6,13.87,13.4,13.6,141728,0
20121008,13.6,13.9,13.51,13.67,50048,0
20121009,13.85,13.85,13.51,13.55,90328,0
20121010,13.49,13.75,13.49,13.51,71980,0
20121011,13.48,13.7,13.46,13.56,90239,0
20121012,13.6,13.739,13.6,13.64,56919,0
20121015,13.81,14.09,13.7,13.96,93415,0
20121016,14.29,14.29,13.89,14.01,58673,0
20121017,14.29,14.29,13.95,14.1,81687,0
20121018,14.2,14.87,13.96,14.69,100335,0
20121019,14.61,14.99,14.02,14.22,245358,0
20121022,14.74,14.95,14.05,14.89,129839,0
20121023,14.7,14.86,14.5,14.71,128501,0
20121024,14.89,14.972,14.07,14.4,33974,0
20121025,14.23,14.43,14.15,14.29,49833,0
20121026,14.53,14.53,14.16,14.2,52149,0
20121031,14.33,14.5,12.54,12.98,94636,0
20121101,13.2,13.63,13.2,13.6,64220,0
20121102,13.515,13.568,12.88,12.98,116878,0
20121105,13.23,13.42,12.08,12.42,89007,0
20121106,13.43,13.43,12.615,13.25,74671,0
20121107,13.25,13.55,13.05,13.08,66611,0
20121108,13.08,13.08,11.071,11.55,120615,0
20121109,11.59,12.21,11.26,11.85,458529,0
20121112,12,12.24,11.5,11.75,198070,0
20121113,11.36,12.07,11.19,11.94,55746,0
20121114,11.79,12.175,11.7,12.04,33613,0
20121115,12.02,12.03,11.67,11.91,103836,0
20121116,12,12.41,11.91,12.3,88200,0
20121119,12.37,12.37,11.95,12.15,125700,0
20121120,12.14,12.3,11.95,12.16,79180,0
20121121,12.22,12.345,12.15,12.16,35156,0
20121123,12.1,12.32,12,12.29,20603,0
20121126,12.23,12.67,12.01,12.41,87084,0
20121127,12.52,12.69,12.05,12.21,50339,0
20121128,12.21,12.49,11.91,12.43,56629,0
20121129,12.5,13.6,12.14,13.18,74162,0
20121130,13.48,13.5,12.52,13.38,36738,0
20121203,13.44,13.75,13.38,13.38,80802,0
20121204,13.37,13.37,12.74,12.88,25537,0
20121205,12.83,13.5,12.74,12.91,24616,0
20121206,12.91,13.11,12.1,12.2,46017,0
20121207,12.02,12.36,12,12.1,51756,0
20121210,12,12.02,11.22,11.34,76343,0
20121211,11.45,11.99,11.16,11.69,113849,0
20121212,11.79,12.42,11.7,12.39,44476,0
20121213,12.44,12.87,12.43,12.67,35627,0
20121214,13.31,13.31,12.51,12.865,62137,0
20121217,13.34,13.4,12.55,13.21,35695,0
20121218,13.22,13.56,12.51,13.41,128350,0
20121219,13.41,14,12.5,13.76,136274,0
20121220,13.78,14.2,12.74,13.58,172731,0
20121221,13,13.95,12.72,13.85,1111386,0
20121224,13.98,14,12.98,13.7,44012,0
20121226,13.7,13.904,13.03,13.17,37827,0
20121227,13.22,13.97,13.14,13.67,53699,0
20121228,13.98,14.54,13.64,14.37,61197,0
20121231,14.19,14.88,13.79,14.79,131481,0
20130102,15.1,15.824,14.741,15.61,117346,0
20130103,15.58,15.84,14.68,15.5,62828,0
20130104,15.6,16.18,15.41,16.05,96620,0
20130107,15.87,16.38,15.8,16.24,32067,0
20130108,16.25,16.34,14.97,15.79,124883,0
20130109,15.79,16.33,15.68,15.97,42970,0
20130110,16.1,16.27,15.46,16.17,64242,0
20130111,16.15,16.28,14.18,15.7,61468,0
20130114,15.73,15.73,15.05,15.58,72061,0
20130115,15.45,15.68,15.25,15.29,37717,0
20130116,15.17,15.29,14.439,14.84,115225,0
