Date,Open,High,Low,Close,Volume,OpenInt
20100210,15,15,15,15,0,0
20100211,15,15.55,14.85,15,5815701,0
20100212,15,15.05,14.3,14.55,859275,0
20100216,14.75,14.75,14.49,14.63,384924,0
20100217,14.74,14.74,14.5,14.59,264836,0
20100218,14.56,14.87,14.5,14.51,1258094,0
20100219,14.5,14.6,13.86,13.9,669919,0
20100222,13.85,14.42,13.33,13.6,154821,0
20100223,13.5,13.58,12.77,12.98,503948,0
20100224,12.87,13.7,12.77,13.57,196693,0
20100225,13.2,14.75,13.2,14.29,155542,0
20100226,14.41,14.7,14,14.6,211145,0
20100301,14.92,14.92,14.46,14.69,82900,0
20100302,14.58,14.9,14.28,14.46,100990,0
20100303,14.53,14.86,14.06,14.24,208348,0
20100304,14.48,14.69,14.16,14.56,278144,0
20100305,14.68,15.26,14.5,15.23,280759,0
20100308,15.25,15.39,15.1,15.39,125947,0
20100309,15.22,15.39,14.91,15.06,106598,0
20100310,15.1,15.4,14.92,15.4,57075,0
20100311,15.23,15.62,15.16,15.56,80602,0
20100312,15.52,15.67,15.13,15.51,151225,0
20100315,15.29,15.3,14.59,14.96,94073,0
20100316,14.96,16.04,14.96,15.95,279852,0
20100317,15.85,17.74,15.76,17.25,218263,0
20100318,17.19,17.19,16.24,16.62,48374,0
20100319,16.62,17.05,16.36,16.56,102575,0
20100322,16.59,16.87,16.25,16.76,163271,0
20100323,17.21,17.25,16.6,16.67,118967,0
20100324,16.53,16.74,16.05,16.3,85577,0
20100325,16.34,16.5,15.78,16.05,154503,0
20100326,16.01,16.71,15.96,16.41,27225,0
20100329,16.37,16.94,16.37,16.92,64141,0
20100330,16.86,17.2,16.84,16.89,105502,0
20100331,16.81,17.68,16.8,17.01,1438709,0
20100401,17.01,17.25,16.33,16.69,167033,0
20100405,16.71,18.25,16.71,17.45,156653,0
20100406,17.31,18,17.16,17.8,64874,0
20100407,17.83,17.91,17.35,17.44,71234,0
20100408,17.32,17.99,17.01,17.09,85587,0
20100409,17.08,17.25,16.29,16.46,154693,0
20100412,16.39,16.7,16,16.22,95116,0
20100413,16.3,16.5,16.08,16.14,117222,0
20100414,16.31,16.49,16.23,16.46,316997,0
20100415,16.4,17.03,16.37,16.88,164827,0
20100416,16.88,17.17,16.66,16.67,89013,0
20100419,16.62,16.65,15.52,16.14,80978,0
20100420,16.23,16.41,16.01,16.02,15861,0
20100421,16.01,16.22,15.5,15.69,71698,0
20100422,15.49,16.2,15.28,16.1,70315,0
20100423,16.07,16.62,15.49,16.61,69534,0
20100426,16.55,16.59,16,16.33,38253,0
20100427,16.32,16.64,16,16,64541,0
20100428,16.44,17,16.17,16.44,143188,0
20100429,16.52,16.95,16.28,16.89,91377,0
20100430,16.84,17.1,16.74,16.89,76097,0
20100503,16.88,17.74,16.88,17.64,42808,0
20100504,17.3,17.7,16.85,16.95,258489,0
20100505,16.9,16.93,15.5,15.72,100148,0
20100506,15.96,16.79,14.46,15.51,122439,0
20100507,15.51,16.36,15.27,15.43,66229,0
20100510,16.56,17.01,16.02,16.96,61778,0
20100511,16.81,17.01,16.38,16.52,64870,0
20100512,16.57,17.23,16.52,17.15,66652,0
20100513,17.15,17.32,16.47,16.7,95345,0
20100514,16.6,16.95,16.07,16.35,83958,0
20100517,16.46,16.9,16.22,16.84,66483,0
20100518,17.01,17.79,16.3,16.61,135495,0
20100519,16.38,16.84,15.77,16.28,93548,0
20100520,16.2,16.2,15.15,15.28,77378,0
20100521,15.07,15.19,14.57,14.99,254395,0
20100524,14.9,15.05,14.67,14.75,94744,0
20100525,14.5,15.12,14.5,14.92,147290,0
20100526,15.18,15.23,14.8,14.96,104998,0
20100527,15.29,15.48,14.62,14.81,249606,0
20100528,14.77,14.82,13.82,13.89,1145703,0
20100601,13.75,14.22,13.61,13.8,296343,0
20100602,13.96,14.23,13.5,13.95,236416,0
20100603,13.89,14.7,13.59,14.01,464327,0
20100604,13.7,14.08,13.16,13.25,291675,0
20100607,13.29,13.59,12.59,12.83,420203,0
20100608,12.88,13.19,11.83,12,572010,0
20100609,12.03,12.65,11.98,12.14,297356,0
20100610,12.27,12.93,12.03,12.28,430479,0
20100611,12.17,12.49,12.13,12.45,189437,0
20100614,12.62,12.71,11.74,11.83,219566,0
20100615,12.05,12.35,11.81,11.93,225974,0
20100616,11.93,12.23,11.85,12.01,364944,0
20100617,12.04,12.39,11.97,12.33,97263,0
20100618,12.5,13.21,12.42,12.8,536425,0
20100621,13.56,13.85,13,13.01,212516,0
20100622,13.02,13.38,12.8,12.85,261032,0
20100623,12.79,13.25,12.6,12.65,222264,0
20100624,12.6,12.9,12.2,12.35,167707,0
20100625,12.45,12.7,12,12.24,2340813,0
20100628,12.24,12.57,12.08,12.2,144866,0
20100629,12,12.01,11.37,11.88,334444,0
20100630,11.91,11.91,11.49,11.51,239980,0
20100701,11.5,11.5,10.55,11,387783,0
20100702,11.13,11.15,10.9,10.98,111278,0
20100706,11.13,11.25,10.51,10.8,156523,0
20100707,10.88,11.87,10.8,11.85,103082,0
20100708,12.14,12.37,11.46,11.81,88516,0
20100709,11.82,12.02,11.26,11.99,87727,0
20100712,11.98,11.98,11.33,11.5,138332,0
20100713,11.69,11.96,11.29,11.93,75170,0
20100714,11.87,12.23,11.86,12.04,96975,0
20100715,12.02,12.2,11.89,12,87998,0
20100716,11.87,11.99,11.73,11.96,144484,0
20100719,11.97,12.11,11.84,12.11,191439,0
20100720,11.99,12.38,11.71,12.36,66835,0
20100721,12.48,12.48,11.85,12,43004,0
20100722,12.21,12.71,11.86,12.69,34239,0
20100723,12.62,13.02,12.25,13.01,84758,0
20100726,13.11,13.11,12.9,13.09,27960,0
20100727,13.16,13.18,12.55,12.98,176620,0
20100728,12.91,13.05,12.6,12.82,56198,0
20100729,12.61,12.61,12.28,12.43,25025,0
20100730,12.25,12.67,12.02,12.05,50784,0
20100802,12.3,12.31,11.57,11.59,230170,0
20100803,11.15,11.5,11.04,11.07,123197,0
20100804,11.17,11.67,11.17,11.67,111331,0
20100805,11.6,11.92,10.6,10.61,1180398,0
20100806,10.98,10.98,9.91,10.07,646484,0
20100809,10.07,10.45,9.93,10.01,402038,0
20100810,11.42,11.58,10.5,10.63,1483446,0
20100811,10.55,10.63,9.79,10.41,615565,0
20100812,10.19,11.11,10.07,10.64,176116,0
20100813,10.63,10.85,10.3,10.56,36848,0
20100816,10.47,10.73,10.42,10.64,116101,0
20100817,10.73,10.85,10.38,10.66,256901,0
20100818,10.68,10.92,10.44,10.9,156425,0
20100819,10.87,11.24,10.79,11,1042531,0
20100820,11.04,11.21,10.86,10.99,90710,0
20100823,11.01,11.01,10.5,10.75,171091,0
20100824,10.75,10.88,10.55,10.55,115160,0
20100825,10.5,10.69,10.35,10.55,207738,0
20100826,10.62,10.66,10.46,10.49,58935,0
20100827,10.39,10.63,10.16,10.54,205234,0
20100830,10.46,10.7,10.46,10.5,177498,0
20100831,10.5,10.81,10.45,10.73,289057,0
20100901,11,11.27,10.93,11.25,514959,0
20100902,11.22,11.94,11.08,11.71,482798,0
20100903,11.99,12.42,11.55,12.42,256331,0
20100907,12.4,12.4,11.93,11.98,110092,0
20100908,12.02,12.27,11.81,12.25,454597,0
20100909,12.29,12.38,12.18,12.23,306797,0
20100910,12.24,12.27,12.15,12.16,87407,0
20100913,12.18,13.09,12.16,13.02,137140,0
20100914,13.08,13.27,13.05,13.12,79089,0
20100915,12.94,13.51,12.94,13.51,180759,0
20100916,13.48,14.37,13.47,14.32,199359,0
20100917,14.4,14.9,13.94,14.66,200471,0
20100920,14.5,15.51,14.5,15.11,352391,0
20100921,15.05,15.16,14.92,15,557431,0
20100922,14.83,14.98,14.4,14.54,262216,0
20100923,14.45,14.56,14.26,14.35,81265,0
20100924,14.51,14.65,14.04,14.52,96563,0
20100927,14.5,14.57,14.19,14.27,149787,0
20100928,14.27,14.27,13.79,14,72113,0
20100929,13.98,14.1,13.92,14.03,117505,0
20100930,14.18,15.16,14,14.99,381786,0
20101001,15.07,15.5,15,15.26,230357,0
20101004,15.14,15.35,15.1,15.2,78569,0
20101005,15.37,15.74,15.21,15.6,118604,0
20101006,15.6,15.6,15.13,15.26,84254,0
20101007,15.32,15.32,14.57,14.81,60018,0
20101008,14.89,15.74,14.53,15.59,198568,0
20101011,15.67,15.76,15.19,15.65,68554,0
20101012,15.55,16.16,15.1,16.16,144832,0
20101013,16.21,16.25,15.8,16.12,197107,0
20101014,14.25,14.6,13.91,14.26,729675,0
20101015,14.5,15.39,14.5,15.07,596493,0
20101018,15.1,15.7,14.76,15.57,147969,0
20101019,15.29,15.54,15,15.38,106904,0
20101020,15.47,15.69,15.25,15.54,141277,0
20101021,15.65,15.77,15.15,15.62,46154,0
20101022,15.6,15.78,15.37,15.6,82986,0
20101025,15.72,15.75,15.5,15.55,50554,0
20101026,15.5,15.84,15.26,15.6,125367,0
20101027,15.61,15.82,15.5,15.74,67804,0
20101028,15.85,15.95,15.48,15.54,261868,0
20101029,15.53,15.57,15.06,15.53,108655,0
20101101,15.55,15.77,15.25,15.51,310653,0
20101102,15.68,15.76,15.5,15.71,184066,0
20101103,15.8,15.99,15.33,15.5,159312,0
20101104,16.5,17,15.76,16.03,2231807,0
20101105,16.08,16.08,15.76,16.01,622364,0
20101108,15.96,16.64,15.53,16.48,230948,0
20101109,16.58,17.09,16.25,17.03,243663,0
20101110,17,17.08,16.75,17,318855,0
20101111,16.87,18.16,16.75,17.95,800244,0
20101112,17.84,18.38,17.7,18.2,224225,0
20101115,18.2,19.16,18.1,19.02,589584,0
20101116,18.83,19.13,18.33,18.71,553648,0
20101117,18.76,18.98,18.43,18.74,121488,0
20101118,19,19.7,18.96,19.35,366566,0
20101119,19.4,19.46,19.06,19.2,134117,0
20101122,19.14,19.36,18.66,19.36,162871,0
20101123,19.1,19.46,18.98,19.4,198448,0
20101124,19.55,19.56,19.17,19.49,122181,0
20101126,19.48,19.48,19.37,19.47,58618,0
20101129,19.41,19.75,19.3,19.49,227546,0
20101130,19.4,20,19.33,20,1274255,0
20101201,20,20.22,19.79,20.1,732001,0
20101202,20.31,20.65,19.93,20.61,367509,0
20101203,20.61,21,20.61,20.73,263983,0
20101206,20.51,20.75,20.43,20.64,142047,0
20101207,21,21,20.1,20.95,195654,0
20101208,20.99,21.09,20.73,21.05,260706,0
20101209,21.2,21.38,20.62,20.83,696950,0
20101210,20.86,21.26,20.86,21.23,176402,0
20101213,21.29,21.29,20.91,21.04,109320,0
20101214,21.04,21.2,20.7,20.78,168999,0
20101215,20.75,20.77,20.12,20.33,105095,0
20101216,20.34,21,20.01,20.86,108059,0
20101217,20.75,20.8,19.78,20.27,335115,0
20101220,20.1,20.82,20.1,20.44,157460,0
20101221,20.62,20.67,20.37,20.46,155866,0
20101222,20.45,20.67,19.7,19.75,144227,0
20101223,19.71,20.18,19.64,20.02,75328,0
20101227,19.7,20.01,19.62,19.83,31072,0
20101228,19.8,19.94,19.03,19.12,111228,0
20101229,19.32,19.56,19.11,19.48,84423,0
20101230,19.49,19.52,19.02,19.08,39288,0
20101231,19.19,19.64,19.01,19.21,86078,0
20110103,19.44,19.53,19.06,19.26,294539,0
20110104,19.32,19.56,18.92,19.5,131453,0
20110105,19.5,20.49,19.43,20.42,154612,0
20110106,20.4,22,20.29,21.96,840420,0
20110107,22,22.5,21.73,22.1,1181693,0
20110110,21.89,22,21.55,21.89,265359,0
20110111,21.94,22.45,21.91,22.22,289239,0
20110112,22.5,23.4,22.5,23.03,500980,0
20110113,22.5,23.27,22.34,23.03,779889,0
20110114,23,23,22.57,22.73,387944,0
20110118,22.73,22.74,22.45,22.7,487627,0
20110119,22.56,22.72,22.24,22.3,338199,0
20110120,22.08,22.17,20.97,21.97,443954,0
20110121,21.72,22.36,20.96,22.32,188433,0
20110124,22.35,23.69,22.22,22.53,236604,0
20110125,22.42,22.42,22.13,22.23,230103,0
20110126,22.13,22.63,21.93,22.5,194226,0
20110127,22.41,22.6,22.21,22.51,141353,0
20110128,22.43,22.5,22.26,22.43,464336,0
20110131,22.34,22.64,22.26,22.51,460571,0
20110201,22.59,22.92,22.39,22.82,296086,0
20110202,22.85,23.18,22.85,23.12,678926,0
20110203,23.99,23.99,22.49,23.34,592695,0
20110204,23.49,23.59,23.21,23.39,435975,0
20110207,23.36,23.57,23.21,23.55,281491,0
20110208,23.55,23.57,23.1,23.3,142773,0
20110209,23.26,23.48,22.99,23.07,117810,0
20110210,22.96,23.3,22.72,23.25,117391,0
20110211,23.25,23.39,23.11,23.25,78164,0
20110214,23.3,24.91,23.22,24.12,794515,0
