Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.5057,7.7232,7.4657,7.6475,123911,0
20050228,7.5811,7.6698,7.4256,7.4256,90255,0
20050301,7.4125,7.5764,7.4125,7.5365,259236,0
20050302,7.6567,7.661,7.4611,7.5365,211231,0
20050303,7.5365,8.2381,7.5365,8.0515,244693,0
20050304,8.1403,8.3401,8.0339,8.1315,218970,0
20050307,8.3357,8.3401,8.0427,8.0649,230199,0
20050308,7.9807,8.1848,7.9673,8.0605,95250,0
20050309,7.9495,8.7922,7.9362,8.4067,369757,0
20050310,8.2423,8.8199,8.2423,8.7128,561126,0
20050311,8.6862,8.8373,8.6862,8.7843,264141,0
20050314,8.8677,9.1779,8.753,8.904,625273,0
20050315,8.8551,8.8995,8.4465,8.513,426634,0
20050316,8.5439,8.5486,8.3842,8.4332,291667,0
20050317,8.3223,8.5087,8.1095,8.4643,183130,0
20050318,8.3177,8.5439,8.2381,8.3089,222518,0
20050321,8.2156,8.4955,8.1759,8.3976,154639,0
20050322,8.389,8.5264,8.38,8.4155,68738,0
20050323,8.4155,8.4155,8.1669,8.3133,143965,0
20050324,8.3446,8.4067,8.2423,8.2736,85384,0
20050328,8.2069,8.3488,8.2069,8.3488,64176,0
20050329,8.198,8.3488,8.1315,8.1891,194036,0
20050330,8.1623,8.4379,8.1623,8.4332,239330,0
20050331,8.4243,8.4379,8.3401,8.4109,149522,0
20050401,8.4109,8.5439,8.2869,8.3311,105578,0
20050404,8.269,8.5664,8.1669,8.5664,159901,0
20050405,8.5087,8.7485,8.5087,8.6908,156678,0
20050406,8.6686,8.9659,8.6686,8.8336,194403,0
20050407,8.9124,8.98,8.8723,8.9611,93951,0
20050408,8.98,9.0027,8.4732,8.6819,154217,0
20050411,8.7395,8.7706,8.3047,8.5439,70719,0
20050412,8.5618,9.0027,8.5043,8.8468,162076,0
20050413,8.7612,9.063,8.6554,8.7174,152230,0
20050414,8.7174,8.7576,8.4955,8.5043,117462,0
20050415,8.5618,8.6908,8.2026,8.2957,177035,0
20050418,8.3177,8.4643,8.1048,8.42,114892,0
20050419,8.6419,8.7262,8.5576,8.7262,63840,0
20050420,8.6508,8.6686,8.0293,8.2823,177037,0
20050421,8.3533,8.3932,8.1583,8.3401,82345,0
20050422,8.2512,8.2512,7.6652,7.8162,187192,0
20050425,7.7186,8.1003,7.6567,8.0737,177663,0
20050426,8.1135,8.1135,7.7896,7.8873,80669,0
20050427,7.8162,7.9317,7.51,7.7542,123374,0
20050428,7.7628,7.8873,7.5235,7.6519,120011,0
20050429,7.7497,7.9181,7.5235,7.8475,86506,0
20050502,7.8294,8.0694,7.6965,7.8917,66891,0
20050503,7.9448,8.2603,7.9448,8.127,129870,0
20050504,8.1891,8.3757,8.0427,8.3401,92171,0
20050505,8.3622,8.4286,8.1358,8.4243,54076,0
20050506,8.4465,8.491,8.1358,8.1358,90079,0
20050509,8.1716,8.5976,8.0116,8.5399,133707,0
20050510,8.4379,8.4955,8.3223,8.3667,97280,0
20050511,8.4155,8.4332,8.2778,8.4025,63349,0
20050512,8.3757,8.4998,8.3757,8.4286,66387,0
20050513,8.5576,8.5576,8.1583,8.2869,76614,0
20050516,8.2156,8.2248,8.0649,8.2248,80037,0
20050517,8.1935,8.3223,8.1848,8.2556,53646,0
20050518,8.3622,8.753,8.2381,8.7262,102778,0
20050519,8.9753,9.679,8.8551,9.4521,574469,0
20050520,9.504,9.568,9.1489,9.517,350320,0
20050523,9.65,9.664,9.521,9.605,212860,0
20050524,9.632,9.65,9.4521,9.553,151930,0
20050525,9.614,9.614,9.2455,9.476,191951,0
20050526,9.4071,9.578,9.4071,9.578,193121,0
20050527,9.66,10.27,9.583,10.136,468386,0
20050531,10.417,10.902,10.146,10.497,877056,0
20050601,10.588,11.08,10.505,11.049,558390,0
20050602,11.039,11.175,10.924,11.088,430063,0
20050603,10.997,11.399,10.245,10.621,585074,0
20050606,10.453,10.946,10.448,10.717,289774,0
20050607,10.612,11.08,10.607,10.669,286193,0
20050608,10.674,11.41,10.584,11.269,489152,0
20050609,11.367,11.441,11.058,11.376,303838,0
20050610,11.422,11.427,11.092,11.239,153396,0
20050613,11.123,11.123,10.626,11.08,432750,0
20050614,11.115,11.201,10.915,11.063,156027,0
20050615,11.02,11.192,10.778,11.12,187906,0
20050616,11.206,11.256,10.937,11.071,183408,0
20050617,11.183,11.183,10.71,10.977,275576,0
20050620,11.005,11.123,10.962,11.015,185228,0
20050621,11.097,11.097,10.919,10.958,123801,0
20050622,10.942,11.001,10.626,10.768,241378,0
20050623,10.687,10.806,9.806,9.907,647486,0
20050624,9.832,9.852,9.2175,9.536,604462,0
20050627,9.3645,9.508,9.0497,9.2455,460124,0
20050628,9.2738,9.903,9.2738,9.843,322944,0
20050629,9.92,10.16,9.766,9.898,257381,0
20050630,9.861,10.24,9.65,9.65,173761,0
20050701,9.814,9.911,9.61,9.84,136932,0
20050705,9.719,10.103,9.719,10.093,223421,0
20050706,10.103,10.204,9.748,10.058,134545,0
20050707,9.762,10.044,9.64,9.924,150193,0
20050708,10.063,10.39,9.814,10.307,158650,0
20050711,10.408,10.841,10.394,10.621,264889,0
20050712,10.607,10.674,9.97,10.403,139530,0
20050713,10.398,10.649,10.049,10.317,185249,0
20050714,10.377,10.541,10.265,10.298,141708,0
20050715,10.165,10.523,10.132,10.448,103066,0
20050718,10.579,10.626,10.132,10.278,229329,0
20050719,10.255,10.56,10.248,10.439,128634,0
20050720,10.39,10.574,10.283,10.528,121317,0
20050721,10.541,10.564,10.223,10.312,150119,0
20050722,10.298,10.532,10.298,10.483,165748,0
20050725,10.523,10.523,10.351,10.434,92967,0
20050726,10.505,10.564,10.293,10.463,96199,0
20050727,10.505,10.564,10.361,10.528,102911,0
20050728,10.505,11.101,10.497,11.034,403771,0
20050729,11.106,11.12,10.687,10.883,166772,0
20050801,10.851,11.12,10.75,10.75,180117,0
20050802,10.783,10.902,10.413,10.463,207532,0
20050803,10.439,10.492,10.223,10.273,122664,0
20050804,10.155,10.302,9.806,9.947,260535,0
20050805,9.947,10.129,9.3088,9.701,295506,0
20050808,9.701,9.937,9.549,9.701,153713,0
20050809,9.843,9.965,9.637,9.729,94855,0
20050810,9.762,10.146,9.476,9.668,201326,0
20050811,9.578,9.66,9.3127,9.541,200942,0
20050812,9.4393,9.553,9.1915,9.504,216518,0
20050815,9.476,9.617,9.3088,9.476,155748,0
20050816,9.4263,9.4422,8.9611,8.9611,174487,0
20050817,9.0906,10.136,8.98,9.933,553792,0
20050818,9.933,9.933,9.517,9.705,340085,0
20050819,9.696,9.97,9.696,9.766,110593,0
20050822,9.866,10.093,9.655,9.857,183400,0
20050823,9.857,9.929,9.558,9.61,107208,0
20050824,9.583,9.875,9.553,9.578,115267,0
20050825,9.578,9.748,9.4571,9.526,211347,0
20050826,9.531,9.645,9.2913,9.4989,158531,0
20050829,9.517,10.27,9.491,10.248,240493,0
20050830,10.298,10.434,9.847,10.34,341415,0
20050831,10.413,10.71,10.278,10.71,368159,0
20050901,10.71,11.02,10.537,10.74,230377,0
20050902,10.786,10.942,10.505,10.564,130865,0
20050906,10.584,10.796,10.505,10.783,186927,0
20050907,10.768,11.034,10.588,10.915,211150,0
20050908,10.86,10.937,10.71,10.717,97193,0
20050909,10.806,10.937,10.683,10.932,213940,0
20050912,10.897,11.123,10.786,11.115,254839,0
20050913,11.039,11.092,10.759,10.993,128336,0
20050914,10.997,11.183,10.874,11.088,294356,0
20050915,11.092,11.201,10.851,10.98,277093,0
20050916,11.071,11.469,11.02,11.41,786897,0
20050919,11.417,11.532,11.132,11.337,612028,0
20050920,11.36,11.607,11.234,11.417,392669,0
20050921,11.51,11.581,11.211,11.221,234518,0
20050922,11.101,11.652,11.101,11.45,228547,0
20050923,11.395,12.131,11.395,11.869,350064,0
20050926,11.989,12.223,11.869,12.051,382327,0
20050927,12.109,12.351,11.864,12.346,296860,0
20050928,12.287,12.436,12.192,12.346,287762,0
20050929,12.44,12.703,12.205,12.693,319438,0
20050930,12.756,12.756,11.939,12.051,363524,0
20051003,11.972,12.355,11.864,12.299,136886,0
20051004,12.393,12.468,12.122,12.157,249852,0
20051005,12.105,12.473,12.029,12.114,212746,0
20051006,12.069,12.223,11.251,11.694,366306,0
20051007,11.636,12.109,11.636,11.914,88194,0
20051010,11.992,12.174,11.836,12.118,95252,0
20051011,12.131,12.192,11.905,11.957,105946,0
20051012,11.962,11.992,11.698,11.821,116732,0
20051013,11.602,11.85,11.536,11.762,186624,0
20051014,11.914,11.944,11.741,11.939,147852,0
20051017,11.939,12.161,11.926,12.144,186163,0
20051018,12.17,12.17,12.041,12.157,157263,0
20051019,12.161,12.342,11.878,12.282,225527,0
20051020,12.355,12.42,12.152,12.355,238758,0
20051021,12.355,12.355,11.896,12.055,301439,0
20051024,12.14,12.187,11.976,12.083,304545,0
20051025,12.083,12.083,11.367,11.841,317560,0
20051026,11.869,11.989,11.698,11.825,138522,0
20051027,11.829,11.845,11.376,11.493,110311,0
20051028,11.497,11.944,11.497,11.905,199343,0
20051031,12.355,13.177,12.126,12.95,930956,0
20051101,13.04,13.058,12.44,12.497,481977,0
20051102,12.669,13.199,12.566,13.151,357604,0
20051103,13.355,13.592,12.981,13.156,310740,0
20051104,13.291,13.488,13.161,13.488,224778,0
20051107,13.613,13.657,13.37,13.475,160071,0
20051108,13.483,13.483,12.683,12.914,272649,0
20051109,12.918,13.355,12.417,13.145,280714,0
20051110,13.145,13.231,12.539,13.045,287523,0
20051111,12.959,13.291,12.9,13.253,108079,0
20051114,13.253,13.253,12.586,12.788,173028,0
20051115,12.737,12.973,12.424,12.477,187884,0
20051116,12.459,12.59,11.341,11.514,1013512,0
20051117,11.914,12.277,11.914,12.273,541268,0
20051118,12.454,12.844,12.36,12.793,240477,0
20051121,12.737,13.365,12.737,13.299,402316,0
20051122,13.323,13.341,13.028,13.145,183493,0
20051123,13.076,13.094,12.769,12.823,84266,0
20051125,12.922,12.968,12.686,12.849,77801,0
20051128,12.764,12.811,12.429,12.489,206425,0
20051129,12.502,12.863,12.424,12.57,115686,0
20051130,12.526,12.715,12.096,12.539,406733,0
20051201,12.728,13.161,12.728,13.13,179791,0
20051202,13.13,13.217,12.858,13.036,117002,0
20051205,13.107,13.17,12.868,13.054,99904,0
20051206,13.014,13.13,12.922,13.036,168463,0
20051207,13.076,13.094,12.909,13,134424,0
20051208,12.779,13.009,12.683,12.863,136979,0
20051209,12.973,13.156,12.863,13.121,119301,0
20051212,13.156,13.253,12.918,12.941,94984,0
20051213,12.742,13.112,12.614,13.094,154844,0
20051214,13.161,13.565,13.099,13.37,251696,0
20051215,13.47,13.496,12.83,13.099,153241,0
20051216,13.145,13.4,13.084,13.177,321809,0
20051219,13.316,13.316,12.669,12.769,126516,0
20051220,12.881,12.881,12.398,12.398,200949,0
20051221,12.331,12.647,12.295,12.384,153976,0
20051222,12.511,12.526,12.331,12.417,143273,0
