Date,Open,High,Low,Close,Volume,OpenInt
20110805,198,216,180,181.8,183,0
20110808,189,189,163.8,169.2,79,0
20110809,180,192.6,167.4,181.8,262,0
20110810,180,192.6,180,192.6,55,0
20110811,189,194.4,189,194.4,29,0
20110812,196.2,205.2,196.2,205.2,57,0
20110815,203.4,226.8,203.4,216,141,0
20110816,216,216,216,216,124,0
20110817,203.4,214.2,199.8,207,130,0
20110818,208.8,225,199.8,217.8,162,0
20110819,221.4,226.8,207,214.2,70,0
20110822,216,226.8,201.6,205.2,45,0
20110823,205.2,248.4,205.2,243,413,0
20110824,250.2,282.6,243,282.6,381,0
20110825,293.4,320.4,255.6,270,257,0
20110826,262.8,277.2,262.8,273.6,42,0
20110829,280.8,289.8,275.4,282.6,66,0
20110830,300.6,309.6,291.6,298.8,37,0
20110831,307.8,307.8,275.4,275.4,31,0
20110901,270,270,259.2,259.2,38,0
20110902,261,261,244.58,244.58,52,0
20110906,239.4,246.6,226.8,226.8,63,0
20110907,225,255.6,221.4,225,96,0
20110908,234,234,232.2,234,1,0
20110909,239.4,248.4,228.6,230.4,38,0
20110912,225,230.4,217.8,217.8,45,0
20110913,212.4,221.4,208.8,208.8,69,0
20110914,208.8,225,208.8,219.6,96,0
20110915,205.2,216,205.2,216,51,0
20110916,216,216,201.6,205.2,53,0
20110919,225,225,189,192.6,157,0
20110920,198,216,190.8,207,218,0
20110921,201.6,208.8,199.8,199.8,71,0
20110922,187.2,212.4,180,185.4,144,0
20110923,189,201.6,180,181.8,166,0
20110926,183.6,183.6,180,181.8,38,0
20110927,189,212.4,189,212.4,34,0
20110928,207,210.6,194.4,194.4,33,0
20110929,201.6,201.6,180,180,115,0
20110930,180,192.59,180,183.6,65,0
20111003,180,181.8,180,180,101,0
20111004,176.4,198,165.6,189,82,0
20111005,194.4,199.8,185.4,199.8,22,0
20111006,192.6,192.6,192.6,192.6,7,0
20111007,192.6,194.4,192.6,192.6,29,0
20111010,190.8,190.8,171,183.6,131,0
20111011,194.4,246.6,180,196.2,920,0
20111012,198,225,196.2,216,101,0
20111013,180,181.8,153,167.4,1189,0
20111014,172.8,172.8,144,147.6,677,0
20111017,154.8,162,149.4,149.4,311,0
20111018,149.4,151.2,144,151.2,123,0
20111019,144,145.8,135,144,437,0
20111020,138.6,144,135,138.6,15,0
20111021,136.8,147.6,135,147.6,23,0
20111024,144,147.6,136.8,144,71,0
20111025,142.2,142.2,135,135,86,0
20111026,135,135,127.8,131.4,224,0
20111027,142.2,142.2,124.2,131.4,199,0
20111028,127.8,131.4,126,129.6,117,0
20111031,126,133.2,124.2,126,170,0
20111101,126,131.4,122.4,129.6,433,0
20111102,124.2,126,120.6,120.6,100,0
20111103,120.6,127.8,118.8,126,75,0
20111104,126,133.2,118.8,122.42,105,0
20111107,120.6,124.2,118.8,124.2,42,0
20111108,120.6,126,120.6,126,31,0
20111109,126,126,113.4,118.8,129,0
20111110,122.4,122.4,113.4,115.2,56,0
20111111,113.4,113.4,86.4,86.4,1234,0
20111114,88.2,91.8,81,81,258,0
20111115,86.4,86.4,79.2,79.2,201,0
20111116,77.4,84.6,75.6,75.6,171,0
20111117,75.6,84.6,75.6,82.8,273,0
20111118,88.2,88.2,73.8,75.6,153,0
20111121,75.6,77.4,72,72,158,0
20111122,73.8,73.8,64.8,66.6,688,0
20111123,48.6,50.4,36,37.8,6115,0
20111125,41.4,45,37.8,39.6,2278,0
20111128,45,55.8,41.4,46.8,2809,0
20111129,45,48.6,45,46.8,668,0
20111130,48.6,54,46.8,48.6,309,0
20111201,54,54,45,45,475,0
20111202,50.4,61.2,46.8,50.4,2025,0
20111205,50.4,59.4,48.6,48.6,802,0
20111206,50.4,57.204,36,45,1229,0
20111207,41.4,48.6,41.4,43.2,271,0
20111208,46.8,46.8,39.636,41.4,414,0
20111209,48.6,54,41.4,41.4,704,0
20111212,46.8,48.6,45,45,278,0
20111213,45,52.2,45,52.2,540,0
20111214,50.4,54,43.2,48.6,214,0
20111215,45,50.4,45,46.8,150,0
20111216,48.6,50.4,44.982,45,405,0
20111219,48.6,48.6,43.2,43.2,415,0
20111220,45,46.8,39.6,41.4,536,0
20111221,41.4,45,41.4,45,249,0
20111222,43.2,45,39.6,40.5,505,0
20111223,45,45,36.36,45,1363,0
20111227,41.4,45,37.8,39.6,1251,0
20111228,39.6,39.618,37.8,37.818,1163,0
20111229,39.6,39.6,23.4,34.2,1886,0
20111230,32.4,34.2,30.6,32.4,845,0
20120103,32.4,36,32.4,34.2,464,0
20120104,32.4,34.2,29.178,32.4,279,0
20120105,34.2,35.1,32.4,32.4,370,0
20120106,34.2,36,32.4,35.1,536,0
20120109,34.2,34.2,32.4,34.2,331,0
20120110,36,36,34.2,34.2,299,0
20120111,36,38.7,34.2,37.8,414,0
20120112,37.8,41.4,37.8,37.8,126,0
20120113,41.382,41.382,32.4,39.6,493,0
20120117,40.428,52.2,40.428,46.44,1893,0
20120118,46.8,49.68,40.05,40.14,602,0
20120119,36,45,36,43.02,454,0
20120120,43.2,45,41.4,43.2,271,0
20120123,45,46.8,43.2,43.2,181,0
20120124,46.8,55.8,44.1,48.6,583,0
20120125,54,99,54,99,17846,0
20120126,109.8,135,74.7,77.4,22696,0
20120127,72,111.6,66.6,79.2,11817,0
20120130,77.4,81,66.582,70.2,2408,0
20120131,77.4,78.3,64.818,68.4,1987,0
20120201,68.4,75.6,65.07,68.4,2495,0
20120202,64.8,70.182,59.4,59.418,1169,0
20120203,63,64.818,54.36,54.72,1559,0
20120206,55.836,71.64,55.836,60.642,3115,0
20120207,61.2,68.4,56.7,62.55,1472,0
20120208,63,65.16,58.05,64.8,750,0
20120209,68.4,68.4,62.1,62.46,369,0
20120210,68.4,68.4,62.01,64.782,619,0
20120213,64.8,88.2,64.782,67.05,6581,0
20120214,75.24,75.24,64.8,68.4,1370,0
20120215,72,75.42,60.84,70.2,1051,0
20120216,68.4,69.066,63,63,470,0
20120217,63,66.6,59.4,60.822,708,0
20120221,59.4,64.8,56.25,63,672,0
20120222,66.6,69.3,63.018,63.45,1417,0
20120223,58.32,66.582,58.32,63.846,403,0
20120224,68.4,68.4,59.4,59.4,354,0
20120227,61.2,64.782,59.4,63,421,0
20120228,66.546,66.546,60.66,60.66,368,0
20120229,62.982,62.982,57.528,59.724,380,0
20120301,57.6,59.382,55.98,55.98,331,0
20120302,55.8,64.764,55.8,55.98,779,0
20120305,57.6,62.82,55.98,61.2,550,0
20120306,61.2,61.2,56.016,59.364,152,0
20120307,57.6,60.624,56.16,60.624,944,0
20120308,57.6,57.69,54.36,55.8,476,0
20120309,54,61.2,54,55.8,159,0
20120312,58.968,58.968,52.2,52.218,347,0
20120313,52.2,52.56,45,45.54,806,0
20120314,47.52,53.82,46.8,53.316,459,0
