Date,Open,High,Low,Close,Volume,OpenInt
20050225,10.74,10.84,10.74,10.82,31791,0
20050228,10.78,10.8,10.5,10.74,74036,0
20050301,10.67,11.5,10.67,11.45,233351,0
20050302,11.31,11.72,11,11.09,310350,0
20050303,11.17,11.57,11.01,11.39,239964,0
20050304,11.55,11.57,11.14,11.26,168784,0
20050307,11.26,11.34,11.17,11.2,110841,0
20050308,11.05,11.24,11.05,11.08,81860,0
20050309,11.04,11.07,10.95,11.05,157938,0
20050310,11.07,11.07,10.84,11.02,91748,0
20050311,11,11.37,10.91,11,101394,0
20050314,10.94,11,10.75,10.95,63099,0
20050315,11.05,11.07,10.66,10.83,58278,0
20050316,10.71,11,10.7,10.75,142874,0
20050317,10.67,10.89,10.53,10.61,89283,0
20050318,10.77,10.8,10.21,10.55,226048,0
20050321,10.61,10.83,10.45,10.58,90785,0
20050322,10.49,10.75,10.46,10.53,154667,0
20050323,10.48,10.5,10.14,10.18,154994,0
20050324,10.25,10.68,10.1,10.14,146605,0
20050328,10.22,10.28,10.1,10.18,141134,0
20050329,10.19,10.28,9.97,10.01,69058,0
20050330,10.09,10.37,10.05,10.36,60822,0
20050331,10.32,10.37,10.05,10.31,71352,0
20050401,10.28,10.62,10.21,10.22,60561,0
20050404,10.27,10.34,10.05,10.29,112264,0
20050405,10.36,10.38,10.02,10.05,33790,0
20050406,10.01,10.55,10.01,10.43,85015,0
20050407,10.45,10.45,10.27,10.38,47804,0
20050408,10.38,10.38,10.05,10.12,58849,0
20050411,10.09,10.23,10,10,55932,0
20050412,10,10.1,9.85,9.97,125923,0
20050413,9.92,10.2,9.9,9.99,87580,0
20050414,9.93,10.02,9.84,9.84,46792,0
20050415,9.84,9.95,9.71,9.71,34162,0
20050418,9.8,10.11,9.77,9.9,67994,0
20050419,10.01,10.14,9.6,9.67,91868,0
20050420,9.68,9.73,9.33,9.33,117647,0
20050421,9.34,9.58,9.34,9.44,69990,0
20050422,9.39,9.52,9.35,9.38,100705,0
20050425,9.37,9.75,9.29,9.36,124065,0
20050426,9.37,9.49,9.13,9.15,120564,0
20050427,9.09,9.2,9.09,9.17,362718,0
20050428,9.09,9.14,8.88,8.88,176763,0
20050429,9.12,9.28,8.96,9.19,118089,0
20050502,9.28,9.29,9.05,9.23,48644,0
20050503,9.25,9.25,8.98,9,68171,0
20050504,9.06,9.39,9.01,9.36,86481,0
20050505,9.3,9.3,9.01,9.14,51684,0
20050506,9.23,9.23,9.05,9.09,42935,0
20050509,9.02,9.15,8.93,9,166318,0
20050510,5.92,6.4,5.6,6.22,3634881,0
20050511,6.11,6.75,6.11,6.65,851965,0
20050512,6.7,7.09,6.52,7,643562,0
20050513,7,7.23,6.9,6.96,507742,0
20050516,6.96,7.39,6.96,7.29,246235,0
20050517,7.35,7.42,7.31,7.39,140828,0
20050518,7.46,7.62,7.25,7.43,224634,0
20050519,7.47,7.75,7.45,7.52,337898,0
