Date,Open,High,Low,Close,Volume,OpenInt
20060928,15,15,15,15,0,0
20060929,15.5,16.73,15.01,15.55,8668885,0
20061002,15.69,15.69,15.4,15.47,739439,0
20061003,15.55,15.55,14.06,14.36,1790715,0
20061004,14.25,14.56,14.05,14.05,614372,0
20061005,14.05,14.18,13.18,13.64,1005072,0
20061006,13.58,13.58,12.32,12.4,811283,0
20061009,12.62,13.2,12.51,12.93,501156,0
20061010,12.8,13,12.5,12.65,258941,0
20061011,12.65,12.96,12.5,12.71,321090,0
20061012,12.69,13.39,12.65,12.9,631058,0
20061013,12.9,12.92,12.75,12.8,190119,0
20061016,12.8,12.86,12.74,12.75,274252,0
20061017,12.7,12.94,12.52,12.88,214134,0
20061018,12.89,12.9,12.8,12.8,98000,0
20061019,12.9,12.9,12.5,12.75,155281,0
20061020,12.71,12.9,12.71,12.9,96479,0
20061023,13.01,13.37,13,13.23,266002,0
20061024,13.3,13.45,13.2,13.31,64876,0
20061025,13.6,13.72,13.25,13.34,201797,0
20061026,13.49,13.5,13.2,13.4,93420,0
20061027,13.27,13.9,13.25,13.35,169601,0
20061030,13.65,13.65,13.22,13.22,56528,0
20061031,13.4,13.4,13,13.15,90308,0
20061101,13.05,13.1,12.68,12.69,209679,0
20061102,12.7,12.75,12.1,12.5,319758,0
20061103,12.58,12.58,12.3,12.35,57290,0
20061106,12.38,12.55,12.25,12.26,184775,0
20061107,12.3,12.44,12.05,12.1,155406,0
20061108,12.34,13.32,12.34,13.24,1240157,0
20061109,13.1,14.44,13.1,13.94,867072,0
20061110,14,14.73,13.93,14.65,469142,0
20061113,14.76,15.01,14.56,14.98,164600,0
20061114,15.14,15.58,15.09,15.4,354978,0
20061115,15.7,16,14.6,14.62,227950,0
20061116,14.58,14.58,14,14.29,74912,0
20061117,14.26,14.69,14.01,14.55,134278,0
20061120,14.5,14.67,14.5,14.67,26726,0
20061121,14.68,15,14.61,15,79960,0
20061122,15,15.35,14.9,15.23,55587,0
20061124,15.24,15.63,15.1,15.2,79038,0
20061127,15.25,15.25,14.75,14.8,162383,0
20061128,15.14,15.5,14.94,15.32,214460,0
20061129,15.42,15.42,15.1,15.15,81045,0
20061130,15.12,15.38,15.1,15.32,54880,0
20061201,15.5,15.73,15.1,15.7,133185,0
20061204,15.7,16.29,15.57,15.6,382325,0
20061205,15.61,15.84,15.15,15.2,75783,0
20061206,15.14,15.5,14.8,14.95,101237,0
20061207,14.83,15.11,14.83,14.92,122302,0
20061208,14.95,15.05,14.8,14.94,78614,0
20061211,14.98,15.35,14.98,15.15,194882,0
20061212,15.15,15.15,14.66,14.73,119818,0
20061213,14.95,15.09,14.76,14.91,303533,0
20061214,14.87,15,14.66,14.78,107555,0
20061215,14.76,15.31,14.7,14.91,350665,0
20061218,14.85,15.05,14.65,14.81,145125,0
20061219,14.8,14.91,14.6,14.82,141340,0
20061220,15,15,14.44,14.58,177983,0
20061221,14.75,14.75,14.43,14.48,85737,0
20061222,14.46,14.53,14.28,14.5,171801,0
20061226,14.69,14.69,14.4,14.49,84367,0
20061227,14.5,14.5,14.44,14.5,40885,0
20061228,14.6,14.83,14.47,14.78,76050,0
20061229,14.85,14.85,14.4,14.4,78351,0
20070103,14.64,14.91,14.11,14.2,134829,0
20070104,14.13,14.5,14.12,14.44,143697,0
20070105,14.49,14.88,14.14,14.65,98771,0
20070108,14.55,14.63,14.26,14.38,101963,0
20070109,14.38,14.42,13.6,13.75,226307,0
20070110,13.75,13.99,13.55,13.78,88243,0
20070111,13.98,14.13,13.81,14.09,61059,0
20070112,14.1,14.22,14.06,14.14,46473,0
20070116,14.25,14.25,13.96,14.15,140532,0
20070117,14.05,14.13,13.89,13.92,55013,0
20070118,13.94,14.05,13.47,13.8,50236,0
20070119,13.85,14.5,13.78,14.37,134368,0
20070122,14.45,15,14.35,14.72,73612,0
20070123,14.72,15.42,14.72,15.25,125087,0
20070124,15.3,15.4,14.35,14.9,462899,0
20070125,14.84,14.85,14.4,14.55,140292,0
20070126,14.8,14.8,14.13,14.23,139069,0
20070129,14.17,14.32,13.78,13.9,147760,0
20070130,14.1,14.16,13.74,13.74,178829,0
20070131,13.7,13.74,13.34,13.38,131692,0
20070201,13.5,14.12,13.24,14.1,373580,0
20070202,14.23,14.23,13.73,13.77,366830,0
20070205,13.87,13.92,13.41,13.46,113490,0
20070206,13.57,13.68,13.2,13.47,171110,0
20070207,13.39,13.98,13.26,13.98,134962,0
20070208,13.63,13.88,13.41,13.74,157066,0
20070209,16.24,16.63,14.88,15.35,3257642,0
20070212,15.28,15.75,15.28,15.48,256465,0
20070213,15.37,16.01,15.37,15.77,154613,0
20070214,15.73,16.37,15.73,16.17,472546,0
20070215,16.44,16.6,16.02,16.32,260934,0
20070216,16.34,16.98,16.22,16.64,442480,0
20070220,16.77,17.32,16.63,17.06,204190,0
20070221,17.21,18.83,17.06,18.53,618899,0
20070222,18.49,19.3,18.08,18.25,277463,0
20070223,18.18,18.23,17.86,18.04,132903,0
20070226,18.05,18.06,17.56,17.65,100814,0
20070227,17.74,17.74,16.55,16.64,250061,0
20070228,16.59,16.63,16.01,16.51,295530,0
20070301,16.67,16.69,16.01,16.65,179051,0
20070302,16.55,17.32,16.14,16.32,255834,0
20070305,16.13,16.61,16.09,16.14,158642,0
20070306,16.45,16.51,15.64,16.28,398667,0
20070307,16.23,16.27,15.72,15.86,377416,0
20070308,15.78,15.96,15.25,15.78,200573,0
20070309,15.8,16.44,15.75,15.88,61498,0
20070312,15.92,17.17,15.83,17.1,130667,0
20070313,17.1,17.1,16.24,16.35,96531,0
20070314,16.27,16.69,16.22,16.4,49002,0
20070315,16.67,16.98,16.61,16.8,88227,0
20070316,16.84,17.17,16.7,16.8,123428,0
20070319,17,17.16,16.78,17,296560,0
20070320,17,17.4,16.42,16.52,220651,0
20070321,16.66,17.1,16.5,17.08,72671,0
20070322,17.11,17.29,17,17.21,61732,0
20070323,17.14,17.14,16.99,17,112247,0
20070326,17.01,17.05,16.16,16.28,241252,0
20070327,16.26,16.37,15.82,16,203076,0
20070328,15.84,16.06,15.62,15.82,257504,0
20070329,15.83,15.95,15.65,15.7,182213,0
20070330,15.69,16.04,15.56,16.04,129875,0
20070402,16.01,16.03,15.68,16,119489,0
20070403,16.35,16.65,15.87,16.18,283259,0
20070404,16.13,16.19,15.82,15.92,38216,0
20070405,15.97,16.31,15.74,16.3,458062,0
20070409,16.21,16.93,16.12,16.85,168271,0
20070410,16.8,17.71,16.8,17.2,501999,0
20070411,17.45,17.85,16.53,16.7,91690,0
20070412,16.65,17,16.46,17,81489,0
20070413,16.95,16.95,16.31,16.49,58458,0
20070416,16.48,16.63,16.29,16.59,39456,0
20070417,16.58,16.74,16.29,16.6,93934,0
20070418,16.5,17.22,16.5,16.82,58381,0
20070419,16.82,16.83,16.39,16.41,44879,0
20070420,16.68,16.75,16.36,16.48,49270,0
20070423,16.33,16.9,16.33,16.45,36314,0
20070424,16.52,16.7,16,16.01,81234,0
20070425,16.14,16.8,16.14,16.45,47599,0
20070426,16.49,16.68,16.12,16.25,102620,0
20070427,16.25,16.61,16.21,16.51,33338,0
20070430,16.66,16.66,16.19,16.24,69974,0
20070501,16.2,16.55,15.92,16,153639,0
20070502,16.1,16.61,15.89,16.6,428229,0
20070503,16.5,16.71,16.05,16.53,356102,0
20070504,16.45,18.65,16.45,18.25,1178465,0
20070507,18.1,19.8,18.1,19.66,586930,0
20070508,18.58,19.39,18.51,18.98,637266,0
20070509,18.78,18.78,18.5,18.6,317238,0
20070510,18.46,18.59,18.25,18.36,158944,0
20070511,18.34,18.45,17.94,18.06,253475,0
20070514,18.02,18.03,17.5,17.81,205791,0
20070515,17.75,18.12,17.59,17.65,156473,0
20070516,18.24,18.24,16.87,17.55,384552,0
20070517,17.45,17.75,17.41,17.75,289037,0
20070518,17.79,18.34,17.75,18.29,221154,0
20070521,18.29,18.6,18.29,18.45,132103,0
20070522,18.4,18.87,18.01,18.4,121296,0
20070523,18.24,18.41,18,18.39,523561,0
20070524,18.33,18.51,18,18.15,235766,0
20070525,18.2,18.61,18.08,18.5,150776,0
20070529,18.45,18.98,18.45,18.74,331136,0
20070530,18.5,18.84,17.92,18.6,371507,0
20070531,18.58,18.98,18.31,18.71,550231,0
20070601,18.87,19.4,18.45,19.14,215606,0
20070604,19.1,19.17,18.76,18.94,284541,0
20070605,19.22,19.7,19,19.41,325123,0
20070606,19.51,19.84,19.31,19.51,276846,0
20070607,19.35,19.69,19.01,19.29,233169,0
20070608,19.39,19.48,19.15,19.35,106818,0
20070611,19.15,19.15,18.68,18.89,177830,0
20070612,18.78,19.62,18.78,19.47,200547,0
20070613,19.48,21.04,19.46,20.52,461375,0
20070614,20.72,20.84,20.34,20.56,303168,0
20070615,21.38,22.78,21.38,22,1018204,0
20070618,22.25,23.23,22.21,22.91,980743,0
20070619,22.09,22.9,22.07,22.34,505443,0
20070620,22.46,23,22.4,22.92,302277,0
20070621,22.82,22.9,22.15,22.7,239651,0
20070622,22.79,23,22.07,22.07,1468338,0
20070625,22.51,22.51,20.95,21.14,413464,0
20070626,21.29,22.08,21.1,21.93,274308,0
20070627,22,22.35,21.78,22.31,233499,0
20070628,22.4,22.77,22.04,22.3,182137,0
20070629,22.29,22.55,21.27,21.55,179412,0
20070702,21.53,22.34,21.53,22.2,289997,0
20070703,22.27,22.32,21.67,21.93,52837,0
20070705,21.86,21.98,21.15,21.8,147078,0
20070706,21.75,22.76,21.75,21.95,220834,0
20070709,21.9,22.42,21.63,22.28,111134,0
20070710,22.14,22.55,21.8,22.32,196121,0
20070711,22.26,22.59,21.81,22.04,154913,0
20070712,22.22,24.15,22.22,23.74,299381,0
20070713,23.57,24.14,23.18,23.9,378714,0
20070716,23.92,23.92,22.75,23.14,136331,0
20070717,23.13,24.13,23.13,23.89,131313,0
20070718,23.92,24.16,23.04,24.06,186024,0
20070719,24.22,24.5,23.43,24.35,381931,0
20070720,24.3,24.99,24.18,24.45,449054,0
20070723,24.64,24.71,23.88,23.89,197928,0
20070724,23.85,23.98,22.89,23.43,206484,0
20070725,23.48,24.47,22.84,24.3,258976,0
20070726,23.94,24.54,23.82,23.94,254613,0
20070727,23.78,23.9,23.05,23.81,260303,0
20070730,23.85,25.32,23.74,24.83,296664,0
20070731,25.09,25.91,24.92,25.75,506234,0
20070801,25.74,25.92,25.05,25.72,1040969,0
20070802,26.76,26.98,24.75,26.35,1097371,0
20070803,26.39,26.47,25.15,25.7,409885,0
20070806,25.65,28.19,25.63,27.43,491116,0
20070807,27.25,28.39,27.25,28.27,556710,0
20070808,28.44,28.49,26.49,27.15,767736,0
20070809,26.87,28.1,26.87,27.28,500077,0
20070810,26.81,27.04,25.87,26.5,392610,0
20070813,26.5,27.55,26.26,26.59,198379,0
20070814,26.57,26.76,25.84,26.04,202965,0
20070815,25.85,26.05,23.78,24.1,460913,0
20070816,23.77,24.14,22.23,24,824601,0
20070817,24.59,24.74,23.4,23.64,375829,0
20070820,23.83,25,23.7,24.9,231843,0
20070821,24.73,26.51,24.54,26.37,373094,0
20070822,26,26.25,25.38,25.75,265344,0
20070823,25.95,25.95,24.75,24.87,103421,0
20070824,24.83,25.82,24.75,25.74,178158,0
20070827,25.6,27.44,25.31,26.62,462055,0
20070828,26.47,26.5,25.79,26.1,262959,0
20070829,26.22,28,26.21,27.99,607319,0
20070830,27.7,28.11,27.48,27.92,356692,0
20070831,27.68,28.7,27.68,27.96,469115,0
20070904,27.82,28,27,27.16,240551,0
20070905,27.02,27.47,26.71,26.96,133497,0
20070906,26.78,27.3,25.95,26.18,198735,0
20070907,26,26.69,25,26.56,324373,0
20070910,26.68,26.88,24.79,25.57,198584,0
20070911,25.76,26.6,25.76,26.35,126415,0
20070912,26.2,26.5,25.63,25.77,70218,0
20070913,25.79,26.48,25.26,26.11,67040,0
20070914,26,27.32,25.95,27.22,116587,0
20070917,27.1,27.18,26.04,27.06,91033,0
20070918,27.12,28.13,26.68,27.98,212446,0
20070919,28.1,29.75,27.64,29.5,353589,0
20070920,29.5,30.1,29.5,30.07,704820,0
20070921,30.37,30.75,29.84,30.03,180463,0
20070924,30,31.37,29.63,31.32,267679,0
20070925,31.18,32.39,31.06,31.93,276246,0
20070926,32.21,32.56,31.71,31.98,271758,0
20070927,32.06,32.54,31.4,32.46,135506,0
20070928,32.5,32.77,31.87,31.91,149536,0
20071001,31.4,32.9,30.6,32.66,659233,0
20071002,32.52,33.25,32.52,32.95,321487,0
20071003,32.71,33.58,32.5,33.03,426265,0
20071004,33.03,34.45,33.03,34.29,392630,0
20071005,34.5,36.45,34.18,35.23,530398,0
20071008,35.27,35.38,33.75,34.38,248549,0
20071009,34.55,35.18,34.06,34.3,227134,0
20071010,34.37,35.24,33.92,34.03,308502,0
20071011,34.27,34.71,32.33,32.68,178455,0
20071012,32.61,33.69,32.61,33.65,125068,0
20071015,33.68,34.13,33.2,33.69,176716,0
20071016,33.59,35,33.49,34.86,285175,0
20071017,35,35.03,33.34,34.72,223314,0
20071018,34.58,34.85,34.09,34.85,176205,0
20071019,34.85,34.92,32.22,32.46,177100,0
20071022,32.07,32.73,31.15,32.61,199989,0
20071023,32.89,33.62,32.69,33.17,222115,0
20071024,32.89,33.14,32.05,32.92,180814,0
20071025,33.11,33.45,31.76,31.85,201635,0
20071026,32.24,32.82,31.33,32.69,183287,0
20071029,32.8,34.75,32.31,34.58,414848,0
20071030,34.56,37,34.5,36.4,1113787,0
20071031,31.81,35.97,31.81,33.37,1109154,0
20071101,33.15,33.15,31.75,32.03,398358,0
20071102,32.1,32.52,31.47,31.76,391933,0
20071105,31.31,32.73,30.55,32.11,272380,0
20071106,32.14,32.2,30.92,31.93,252704,0
20071107,31.52,31.92,29.83,30.53,257269,0
20071108,30.55,31.35,29.67,31.06,371529,0
20071109,30.62,31,29.01,30.58,434995,0
20071112,30.54,30.54,29.37,29.89,347361,0
20071113,29.76,31.55,29.72,30.89,247656,0
20071114,30.96,30.96,29.26,29.99,251646,0
20071115,29.94,29.95,26.43,26.7,949186,0
20071116,26.73,27.26,25.39,26.95,684654,0
20071119,26.63,27.52,26.14,27.25,217570,0
20071120,26.89,29.34,26.89,28.14,687641,0
20071121,27.84,28.37,26.59,27.61,206470,0
20071123,27.59,28,26.78,26.78,118789,0
20071126,26.83,29.23,26.83,28.14,306425,0
20071127,28.17,29.78,27.1,29.65,387197,0
20071128,29.71,31,29.12,30.02,506482,0
20071129,29.78,30.86,28.39,29,269719,0
20071130,29.2,29.21,28.23,28.49,285373,0
20071203,28.2,29.12,27.66,28.55,197102,0
20071204,28.72,28.72,26.59,27.53,232001,0
20071205,27.95,29.36,27.34,29.08,179480,0
20071206,29.08,29.27,27.82,28,220282,0
20071207,28.14,28.6,27.42,28.04,252724,0
20071210,28.1,28.1,27.21,27.71,503766,0
20071211,27.74,28.25,26.78,26.91,207554,0
20071212,26.96,27.48,25.96,26.48,332862,0
20071213,26.31,27.02,25.42,26.02,196099,0
20071214,25.73,26.95,24.86,25.59,398072,0
20071217,25.48,26.39,25.45,25.93,598479,0
20071218,26.2,27.09,25.5,26.94,358491,0
20071219,27.03,27.75,26.6,26.81,354853,0
20071220,27.11,27.36,26.38,26.74,306665,0
20071221,27.18,27.35,26.51,27.03,355771,0
20071224,27.22,27.36,26.57,26.93,28938,0
20071226,26.83,27.71,26.16,27.38,223204,0
20071227,27.3,27.71,26.58,27.05,177223,0
20071228,27.2,27.57,26.24,26.45,306260,0
20071231,26.27,27.26,25.5,25.62,318562,0
20080102,26.01,26.05,25.35,25.7,628882,0
20080103,25.86,25.93,20.91,21.52,2627644,0
20080104,20.24,20.96,18.62,20.75,2192311,0
20080107,20.63,21.38,20.51,21.01,774958,0
20080108,21.01,22.1,20.99,21.57,708001,0
20080109,22.81,23.69,21.61,21.7,1109686,0
20080110,21.6,21.97,20.6,21.7,647899,0
20080111,21.62,22.23,20.88,21.55,474611,0
20080114,21.69,22.15,21.51,21.78,184341,0
20080115,21.5,22.11,20.37,20.91,512215,0
20080116,20.75,21.24,20.2,20.43,1226938,0
20080117,20.46,20.68,19.3,20.15,478658,0
20080118,20.16,20.58,19.13,19.2,379369,0
20080122,17.67,19.56,16.03,19.42,1009276,0
20080123,18.95,19.85,17.6,19.74,486924,0
20080124,19.9,21.45,19.45,20.5,636628,0
20080125,20.84,21.7,20.63,20.96,759290,0
20080128,20.88,20.88,19.9,20.11,316571,0
20080129,20.27,20.84,19.9,20.72,283839,0
20080130,20.73,20.95,19.59,19.69,443355,0
20080131,19.5,19.65,18.79,19.45,763249,0
20080201,19.72,20.74,19.51,19.62,721440,0
20080204,19.61,20.17,18.26,18.61,510321,0
20080205,18.05,18.99,17.5,18.01,719860,0
20080206,17.99,18.15,16.88,16.88,760451,0
20080207,15.95,16.25,14.62,14.65,2591780,0
20080208,14.69,15.7,14.69,15.65,834665,0
20080211,15.63,15.81,15.05,15.54,618655,0
20080212,15.75,15.97,15.05,15.1,367298,0
20080213,15.21,16.94,14.96,16.69,855175,0
20080214,16.69,16.69,16.25,16.27,381293,0
20080215,16.18,16.78,15.85,16.63,319822,0
20080219,16.89,16.92,15.89,16,302810,0
20080220,15.86,16.58,15.75,16.53,200126,0
20080221,16.66,16.69,15.72,15.92,529197,0
20080222,15.98,15.98,15.38,15.73,216099,0
20080225,15.7,16.08,15.48,16.03,143141,0
20080226,15.95,16.35,15.87,16.04,147314,0
20080227,15.98,16.47,15.75,16.26,229722,0
20080228,16.27,16.27,15.59,15.61,502595,0
20080229,15.49,15.66,15.11,15.29,263124,0
20080303,15.31,15.46,14.89,15.19,389994,0
20080304,15.19,15.69,14.87,15.33,334471,0
20080305,15.32,15.58,15.1,15.45,711208,0
20080306,15.38,15.42,14.91,15.08,358936,0
20080307,14.94,15.42,14.61,14.93,469758,0
20080310,15,15.34,14.76,15,262422,0
20080311,15.33,15.97,15.24,15.96,265668,0
20080312,16.1,16.77,15.72,16.23,245778,0
20080313,16.01,16.39,15.78,16.39,324842,0
20080314,16.5,16.59,15.79,16.21,166276,0
20080317,15.76,15.99,14.75,15.09,294525,0
20080318,15.37,16.77,15.33,16.55,197326,0
20080319,16.7,16.82,15.65,15.7,110818,0
20080320,15.83,15.85,14.9,15.68,368524,0
20080324,15.64,17.1,15.57,17.07,249214,0
20080325,16.88,17.05,16.1,16.35,253179,0
20080326,16.24,16.45,16.07,16.32,147379,0
20080327,16.32,16.9,16.14,16.15,167386,0
20080328,16.21,16.38,15.1,15.32,197468,0
20080331,15.43,15.58,14.87,14.87,216136,0
20080401,14.36,15.95,14.33,15.68,397903,0
20080402,15.76,16.08,15.4,15.45,276022,0
20080403,15.47,15.84,15.23,15.35,154480,0
20080404,15.39,15.39,14.5,14.5,335030,0
20080407,14.65,15.23,14.51,14.91,801268,0
20080408,14.84,15.15,14.83,14.96,203463,0
20080409,15.04,15.23,14.68,14.7,168248,0
20080410,15.19,15.23,13.86,13.93,599649,0
20080411,13.96,14.34,13.78,13.87,161379,0
20080414,13.84,13.99,13.5,13.59,171789,0
20080415,13.71,14.1,13.43,13.94,116240,0
20080416,14.13,14.49,13.96,14.1,292573,0
20080417,14.07,14.16,13.93,14.1,194100,0
20080418,14.47,14.81,14.21,14.6,133290,0
20080421,14.51,15.45,14.42,15.24,224410,0
20080422,15.17,15.26,14.41,14.63,140729,0
20080423,14.71,14.93,14.45,14.49,54539,0
20080424,14.42,15.72,14.42,15.64,164533,0
20080425,15.67,17.6,15.28,17,582549,0
20080428,16.92,17.46,16.5,17.35,431788,0
20080429,17.25,17.85,16.92,17.83,216842,0
20080430,17.8,17.97,16.05,16.35,516653,0
20080501,13.5,14.84,12.65,14.68,4508734,0
20080502,14.52,14.97,13.52,13.62,1033399,0
20080505,13.66,13.67,12.95,13.03,467480,0
20080506,13,13.3,12.71,13.03,454505,0
20080507,13.04,13.13,12.43,12.57,432178,0
20080508,12.56,12.78,12.02,12.73,509196,0
20080509,12.6,12.74,12.08,12.53,295194,0
20080512,12.73,12.82,12.46,12.68,319588,0
20080513,12.85,12.85,12.23,12.81,1340997,0
