Date,Open,High,Low,Close,Volume,OpenInt
20130801,35,40.64,33,40.11,14760156,0
20130802,41.07,41.5,38.48,39.98,2091313,0
20130805,40.07,41.85,39.25,41.13,789500,0
20130806,41.51,41.51,38.58,39.77,711585,0
20130807,40.24,40.25,38.63,39.3,1120326,0
20130808,40.04,40.1,39,39.11,472942,0
20130809,39,39.64,38.63,38.84,298409,0
20130812,38.52,38.83,37.3,37.6,547441,0
20130813,37.31,38.2,36.71,37.89,559610,0
20130814,37.98,39,37.8,38.9,253276,0
20130815,38.7,39.33,38.4,39.17,247766,0
20130816,39.88,40.19,39.2,39.34,666679,0
20130819,39.5,39.8,38.1,38.36,204900,0
20130820,38.25,38.415,37.3,38.29,273209,0
20130821,38.58,38.58,37.12,37.22,204320,0
20130822,37.11,39,37.11,38.59,203165,0
20130823,41.5,41.75,38.3,39.06,1030906,0
20130826,39.34,39.88,38.25,38.99,230164,0
20130827,38.05,38.19,37.75,37.88,267066,0
20130828,38.26,38.39,37.33,37.47,215229,0
20130829,37.1,37.5,36.8,37.38,350273,0
20130830,37.44,38.01,36.23,36.96,574268,0
20130903,37.66,37.66,36.53,36.75,236420,0
20130904,36.9,37.03,36.5,36.8,275443,0
20130905,36.87,37.1,36.8,36.87,220705,0
20130906,37.24,39,36.99,38.84,216367,0
20130909,39.34,39.34,38.29,39.03,147707,0
20130910,38.05,39.46,36.87,38.22,593749,0
20130911,38.28,38.68,37.18,38.21,622549,0
20130912,38.21,38.7,37.68,38.62,193207,0
20130913,38.87,39.1,38.65,38.89,124163,0
20130916,39.25,39.85,39.131,39.43,410900,0
20130917,39.42,40.32,39.04,39.56,366451,0
20130918,39.69,40.63,39.69,40.56,289118,0
20130919,41,42.51,41,41.86,662350,0
20130920,42.54,44.75,42.46,42.99,1127834,0
20130923,44.4,44.56,43.2,44.54,449084,0
20130924,44.83,45.5,44.52,45.38,329900,0
20130925,45.38,46.31,43.61,44.23,316100,0
20130926,44.54,45.58,44.29,44.85,291400,0
20130927,44.2,45.95,42.06,45.17,630400,0
20130930,43.71,44.85,43.41,44.39,1398800,0
20131001,44.21,45,43.71,44.94,209200,0
20131002,45.77,46.37,45,46.35,565400,0
20131003,46.16,46.26,45.6,46.02,362300,0
20131004,46.07,48.15,46.01,48.12,828000,0
20131007,47.92,48,45.53,45.69,633600,0
20131008,45.5,45.54,42.11,42.84,1133300,0
20131009,42.47,44.99,42.24,44.79,734100,0
20131010,45.46,46.85,45.15,46.48,537900,0
20131011,46.57,47.92,45.85,46.2,447600,0
20131014,45.19,47.05,44.86,46.4,414600,0
20131015,46.5,46.74,45.84,46.42,503800,0
20131016,46.71,47.26,46.46,47,505200,0
20131017,46.91,47.76,46.5,47.47,416026,0
20131018,47.98,48.39,47.21,48.1,242500,0
20131021,48.32,49.34,47.38,49.11,277300,0
20131022,49.03,49.45,47.25,47.53,204200,0
20131023,47.28,47.93,45.31,46.22,353300,0
20131024,46.64,47.32,46.22,46.62,247200,0
20131025,46.8,47.13,46.11,46.58,151300,0
20131028,46.59,47.73,46.44,47.54,226400,0
20131029,47.53,47.71,45.86,46.6,169600,0
20131030,46.57,47.22,46.06,46.3,234800,0
20131031,46.31,46.64,45.4,46.06,390787,0
20131101,45.95,46.11,44.23,45.34,300900,0
20131104,45.5,47,45.07,46.9,245400,0
20131105,46.78,47.71,46.5,47.45,184700,0
20131106,47.88,48.1,47.45,48.04,357900,0
20131107,47.39,47.39,45.62,46.58,1395300,0
20131108,44.6,48.95,44.21,45.69,825661,0
20131111,45.49,46.42,44.73,45.14,268900,0
20131112,45.01,45.8,44.11,44.67,243900,0
20131113,44.27,44.74,43.68,44.66,363700,0
20131114,44.63,44.66,43.43,43.65,236900,0
20131115,43.55,43.68,42.78,43.05,510100,0
20131118,43.1,43.15,40.51,40.59,562100,0
20131119,40,41.34,39.02,39.66,1115300,0
20131120,39.62,39.76,37.9,38.18,946100,0
20131121,38.19,39.3,37.9,38.31,1146101,0
20131122,39.06,39.1,37.46,37.86,1244000,0
20131125,37.73,37.86,37.05,37.52,1285700,0
20131126,36.55,38.05,36.11,38,10716200,0
20131127,38.29,38.79,37.83,38.1,1634900,0
20131129,38.14,38.23,37.55,37.84,491865,0
20131202,38,38.52,37.65,38.2,2105982,0
20131203,37.93,38.41,37.68,38.3,911200,0
20131204,38.4,38.61,37.87,38.3,807200,0
20131205,38.15,38.27,37.51,37.58,679500,0
20131206,38,38.06,37.69,37.85,671536,0
20131209,38,38,37.44,37.49,804400,0
20131210,37.34,37.62,36.55,36.6,684479,0
20131211,37.25,37.45,36.61,36.89,1403180,0
20131212,36.89,37,36.49,36.56,864000,0
20131213,36.73,36.98,36.29,36.29,601500,0
20131216,36.82,36.93,35.94,36.01,730800,0
20131217,36.19,37.15,35.58,37.06,1059800,0
20131218,36.67,37.55,36.5,37.44,857500,0
20131219,37.18,37.6,37.02,37.57,679977,0
20131220,37.02,37.9,37.02,37.81,1704057,0
20131223,37.86,37.9,37.65,37.81,361799,0
20131224,37.67,38.15,37.63,37.97,192939,0
20131226,38,38.47,37.92,38.23,290000,0
20131227,38.3,38.46,37.85,38.19,864300,0
20131230,38.03,38.38,37.59,38.03,359700,0
20131231,37.91,38.5,37.8,38.43,424200,0
20140102,38.18,38.5,37.28,37.51,526306,0
20140103,37.43,37.86,36.66,37.6,797570,0
20140106,37.57,37.77,36.14,36.79,1140017,0
20140107,36.89,37.83,36.8,37.52,630300,0
20140108,37.42,38.625,37.29,38.45,579240,0
20140109,38.4,38.6,36.62,38.2,1271705,0
20140110,38.11,38.429,37.89,38.34,716090,0
20140113,38.16,39.74,37.25,37.65,1128910,0
20140114,37.8,39.85,37.685,39.63,1162090,0
20140115,39.67,40.06,38.9,39.23,988200,0
20140116,39.31,40.09,38.85,39.55,659300,0
20140117,39.55,39.57,37.61,38.06,477700,0
20140121,38.57,38.595,37.12,37.35,842195,0
20140122,37.42,37.85,37.14,37.7,318300,0
20140123,37.35,37.6,36.95,37.15,478600,0
20140124,37.04,37.4,35.33,35.56,1144100,0
20140127,35.69,36.68,35.21,36.28,786700,0
20140128,36.32,36.48,35.52,35.55,518800,0
20140129,35.52,35.69,34.93,35.15,677606,0
20140130,35.38,35.51,34.81,35.1,769400,0
20140131,34.8,36.12,34.5,35.74,670300,0
20140203,35.6,36.09,34.39,34.63,1135805,0
20140204,34.95,36.15,34.72,34.98,813858,0
20140205,35.18,35.24,34.55,34.91,387560,0
20140206,34.94,35.64,34.56,35.28,668331,0
20140207,35.2,35.813,34.85,35.06,951297,0
20140210,35.25,35.25,34.37,34.62,803691,0
20140211,34.96,34.96,34.27,34.59,894404,0
20140212,34.68,35.25,34.66,35.04,1092623,0
20140213,34.19,34.92,34.04,34.85,1049225,0
20140214,34.93,35.159,34.602,35,605891,0
20140218,35.19,35.75,34.84,35.5,726676,0
20140219,35.38,36.55,35.38,36.44,536385,0
20140220,36.62,36.96,35.85,35.98,484269,0
20140221,35.75,36.43,35.65,35.95,457847,0
20140224,36.05,36.44,35.55,35.93,410027,0
20140225,35.87,36.2,35.71,35.96,490874,0
20140226,36.48,37.53,36.02,36.85,843391,0
20140227,37.16,37.67,36.76,37.46,1118012,0
20140228,38.42,39.98,37.39,38.971,3161215,0
20140303,38.35,39.072,38.02,38.51,819493,0
20140304,39.04,39.22,38.51,39.01,874599,0
20140305,38.97,39.58,38.61,39.24,591465,0
20140306,39.49,39.715,38.69,39,363675,0
20140307,39,39.1,38.52,38.66,399007,0
20140310,38.73,38.74,37.78,37.9,629441,0
20140311,37.96,38.09,37.02,37.1,975592,0
20140312,37.13,38.4,36.8,38.12,1423630,0
20140313,38.2,38.54,37.952,38.5,1043664,0
20140314,38.46,38.55,37.78,37.95,707108,0
20140317,38,38.35,37.47,37.83,599110,0
20140318,37.03,37.33,35.86,37.16,1859764,0
20140319,37.01,37.7,36.95,37.31,679212,0
20140320,37.22,37.66,36.83,37.13,326655,0
20140321,37.14,37.37,36.684,36.96,577406,0
20140324,36.76,36.97,35.76,35.94,703513,0
20140325,36.49,36.49,35.38,35.49,613081,0
20140326,36.85,37.15,34.91,35.28,1751300,0
20140327,35,35,33.92,34.17,1425728,0
20140328,34.77,36.55,34.75,36.47,5638051,0
20140331,36.45,36.54,35.78,36.03,1151907,0
20140401,36.06,37.44,35.8,37.21,1032275,0
20140402,37.19,38.14,36.64,38.12,1100760,0
20140403,38.1,38.35,37.618,38.23,833708,0
20140404,38.34,38.34,35.63,36.68,2359673,0
20140407,36.51,36.65,35.05,35.42,1184016,0
20140408,36.29,37.4,35.961,36.56,843216,0
20140409,36.72,37.01,36.2,36.87,368020,0
20140410,36.9,37,35.37,35.61,702427,0
20140411,35.3,35.84,34.5,34.63,635374,0
20140414,34.86,35.18,34.28,34.6,516554,0
20140415,34.94,35.14,33.56,33.9,638993,0
20140416,34.07,34.84,33.68,33.84,435661,0
20140417,33.85,34.34,33.62,33.93,244224,0
20140421,33.91,34.59,33.41,34.26,342765,0
20140422,34.2,34.77,34.01,34.24,638208,0
20140423,34.77,34.82,33.95,33.99,376044,0
20140424,34.28,34.28,33.11,33.31,856433,0
20140425,33.25,33.6,32.86,32.91,939288,0
20140428,33.14,33.39,31.85,32.2,973243,0
20140429,32.16,32.42,31.91,32,596587,0
20140430,31.87,32.18,31.52,31.97,565683,0
20140501,31.9,32.296,31.78,31.99,620415,0
20140502,31.49,31.95,31.105,31.54,1249666,0
20140505,30.96,31.6,30.73,30.77,1170167,0
20140506,30.85,31.57,30.56,31.09,996259,0
20140507,28.9,28.96,25.73,27.4,5833091,0
20140508,29,29.53,25.9,26.26,5056812,0
20140509,26.35,27.25,26.34,26.51,2211863,0
20140512,26.8,28.3,26.79,27.85,1397751,0
20140513,27.89,28.77,27.8,28.55,1957825,0
20140514,28.41,28.72,28.154,28.46,1533547,0
20140515,28.54,28.71,28.25,28.64,1652615,0
20140516,28.71,29.02,28.55,28.86,929124,0
20140519,28.75,29.01,28.41,28.5,2347397,0
20140520,28.45,28.45,27.5,27.77,2672570,0
20140521,27.98,28.08,27.15,27.38,1292168,0
20140522,27.28,27.51,27.012,27.2,1266487,0
20140523,27.33,27.6,26.87,27.12,1111316,0
20140527,27.38,27.63,26.99,27.495,1602028,0
20140528,27.53,27.592,27.25,27.35,771972,0
20140529,27.33,27.508,27,27.04,1061884,0
20140530,27.1,27.28,26.93,27.1,1825293,0
20140602,27.13,27.4,26.6,26.8,801807,0
20140603,26.8,27.41,26.69,27.21,696167,0
20140604,27.15,28,26.855,27.61,686143,0
20140605,27.57,28.54,27.32,28.28,982934,0
20140606,28.48,29.07,28.28,28.96,798231,0
20140609,29,29.3,28.56,29.05,886592,0
20140610,29,29.38,28.75,29.08,696400,0
20140611,29.17,29.31,28.72,29.12,764626,0
20140612,30.15,30.735,29.85,30,1990623,0
20140613,30.21,30.53,29.59,30.33,1532398,0
20140616,30.35,31.29,30.11,31.17,1548907,0
20140617,31.12,31.3,30.83,31.05,1011229,0
20140618,30.96,31.25,30.69,31.18,850312,0
20140619,30.06,31.33,30.06,31.01,1022817,0
20140620,31.08,31.28,30.43,31.16,2272126,0
20140623,31.09,31.63,30.94,31.55,1289264,0
20140624,31.51,31.56,31.06,31.29,1177493,0
20140625,31.58,32.73,31.55,32.68,1639548,0
20140626,32.77,32.93,32.2,32.83,1193177,0
20140627,32.76,32.9,32.42,32.54,6955812,0
20140630,32.54,32.75,32.05,32.72,1412075,0
20140701,32.75,32.86,32.4,32.8,1520719,0
20140702,32.77,33.18,32.54,32.61,816700,0
20140703,32.8,33.15,32.64,32.93,430660,0
20140707,32.86,33,32.45,32.58,780835,0
20140708,32.3,32.38,31.67,31.77,1136773,0
20140709,31.91,32.49,31.8,32.03,525156,0
20140710,31.68,31.96,31.25,31.35,770459,0
20140711,31.19,31.59,30.775,31.39,858538,0
20140714,31.6,31.65,30.95,31.23,597204,0
20140715,31.61,31.86,30.82,31.21,679884,0
20140716,31.42,31.55,30.97,31.1,601799,0
20140717,31.07,31.31,30.9,31.19,1025910,0
20140718,31.11,31.96,31.09,31.77,1042832,0
20140721,31.62,32.51,31.62,32.04,813112,0
20140722,32.04,32.53,32.025,32.2,697663,0
20140723,32.08,32.25,31.33,31.53,1073924,0
20140724,31.59,32.24,31.48,31.9,880583,0
20140725,31.77,31.81,31.2,31.24,571393,0
20140728,31.39,31.52,30.73,30.88,1036015,0
20140729,30.91,31.82,30.8,31.49,1315373,0
20140730,31.54,31.78,31.25,31.39,706666,0
20140731,31.14,31.14,30.3,30.51,1636838,0
20140801,30.6,30.648,29.11,29.935,2121158,0
20140804,30.13,31.23,29.72,30.795,1122988,0
20140805,30.73,30.99,30.42,30.74,1124478,0
20140806,30.57,31.8,30.57,31.75,1478099,0
20140807,31.67,31.99,30.18,30.55,2384477,0
20140808,31.97,32.91,30.79,31.67,3303467,0
20140811,31.95,32.69,31.76,32.56,1066220,0
20140812,31.17,31.36,30.07,30.31,2588252,0
20140813,29.89,30.27,29.8,30,8863121,0
20140814,30,30.18,29.8,30.07,2270747,0
20140815,30.18,30.23,29.44,29.5,1350517,0
20140818,29.74,29.795,29.1,29.55,1574839,0
20140819,29.59,29.99,29.46,29.8,846696,0
20140820,29.66,29.8,29.34,29.73,999618,0
20140821,29.66,29.94,29.59,29.6,713395,0
20140822,29.61,30.55,29.61,30.34,1782037,0
20140825,30.48,30.6,30.17,30.59,829383,0
20140826,30.6,30.8,30.47,30.68,785180,0
20140827,30.79,30.92,30.5,30.9,791911,0
20140828,30.91,31.105,30.6,31.005,613906,0
20140829,31.01,31.12,30.47,30.94,605978,0
20140902,30.97,31.35,30.85,30.87,858982,0
20140903,30.95,31.21,30.21,30.34,1186627,0
20140904,30.47,31.2,30.19,30.82,724032,0
20140905,30.79,31.41,30.47,31.31,768290,0
20140908,31.34,31.68,31.06,31.48,554552,0
20140909,31.5,31.7,30.64,30.69,614441,0
20140910,30.8,30.93,30.21,30.25,835191,0
20140911,30.2,30.71,30.12,30.62,791238,0
20140912,30.66,30.9,30.38,30.77,1745492,0
20140915,30.75,30.75,29.98,30.05,1672492,0
20140916,29.97,30.36,29.84,30.2,1426643,0
20140917,30.28,30.79,30.17,30.5,925370,0
20140918,30.45,31.32,30.098,31.29,572881,0
20140919,31.89,31.96,30.8,31.46,1316986,0
20140922,31.27,31.32,30.19,30.22,816800,0
20140923,30.12,30.47,30,30.09,823998,0
20140924,30.16,30.33,29.99,30.14,458822,0
20140925,30.11,30.26,29.47,29.7,859441,0
20140926,29.78,30.02,29.5,29.57,368545,0
20140929,29.46,29.51,29.01,29.3,535539,0
20140930,29.33,29.5,29.06,29.07,450330,0
20141001,29.07,29.135,28.67,28.75,1292312,0
20141002,28.87,29.76,28.69,29.58,1056085,0
20141003,29.81,30.04,29.47,29.49,356630,0
20141006,29.6,29.88,29.37,29.52,490840,0
20141007,29.29,29.5,28.85,28.98,705861,0
20141008,29.04,29.66,28.78,29.58,589645,0
20141009,29.54,29.6,28.87,28.93,622264,0
20141010,29,29,27.47,27.67,1504687,0
20141013,28.3,28.55,27.17,27.4,2594204,0
20141014,27.66,28.75,27.32,28.29,1167926,0
20141015,27.89,29.52,27.89,29.5,1305912,0
20141016,29.02,29.5,28.65,29.4,983700,0
20141017,29.44,29.44,28.704,28.81,599873,0
20141020,28.83,29.49,28.758,29.25,807084,0
20141021,29.48,30,29.1,29.83,671849,0
20141022,29.78,29.89,28.78,28.81,1014511,0
20141023,28.95,29.02,28.35,28.95,705744,0
20141024,29.55,29.64,28.68,28.95,440754,0
20141027,28.75,28.9,28.29,28.67,458392,0
20141028,28.75,29.32,28.65,29.15,1099807,0
20141029,29.04,29.279,28.52,28.81,544479,0
20141030,28.72,28.94,28.44,28.76,934712,0
20141031,28.9,29.91,28.879,29.11,1325545,0
20141103,29.24,29.99,29.214,29.59,911373,0
20141104,29.55,30.75,29.26,30.57,1471786,0
20141105,30.89,31.29,30.58,30.69,1349263,0
20141106,31.1,31.65,30.89,31.28,1855244,0
20141107,30.75,32.12,29.25,31.7,3142427,0
20141110,31,31.79,30.71,31.47,1460014,0
20141111,29.68,29.99,29.5,29.79,7188462,0
20141112,29.92,30.19,29.51,30.08,1860072,0
20141113,30.31,30.46,30.01,30.225,1297403,0
20141114,30.13,30.83,30.07,30.75,1430610,0
20141117,30.73,31.065,30.4,30.91,979008,0
20141118,31.04,31.64,30.89,31.41,889925,0
20141119,31.26,31.615,31.02,31.43,586277,0
20141120,31.37,31.72,31.32,31.4,571013,0
20141121,31.74,32.21,31.5,32.05,1727747,0
20141124,32.32,32.32,31.63,31.91,597830,0
20141125,31.96,32.06,31.44,32.01,654756,0
20141126,31.95,32.09,31.651,31.74,276506,0
20141128,31.89,32.36,31.62,31.79,377393,0
20141201,32.01,32.3,31.36,32,800471,0
