Date,Open,High,Low,Close,Volume,OpenInt
20050225,25.22,26.36,25.17,26,1854877,0
20050228,25.98,26.25,25.2,25.72,941661,0
20050301,25.8,26,25.13,25.91,1190506,0
20050302,25.7,25.99,25.15,25.6,1198029,0
20050303,24.89,25.44,24.88,25.18,969953,0
20050304,25.4,25.49,24.29,24.41,1833144,0
20050307,24.36,24.86,24.2,24.48,768789,0
20050308,24.42,24.72,23.83,23.88,929547,0
20050309,23.75,23.8,23.06,23.52,1090733,0
20050310,23.5,23.52,22.8,23.01,1013846,0
20050311,22.9,23.28,22.59,22.87,685936,0
20050314,22.78,23.3,22.55,22.7,635760,0
20050315,22.55,22.79,22.5,22.7,923785,0
20050316,22.61,22.7,22.23,22.29,899295,0
20050317,22.2,22.48,21.8,22.36,884876,0
20050318,22.18,22.42,21.89,22.11,986113,0
20050321,22.11,22.34,21.61,21.71,1078745,0
20050322,21.66,22.52,21.66,22.04,1188659,0
20050323,21.89,22.2,21.68,21.77,629017,0
20050324,21.91,22.58,21.72,22.13,742489,0
20050328,22.19,22.47,22.19,22.34,796471,0
20050329,22.32,22.6,21.72,21.86,803222,0
20050330,21.74,22.66,21.74,22.59,856752,0
20050331,22.71,22.96,22.38,22.85,1082788,0
20050401,23.08,23.62,22.88,23.06,1172948,0
20050404,23.05,23.56,22.96,23.43,1087960,0
20050405,23.58,23.8,23.43,23.58,592233,0
20050406,23.43,23.75,23.36,23.53,591926,0
20050407,23.63,23.85,23.37,23.71,474157,0
20050408,23.79,23.81,23.33,23.36,350322,0
20050411,23.4,23.56,23.07,23.42,382258,0
20050412,23.32,23.8,23.07,23.65,835870,0
20050413,23.75,23.75,22.96,22.98,773017,0
20050414,23,23.05,22.15,22.43,714408,0
20050415,22.26,22.82,22.23,22.36,1021160,0
20050418,22.4,22.4,21.49,22.25,1046952,0
20050419,22.21,22.95,22.21,22.65,453310,0
20050420,22.77,23.03,22.18,22.2,797917,0
20050421,22.26,23,22.23,22.87,634452,0
20050422,23,23,22.2,22.5,865355,0
20050425,22.58,23.05,22.45,23.05,802667,0
20050426,22.92,23.05,22.61,22.73,1110911,0
20050427,22.67,22.7,21.8,22.12,689381,0
20050428,21.95,22,21.39,21.4,877228,0
20050429,21.49,21.7,21.12,21.47,893011,0
20050502,21.4,21.76,21.18,21.76,1300845,0
20050503,21.81,21.81,21.24,21.4,748574,0
20050504,21.5,22.26,20.84,22.06,1110380,0
20050505,22.18,22.19,21.5,22.19,898763,0
20050506,22,22.06,21.17,21.34,1759153,0
20050509,21.25,21.73,20.93,21.73,1213803,0
20050510,21.74,22.51,21.71,22.29,1161261,0
20050511,22.37,22.45,21.87,22.29,946494,0
20050512,22.35,22.42,21.5,21.72,758688,0
20050513,21.83,21.92,21.47,21.78,478862,0
20050516,21.73,22.4,21.42,22.4,764676,0
20050517,22.4,22.71,22.17,22.7,661219,0
20050518,22.74,23.87,22.72,23.83,1482031,0
20050519,23.75,24.02,23.55,24.02,699159,0
20050520,23.94,24.03,23.55,23.69,472182,0
20050523,23.76,24.1,23.55,23.67,714055,0
20050524,23.56,23.8,23.37,23.72,421096,0
20050525,23.74,23.74,22.8,23.23,454095,0
20050526,23.17,23.93,23.05,23.9,432207,0
20050527,23.95,24.33,23.84,24.01,481507,0
20050531,23.94,24.09,23.83,23.83,602933,0
20050601,23.77,24.53,23.76,24.4,787772,0
20050602,24.36,24.79,24.32,24.79,988783,0
20050603,24.6,24.8,24.16,24.27,591768,0
20050606,24.27,24.44,24,24.1,640151,0
20050607,24.12,25.54,24.04,25.1,1720637,0
20050608,25.28,25.53,24.86,25.14,551525,0
20050609,25.1,25.1,24.67,24.83,551280,0
20050610,24.72,25.05,24.68,24.71,276070,0
20050613,24.73,25.04,24.62,24.87,494094,0
20050614,24.87,25.65,24.86,25.47,644129,0
20050615,25.56,25.8,25.19,25.68,348797,0
20050616,27.25,27.72,26.45,27.22,2126864,0
20050617,27.13,27.44,26.4,26.5,1328079,0
20050620,26.31,26.84,26.08,26.71,650311,0
20050621,26.92,27.83,26.72,27.1,1881499,0
20050622,27.42,27.76,26.98,27.49,799019,0
20050623,27.55,27.61,27,27.02,945560,0
20050624,26.97,27.4,26.38,26.5,5158327,0
20050627,26.5,26.77,26.49,26.67,741139,0
20050628,26.74,27.24,26.66,27,769657,0
20050629,27.02,27.07,26.89,27,565336,0
20050630,27.07,27.22,26.8,26.93,548661,0
20050701,26.86,27.24,26.86,27,515909,0
20050705,26.95,27.5,26.87,27.18,537960,0
20050706,27.11,27.49,27.11,27.26,360999,0
20050707,27.17,27.59,27,27.45,252512,0
20050708,27.42,28.15,27.42,28.03,329032,0
20050711,28.14,28.14,27.68,27.72,291548,0
20050712,27.69,28.05,27.62,27.96,251514,0
20050713,27.98,28.23,27.76,28.08,411129,0
20050714,28.27,28.44,28,28.16,229381,0
20050715,28.16,28.85,28.11,28.79,474000,0
20050718,28.85,28.89,28.38,28.44,510659,0
20050719,28.54,28.54,28.1,28.43,437229,0
20050720,28.35,28.77,28.2,28.65,455758,0
20050721,28.63,28.63,28.18,28.45,298106,0
20050722,28.41,28.76,28.36,28.61,303957,0
20050725,28.62,28.7,27.57,27.65,800863,0
20050726,27.56,28.17,27.49,27.94,421929,0
20050727,28,28,27.46,27.5,404045,0
20050728,27.45,28.13,27.25,28,422092,0
20050729,27.7,27.73,26.87,27.38,1456553,0
20050801,27.43,28.9,27.33,28.69,1277961,0
20050802,28.75,30.15,28.6,29.63,1187949,0
20050803,29.58,29.87,29.25,29.73,547917,0
20050804,29.67,29.77,29.34,29.36,542307,0
20050805,29.31,29.54,28.82,29.14,372939,0
20050808,29.01,29.27,28.71,28.77,323025,0
20050809,28.76,29.1,28.71,29.05,257609,0
20050810,29.35,29.95,29.3,29.6,418807,0
20050811,29.51,30.3,29.51,30.21,463146,0
20050812,30.11,30.39,29.99,30.28,317457,0
20050815,30.34,31.21,30.04,30.77,667352,0
20050816,30.69,30.84,30.29,30.5,830801,0
20050817,30.41,30.52,30.18,30.3,775325,0
20050818,30.15,30.51,29.9,30,541879,0
20050819,30.01,30.36,29.94,30.07,263883,0
20050822,30.07,30.55,29.96,30.07,371913,0
20050823,30,30.04,29.57,29.72,360253,0
20050824,30,30.1,29.83,29.85,614720,0
20050825,29.9,30.04,29.75,29.87,306648,0
20050826,29.89,29.98,29.33,29.58,665873,0
20050829,29.39,29.95,28.72,29.57,497653,0
20050830,29.5,29.75,29.4,29.55,300150,0
20050831,29.54,30.14,29.39,30.14,1120964,0
20050901,30.12,30.43,29.94,30,703257,0
20050902,30,30.34,29.27,29.59,572859,0
20050906,29.55,30.1,29.5,30.06,496227,0
20050907,30,31.39,29.99,31.13,824779,0
20050908,31.2,31.24,30.68,30.84,315540,0
20050909,30.97,31.05,30.73,30.89,194055,0
20050912,31.04,31.71,31.04,31.54,474221,0
20050913,31.48,31.52,30.79,31.15,376103,0
20050914,31.16,31.18,29.79,29.92,796913,0
20050915,29.93,29.94,28.75,29.14,1063661,0
20050916,29.2,30.05,29.2,29.91,447989,0
20050919,29.84,30,29.31,29.55,241789,0
20050920,29.61,29.61,27.75,28.23,902127,0
20050921,28.22,28.42,27.79,27.92,653742,0
20050922,27.78,28.6,27.52,28.52,761379,0
20050923,28.44,29.38,28.25,29.3,732530,0
20050926,29.47,29.47,28.86,29.22,645831,0
20050927,29.08,29.29,28.65,29.1,718751,0
20050928,29.28,29.53,28.89,29.02,424721,0
20050929,29.42,29.7,29,29.53,838198,0
20050930,29.91,31.4,29.91,31,1176365,0
20051003,31.05,31.61,30.5,31.38,784938,0
20051004,31.57,31.67,30.79,30.79,353206,0
20051005,30.7,31.03,30.29,30.72,688309,0
20051006,30.69,30.98,30.38,30.57,541600,0
20051007,30.68,31.05,30.41,30.79,950407,0
20051010,30.79,31.64,30.16,30.28,865312,0
20051011,30.22,30.44,29.24,29.24,797029,0
20051012,29.2,29.76,28.29,28.67,948207,0
20051013,28.79,28.94,28.18,28.73,424234,0
20051014,28.92,29.55,28.8,29.3,444767,0
20051017,29.23,29.42,29.19,29.33,189624,0
20051018,29.31,29.54,28.82,28.84,289857,0
20051019,28.74,29.21,28.04,29.21,646468,0
20051020,29.12,29.51,28.5,28.66,411575,0
20051021,28.61,29.68,28.51,29.16,743319,0
20051024,29.23,30.76,29.23,30.52,577757,0
20051025,30.43,31.13,29.99,30.36,482184,0
20051026,30.36,30.7,29.76,29.89,426409,0
20051027,29.81,29.89,29.17,29.3,181318,0
20051028,29.3,29.8,28.6,28.94,530371,0
20051031,28.91,30.23,28.75,29.96,595474,0
20051101,30,30.15,29.43,30,824324,0
20051102,30,30.49,29.68,29.83,846839,0
20051103,30.25,30.96,29.46,29.55,1156872,0
20051104,28.57,28.76,26.88,27.31,5707306,0
20051107,27.01,27.3,26.5,26.51,2092175,0
20051108,26.38,26.93,26.07,26.75,2004051,0
20051109,27.05,27.37,26.86,27.05,981257,0
20051110,26.42,27.96,26.35,27.82,1353381,0
20051111,27.65,28.17,27.5,27.89,415207,0
20051114,28.06,28.2,27.53,27.64,398637,0
20051115,27.5,27.5,27.08,27.15,452177,0
20051116,27.11,27.69,26.86,27.16,588891,0
20051117,27.26,28.49,27.06,28.11,748906,0
20051118,28.29,28.29,27.66,27.8,528540,0
20051121,28.01,28.72,27.83,28.56,386317,0
20051122,28.59,29.1,28.46,28.87,657136,0
20051123,28.83,29.37,28.83,29.02,836870,0
20051125,29.19,29.44,28.86,28.99,154620,0
20051128,28.85,29.27,28.62,28.76,384027,0
20051129,28.87,29.09,28.51,28.56,331253,0
20051130,28.5,28.72,28.13,28.33,306580,0
20051201,28.47,29.2,28.47,29.09,496479,0
20051202,29.06,29.2,28.79,28.88,225978,0
20051205,28.88,29.06,28.05,28.44,338341,0
20051206,28.52,28.52,27.8,28.01,705942,0
20051207,27.96,28.24,27.6,27.7,486717,0
20051208,27.59,27.6,26.97,27.1,1271759,0
20051209,27.21,28.22,26.99,27.82,602116,0
20051212,27.98,28.22,27.55,27.91,234978,0
20051213,28.01,29.1,27.48,27.76,1093001,0
20051214,27.96,27.96,27.4,27.5,623999,0
20051215,27.5,28.05,27.11,27.97,978069,0
20051216,28.05,28.09,27.49,27.57,353250,0
20051219,27.62,27.62,26.7,26.99,907917,0
20051220,27.17,27.39,26.76,26.87,435901,0
20051221,26.9,27.42,26.7,27.16,528675,0
20051222,27.05,27.32,26.75,26.9,402423,0
20051223,26.91,27.05,26.77,26.88,523095,0
20051227,27.08,27.7,27.08,27.18,376282,0
20051228,27.2,27.5,27.15,27.31,167508,0
20051229,27.44,27.71,27.21,27.6,242891,0
20051230,27.51,27.75,27.2,27.28,305510,0
20060103,27.48,27.48,26.99,27.45,583321,0
20060104,27.5,27.89,27.46,27.81,483154,0
20060105,27.89,28.04,27.68,27.95,456879,0
20060106,28.3,28.39,28,28.12,449353,0
20060109,28.3,28.45,28.12,28.21,276087,0
20060110,28.18,29.21,28.05,29.04,1120367,0
20060111,29.5,30.18,29.34,30.01,924631,0
20060112,30.15,30.42,29.98,30.09,504663,0
20060113,30.04,30.39,29.89,30.02,276864,0
20060117,30.36,31.54,30.15,30.93,1321219,0
20060118,30.68,31.17,30.63,31.02,402371,0
20060119,30.89,31.45,30.89,31.01,757718,0
20060120,31.19,31.26,30.45,30.7,688660,0
20060123,30.85,30.94,30.35,30.4,389812,0
20060124,30.11,31.77,30.1,31.54,1039463,0
20060125,31.75,32.38,31.3,31.4,1140086,0
20060126,31.43,32.2,31.33,32.18,433451,0
20060127,32.2,33.03,31.84,32.03,729139,0
20060130,32.12,32.38,31.99,32.16,516079,0
20060131,32,32.15,31.42,32.05,663480,0
20060201,31.88,32.52,31.84,32.02,673306,0
20060202,31.87,32.36,31.87,31.92,464044,0
20060203,31.85,32.11,31.66,32.04,726093,0
20060206,32.04,32.35,31.85,32.18,564441,0
20060207,32.08,32.25,31.49,31.58,404954,0
20060208,31.77,31.82,30.97,31.21,398787,0
20060209,31.39,32.44,31.38,32.44,1272199,0
20060210,33.2,33.61,32.5,32.86,1084838,0
20060213,32.9,33.2,32.51,32.7,437936,0
20060214,32.82,32.92,32.43,32.6,452079,0
20060215,32.51,33.17,32.25,33.06,271860,0
20060216,33.21,33.24,32.81,32.95,298029,0
20060217,33.04,33.09,32.42,32.82,402799,0
20060221,32.69,32.87,32.16,32.23,425093,0
20060222,32.32,32.36,31.61,31.91,451383,0
20060223,31.84,31.98,31.35,31.41,420444,0
20060224,31.35,31.74,31.33,31.56,315371,0
20060227,31.57,31.57,30.41,31,968472,0
20060228,30.84,31.15,30.5,30.58,580385,0
20060301,30.25,33.12,29.95,32.63,1740853,0
20060302,32.93,32.93,31.81,32,897411,0
20060303,31.74,32.03,31.15,31.38,1287818,0
20060306,31.48,32.12,31.28,31.5,644518,0
20060307,31.51,31.6,30.56,31.52,832981,0
20060308,31.32,31.45,31,31.3,224363,0
20060309,31.5,31.92,31.2,31.44,223645,0
20060310,31.94,33.2,31.91,32.98,1684300,0
20060313,32.95,33.35,32.69,33.05,559168,0
20060314,32.93,33.05,32.53,33.01,311212,0
20060315,33.15,33.75,33,33.27,655910,0
20060316,33.59,33.59,33.28,33.44,580170,0
20060317,33.85,34.05,33.6,33.85,568501,0
20060320,33.8,34.05,33.67,33.85,371989,0
20060321,33.75,33.85,33.4,33.58,379167,0
20060322,33.76,34.02,33.49,33.99,444081,0
20060323,34.05,34.34,33.85,34.24,496193,0
20060324,34.35,34.91,34.1,34.21,478904,0
20060327,34.1,35.1,34.1,34.5,1037629,0
20060328,34.75,34.96,34.06,34.62,549993,0
20060329,34.77,35.04,34.6,34.87,330711,0
20060330,35.08,35.46,34.6,34.82,996000,0
20060331,35.05,35.23,34.61,35.13,589108,0
20060403,35.44,35.46,34.71,35.05,531714,0
20060404,35.17,35.17,34.57,34.85,264424,0
20060405,34.75,35.02,34.51,34.82,224388,0
20060406,34.82,35.15,34.58,35.1,375146,0
20060407,35.3,35.67,35.17,35.59,557793,0
20060410,35.68,35.68,35.11,35.39,336984,0
20060411,35.42,35.5,35.11,35.33,473318,0
20060412,35.23,35.25,34.91,35.12,409605,0
20060413,36.84,37.4,36.1,37.21,2912084,0
20060417,37.27,37.35,37.1,37.2,692247,0
20060418,37.25,37.37,36.85,37.25,1008873,0
20060419,36.85,38.22,36.71,37.84,10371801,0
20060420,37.88,39.06,37.65,38.6,1881283,0
20060421,39.39,39.4,37.85,38.34,2022862,0
20060424,38.1,38.37,37.92,37.99,784288,0
20060425,38.27,39.25,37.9,38.99,1250190,0
20060426,39.2,39.25,38.68,38.69,523437,0
20060427,38.74,38.86,38,38.4,353276,0
20060428,38.5,38.79,37.95,38.09,589347,0
20060501,38.12,39.66,38,38.83,1004617,0
20060502,39.01,39.01,38.37,38.54,777475,0
20060503,38.33,38.71,38.24,38.5,738272,0
20060504,38.1,40.14,37.6,39.88,1945953,0
20060505,40.24,40.59,40.17,40.2,831166,0
20060508,40.2,40.23,39.78,39.97,548120,0
20060509,39.82,40.42,39.81,40.36,481520,0
20060510,40.26,40.63,40.02,40.41,537870,0
20060511,40.34,40.34,39.61,40.15,907361,0
20060512,40.12,40.25,39.01,39.25,878103,0
20060515,39.08,39.08,38.04,38.38,995744,0
20060516,38.54,38.94,38.27,38.32,749328,0
20060517,38.13,38.78,38.13,38.36,553578,0
20060518,38.55,38.69,38.05,38.13,538320,0
20060519,38.49,39,37.66,38.28,601390,0
20060522,37.77,38.11,36.55,37.62,1531607,0
20060523,37.78,38,37.37,37.41,643669,0
20060524,37.3,38.05,37.3,37.7,695121,0
20060525,38,38.28,37.9,38.24,314876,0
20060526,38.34,38.76,38.13,38.75,327861,0
20060530,38.76,38.86,37.65,37.82,815734,0
20060531,37.85,38.21,37.84,38.13,1046655,0
20060601,38,38.24,37.59,38.17,781654,0
20060602,38.2,38.34,37.81,38.01,486844,0
20060605,37.99,38,36.83,36.9,593627,0
20060606,36.97,37.15,36.23,36.78,715085,0
20060607,36.7,37.32,36.49,36.65,945413,0
20060608,36.3,36.45,34.25,35.46,1933410,0
20060609,35.59,35.7,33.97,34.4,1190781,0
20060612,34.3,34.62,33.32,33.36,890450,0
20060613,33.28,33.55,32.5,32.86,1264028,0
20060614,32.79,33.27,32.34,33.2,2257535,0
20060615,33.5,34.67,33.5,34.62,1128154,0
20060616,34.62,34.81,34.14,34.53,1151508,0
20060619,34.5,34.96,34.06,34.36,931276,0
20060620,34.2,34.98,34.14,34.55,984603,0
20060621,34.49,34.77,34.18,34.23,782324,0
20060622,34.23,34.23,33.52,34.08,652192,0
20060623,33.82,34.84,33.78,34.41,622998,0
20060626,34.37,34.72,34,34.36,344924,0
20060627,34.23,34.38,33.62,34.04,619131,0
20060628,34.31,34.48,33.63,34.17,801348,0
20060629,34.47,35.42,34.23,35.42,659523,0
20060630,35.5,36.09,35.41,35.62,755686,0
20060703,36.04,36.13,35.51,35.9,222776,0
20060705,36.26,36.65,35.22,35.79,675408,0
20060706,35.69,35.96,35.5,35.77,298766,0
20060707,35.82,36.25,35.38,35.59,576305,0
20060710,35.6,35.86,35.05,35.19,253014,0
20060711,35.01,35.46,34.23,35.18,875253,0
20060712,35.28,36.24,34.74,34.79,641022,0
20060713,34.68,34.68,34.05,34.44,450020,0
20060714,34.75,34.8,33.69,33.92,449225,0
20060717,33.73,34.53,33.42,33.83,291446,0
20060718,33.92,34.33,33.44,33.83,364978,0
20060719,33.97,34.95,33.77,34.9,577501,0
20060720,34.78,35.34,34.45,34.75,719820,0
20060721,34.63,34.85,33.84,34.42,703517,0
20060724,34.49,35.16,34.49,35.01,452076,0
20060725,35.01,35.29,34.38,34.93,446857,0
20060726,34.78,34.85,34.24,34.65,604426,0
20060727,34.9,34.92,33.95,34.15,471420,0
20060728,34.24,34.54,34.06,34.27,393035,0
20060731,34.08,34.12,33.7,33.97,470256,0
20060801,34.12,34.2,33.28,33.76,746995,0
20060802,33.71,34.34,32.37,32.77,1513033,0
20060803,30,31.23,28.63,30.27,6806236,0
20060804,30.42,30.85,29.26,29.3,2495579,0
20060807,29.3,29.72,29,29.39,1410280,0
20060808,29.59,29.8,29.11,29.28,632311,0
20060809,29.62,29.73,28.81,28.85,486146,0
20060810,28.9,29.32,28.82,29,837174,0
20060811,28.88,29.87,28.88,29.75,935153,0
20060814,30,30.13,29.55,29.7,749722,0
20060815,30.13,30.14,29.27,29.7,781430,0
20060816,29.7,29.74,29.31,29.4,1200155,0
20060817,29.42,29.98,29.21,29.67,2130860,0
20060818,29.62,29.9,28.96,29.44,849468,0
20060821,29.17,29.52,28.85,29.24,508516,0
20060822,29.19,29.48,29,29.2,699020,0
20060823,29.07,29.31,28.25,28.8,704573,0
20060824,28.96,28.97,28.3,28.74,547978,0
20060825,28.59,28.63,28.08,28.39,794615,0
20060828,28.26,28.84,28.24,28.81,747377,0
20060829,28.98,29.12,28.52,28.96,930319,0
20060830,28.87,29.41,28.76,29.31,621276,0
20060831,29.25,29.69,29.04,29.07,673359,0
20060901,29.2,29.56,28.99,29.47,626528,0
20060905,29.56,29.67,29.08,29.17,473355,0
20060906,29.09,29.14,28.62,28.67,727322,0
20060907,28.52,28.58,28.15,28.17,591129,0
20060908,28.18,28.31,27.85,28.03,872976,0
20060911,27.25,27.96,26.91,27.82,1765006,0
20060912,27.83,29.05,27.74,29.04,1397022,0
20060913,29.16,29.48,29.14,29.15,894066,0
20060914,29.28,29.38,28.75,29.26,435764,0
20060915,29.35,29.98,29.3,29.93,1310981,0
20060918,29.77,30.4,29.77,30.25,922978,0
20060919,30.28,30.66,30.07,30.64,916145,0
20060920,30.6,31.07,30.45,31.06,721005,0
20060921,31.1,31.29,30.76,31.01,626108,0
20060922,30.95,30.95,30.17,30.48,498070,0
20060925,30.48,31.02,30.16,30.97,539459,0
20060926,31.04,31.34,30.73,31.21,753072,0
20060927,31.24,31.54,31.08,31.31,568604,0
20060928,31.27,31.5,31.26,31.39,464454,0
20060929,31.51,31.95,31.34,31.8,906009,0
20061002,31.69,32,30.5,30.72,1417919,0
20061003,30.78,31.55,30.78,31.19,1170450,0
20061004,31.04,31.93,31,31.77,762021,0
20061005,31.66,32.04,31.48,31.93,593947,0
20061006,31.94,32.03,31.49,31.98,507211,0
20061009,31.82,32.17,31.62,31.81,497219,0
20061010,31.74,31.98,31.25,31.8,829531,0
20061011,31.85,31.85,31.25,31.57,553012,0
20061012,31.51,31.85,31.09,31.47,775448,0
20061013,31.35,31.43,30.74,30.87,936014,0
20061016,30.75,31.09,30.58,30.77,636628,0
20061017,30.59,30.71,30.08,30.19,708112,0
20061018,30.25,30.29,29.97,30.19,901432,0
20061019,30.14,30.59,30.01,30.28,533700,0
20061020,30.37,30.37,28.84,28.86,2780494,0
20061023,29.05,29.23,28.65,28.94,1490508,0
20061024,28.99,29.09,28.55,28.73,874639,0
20061025,28.79,28.96,28.05,28.34,1686794,0
20061026,28.43,28.43,26.95,27.4,2995088,0
20061027,27.22,29,27.22,28.4,2169046,0
20061030,28.29,28.66,28.18,28.52,710569,0
20061031,28.42,28.54,27.84,28.03,905361,0
20061101,27.95,28.63,27.95,28.31,1716941,0
20061102,28.23,28.68,27.87,27.87,1449138,0
20061103,27.2,27.72,26.4,27.09,4527513,0
20061106,27.11,27.88,27.09,27.64,1792561,0
20061107,27.61,27.65,27.25,27.53,2143308,0
20061108,27.32,28.25,27.25,28,1337755,0
20061109,28.1,28.11,27.49,27.69,709390,0
20061110,27.61,28.06,27.48,27.89,990198,0
20061113,27.95,28.29,27.8,28.22,767608,0
20061114,28.2,29.04,28.2,29.02,982984,0
20061115,28.97,29.38,28.81,29.14,949612,0
20061116,29.03,29.4,28.86,29.38,751907,0
20061117,29.17,29.36,28.92,29.32,681026,0
