Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.596,11.596,11.514,11.514,3643,0
20050228,11.468,11.605,11.449,11.596,9827,0
20050301,11.596,11.698,11.468,11.698,7506,0
20050302,11.698,11.698,11.569,11.577,2509,0
20050303,11.698,11.698,11.586,11.614,5409,0
20050304,11.69,11.698,11.624,11.652,8269,0
20050307,11.614,11.614,11.421,11.421,5118,0
20050308,11.523,11.652,11.523,11.586,1967,0
20050309,11.495,11.495,11.495,11.495,772,0
20050310,11.495,11.505,11.495,11.495,4866,0
20050311,11.505,11.642,11.495,11.614,3256,0
20050314,11.569,11.569,11.514,11.514,908,0
20050315,11.514,11.533,11.468,11.495,8466,0
20050316,11.533,11.55,11.421,11.533,4200,0
20050317,11.569,11.569,11.514,11.523,647,0
20050318,11.514,11.55,11.477,11.486,3281,0
20050321,11.514,11.533,11.402,11.402,21208,0
20050322,11.55,11.55,11.402,11.495,1638,0
20050323,11.393,11.495,11.393,11.495,8017,0
20050324,11.486,11.486,11.206,11.439,5263,0
20050328,11.393,11.449,11.187,11.197,5524,0
20050329,11.197,11.327,11.187,11.187,6594,0
20050330,11.29,11.383,11.29,11.337,1401,0
20050331,11.133,11.308,11.133,11.234,9435,0
20050401,11.308,11.327,11.16,11.197,1426,0
20050404,11.152,11.29,11.152,11.187,8498,0
20050405,11.17,11.252,11.17,11.206,32429,0
20050406,11.16,11.16,11.068,11.133,41119,0
20050407,11.152,11.152,11.077,11.142,3201,0
20050408,11.16,11.16,11.068,11.068,7440,0
20050411,11.068,11.068,11.058,11.068,2896,0
20050412,11.077,11.077,11.02,11.02,9543,0
20050413,11.01,11.068,10.992,11.068,2132,0
20050414,11.03,11.049,10.982,11.049,7551,0
20050415,11.049,11.077,10.926,10.982,19421,0
20050418,10.918,10.918,10.871,10.918,1349,0
20050419,10.918,10.918,10.862,10.862,5020,0
20050420,10.852,10.862,10.825,10.844,15065,0
20050421,10.852,10.852,10.193,10.35,45623,0
20050422,10.611,10.656,10.09,10.416,16595,0
20050425,10.565,10.611,10.322,10.406,5069,0
20050426,10.406,10.498,10.389,10.406,12267,0
20050427,10.398,10.508,10.389,10.389,2028,0
20050428,10.416,10.565,10.389,10.508,6671,0
20050429,10.602,10.611,10.35,10.508,8797,0
20050502,10.35,10.546,10.35,10.463,7436,0
20050503,10.35,10.508,10.34,10.508,9162,0
20050504,10.508,10.565,10.305,10.463,16029,0
20050506,10.389,10.575,10.389,10.575,5118,0
20050509,10.806,10.806,10.435,10.508,1638,0
20050510,10.508,10.508,10.389,10.508,10376,0
20050511,10.35,10.416,10.35,10.369,15975,0
20050512,10.305,10.498,10.305,10.313,892,0
20050513,10.508,10.508,10.369,10.498,2776,0
20050516,10.508,10.508,10.463,10.498,2896,0
20050517,10.445,10.508,10.445,10.463,2413,0
20050518,10.463,10.508,10.463,10.508,2718,0
20050519,10.445,10.714,10.445,10.508,1008,0
20050520,10.565,10.565,10.565,10.565,89,0
20050523,10.629,10.656,10.305,10.49,10800,0
20050524,10.871,10.871,10.498,10.546,6773,0
20050525,10.389,10.546,10.379,10.546,5859,0
20050526,10.406,10.508,10.406,10.508,1732,0
20050527,10.508,10.611,10.331,10.602,4880,0
20050531,10.656,10.656,10.369,10.639,9800,0
20050602,10.656,10.881,10.656,10.881,9012,0
20050603,10.871,10.871,10.871,10.871,1929,0
20050606,10.77,10.77,10.77,10.77,479,0
20050607,10.565,10.666,10.565,10.666,2798,0
20050608,10.899,10.954,10.825,10.946,6548,0
20050609,10.862,10.862,10.862,10.862,479,0
20050610,10.862,10.974,10.825,10.881,9060,0
20050613,10.918,10.918,10.918,10.918,579,0
20050614,10.806,10.974,10.806,10.954,3378,0
20050615,10.964,10.992,10.862,10.992,2903,0
20050616,10.974,11.01,10.788,10.798,2122,0
20050617,10.974,11.03,10.871,10.974,4743,0
20050620,11.01,11.077,11.01,11.077,3378,0
20050621,10.871,10.881,10.871,10.871,479,0
20050622,10.871,10.871,10.871,10.871,89,0
20050623,11.068,11.068,11.068,11.068,196,0
20050624,11.058,11.206,11.049,11.206,3373,0
20050627,11.197,11.533,11.096,11.486,18932,0
20050628,11.486,11.793,11.486,11.642,3413,0
20050629,11.803,12.166,11.765,12.166,12262,0
20050630,12.118,12.174,12.061,12.071,14968,0
20050701,12.071,12.071,12.061,12.071,2218,0
20050705,11.904,12.052,11.829,11.829,1159,0
20050706,11.614,11.868,11.614,11.859,5247,0
20050707,11.958,11.958,11.958,11.958,89,0
20050708,11.904,11.904,11.904,11.904,12787,0
20050711,11.904,12.015,11.849,11.948,28125,0
20050712,11.996,12.11,11.939,12.11,5932,0
20050713,12.1,12.11,12.1,12.11,205,0
20050714,12.11,12.11,12.11,12.11,384,0
20050715,12.11,12.321,12.11,12.266,5698,0
20050718,12.221,12.266,12.194,12.266,1159,0
20050719,12.266,12.369,12.266,12.275,2547,0
20050720,12.378,12.528,12.349,12.528,21345,0
20050721,12.491,12.573,12.462,12.573,1776,0
20050722,12.628,12.628,12.582,12.628,4723,0
20050725,12.675,12.684,12.628,12.628,7340,0
20050726,12.555,12.779,12.555,12.76,1884,0
20050727,12.628,12.779,12.628,12.779,1256,0
20050728,12.779,12.779,12.628,12.647,939,0
20050729,12.779,12.788,12.61,12.788,3723,0
20050801,12.788,12.788,12.74,12.74,1349,0
20050802,12.74,12.926,12.74,12.796,5429,0
20050803,12.935,12.935,12.926,12.935,772,0
20050804,12.518,12.888,12.518,12.888,1929,0
20050805,12.926,12.935,12.926,12.926,800,0
20050808,12.935,12.935,12.166,12.628,5425,0
20050809,12.788,12.788,12.74,12.74,978,0
20050810,12.74,12.862,12.74,12.862,1205,0
20050811,12.704,12.704,12.565,12.565,330,0
20050815,12.546,12.628,12.537,12.537,16800,0
20050816,12.472,12.528,12.239,12.528,8094,0
20050817,12.528,12.926,12.292,12.528,36500,0
20050818,12.555,12.555,12.359,12.528,11263,0
20050819,12.694,12.75,12.675,12.74,624,0
20050822,12.537,12.555,12.537,12.537,3223,0
20050823,12.862,12.862,12.573,12.582,6147,0
20050825,12.704,12.835,12.675,12.675,7254,0
20050826,12.788,12.845,12.788,12.796,4854,0
20050829,12.528,12.779,12.472,12.684,9658,0
20050830,12.694,12.722,12.694,12.712,4681,0
20050831,12.675,12.675,12.528,12.62,19796,0
20050901,12.628,12.888,12.628,12.862,13945,0
20050902,12.582,12.722,12.573,12.573,723,0
20050906,12.74,12.74,12.573,12.573,429,0
20050907,12.675,12.74,12.675,12.722,2028,0
20050908,12.675,12.675,12.266,12.472,8287,0
20050909,12.5,12.694,12.5,12.555,13037,0
20050912,12.694,12.74,12.694,12.74,1089,0
20050914,12.656,12.656,12.229,12.425,3674,0
20050915,12.582,12.666,12.582,12.61,1065,0
20050916,12.675,12.722,12.666,12.722,1737,0
20050919,12.74,12.74,12.602,12.647,11662,0
20050920,12.732,12.816,12.666,12.816,1972,0
20050921,12.694,12.694,12.684,12.684,2028,0
20050922,12.74,12.74,12.684,12.684,2706,0
20050923,12.74,12.74,12.74,12.74,479,0
20050926,12.684,12.684,12.684,12.684,1452,0
20050927,12.684,12.684,12.684,12.684,1232,0
20050928,12.684,12.76,12.684,12.76,17382,0
20050930,12.788,12.788,12.788,12.788,1140,0
20051003,12.694,12.694,12.675,12.675,16117,0
20051004,12.684,12.684,12.684,12.684,384,0
20051005,12.397,12.528,12.397,12.528,1401,0
20051006,12.528,12.528,12.266,12.388,10008,0
20051007,12.425,12.425,12.388,12.388,964,0
20051010,12.284,12.312,12.284,12.292,2017,0
20051011,12.284,12.331,12.284,12.331,2509,0
20051012,12.388,12.397,12.248,12.292,21438,0
20051013,12.284,12.312,11.243,11.393,47278,0
