Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.233,2.2722,2.2017,2.2017,8915,0
20050228,2.2017,2.2017,2.045,2.1781,7868,0
20050301,2.186,2.2017,1.8569,2.0058,36120,0
20050302,2.0842,2.1548,2.0842,2.0921,5689,0
20050304,2.2017,2.2017,2.1155,2.1311,1637,0
20050307,2.2252,2.28,2.2252,2.2486,11288,0
20050308,2.186,2.2486,2.186,2.2486,3226,0
20050309,2.1781,2.186,2.1781,2.186,580,0
20050310,2.139,2.1469,2.1311,2.1311,4111,0
20050311,2.0528,2.0607,2.0528,2.0607,422,0
20050314,1.8805,2.0763,1.8805,2.0763,2510,0
20050315,2.0921,2.0921,2.0842,2.0842,3592,0
20050316,2.0842,2.0842,2.0763,2.0763,5131,0
20050317,2.0763,2.0999,2.0763,2.0999,2223,0
20050318,1.9823,2.0921,1.9823,2.0842,1197,0
20050321,2.0371,2.0371,2.0136,2.0371,2545,0
20050322,2.0607,2.0607,2.0607,2.0607,2757,0
20050323,2.0371,2.0371,2.0371,2.0371,171,0
20050324,2.0215,2.0215,1.9745,1.9902,2220,0
20050328,1.951,2.0528,1.951,2.0528,12591,0
20050329,1.951,2.0528,1.951,2.0528,1240,0
20050331,1.9902,2.0763,1.8334,2.0763,29853,0
20050401,1.9902,1.9902,1.8727,1.8727,6347,0
20050404,1.8727,1.9274,1.8727,1.9274,4838,0
20050405,2.0058,2.0136,1.9902,1.9902,1299,0
20050406,2.0842,2.0999,2.0215,2.0215,3080,0
20050407,1.9353,2.0842,1.9353,2.0842,4375,0
20050411,2.0371,2.0371,1.9902,1.9902,3421,0
20050413,2.0136,2.1155,2.0058,2.1155,4845,0
20050415,2.0999,2.1311,1.9196,1.9823,24116,0
20050418,1.9589,1.9823,1.9196,1.9823,4469,0
20050419,1.9667,1.9823,1.9667,1.9667,2835,0
20050420,1.9039,1.9039,1.8727,1.8727,2064,0
20050421,1.8727,2.1939,1.8727,2.0607,31588,0
20050422,2.1076,2.1626,2.1076,2.1626,5301,0
20050425,1.8334,1.8334,1.8334,1.8334,2911,0
20050426,1.9274,1.9274,1.9274,1.9274,342,0
20050429,1.9274,1.9274,1.8334,1.9274,8646,0
20050502,1.8412,1.8412,1.8412,1.8412,1077,0
20050503,1.8099,1.9274,1.7551,1.8022,5901,0
20050504,1.8099,1.9274,1.7864,1.9274,4104,0
20050505,1.9274,1.9274,1.9274,1.9274,179,0
20050506,1.9274,1.9274,1.8099,1.8412,8003,0
20050509,1.8257,1.8412,1.8257,1.8412,6500,0
20050510,1.8334,1.8334,1.7551,1.7551,5378,0
20050511,1.7864,1.7864,1.7864,1.7864,1325,0
20050512,1.7864,1.9039,1.7864,1.8412,2768,0
20050513,1.8412,1.8412,1.8257,1.8257,2379,0
20050516,1.8257,1.8257,1.8257,1.8257,832,0
20050518,1.9274,1.9274,1.9274,1.9274,342,0
20050519,1.8805,1.8805,1.8805,1.8805,811,0
20050520,1.8491,1.9117,1.8099,1.8099,7388,0
20050523,2.0215,2.0215,1.8412,1.8412,20066,0
20050524,1.8099,1.8099,1.8099,1.8099,3493,0
20050525,1.8727,1.8727,1.8099,1.8099,2651,0
20050527,1.8412,1.8412,1.8178,1.8178,1368,0
20050601,1.8649,1.9039,1.8649,1.9039,944,0
20050602,1.9039,1.9039,1.9039,1.9039,1026,0
20050603,1.8178,2.0293,1.8178,2.0293,5689,0
20050607,1.9039,1.9039,1.8178,1.8257,3211,0
20050608,1.8178,1.8727,1.8178,1.8178,5829,0
20050609,1.9039,1.9039,1.9039,1.9039,342,0
20050613,1.9274,2.0293,1.9039,2.0293,3588,0
20050614,1.9589,1.9589,1.8257,1.8257,2269,0
20050615,1.9589,1.9589,1.9274,1.9274,856,0
20050616,1.8491,1.8727,1.8257,1.8727,3175,0
20050620,1.8649,1.9196,1.8569,1.9196,24714,0
20050621,1.8805,1.9039,1.8805,1.8962,7379,0
20050623,1.8805,1.8805,1.8805,1.8805,398,0
20050624,1.8883,1.8883,1.8727,1.8727,4765,0
20050628,1.8805,1.8805,1.8805,1.8805,721,0
20050629,1.8883,1.9039,1.8883,1.9039,12210,0
20050630,1.9274,1.9274,1.9274,1.9274,2566,0
20050705,1.9274,1.9274,1.9196,1.9196,2566,0
20050706,1.8962,1.8962,1.8412,1.8412,17693,0
20050707,1.8099,1.9196,1.8099,1.9196,2806,0
20050708,1.8727,1.8727,1.8727,1.8727,3355,0
20050711,1.9039,1.9039,1.9039,1.9039,6840,0
20050712,1.8412,1.8569,1.8412,1.8569,2727,0
20050714,1.8569,1.8569,1.8569,1.8569,2186,0
20050715,1.8569,1.8569,1.8569,1.8569,1419,0
20050718,1.9196,1.9196,1.8805,1.9039,10091,0
20050721,1.8727,1.9196,1.8569,1.9196,12057,0
20050722,1.8962,1.8962,1.8962,1.8962,856,0
20050726,1.8569,1.8727,1.8569,1.8649,4201,0
20050727,1.8649,1.8649,1.8649,1.8649,512,0
20050728,1.8649,1.9039,1.8569,1.8805,7182,0
20050729,1.8727,1.8805,1.8569,1.8569,5531,0
20050801,1.8569,1.8727,1.8569,1.8727,2190,0
20050802,1.8649,1.9196,1.8569,1.8569,22995,0
20050803,1.8569,1.8649,1.8569,1.8569,4414,0
20050804,1.9196,1.9196,1.8412,1.8727,8422,0
20050805,1.8412,1.8727,1.8412,1.8727,14494,0
20050809,1.8649,1.8649,1.8649,1.8649,1777,0
20050810,1.8569,1.9039,1.8569,1.8649,13043,0
20050815,1.9274,2.0136,1.9274,1.9353,12997,0
20050816,1.9039,1.9117,1.9039,1.9039,4447,0
20050817,1.9274,1.9274,1.9039,1.9039,3207,0
20050819,1.9039,1.9039,1.9039,1.9039,564,0
20050822,1.9117,1.9117,1.9039,1.9039,20187,0
20050823,1.9589,1.9589,1.9589,1.9589,257,0
20050824,1.9589,1.9589,1.9196,1.9196,5131,0
20050825,1.9196,1.9745,1.9196,1.9196,3001,0
20050826,2.0136,2.0136,1.9274,1.9274,342,0
20050829,1.9196,1.9196,1.9039,1.9039,4447,0
20050831,2.0136,2.0136,1.9117,1.9117,2052,0
20050901,1.9039,1.9039,1.9039,1.9039,1702,0
20050902,1.8805,1.8805,1.8805,1.8805,1197,0
20050906,1.9196,1.9196,1.8569,1.8569,5644,0
20050907,1.9589,1.9589,1.8805,1.8805,2651,0
20050908,1.9431,1.9431,1.8727,1.8727,14837,0
20050909,1.9274,1.9274,1.8491,1.8491,1368,0
20050913,1.8491,1.8491,1.8178,1.8412,13938,0
20050915,1.8569,1.9274,1.8569,1.9274,1538,0
20050916,1.8569,1.8569,1.8569,1.8569,4977,0
20050919,1.8649,1.9196,1.8569,1.8569,2352,0
20050921,1.9274,1.9274,1.8412,1.8412,5075,0
20050922,1.8491,1.8727,1.8412,1.8412,19805,0
20050923,1.8412,1.8883,1.8412,1.8491,13645,0
20050926,1.8412,1.8805,1.763,1.8805,22509,0
20050927,1.7708,1.8649,1.7708,1.7943,11628,0
20050928,1.8099,1.8805,1.8099,1.8178,9028,0
20050929,1.8099,1.8099,1.8099,1.8099,898,0
20050930,1.8099,1.8649,1.7943,1.8178,3056,0
20051003,1.8178,1.8178,1.8178,1.8178,2109,0
20051004,1.8805,1.8805,1.8178,1.8257,685,0
20051005,1.8178,1.8257,1.8178,1.8257,1241,0
20051006,1.8178,1.8178,1.8178,1.8178,9241,0
20051007,1.8178,1.8805,1.8099,1.8805,7016,0
20051010,1.8334,1.8334,1.8334,1.8334,2479,0
20051012,1.8727,1.8727,1.8178,1.8178,856,0
20051013,1.8805,1.8805,1.8178,1.8178,2736,0
20051014,1.8178,1.8569,1.8178,1.8178,856,0
20051018,1.8569,1.8569,1.8178,1.8178,2909,0
20051019,1.8178,1.8569,1.8178,1.8178,7038,0
20051020,1.8178,1.8178,1.8178,1.8178,691,0
20051021,1.8178,1.8257,1.8178,1.8178,7291,0
20051024,1.8257,1.8257,1.8257,1.8257,1026,0
20051025,1.8962,1.8962,1.8334,1.8412,1065,0
20051026,1.8257,1.8412,1.8257,1.8412,1615,0
20051027,1.8491,1.8805,1.8178,1.8412,15904,0
20051028,1.8334,1.8334,1.8178,1.8178,983,0
20051031,1.8257,1.8334,1.8257,1.8257,1044,0
20051101,1.8412,1.8569,1.8334,1.8334,5207,0
20051102,1.8883,1.8962,1.8883,1.8962,7269,0
20051103,1.8962,1.8962,1.8962,1.8962,1368,0
20051107,1.8178,1.8178,1.8178,1.8178,512,0
20051109,1.8257,1.8334,1.8257,1.8334,6801,0
20051110,1.8569,1.8649,1.8569,1.8649,1127,0
20051114,1.8491,2.335,1.8412,2.335,36450,0
20051115,2.335,2.5464,2.2095,2.28,36990,0
20051116,2.2486,2.335,2.2252,2.335,7754,0
20051117,2.335,2.3428,2.2722,2.288,10072,0
20051118,2.288,2.3505,2.288,2.3428,5472,0
20051121,2.2566,2.2566,2.2566,2.2566,718,0
20051122,2.2566,2.2566,2.0136,2.233,11331,0
20051125,2.1076,2.1076,2.1076,2.1076,512,0
20051128,2.1548,2.1626,2.1548,2.1626,927,0
20051129,2.1781,2.335,2.1781,2.335,1787,0
20051130,2.327,2.327,2.2252,2.2252,8551,0
20051201,2.2174,2.2252,2.2017,2.2017,3025,0
20051202,2.2252,2.2252,2.2252,2.2252,856,0
20051205,2.2252,2.2252,2.2252,2.2252,2395,0
20051206,2.186,2.2095,2.186,2.1939,2298,0
20051208,2.1939,2.1939,2.1939,2.1939,342,0
20051209,2.1939,2.1939,2.1939,2.1939,2967,0
20051212,2.1939,2.1939,2.186,2.186,863,0
20051213,2.1939,2.1939,2.1939,2.1939,1026,0
20051214,2.1939,2.2174,2.0842,2.2174,5811,0
20051216,2.1626,2.1626,2.1311,2.1311,2312,0
20051219,2.1311,2.1311,2.1311,2.1311,1159,0
20051220,2.1311,2.1311,2.1311,2.1311,467,0
20051221,2.1626,2.186,2.0842,2.1233,3377,0
20051222,2.1781,2.1781,2.0842,2.0842,856,0
20051223,2.1469,2.1469,2.0842,2.1233,2868,0
20051227,2.2174,2.2252,2.2174,2.2252,512,0
20051228,2.2174,2.2174,2.0842,2.139,2015,0
20051230,2.1626,2.2252,2.1233,2.2252,2838,0
20060103,2.2095,2.2095,2.2095,2.2095,898,0
20060104,2.139,2.1626,2.1076,2.1076,4154,0
20060105,2.1626,2.1626,2.1311,2.1469,3466,0
20060106,2.1311,2.2017,2.1311,2.2017,4739,0
20060109,2.1626,2.1626,2.1626,2.1626,1246,0
20060110,2.2095,2.2174,2.2095,2.2174,1026,0
20060111,2.2252,2.2252,2.139,2.2174,19476,0
20060112,2.2252,2.327,2.1626,2.327,10139,0
20060113,2.335,2.335,2.2957,2.335,13551,0
20060117,2.3505,2.3505,2.1939,2.3428,3992,0
20060118,2.6091,2.9775,2.3428,2.3428,43878,0
20060119,2.4603,2.6091,2.4603,2.523,6242,0
20060120,2.5151,2.5464,2.3975,2.5151,10504,0
20060123,2.5151,2.5151,2.4524,2.4759,2472,0
20060124,2.4759,2.5699,2.468,2.5308,6525,0
20060125,2.5308,2.5387,2.5308,2.5387,3665,0
20060126,2.5464,2.5464,2.5464,2.5464,162,0
20060127,2.5464,2.5464,2.2566,2.3663,11406,0
20060130,2.3663,2.3819,2.3585,2.3663,1790,0
20060131,2.3585,2.5387,2.3585,2.5387,9701,0
20060201,2.4838,2.4838,2.4211,2.4211,6293,0
20060202,2.3975,2.3975,2.2486,2.2566,6217,0
20060203,2.4369,2.4369,2.241,2.241,3933,0
20060206,2.327,2.335,2.288,2.288,1635,0
20060207,2.288,2.2957,2.288,2.2957,487,0
20060208,2.3192,2.3663,2.28,2.3663,1303,0
20060209,2.2644,2.3663,2.241,2.2722,15474,0
20060210,2.3585,2.3975,2.3585,2.3975,2117,0
20060214,2.3975,2.3975,2.3975,2.3975,1629,0
20060215,2.3663,2.3898,2.3663,2.3898,1513,0
20060216,2.28,2.28,2.241,2.241,6155,0
20060217,2.241,2.2486,2.241,2.2486,9053,0
20060221,2.241,2.241,2.241,2.241,326,0
20060222,2.28,2.28,2.2722,2.2722,5509,0
20060223,2.2017,2.2017,2.1939,2.1939,852,0
20060224,2.1548,2.1548,2.1548,2.1548,326,0
20060227,2.0058,2.1705,2.0058,2.1705,2237,0
20060228,2.0058,2.0293,2.0058,2.0293,3376,0
20060301,2.233,2.9461,2.233,2.8207,127488,0
20060302,2.9461,2.9461,2.8207,2.9381,71161,0
20060303,2.9381,2.9381,2.617,2.617,32158,0
20060306,2.617,2.7816,2.617,2.7267,7049,0
20060307,2.6405,2.7031,2.6091,2.6091,8564,0
20060308,2.7345,2.7658,2.617,2.6249,3550,0
20060309,2.6327,2.6405,2.6091,2.6091,9466,0
20060313,2.7581,2.7581,2.7031,2.7502,14594,0
20060314,2.6639,2.7423,2.6405,2.7031,7446,0
20060315,2.6091,2.7189,2.6091,2.6091,9730,0
20060316,2.7581,2.7581,2.6249,2.6249,1331,0
20060317,2.6249,2.6249,2.617,2.617,4900,0
20060320,2.6327,2.711,2.6091,2.6562,3545,0
20060321,2.6405,2.6405,2.4916,2.5308,3423,0
20060322,2.5308,2.6796,2.5308,2.6796,10587,0
20060323,2.7031,2.7031,2.4916,2.6718,6446,0
20060324,2.5934,2.5934,2.5934,2.5934,3246,0
20060327,2.5778,2.5934,2.5778,2.5857,3431,0
20060328,2.6718,2.6796,2.5857,2.6796,2001,0
20060329,2.6484,2.6953,2.5151,2.6718,7667,0
20060330,2.4524,2.5699,2.4524,2.4838,17963,0
20060331,2.5464,3.0166,2.5464,2.9148,33405,0
20060403,3.0322,3.1185,2.9148,2.9695,47591,0
20060404,2.9226,3.001,2.8599,3.001,2277,0
20060405,3.0087,3.0087,3.0087,3.0087,487,0
20060406,2.8599,2.9381,2.8599,2.8599,5518,0
20060407,2.8834,2.8834,2.7658,2.8755,2703,0
20060410,3.0166,3.0244,2.7893,2.8207,5222,0
20060411,2.8207,2.8207,2.8207,2.8207,1796,0
20060412,2.8834,2.8834,2.8834,2.8834,11401,0
20060413,2.8834,2.8834,2.8207,2.8207,1464,0
20060417,2.8207,2.9069,2.7658,2.9069,17325,0
20060418,2.9148,2.9148,2.7658,2.8834,10750,0
20060419,2.9148,2.9148,2.8207,2.8676,8695,0
20060420,2.8207,2.8207,2.8207,2.8207,331,0
20060421,2.8834,2.8834,2.8834,2.8834,1303,0
20060424,2.9148,2.9148,2.899,2.9069,2185,0
20060425,2.7737,2.8286,2.7737,2.8286,714,0
20060426,2.7737,2.7737,2.7737,2.7737,1465,0
20060427,2.7658,2.9148,2.7658,2.9148,25142,0
20060428,2.8521,2.8521,2.8207,2.8207,11810,0
20060501,2.7658,2.7658,2.7345,2.7345,1613,0
20060502,2.8207,2.9381,2.8207,2.9381,24392,0
20060503,2.9461,2.9461,2.8912,2.8912,8812,0
20060504,2.7737,2.7737,2.7737,2.7737,487,0
20060505,2.7658,2.8755,2.7658,2.8755,1303,0
20060508,2.9461,2.9461,2.7971,2.7971,2117,0
20060509,2.8755,2.8755,2.7737,2.7893,6160,0
20060510,2.7031,2.8207,2.0842,2.7031,73164,0
20060511,2.7031,2.7658,2.7031,2.7658,4337,0
20060512,2.7658,2.7658,2.7658,2.7658,3287,0
20060515,2.7658,2.8207,2.7658,2.8207,564,0
20060516,2.7658,3.0714,2.7658,3.04,45234,0
20060517,2.9226,3.0636,2.805,3.048,7923,0
20060518,2.9148,2.9148,2.8129,2.9148,4820,0
20060519,2.8363,2.8834,2.8129,2.8129,1962,0
20060522,2.8129,2.8755,2.7345,2.8755,2117,0
