Date,Open,High,Low,Close,Volume,OpenInt
20120419,32,35.85,30.91,35.48,14125127,0
20120420,35.25,36.64,33.5,36.2,1796585,0
20120423,36.78,37.24,35.76,35.93,930633,0
20120424,36.04,37.34,34.65,35.8,506199,0
20120425,36.78,37.15,34.57,34.72,520432,0
20120426,34.59,35.3,33.34,35.11,233970,0
20120427,36,36.97,35.02,35.06,380799,0
20120430,36.13,36.13,33.6,33.95,301579,0
20120501,34.29,36.94,33.93,35.91,679496,0
20120502,35.51,36.2,35.2,35.28,261303,0
20120503,36.5,36.5,32.2,32.68,1026640,0
20120504,32.32,32.59,31.76,32.07,439411,0
20120507,31.75,33.03,31.75,32.93,290260,0
20120508,33,34.15,32.31,32.75,331446,0
20120509,32.01,34.17,32.01,32.86,356754,0
20120510,33.32,33.95,31.53,31.79,387900,0
20120511,31.33,32.23,29.47,31.36,1023375,0
20120514,31.28,32.92,30.43,31.02,718465,0
20120515,31.39,31.85,31.2,31.62,356611,0
20120516,31.64,31.9,30.41,30.97,240354,0
20120517,31.11,31.18,29.87,30.62,357857,0
20120518,31.09,31.09,28.49,29.06,814493,0
20120521,29.48,30.14,28.82,30.02,605372,0
20120522,30.42,32.55,30.09,31.63,508387,0
20120523,31.1,35.8,30,34.89,798983,0
20120524,35.5,36.5,33.58,34.59,485705,0
20120525,35.08,36.34,34.43,35.93,296454,0
20120529,36.72,37.57,35.94,36.38,563965,0
20120530,36.08,36.08,33.57,34.3,882473,0
20120531,34.25,34.99,31.36,32.56,988037,0
20120601,31.56,31.97,26.97,27.24,1778879,0
20120604,27.8,28,25.15,27,706162,0
20120605,27.26,28.85,26.8,28.59,610337,0
20120606,28.86,32,28.1,30.15,821451,0
20120607,30.56,31.41,28.65,29.77,455199,0
20120608,30.1,32.06,29.22,32.01,626515,0
20120611,32.69,32.88,29.77,30.01,378411,0
20120612,30.69,30.99,29.83,30.43,298603,0
20120613,30.48,31.95,30.02,30.75,233851,0
20120614,30.9,31.92,30.76,31.66,273447,0
20120615,31.84,33.04,31.18,32.73,396787,0
20120618,32.35,32.72,31.76,32.13,318165,0
20120619,32.65,32.67,31.84,31.96,387820,0
20120620,31.93,32.02,30.81,31.68,310936,0
20120621,31.52,32.02,29.32,29.54,569279,0
20120622,31.2,31.2,29.11,29.27,1561032,0
20120625,28.52,28.94,27.84,28.26,627089,0
20120626,28.41,28.41,27.53,27.78,490306,0
20120627,27.62,28.38,27.62,28,350302,0
20120628,26.98,27.59,25.82,26.49,1178654,0
20120629,27.1,28.36,27.015,28.1,458260,0
20120702,28.15,29.49,27.44,29.13,350711,0
20120703,29.02,29.25,28.8,29.04,138890,0
20120705,28.89,30.53,28.68,29.86,152099,0
20120706,29.29,29.86,28.88,29.63,444501,0
20120709,29.17,29.59,27.42,28.07,813921,0
20120710,28.24,28.24,26.51,26.83,694643,0
20120711,26.83,27.41,26.25,26.59,350331,0
20120712,26.32,27.5,25.9,27.1,246978,0
20120713,27.24,28.74,27.02,28.19,354544,0
20120716,28.05,29.32,27.94,28.43,422400,0
20120717,27.89,28.29,27.49,27.97,653097,0
20120718,27.86,29.45,27.5,28.92,910518,0
20120719,29,29.36,28.47,29.19,846586,0
20120720,29.12,29.57,28.06,28.55,6141008,0
20120723,28.25,28.63,28,28.06,1014935,0
20120724,28.15,28.25,27.75,27.96,365321,0
20120725,28.11,28.47,27.6,28.25,396009,0
20120726,28.83,28.93,27.99,28.37,644436,0
20120727,28.64,29.9,28.05,29.27,770671,0
20120730,29.18,29.28,28.37,28.75,322411,0
20120731,28.65,29.55,28.64,29.4,518346,0
20120801,29.69,29.8,28.68,28.95,338282,0
20120802,28.4,28.54,27,28.28,840079,0
20120803,28.9,28.99,27.53,27.94,422099,0
20120806,27.98,29.74,27.88,29.16,624084,0
20120807,29.64,30.84,29.39,30.51,758889,0
20120808,30.26,30.66,29.69,30.16,231421,0
20120809,30.21,30.58,29.94,30.52,285619,0
20120810,30.28,30.75,29.95,30.18,309113,0
20120813,30.22,30.3,29.46,29.85,320781,0
20120814,30.04,30.12,29.42,29.68,154795,0
20120815,29.29,29.93,28.74,29.29,384300,0
20120816,29.56,30.76,29.05,30.66,551303,0
20120817,30.85,31,30.434,30.9,376059,0
20120820,30.9,31.5,30.58,31.44,347416,0
20120821,31.5,31.75,30.47,30.75,314795,0
20120822,30.8,30.95,30.5,30.6,265653,0
20120823,30.51,30.94,30.05,30.93,389340,0
20120824,30.9,31.06,30.45,30.86,337781,0
20120827,31.07,31.16,30.54,31.03,332738,0
20120828,31,31.119,30.89,31,290550,0
20120829,31,31.04,30.51,30.84,311232,0
20120830,30.52,31.36,29.91,30.5,925637,0
20120831,34.5,36.12,34.25,34.4,3465160,0
20120904,34.49,35.52,34.29,35.38,603672,0
20120905,35.54,37.44,35.23,37.02,1069618,0
20120906,37.58,37.75,36.33,37.23,571128,0
20120907,37.2,38.49,36.6,38.29,846495,0
20120910,38.2,38.21,36.09,36.98,752129,0
20120911,37,37.19,36.33,36.49,429152,0
20120912,36.98,37.4,36.69,36.88,352980,0
20120913,36.98,38.08,36,37.81,608552,0
20120914,38.48,39.75,38.26,39.08,663214,0
20120917,39.09,39.09,37.72,38.35,401400,0
20120918,38.39,38.498,37.56,37.66,268560,0
20120919,37.49,38.3,37.48,37.86,313249,0
20120920,37.58,37.81,35.85,36.75,1202495,0
20120921,37.16,37.75,36.61,37.14,1607611,0
20120924,36.87,37.12,36.01,36.26,571702,0
20120925,36.65,38.07,36.3,36.79,1692520,0
20120926,36.61,36.68,34.92,35.93,484686,0
20120927,36.55,38.16,36.32,37.73,1107889,0
20120928,37.61,37.87,36.12,36.72,970188,0
20121001,37,37.2,33.94,35.93,2338889,0
20121002,35.91,35.988,34.24,35.37,967929,0
20121003,35.51,36.1,34.95,36.05,648435,0
20121004,35.5,35.79,34.82,34.94,592287,0
20121005,35.06,35.28,32.43,33.03,1457620,0
20121008,31.96,33.56,31.85,32.7,714992,0
20121009,32.6,32.6,32,32.364,706731,0
20121010,32.26,32.65,30.92,31.07,1223701,0
20121011,31.53,32.07,30.9,31.52,1681392,0
20121012,31.5,31.79,31.14,31.31,680431,0
20121015,31.15,32.47,31.03,32.23,1183492,0
20121016,31.13,32.78,30.23,32,6140956,0
20121017,31.9,32.11,30.94,31.22,1700927,0
20121018,31,31.6,30.815,31.17,1061304,0
20121019,31.21,31.93,30.72,31.51,1718187,0
20121022,31.83,31.83,30.12,30.49,1422905,0
20121023,30.29,30.77,29.9,30.559,923517,0
20121024,30.74,30.87,30.01,30.39,670511,0
20121025,30.81,30.81,28.04,29.99,2040764,0
20121026,29.65,29.91,28.76,28.99,917276,0
20121031,28.96,29.04,27.75,28.03,1557782,0
20121101,28.15,29.23,27.9,28.52,1434983,0
20121102,28.67,28.76,27.77,28.23,829758,0
20121105,28.18,28.41,27.41,27.69,795081,0
20121106,27.84,28.18,27.58,27.75,569012,0
20121107,27.45,27.57,26.87,27.36,649752,0
20121108,27.34,27.35,26.73,26.81,733528,0
20121109,26.88,27.06,26.58,26.92,848951,0
20121112,26.97,27,26.15,26.54,722378,0
20121113,26.31,26.7,26.1,26.3,412849,0
20121114,26.37,27.36,26.34,26.58,752842,0
20121115,26.64,27.44,26.64,27.389,1184154,0
20121116,27.38,29,27.31,28.5,1378900,0
20121119,28.562,28.92,27.32,28.139,1445956,0
20121120,28.02,28.6,28.02,28.39,657664,0
20121121,28.39,29.2,28.39,28.67,748023,0
20121123,28.68,29.01,28.48,28.89,300597,0
20121126,28.6,28.99,28.19,28.8,698403,0
20121127,28.9,29.22,28.67,29.06,838091,0
20121128,28.955,29.1,28.76,29.04,656632,0
20121129,29.03,30,28.97,29.98,2155701,0
20121130,29.98,30.92,28.1,30.2,8192955,0
20121203,28.21,29.75,27.87,28.31,5165025,0
20121204,28,28.55,27.87,28.131,1342184,0
20121205,28.01,28.795,27.71,28.74,1316295,0
20121206,28.15,29,27.78,28.89,938654,0
20121207,28.6,28.7,27.84,27.89,1292938,0
20121210,27.82,28.43,27.73,27.84,1735290,0
20121211,27.82,28,27.551,27.6,1484792,0
20121212,27.82,27.82,26.91,27.09,1876036,0
20121213,27.17,27.46,26.931,27.202,1344595,0
20121214,27.05,27.66,26.98,27.57,931788,0
20121217,27.21,27.71,27.14,27.67,953274,0
20121218,27.21,28.4,27.208,28.26,1564084,0
20121219,28.33,29.67,28.05,29.37,2552829,0
20121220,29.16,29.38,28.85,29.11,1312047,0
20121221,29.02,29.43,28.66,29.37,1643560,0
20121224,29.04,29.27,28.98,29.2,324950,0
20121226,28.64,29.12,28.61,28.84,469896,0
20121227,28.41,28.909,27.97,28.78,1193990,0
20121228,28.45,28.77,28.34,28.41,676345,0
20121231,28.08,29.18,28.08,29.02,994084,0
20130102,29.5,29.7,29.02,29.26,1214827,0
20130103,29.5,29.8,29.14,29.35,637960,0
20130104,29.53,29.87,29.29,29.68,559063,0
20130107,29.68,29.89,29.32,29.365,866307,0
20130108,28.77,29.18,28.25,28.88,1195388,0
20130109,28.79,29.81,28.77,29.74,885330,0
20130110,29.89,29.89,29.22,29.77,720904,0
20130111,29.66,32.44,29.44,32.27,3579761,0
20130114,31.63,31.87,30.85,31.3,1536125,0
20130115,31.1,33.71,30.995,33.46,3302239,0
20130116,33,33.35,31.75,31.78,3933321,0
20130117,31.85,33.4,31.14,33.15,2955141,0
20130118,33.15,33.75,33,33.5,2604840,0
20130122,33.42,33.63,32.96,33.54,1129829,0
20130123,33.73,33.74,33,33.23,1306400,0
20130124,33.53,33.62,33.15,33.49,2042697,0
20130125,33.62,34.9,33.29,33.63,2140550,0
20130128,33.88,34.98,33.88,34.08,1982267,0
20130129,33.65,33.75,32.57,33.46,2411382,0
20130130,33.49,33.64,32.31,32.78,1357369,0
20130131,32.91,33.93,32.5,32.96,1078099,0
20130201,33.27,34.02,33.27,33.9,2550040,0
20130204,33.51,34.05,33.33,33.67,884336,0
20130205,33.67,34,33.44,33.72,797516,0
20130206,33.84,34.16,33.64,33.92,780894,0
20130207,33.75,33.775,32.82,33.21,733451,0
20130208,32.79,33.74,32.75,33.42,636784,0
20130211,33.47,34.01,33,33.88,770841,0
20130212,33.99,34.75,33.76,34.64,1711584,0
20130213,34.42,34.83,34.12,34.5,717567,0
20130214,34.32,35.19,34.02,35.08,1479124,0
20130215,35.49,35.76,34.9,34.98,1555150,0
20130219,34.74,35.35,34.67,34.68,743111,0
20130220,34.88,35.07,34.04,34.11,827562,0
20130221,34.18,34.822,33.78,34.04,794528,0
20130222,34.05,35.06,34,35.01,703320,0
20130225,35,36.31,35,35.55,1819924,0
20130226,35.51,35.75,35.06,35.51,1802894,0
20130227,35.29,36.47,35.1,36.36,1306334,0
20130228,36.28,36.71,35.93,36.13,2107996,0
20130301,37.08,39.18,36.13,38.97,4294103,0
20130304,37.43,38.18,37.05,37.6,3742197,0
20130305,37.28,37.68,37.01,37.56,3442558,0
20130306,37.79,38.04,37.3,37.84,1806065,0
20130307,38,38.07,37.64,38.01,1717885,0
20130308,37.95,39.23,37.93,38.72,1755047,0
20130311,37.78,39.03,37.51,38.62,1199525,0
20130312,38.47,38.98,37.73,38.11,1523941,0
20130313,38.21,38.72,37.91,38.56,1069400,0
20130314,38.74,39.5,38.38,39.04,1633284,0
20130315,39.11,39.49,38.65,39,1147760,0
20130318,38.04,38.98,38.03,38.58,922315,0
20130319,38.65,38.8,37.13,37.49,1635172,0
20130320,37.86,38.56,37.61,38.55,1166633,0
20130321,38.05,38.82,37.62,38.46,1010737,0
20130322,38.44,39.3,38.03,39.05,1312576,0
20130325,38.65,40.63,38.47,39.98,3272579,0
20130326,39.49,39.7,38.6,39,3280093,0
20130327,39.26,40.03,38.82,40.02,1657740,0
20130328,39.84,40.58,39.8,40.03,1425611,0
20130401,40,40.3,39.66,40,1540268,0
20130402,39.96,40.37,39.6,39.73,929629,0
20130403,39.71,39.9,38.75,39.33,1601514,0
20130404,39.33,39.89,39.1,39.49,1322774,0
20130405,38.99,40,38.6,39.91,1121748,0
20130408,39.33,40.22,39.26,39.86,1397664,0
20130409,39.75,40.65,39.685,40.45,1149969,0
20130410,40.56,41.44,40.29,41.16,2540893,0
20130411,41.37,42.25,40.99,42.14,1596424,0
20130412,42.13,42.4,41.64,42.26,881121,0
20130415,42.09,42.48,41.42,41.45,1441628,0
20130416,41.56,42.28,41.22,42.14,1870758,0
20130417,42.05,42.49,41.73,42.1,1295612,0
20130418,42.42,42.42,40.79,41.02,1040641,0
20130419,41.03,41.03,40.03,40.63,1229360,0
20130422,41.06,41.49,40.22,40.71,1004230,0
20130423,40.64,41.77,40.64,41.51,645863,0
20130424,41.45,41.501,40.72,40.88,908461,0
