Date,Open,High,Low,Close,Volume,OpenInt
20110907,4.2827,4.3967,3.9885,4.0788,239701,0
20110908,4.1361,4.2259,3.9873,4.0411,138284,0
20110909,3.9873,4.0767,3.8678,3.9041,131711,0
20110912,3.8508,3.8566,3.7502,3.7918,265898,0
20110913,3.7918,3.7918,3.6088,3.7858,284112,0
20110914,3.7918,3.7918,3.526,3.6264,408790,0
20110915,3.6676,3.7447,3.6619,3.7034,201319,0
20110916,3.7197,3.791,3.6899,3.7672,85004,0
20110919,3.7502,3.7502,3.6739,3.7328,138978,0
20110920,3.6899,3.7254,3.6421,3.6899,54287,0
20110921,3.6957,3.7197,3.6185,3.6185,68029,0
20110922,3.559,3.559,3.4282,3.4996,225283,0
20110923,3.5946,3.6007,3.4758,3.5113,150884,0
20110926,4.1065,4.1065,3.4758,3.5291,186877,0
20110927,3.5946,3.6484,3.5826,3.6421,166128,0
20110928,3.6603,3.6603,3.5528,3.5528,69669,0
20110929,3.5888,3.6185,3.4575,3.4575,252596,0
20110930,3.4434,3.4434,3.3621,3.3688,318596,0
20111003,3.3147,3.3802,3.0888,3.1129,578681,0
20111004,2.9156,3.1073,2.8556,2.9455,467076,0
20111005,2.9633,3.1136,2.9633,3.0591,119646,0
20111006,3.1136,3.2514,3.0773,3.1915,109010,0
20111007,3.2092,3.2631,3.1732,3.203,77482,0
20111010,3.5113,3.5113,3.2019,3.3391,119349,0
20111011,3.4459,3.4459,3.2195,3.2258,106809,0
20111012,3.2794,3.3802,3.2732,3.2794,127397,0
20111013,3.3032,3.3391,3.2552,3.3267,127748,0
20111014,3.3651,3.4013,3.3289,3.3533,85517,0
20111017,3.422,3.422,3.3564,3.3863,91202,0
20111018,3.3919,3.422,3.3444,3.4161,48982,0
20111019,3.4194,3.4911,3.3952,3.4133,62649,0
20111020,3.4732,3.5752,3.449,3.5752,186252,0
20111021,3.593,3.6351,3.5811,3.593,136933,0
20111024,3.593,3.6293,3.569,3.6173,107550,0
20111025,3.6161,3.6281,3.5013,3.5313,158737,0
20111026,3.593,3.593,3.509,3.5387,88561,0
20111027,3.6231,3.6593,3.593,3.6293,182966,0
20111028,3.6173,3.707,3.5873,3.6709,102441,0
20111031,3.6752,3.6752,3.6377,3.6377,50866,0
20111101,3.5737,3.6161,3.489,3.5251,221954,0
20111102,3.5387,3.5873,3.5209,3.5572,90058,0
20111103,3.5979,3.6036,3.5068,3.6036,83121,0
20111104,3.5983,3.5983,3.5193,3.5248,106535,0
20111107,3.5387,3.5387,3.4373,3.4609,231736,0
20111108,3.509,3.509,3.4373,3.4911,88362,0
20111109,3.4285,3.4285,3.3436,3.3436,138743,0
20111110,3.3197,3.3436,3.265,3.2777,291327,0
20111111,3.3317,3.477,3.2896,3.4405,156355,0
20111114,3.4249,3.5153,3.4133,3.4853,76605,0
20111115,3.4672,3.5995,3.4554,3.4791,114936,0
20111116,3.4791,3.593,3.4791,3.593,117501,0
20111117,3.5995,3.5995,3.509,3.5272,90288,0
20111118,3.5313,3.5796,3.5068,3.5796,59095,0
20111121,3.5979,3.5979,3.4466,3.5737,180395,0
20111122,3.6281,3.6647,3.5676,3.6401,125302,0
20111123,3.6099,3.634,3.489,3.5194,112503,0
20111125,3.5436,3.5436,3.5068,3.5194,19412,0
20111128,3.6281,3.6581,3.5554,3.5979,167427,0
20111129,3.7065,3.7065,3.6036,3.6647,191156,0
20111130,3.7186,3.8509,3.6498,3.8445,429071,0
20111201,3.8096,3.8518,3.755,3.755,136502,0
20111202,3.7971,3.8272,3.6947,3.7736,113342,0
20111205,3.755,3.8338,3.749,3.7853,129097,0
20111206,3.781,3.8121,3.6954,3.72,89765,0
20111207,3.72,3.7622,3.6956,3.7502,65955,0
20111208,3.7502,3.7502,3.6895,3.7502,35202,0
20111209,3.7383,3.7622,3.6956,3.7622,42005,0
20111212,3.8398,3.8398,3.6947,3.755,151289,0
20111213,3.7609,3.8398,3.7184,3.7367,235622,0
20111214,3.6884,3.7609,3.6521,3.749,74282,0
20111215,3.7789,3.8096,3.7307,3.749,75521,0
20111216,3.7993,3.8114,3.7566,3.8114,62240,0
20111219,3.8398,3.8943,3.7789,3.8644,145449,0
20111220,3.9328,3.9328,3.8114,3.8295,123142,0
20111221,3.7993,3.8539,3.7993,3.8172,38996,0
20111222,3.8659,3.8779,3.8114,3.8779,74240,0
20111223,3.9027,3.9027,3.8114,3.9027,22719,0
20111227,3.8844,3.9819,3.8659,3.9819,70915,0
20111228,3.9819,4.0243,3.8844,4.0243,49963,0
20111229,3.9876,3.9876,3.8659,3.8723,81153,0
20111230,3.9027,3.9819,3.8962,3.9754,107778,0
20120103,4.0912,4.0912,3.9393,4.0124,115510,0
20120104,4.006,4.055,3.9876,4.055,106040,0
20120105,4.0789,4.0789,3.9572,3.9819,62118,0
20120106,4.0017,4.0017,3.8975,3.91,121563,0
20120109,3.9633,4.006,3.8659,3.9027,97417,0
20120110,3.9819,4,3.9143,3.9754,145391,0
20120111,3.9587,4.0017,3.9223,4.0017,45468,0
20120112,4.0203,4.106,3.9654,4.069,118604,0
20120113,4.0936,4.1672,3.9959,4.0325,137405,0
20120117,4.0823,4.1194,4.0389,4.0823,60918,0
20120118,4.0936,4.1243,4.0449,4.106,93539,0
20120119,4.1613,4.1613,4.0936,4.1185,92399,0
20120120,4.1243,4.1613,4.0816,4.0936,109034,0
20120123,4.0999,4.1367,4.0876,4.1243,100161,0
20120124,4.1306,4.1306,4.069,4.1122,91091,0
20120125,4.1243,4.1672,4.106,4.1552,63318,0
20120126,4.1796,4.1796,4.1427,4.1613,84447,0
20120127,4.1552,4.21,4.1489,4.1733,79224,0
20120130,4.1427,4.1733,4.1306,4.1613,58153,0
20120131,4.1685,4.2122,4.1248,4.1935,106280,0
20120201,4.2165,4.2224,4.1796,4.2045,65158,0
20120202,4.2224,4.2224,4.1185,4.1672,78208,0
20120203,4.218,4.2302,4.1809,4.2117,61757,0
20120206,4.2224,4.2836,4.21,4.2836,236257,0
20120207,4.2862,4.3044,4.2302,4.2612,114963,0
20120208,4.3966,4.3966,4.2302,4.243,95101,0
20120209,4.2735,4.3474,4.2735,4.3291,85302,0
20120210,4.2918,4.3044,4.2552,4.2672,183019,0
20120213,4.3514,4.406,4.2411,4.3019,114666,0
20120214,4.3208,4.3208,4.2533,4.2718,229884,0
20120215,4.3044,4.3353,4.2552,4.3291,108010,0
20120216,4.3514,4.3877,4.2652,4.3877,194816,0
20120217,4.4032,4.4586,4.3597,4.4398,195375,0
20120221,4.4956,4.5943,4.4277,4.5384,266551,0
20120222,4.5328,4.5633,4.5018,4.5141,171976,0
20120223,4.4956,4.5328,4.4705,4.5018,117762,0
20120224,4.4586,4.5141,4.3848,4.4277,170097,0
20120227,4.4155,4.4524,4.3661,4.3723,204179,0
20120228,4.2244,4.2612,4.1316,4.2117,1110759,0
