Date,Open,High,Low,Close,Volume,OpenInt
19900326,0.9218,0.9218,0.907,0.907,59053,0
19900327,0.9218,0.9218,0.907,0.907,529289,0
19900328,0.907,0.9218,0.8778,0.8778,957971,0
19900329,0.9146,0.9146,0.8926,0.8998,376187,0
19900330,0.8926,0.9146,0.8926,0.9146,297454,0
19900402,0.907,0.9146,0.907,0.907,253709,0
19900403,0.9218,0.9218,0.907,0.907,1159183,0
19900404,0.9146,0.9146,0.907,0.9146,395872,0
19900405,0.9146,0.9146,0.9146,0.9146,50305,0
19900406,0.9146,0.9218,0.9146,0.9146,739252,0
19900409,0.9218,0.9218,0.907,0.9146,328070,0
19900410,0.907,0.907,0.8487,0.907,2471470,0
19900411,0.9146,0.9146,0.907,0.907,159659,0
19900412,0.9146,0.9146,0.907,0.907,395872,0
19900416,0.9218,0.9218,0.8778,0.8778,242772,0
19900417,0.8778,0.907,0.8704,0.8778,745814,0
19900418,0.8926,0.8926,0.8704,0.8704,80927,0
19900419,0.8704,0.8926,0.8704,0.8778,1329781,0
19900420,0.8778,0.8926,0.8704,0.8778,758934,0
19900423,0.8631,0.8778,0.856,0.856,1161373,0
19900424,0.8704,0.8704,0.8704,0.8704,74361,0
19900425,0.8704,0.8778,0.8704,0.8778,328070,0
19900426,0.8778,0.8778,0.8704,0.8778,201219,0
19900427,0.8778,0.9146,0.8778,0.907,1014831,0
19900430,0.9146,0.9218,0.907,0.9218,170595,0
19900501,0.9146,0.9218,0.9146,0.9146,225276,0
19900502,0.9218,0.9218,0.9146,0.9146,242772,0
19900503,0.9292,0.9511,0.9218,0.9511,465861,0
19900504,0.9511,0.9583,0.9511,0.9583,144352,0
19900507,0.9511,0.9583,0.9511,0.9583,181536,0
19900508,0.9511,0.9583,0.9511,0.9511,260270,0
19900509,0.9583,0.9583,0.9511,0.9583,218714,0
19900510,0.9511,0.9583,0.9436,0.9511,376187,0
19900511,0.9729,0.9802,0.9583,0.9802,1797830,0
19900514,0.9802,1.0314,0.9583,1.0314,673637,0
19900515,1.0168,1.0534,1.0168,1.0534,1087011,0
19900516,1.0534,1.0606,1.0388,1.0534,1629420,0
19900517,1.0534,1.0534,1.0314,1.0314,266830,0
19900518,1.0314,1.0606,1.0314,1.0462,807053,0
19900521,1.0388,1.1339,1.0388,1.1045,2744861,0
19900522,1.1045,1.1045,1.0534,1.0974,2101845,0
19900523,1.0974,1.0974,1.0754,1.0754,144352,0
19900524,1.0754,1.1045,1.0754,1.0974,317138,0
