Date,Open,High,Low,Close,Volume,OpenInt
20141107,12.04,12.75,12,12.75,1756247,0
20141110,12.75,13.24,12.57,12.82,227724,0
20141111,12.8,12.94,12.72,12.72,77874,0
20141112,12.75,12.85,12.74,12.74,45970,0
20141113,12.26,12.77,12.26,12.67,42403,0
20141114,12.75,12.75,12.65,12.71,31131,0
20141117,12.71,12.777,12.69,12.74,74530,0
20141118,12.88,13.38,12.86,12.99,43765,0
20141119,12.96,13,12.7,12.75,23345,0
20141120,12.75,13.01,12.7,12.99,23871,0
20141121,12.936,13.65,12.72,13.57,46393,0
20141124,13.92,14.88,13.3,14.33,74456,0
20141125,15.9,15.9,14.34,14.73,54783,0
20141126,14.72,15.99,14.72,14.98,95636,0
20141128,15.12,15.46,14.76,15.03,42880,0
20141201,14.84,14.99,13.201,14.71,74737,0
20141202,14.38,15.18,13.7,13.96,88962,0
20141203,13.855,14.82,13.855,14.5,42992,0
20141204,14.28,14.53,13.91,14.33,73591,0
20141205,14.25,14.488,13.685,14.34,41741,0
20141208,14.19,14.5,13.21,14.5,62173,0
20141209,13.75,14.18,13.53,14,32766,0
20141210,14.04,14.09,12.5,12.91,73450,0
20141211,12.97,13.143,12.14,12.75,78592,0
20141212,13.49,14,12.325,13.7,48789,0
20141215,13.59,14,12.865,13.28,83357,0
20141216,13.7,13.93,13.1,13.76,68810,0
20141217,13.61,13.78,12.75,13.17,107731,0
20141218,13.25,14.79,12.799,13.9,236739,0
20141219,14.01,14.71,13.62,14,1075665,0
20141222,14.5,14.5,13.006,13.52,88542,0
20141223,13.61,13.89,13.07,13.33,80157,0
20141224,13.38,13.82,13.38,13.82,6322,0
20141226,13.89,14.12,13.2,13.98,37473,0
20141229,14,14.19,13.78,14,22639,0
20141230,13.54,14,13.49,13.84,25010,0
20141231,14,14,13.062,13.55,24810,0
20150102,13.18,13.88,13.09,13.5,22718,0
20150105,13.37,13.58,13.2,13.48,16274,0
20150106,13.5,13.59,12.92,13.5,32112,0
20150107,13.5,13.5,13.23,13.38,36389,0
20150108,13.35,13.36,12.85,12.98,104968,0
20150109,12.95,13.35,12.816,12.9,106701,0
20150112,12.96,13.16,12.9,12.95,35591,0
20150113,13.05,13.49,12.97,13.41,44741,0
20150114,13.23,13.77,13.04,13.6,74315,0
20150115,13.55,13.7,13.24,13.48,35728,0
20150116,13.65,13.94,13.42,13.71,108882,0
20150120,13.75,13.75,13.04,13.25,45929,0
20150121,13.18,13.22,13,13.01,9390,0
20150122,13.37,13.37,13,13.2,65454,0
20150123,13.24,13.47,13.05,13.23,39962,0
20150126,13.21,13.23,12.64,12.97,80251,0
20150127,12.86,13.37,12.824,13.22,19096,0
20150128,13.07,13.27,12.76,12.92,18658,0
20150129,13.28,13.28,12.86,13.06,33022,0
20150130,12.92,13.13,12.87,13,62737,0
20150202,12.9,13.25,12.88,12.97,18557,0
20150203,13,13.18,12.9,13.14,69252,0
20150204,13.03,13.1,12.8,12.85,54661,0
20150205,12.86,12.94,12.5,12.75,40287,0
20150206,12.67,12.69,12.19,12.64,202839,0
20150209,12.51,12.64,11.93,12.07,104531,0
20150210,12.1,12.65,12,12.1,128759,0
20150211,12.25,12.47,12.25,12.35,22446,0
20150212,12.46,12.71,12.315,12.62,38810,0
20150213,12.58,13.04,12.58,13.03,52139,0
20150217,13.02,13.03,12.81,13,20075,0
20150218,12.93,12.93,12.62,12.89,18209,0
20150219,12.83,13.16,12.71,13.1,54440,0
20150220,13.14,13.14,12.91,12.98,65386,0
20150223,12.9,13.1,12.9,12.97,12862,0
20150224,12.85,12.97,12.8,12.89,32178,0
20150225,12.84,12.93,12.75,12.85,48581,0
20150226,12.81,12.95,12.76,12.85,31088,0
20150227,12.88,12.89,12.62,12.66,55049,0
20150302,12.7,12.8,12.7,12.78,15500,0
20150303,12.7,13.12,12.7,12.99,64500,0
20150304,12.93,13,12.84,12.95,22600,0
20150305,12.5,13.26,12.5,13.02,43400,0
20150306,12.97,13.1,12.85,12.9,27100,0
20150309,12.9,13.13,12.85,13,36600,0
20150310,12.87,13.03,12.83,12.96,27200,0
20150311,12.93,13.02,12.77,12.95,20200,0
20150312,13.03,13.08,12.9,12.97,34500,0
20150313,13.05,13.07,12.91,13,30700,0
20150316,13,13.07,12.95,13.04,142600,0
20150317,12.97,13.13,12.97,13.1,35500,0
20150318,13.02,13.14,12.91,13.11,67600,0
20150319,13,13.08,12.97,13.04,33300,0
20150320,13.1,13.24,12.63,12.82,154700,0
20150323,12.8,13.22,12.75,13.18,83200,0
20150324,13.13,13.25,13,13.25,21600,0
20150325,13.21,13.21,12.98,13.02,9900,0
20150326,12.97,13.06,12.87,12.92,14500,0
20150327,12.88,13.03,12.88,13.03,14900,0
20150330,13.09,13.17,13,13.14,21400,0
20150331,13.1,13.71,13.1,13.66,27300,0
20150401,13.57,13.65,13.32,13.5,16500,0
20150402,13.52,13.64,13.4,13.63,19200,0
20150406,13.5,13.57,13.26,13.36,11600,0
20150407,13.3,13.54,13.25,13.46,15996,0
20150408,13.4,13.44,13.35,13.42,7400,0
20150409,13.35,13.46,13.25,13.43,12285,0
20150410,13.4,13.43,13.27,13.42,9800,0
20150413,13.25,13.46,13.25,13.37,13300,0
20150414,13.44,13.5,13.35,13.45,20900,0
20150415,13.44,13.46,13.29,13.41,14788,0
20150416,13.35,13.49,13.35,13.41,13039,0
20150417,13.32,13.41,13.32,13.4,12800,0
20150420,13.47,13.75,13.32,13.55,23731,0
20150421,13.39,13.56,13.11,13.42,44380,0
20150422,13.34,13.34,12.92,13.22,83912,0
20150423,13.18,13.45,13.18,13.25,65000,0
20150424,13.34,13.35,13.2,13.2,7200,0
20150427,13.16,13.24,13.11,13.24,43500,0
20150428,13.24,13.37,13.15,13.31,72700,0
20150429,13.35,14.09,13.25,13.89,141900,0
20150430,13,13.98,13,13.42,20600,0
20150501,13.5,13.65,13.08,13.26,27900,0
20150504,13.26,13.26,13,13.08,12900,0
20150505,13.03,13.17,13.01,13.13,14400,0
20150506,13.16,13.37,13.09,13.25,87563,0
20150507,13.25,13.3,13.085,13.15,41370,0
20150508,13.17,13.53,13.15,13.23,49500,0
20150511,13.16,13.48,13.14,13.42,19900,0
20150512,13.1,13.39,13.1,13.21,58270,0
20150513,13.19,13.53,13.06,13.53,15000,0
20150514,13.49,13.62,13.38,13.39,8900,0
20150515,13.41,13.48,13.11,13.15,13037,0
20150518,13.07,13.2,13.07,13.15,7917,0
20150519,13.08,13.25,13.06,13.16,17300,0
20150520,13.24,13.24,12.96,12.96,145600,0
20150521,12.76,12.91,12.76,12.84,41700,0
20150522,12.86,13.06,12.82,12.93,18100,0
20150526,12.95,14.1,12.442,12.61,420911,0
20150527,12.72,12.72,12.5,12.59,74700,0
20150528,12.59,12.796,12.48,12.49,72294,0
20150529,12.51,12.6,12.26,12.43,109000,0
20150601,12.43,12.54,12.3,12.35,48200,0
20150602,12.35,12.6,12.26,12.44,77387,0
20150603,12.48,13.65,12.31,12.7,68800,0
20150604,12.66,12.78,12.45,12.7,30200,0
20150605,12.72,12.97,12.54,12.7,58400,0
20150608,12.56,13.39,12.56,12.78,38200,0
20150609,13.1,13.3,12.78,12.8,50685,0
20150610,12.95,13.47,12.82,12.94,98700,0
20150611,12.91,13.23,12.78,12.8,63343,0
20150612,13.06,13.14,12.77,12.77,36700,0
20150615,12.81,13.5,12.79,13.25,104100,0
20150616,13.18,13.88,13.03,13.8,132300,0
20150617,13.77,13.8,13.38,13.65,90700,0
20150618,13.72,13.89,13.33,13.36,90800,0
20150619,13.38,13.38,12.71,12.74,161900,0
20150622,13.19,13.19,12.81,12.99,46400,0
20150623,13,13.19,12.84,13.08,125091,0
20150624,13.05,13.22,13,13.04,77700,0
20150625,13.05,13.28,12.98,13.27,111200,0
20150626,13.24,13.68,13.18,13.56,903100,0
20150629,13.49,13.92,13.28,13.34,39800,0
20150630,13.4,13.5,13.09,13.15,29002,0
20150701,13.19,13.41,13.1,13.33,25700,0
20150702,13.37,13.41,13.17,13.24,24000,0
20150706,13.21,13.34,12.56,12.85,89600,0
20150707,12.8,12.88,12.6,12.84,29800,0
20150708,12.76,12.76,12.41,12.64,57300,0
20150709,12.76,12.94,12.55,12.75,35800,0
20150710,12.85,13.07,12.82,12.99,66500,0
20150713,13,13.27,12.95,12.99,39200,0
20150714,12.93,13.23,12.93,13.1,75363,0
20150715,13.08,13.25,13.02,13.23,47919,0
20150716,13.24,13.35,13.05,13.34,65700,0
20150717,13.31,13.62,13.12,13.35,45200,0
20150720,13.32,13.32,13.01,13.06,47000,0
20150721,13.01,13.15,12.83,12.86,21500,0
20150722,12.95,13.07,12.75,12.79,42000,0
20150723,12.81,12.92,12.61,12.67,38200,0
20150724,12.61,12.84,12.51,12.52,39600,0
20150727,13.03,13.32,12.69,13.32,80600,0
20150728,13.51,13.97,13.29,13.91,111200,0
20150729,13.81,13.81,13.36,13.37,71900,0
20150730,13.38,13.88,13.37,13.82,90900,0
20150731,13.86,14.17,13.75,14.06,155900,0
20150803,14.13,14.56,14,14.25,114689,0
20150804,14.32,14.42,14.06,14.16,28500,0
20150805,14.21,14.24,14.08,14.1,28300,0
20150806,14.16,14.19,14,14.06,32403,0
20150807,14.06,14.22,13.81,14.19,35400,0
20150810,14.2,14.31,14.09,14.27,70000,0
20150811,14.2,14.65,14.17,14.43,83243,0
20150812,14.33,14.39,14.08,14.18,31200,0
20150813,14.2,14.35,13.94,14.01,50200,0
20150814,13.96,14.33,13.96,14.29,45300,0
20150817,14.27,14.5,14.27,14.5,40100,0
20150818,14.41,14.41,14.1,14.33,20400,0
20150819,14.2,14.34,14.15,14.15,13700,0
20150820,14.04,14.13,13.82,13.95,37100,0
20150821,13.75,14.49,13.75,14.11,119500,0
20150824,13.99,14.19,13.8,13.98,73498,0
20150825,14.39,14.4,14.1,14.15,109400,0
20150826,14.4,14.4,14.11,14.3,38400,0
20150827,14.33,14.39,14.06,14.22,40800,0
20150828,14.15,14.36,14.13,14.22,20200,0
20150831,14.19,14.49,14.01,14.47,42400,0
20150901,14.24,14.43,14.15,14.26,52100,0
20150902,14.36,14.54,14.02,14.54,61600,0
20150903,14.53,14.61,14.44,14.52,36400,0
20150904,14.39,14.47,14.06,14.42,15500,0
20150908,14.5,14.73,14.45,14.68,39900,0
20150909,14.73,14.75,14.5,14.6,30800,0
20150910,14.63,15.09,14.585,15.04,71542,0
20150911,15.01,15.22,14.98,15.1,41900,0
20150914,15.21,15.73,15.1,15.71,126100,0
20150915,15.74,16.29,15.65,16.26,142600,0
20150916,16.3,16.54,16.16,16.38,109500,0
20150917,16.36,16.66,16.07,16.1,89800,0
20150918,15.9,16.65,15.7,16.61,432600,0
20150921,16.68,17.09,16.51,16.58,124200,0
20150922,16.48,16.84,16.11,16.78,67600,0
20150923,16.75,16.9,16.36,16.65,44400,0
20150924,16.56,16.82,16.5,16.69,46463,0
20150925,16.82,16.82,16.58,16.6,61000,0
20150928,16.46,16.77,16.423,16.65,60755,0
20150929,16.7,16.7,16.4,16.55,49800,0
20150930,16.68,16.81,16.41,16.8,99100,0
20151001,16.83,16.83,16.48,16.73,74900,0
20151002,16.59,16.68,16.24,16.58,57500,0
20151005,16.68,16.99,16.53,16.94,77327,0
20151006,16.64,16.99,16.63,16.95,102800,0
20151007,16.96,17.35,16.9,17.3,108400,0
20151008,17.37,18.47,17.25,17.94,263400,0
20151009,17.88,18,17.6,17.69,41400,0
20151012,17.79,17.79,17.28,17.32,50215,0
20151013,17.19,17.31,16.35,16.74,59400,0
20151014,16.8,17.12,16.47,16.86,42700,0
20151015,16.96,17.39,16.65,17.37,26100,0
20151016,17.3,17.42,16.45,16.54,38600,0
20151019,16.51,17.02,16.44,16.63,36100,0
20151020,16.58,16.983,16.565,16.81,18975,0
20151021,16.91,16.93,16.56,16.61,76000,0
20151022,16.76,17.15,16.76,17.1,29100,0
20151023,17.2,17.59,17.03,17.46,34600,0
20151026,17.38,17.66,16.9,17.16,21500,0
20151027,16.99,16.99,16.23,16.31,72400,0
20151028,16.25,17.75,16.25,17.75,73800,0
20151029,17.69,18.47,16.24,17.49,33200,0
20151030,17.56,17.62,16.46,16.69,68800,0
20151102,16.69,16.95,16.14,16.15,64161,0
20151103,16.17,16.88,16.15,16.53,25100,0
20151104,16.72,16.8,16.445,16.69,34248,0
20151105,16.63,17.56,16.63,17.42,38900,0
20151106,17.55,17.93,17.21,17.84,37200,0
20151109,17.89,18.518,17.118,17.34,63023,0
20151110,17.43,17.5,17.01,17.43,16200,0
20151111,17.5,17.5,17.18,17.4,32800,0
20151112,17.3,17.47,17.09,17.16,56200,0
20151113,17.05,17.41,16.72,16.75,18300,0
20151116,16.78,16.86,16.43,16.83,29600,0
20151117,17.03,17.3,16.95,17,36800,0
20151118,17.07,17.23,16.79,17.18,37500,0
20151119,17.24,17.58,17.03,17.55,104100,0
20151120,17.66,17.66,17.37,17.55,47100,0
20151123,17.5,17.56,17.35,17.56,41100,0
20151124,17.51,17.71,17.46,17.54,56400,0
20151125,17.5,17.53,17.14,17.49,15000,0
20151127,17.47,17.61,17.39,17.48,10300,0
20151130,17.39,17.53,17.26,17.43,21500,0
20151201,17.39,17.49,17.06,17.22,19056,0
20151202,17.13,17.15,16.94,16.98,48564,0
20151203,17,17.29,16.92,16.97,21607,0
20151204,17.04,17.12,16.97,17.04,12300,0
20151207,17.09,17.09,16.6,16.66,21000,0
20151208,16.5,16.8,16.455,16.5,26037,0
20151209,16.5,16.67,16.48,16.52,16300,0
