Date,Open,High,Low,Close,Volume,OpenInt
20090710,8.3758,8.3758,8.3758,8.3758,0,0
20090713,11.769,12.564,11.727,12.557,5468847,0
20090714,12.557,12.557,12.294,12.421,813796,0
20090715,12.311,12.462,12.239,12.421,1071149,0
20090716,12.356,12.437,12.197,12.364,417204,0
20090717,12.346,12.346,12.23,12.329,377008,0
20090720,12.268,12.356,12.252,12.356,444251,0
20090721,12.277,12.496,12.268,12.496,414346,0
20090722,12.437,12.515,12.37,12.481,109405,0
20090723,12.356,12.549,12.32,12.515,126101,0
20090724,12.523,12.523,12.364,12.523,202649,0
20090727,12.496,12.564,12.437,12.49,106025,0
20090728,12.462,12.647,12.437,12.604,147686,0
20090729,12.604,12.69,12.557,12.578,49763,0
20090730,12.647,12.714,12.564,12.665,35303,0
20090731,12.523,12.656,12.445,12.604,64228,0
20090803,12.571,12.638,12.471,12.523,50970,0
20090804,12.437,12.62,12.437,12.62,100614,0
20090805,12.564,12.571,12.453,12.49,26624,0
20090806,12.49,12.549,12.49,12.496,39865,0
20090807,12.541,12.541,12.413,12.481,42337,0
20090810,12.453,12.49,12.405,12.437,38089,0
20090811,12.37,12.413,12.37,12.398,52476,0
20090812,12.471,12.523,12.37,12.398,167685,0
20090813,12.437,12.453,12.311,12.453,75319,0
20090814,12.496,12.496,12.329,12.38,15879,0
20090817,12.462,12.588,12.413,12.578,131712,0
20090818,12.578,12.773,12.557,12.69,107959,0
20090819,12.763,13.065,12.746,13.065,139017,0
20090820,13.065,13.392,13.065,13.384,162082,0
20090821,13.335,13.527,13.318,13.494,57738,0
20090824,13.567,13.686,13.293,13.343,54383,0
20090825,13.36,13.434,13.36,13.384,37454,0
20090826,13.392,13.418,13.318,13.392,39818,0
20090827,13.418,13.442,13.36,13.442,23733,0
20090828,13.301,13.486,13.293,13.4,13610,0
20090831,13.392,13.4,13.301,13.392,19408,0
20090901,13.478,13.643,13.285,13.376,52414,0
20090902,13.36,13.486,13.318,13.418,85203,0
20090903,13.478,13.486,13.409,13.486,12053,0
20090904,13.486,13.486,13.442,13.452,7158,0
20090908,13.471,13.471,13.4,13.442,17140,0
20090909,13.369,13.418,13.343,13.418,4537,0
20090910,13.426,13.442,13.369,13.4,15759,0
20090911,13.434,13.442,13.285,13.4,20910,0
20090914,13.392,13.594,13.369,13.567,23065,0
20090915,13.604,13.613,13.376,13.409,47317,0
20090916,13.518,13.653,13.384,13.594,131199,0
20090917,13.567,13.594,13.36,13.409,46908,0
20090918,13.442,13.494,13.276,13.376,43001,0
20090921,13.426,13.486,13.36,13.426,20911,0
20090922,13.384,13.478,13.376,13.434,85192,0
20090923,13.442,13.442,13.326,13.351,30300,0
20090924,13.4,13.4,13.293,13.36,40666,0
20090925,13.36,13.376,13.234,13.376,105054,0
20090928,13.318,13.527,13.276,13.4,54538,0
20090929,13.434,13.594,13.4,13.471,250667,0
20090930,13.418,13.613,12.958,13.134,1977159,0
20091001,13.267,13.335,13.031,13.175,434927,0
20091002,13.091,13.234,13.082,13.191,73210,0
20091005,13.216,13.351,12.984,13.143,95480,0
20091006,13.082,13.384,13.065,13.285,139174,0
20091007,13.234,13.351,13.234,13.301,37665,0
20091008,13.276,13.4,13.234,13.276,66903,0
20091009,13.267,13.369,13.224,13.369,51860,0
20091012,13.369,13.384,13.216,13.343,25240,0
20091013,13.351,13.392,13.276,13.36,36118,0
20091014,13.318,13.773,13.318,13.773,186698,0
20091015,13.653,13.812,13.604,13.763,150456,0
20091016,13.692,14.128,13.613,13.676,30073,0
20091019,13.819,13.995,13.78,13.931,89719,0
20091020,13.904,13.938,13.738,13.931,30950,0
20091021,13.913,14.057,13.627,13.643,39372,0
20091022,13.66,13.852,13.392,13.676,28991,0
20091023,13.559,13.987,13.191,13.471,79255,0
20091026,13.518,13.669,13.392,13.486,35330,0
20091027,13.586,13.738,13.518,13.552,24245,0
20091028,13.643,13.692,13.494,13.542,58058,0
20091029,13.627,14.065,13.559,13.844,56457,0
20091030,13.754,13.904,13.653,13.812,93662,0
20091102,13.763,14.206,13.621,14.065,65247,0
20091103,13.931,14.197,13.738,14.187,46531,0
20091104,14.224,14.224,13.812,13.861,33824,0
20091105,14.011,14.314,13.979,14.26,69249,0
