Date,Open,High,Low,Close,Volume,OpenInt
20121003,19.343,19.343,19.207,19.275,31388,0
20121004,19.243,19.275,19.207,19.275,77991,0
20121005,19.311,19.311,19.237,19.283,19676,0
20121008,19.275,19.283,19.259,19.259,17843,0
20121009,19.243,19.283,19.207,19.283,31748,0
20121010,19.283,19.283,19.237,19.283,21400,0
20121011,19.283,19.283,19.243,19.283,62138,0
20121012,19.283,19.283,19.267,19.28,19514,0
20121015,19.283,19.38,19.243,19.289,79876,0
20121016,19.283,19.283,19.243,19.275,52223,0
20121017,19.283,19.608,19.251,19.431,11595,0
20121018,19.388,19.448,19.318,19.448,31810,0
20121019,19.396,19.508,19.318,19.508,14775,0
20121022,19.431,19.431,19.404,19.43,18778,0
20121023,19.396,19.396,19.318,19.396,17517,0
20121024,19.358,19.546,19.289,19.531,22370,0
20121025,19.531,19.613,19.396,19.571,23675,0
20121026,19.539,19.608,19.41,19.41,22729,0
20121031,19.539,19.539,19.371,19.539,2517,0
20121101,19.619,19.619,19.318,19.318,2141,0
20121102,19.366,19.366,19.358,19.364,2517,0
20121105,19.431,19.567,19.364,19.396,7818,0
20121106,19.608,19.608,19.364,19.47,8190,0
20121107,19.448,19.456,19.448,19.456,1955,0
20121108,19.388,19.515,19.358,19.388,12588,0
20121109,19.431,19.431,19.417,19.417,1922,0
20121112,19.424,19.431,19.38,19.431,9146,0
20121113,19.358,19.364,19.289,19.289,22019,0
20121114,19.417,19.417,19.103,19.243,19468,0
20121115,19.275,19.283,19.091,19.094,12836,0
20121116,19.131,19.388,19.084,19.243,27166,0
20121119,19.41,19.41,19.055,19.243,21600,0
20121120,19.316,19.318,19.055,19.103,4107,0
20121121,19.311,19.318,19.103,19.297,3729,0
20121123,19.107,19.169,19.094,19.169,18164,0
20121126,19.094,19.283,19.071,19.215,11715,0
20121127,19.304,19.304,19.094,19.169,9895,0
20121128,19.137,19.207,19.116,19.169,10205,0
20121129,19.122,19.283,19.116,19.251,30884,0
20121130,19.251,19.251,19.062,19.215,5722,0
20121203,19.251,19.251,19.072,19.072,17095,0
20121204,19.094,19.243,19.062,19.243,15397,0
20121205,19.176,19.251,19.103,19.131,6295,0
20121206,19.103,19.107,19.094,19.103,4955,0
20121207,19.077,19.09,19.009,19.009,18093,0
20121210,19.107,19.146,19.025,19.146,1939,0
20121211,19.017,19.017,18.889,19.017,10205,0
20121212,19.131,19.137,19.055,19.055,5959,0
20121213,18.995,19.055,18.95,18.962,5869,0
20121214,19.049,19.049,19.049,19.049,1238,0
20121217,18.905,19.017,18.882,18.987,11634,0
20121218,19.062,19.062,18.942,18.942,4211,0
20121219,18.921,19.055,18.866,18.988,3671,0
20121220,19.009,19.055,18.987,19.055,2001,0
20121221,19.169,19.169,18.987,18.987,1210,0
20121224,19.055,19.15,18.987,19.15,1607,0
20121226,19.077,19.103,19.077,19.103,2458,0
20121227,19.103,19.107,18.942,18.942,4432,0
20121228,19.055,19.055,19.017,19.017,968,0
20121231,19.122,19.207,18.987,18.987,7850,0
20130102,19.215,19.243,19.169,19.169,1990,0
20130103,19.396,19.396,19.131,19.243,5930,0
20130104,19.275,19.289,19.131,19.289,1990,0
20130107,19.289,19.328,19.259,19.328,661,0
20130108,19.335,19.335,19.176,19.225,8450,0
20130109,19.243,19.251,19.198,19.243,5946,0
20130111,19.396,19.396,19.222,19.229,3732,0
20130115,19.222,19.222,19.215,19.22,2716,0
20130116,19.431,19.431,19.215,19.233,1928,0
20130117,19.207,19.21,19.017,19.077,13515,0
20130118,19.077,19.176,19.055,19.176,8278,0
20130122,19.358,19.358,19.094,19.183,4107,0
20130123,19.229,19.229,19.229,19.229,134,0
20130124,19.163,19.169,19.094,19.094,3738,0
20130125,19.176,19.207,19.146,19.146,3048,0
20130128,19.103,19.146,19.055,19.084,6788,0
20130129,19.094,19.146,19.049,19.055,2635,0
20130130,19.055,19.055,19.041,19.055,2334,0
20130131,19.102,19.102,18.905,19.03,2692,0
