Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.421,9.56,9.3578,9.4086,18965,0
20050228,9.2946,10.231,8.9151,9.914,35884,0
20050301,10.231,10.231,9.927,10.104,7154,0
20050302,9.4843,10.117,9.4843,10.117,5676,0
20050303,10.053,10.117,9.56,9.598,4650,0
20050304,9.4843,9.902,9.2376,9.611,15618,0
20050307,9.2563,9.978,9.1173,9.965,9350,0
20050308,9.839,9.839,9.839,9.839,95,0
20050309,9.75,9.75,9.617,9.617,372,0
20050310,8.9534,9.99,8.9534,9.8,8934,0
20050311,9.725,10.053,9.699,10.009,2369,0
20050314,8.941,9.99,8.941,9.839,5575,0
20050315,9.1806,9.978,9.1806,9.978,475,0
20050316,9.548,9.978,9.4086,9.978,7512,0
20050317,9.674,9.965,8.9784,9.965,15131,0
20050318,9.3961,10.104,9.3961,10.104,6997,0
20050321,9.813,10.117,9.813,9.813,2847,0
20050322,10.091,10.117,9.851,9.851,3428,0
20050323,9.8,9.889,9.75,9.839,1838,0
20050324,10.066,10.117,9.939,10.117,3901,0
20050328,9.4968,9.737,9.4968,9.586,2720,0
20050329,9.8,10.167,9.8,10.167,6244,0
20050330,9.674,9.813,9.674,9.776,713,0
20050331,9.548,10.205,9.548,10.205,4911,0
20050401,10.217,10.217,9.8,10.142,2412,0
20050404,9.864,10.091,9.864,9.965,2453,0
20050405,9.4968,9.4968,8.2197,8.2323,36615,0
20050406,8.0933,8.7379,8.0933,8.7379,6280,0
20050407,8.7379,8.9151,8.6114,8.6114,2483,0
20050408,8.9151,8.9151,8.7512,8.7762,2407,0
20050411,8.7886,8.8643,8.574,8.6052,3487,0
20050412,8.4724,8.6746,7.6001,8.2323,7424,0
20050413,8.3461,8.7254,8.1186,8.5232,3559,0
20050414,7.9035,8.2702,7.6127,7.9794,11917,0
20050415,8.1565,8.2702,7.6633,7.9415,4797,0
20050418,7.1195,7.8782,7.1195,7.6254,15134,0
20050419,7.638,7.8403,7.3345,7.638,6670,0
20050420,7.8403,7.8403,7.3598,7.5495,5873,0
20050421,7.3345,7.5748,7.2712,7.3534,3807,0
20050422,7.3092,7.3092,7.3092,7.3092,97,0
20050425,7.5874,7.5874,7.3092,7.3598,3583,0
20050426,7.4609,7.5748,7.2586,7.2712,3877,0
20050427,7.8403,8.2449,7.3977,7.5115,3103,0
20050428,7.4609,7.6507,7.4609,7.4609,3552,0
20050429,7.4609,7.4736,7.1322,7.423,7661,0
20050502,7.2839,7.5495,7.2839,7.5368,5020,0
20050503,7.9288,8.2323,7.423,7.8087,1205,0
20050504,7.638,7.7771,7.3471,7.7138,2867,0
20050505,7.3345,7.4357,7.1448,7.2839,5700,0
20050506,7.9162,7.9162,7.1195,7.2712,3331,0
20050509,7.2207,7.5874,7.1701,7.4609,4640,0
20050510,7.0942,7.4357,7.0942,7.3977,1346,0
20050511,7.5495,7.5621,7.3471,7.3471,1292,0
20050512,7.3598,7.3598,7.2712,7.2712,1133,0
20050513,6.6896,7.3977,6.4746,6.9551,8799,0
20050516,6.9678,6.9678,6.9045,6.9488,3273,0
20050517,6.6516,7.3977,6.6516,6.9298,5776,0
20050518,6.8919,7.5874,6.8729,7.5874,10273,0
20050519,7.5748,7.5748,7.2081,7.4483,1764,0
20050520,7.5874,7.9668,7.5874,7.9668,3645,0
20050523,7.4609,7.8529,7.2207,7.4609,8224,0
20050524,7.9668,7.9668,7.2712,7.5874,3084,0
20050525,7.815,7.815,7.815,7.815,870,0
20050526,7.8024,8.0174,7.7138,8.0047,2454,0
20050527,7.7897,8.2197,7.5874,7.5874,2689,0
20050531,7.8909,7.9035,7.2839,7.5242,2872,0
20050601,7.5874,8.0174,7.2965,7.3851,916,0
20050602,7.8909,7.8909,7.2839,7.4862,11737,0
20050603,7.5242,7.5874,7.4609,7.4609,1289,0
20050606,7.8909,7.8909,7.2839,7.4104,2372,0
20050607,7.2965,7.6507,7.2965,7.4989,1587,0
20050608,7.3598,7.3851,7.3471,7.3471,387,0
20050609,7.8403,7.8403,7.423,7.5242,2690,0
20050610,7.3092,7.4609,7.3092,7.4609,317,0
20050613,7.3977,7.3977,7.3345,7.3977,317,0
20050614,7.3345,7.8403,7.3345,7.4357,1502,0
20050615,7.6254,7.6254,7.4483,7.4483,2979,0
20050616,7.4483,7.8277,7.4483,7.6001,1265,0
20050617,7.4609,7.8403,7.4609,7.8403,1202,0
20050620,7.8403,7.8403,7.4736,7.4736,4191,0
20050621,7.5495,7.6507,7.5242,7.6507,1590,0
