Date,Open,High,Low,Close,Volume,OpenInt
20050225,19.001,19.653,18.983,19.653,28994,0
20050228,19.702,19.737,19.248,19.504,18648,0
20050301,19.702,20.067,19.437,19.465,36822,0
20050302,19.663,20.302,19.465,20.302,32760,0
20050303,20.302,20.302,19.136,19.832,7784,0
20050304,19.011,19.522,19.011,19.437,26279,0
20050307,19.427,19.427,19.001,19.098,25690,0
20050308,19.427,19.427,18.505,18.653,110308,0
20050309,18.947,18.947,18.571,18.701,12397,0
20050310,18.58,18.777,18.362,18.635,54792,0
20050311,18.777,19.221,18.571,19.221,20271,0
20050314,19.001,19.871,18.571,19.613,120779,0
20050315,19.823,19.823,19.221,19.558,28801,0
20050316,19.001,19.871,19.001,19.145,37829,0
20050317,19.001,19.098,18.966,18.966,41547,0
20050318,19.039,19.351,19.001,19.351,46582,0
20050321,19.011,19.174,18.919,19.127,24874,0
20050322,18.947,19.954,18.947,19.784,40024,0
20050323,19.585,19.871,19.059,19.221,40412,0
20050324,19.623,19.623,18.919,19.221,81254,0
20050328,19.098,19.221,18.919,18.919,120092,0
20050329,19.001,19.078,18.625,18.882,50110,0
20050330,18.615,19.201,18.372,18.597,47560,0
20050331,19.136,19.427,18.23,18.23,375001,0
20050401,18.353,18.39,17.064,17.608,188735,0
20050404,17.451,17.451,17.005,17.27,34940,0
20050405,17.306,17.885,17.27,17.885,39566,0
20050406,18.052,18.145,17.441,17.535,10616,0
20050407,17.627,17.627,16.958,17.278,27997,0
20050408,17.044,17.064,16.084,16.849,54934,0
20050411,16.781,16.781,16.066,16.066,33990,0
20050412,15.981,16.066,15.292,15.942,29755,0
20050413,16.094,16.214,15.849,16.113,28406,0
20050414,16.223,16.223,15.302,15.426,100864,0
20050415,15.52,15.548,14.906,15.105,11022,0
20050418,15.282,15.282,14.475,14.511,19566,0
20050419,14.682,14.785,14.294,14.539,15761,0
20050420,15.115,15.64,14.878,15.398,69029,0
20050421,15.321,15.766,15.321,15.51,41984,0
20050422,15.481,15.677,14.172,14.217,51215,0
20050425,14.256,14.256,13.75,13.964,50870,0
20050426,14.088,14.088,13.561,13.561,17220,0
20050427,13.524,13.561,13.014,13.306,20545,0
20050428,13.505,13.824,13.408,13.721,26001,0
20050429,13.834,13.946,13.485,13.768,68464,0
20050502,13.888,13.936,13.662,13.815,76671,0
20050503,13.88,13.994,13.258,13.374,27617,0
20050504,13.392,13.815,13.392,13.643,191692,0
