Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.557,14.76,13.945,14.033,59835,0
20050228,13.985,15.314,13.692,15.054,29571,0
20050301,15.035,15.121,14.567,14.587,6771,0
20050302,14.713,15.733,14.577,14.957,19753,0
20050303,15.054,15.054,14.577,14.721,5823,0
20050304,14.567,15.237,14.567,14.667,10027,0
20050307,14.857,15.373,14.567,15.188,14388,0
20050308,15.481,15.491,15.14,15.305,6230,0
20050309,14.731,15.684,14.587,15.635,15044,0
20050310,15.452,15.684,15.237,15.538,7754,0
20050311,15.333,15.491,15.333,15.433,5149,0
20050314,17.383,17.383,16.171,17.139,44106,0
20050315,18.023,18.499,17.538,18.181,62431,0
20050316,18.82,18.928,15.733,17.482,37831,0
20050317,16.023,17.577,16.023,16.529,12306,0
20050318,15.703,18.268,15.703,17.954,15356,0
20050321,18.268,18.268,16.509,17.49,10407,0
20050322,17.764,17.764,17.072,17.179,7168,0
20050323,17.907,17.907,15.054,16.238,15857,0
20050324,15.935,15.935,15.548,15.664,10941,0
20050328,16.141,17.433,15.869,16.471,27580,0
20050329,16.228,17.043,15.548,15.792,17978,0
20050330,16.122,16.141,15.548,15.548,11150,0
20050331,15.295,15.548,14.77,15.295,19055,0
20050401,16.151,16.161,15.295,15.295,17186,0
20050404,15.343,16.928,15.343,16.696,19991,0
20050405,16.606,17.373,16.218,17.169,17680,0
20050406,17.373,17.423,16.761,16.908,8973,0
20050407,17.092,17.433,16.568,17.316,7424,0
20050408,17.482,17.482,16.063,16.529,8609,0
20050411,17.964,17.964,16.781,16.928,17132,0
20050412,17.954,17.954,16.616,16.801,5152,0
20050413,17.111,17.774,16.752,17.053,7972,0
20050414,16.509,16.829,16.48,16.509,7620,0
20050415,16.412,16.509,13.935,14.637,40954,0
20050418,14.043,14.577,11.567,14.323,26871,0
20050419,15.577,15.577,12.828,14.082,15461,0
20050420,13.159,14.111,13.159,13.88,6899,0
20050421,13.383,13.89,13.217,13.605,14614,0
20050422,13.633,13.633,13.207,13.247,13689,0
20050425,12.887,13.257,12.685,13.237,21715,0
20050426,13.014,13.119,12.645,13.081,15171,0
20050427,12.695,12.722,12.304,12.655,4532,0
20050428,12.14,12.479,12.14,12.334,5462,0
20050429,12.237,12.287,11.791,12.287,4847,0
20050502,11.934,12.237,11.934,12.237,9652,0
20050503,12.819,14.567,12.819,12.926,33142,0
20050504,14.178,14.731,13.276,13.595,34459,0
20050505,14.372,14.372,13.014,13.024,21404,0
20050506,12.819,13.353,12.819,13.304,4940,0
20050509,12.916,13.539,12.916,13.539,9084,0
20050510,13.433,13.51,13.393,13.51,4828,0
20050511,13.413,13.413,13.363,13.383,1983,0
20050512,13.109,13.314,13.109,13.197,1496,0
20050513,12.819,13.109,12.819,13.109,9692,0
20050516,13.062,13.276,13.062,13.109,6807,0
20050517,12.625,14.49,12.625,14.121,10313,0
20050518,14.178,14.178,13.566,13.672,5781,0
20050519,13.623,13.945,13.623,13.722,2600,0
20050520,13.642,13.771,13.373,13.556,10857,0
20050523,14.539,14.539,13.109,13.595,25144,0
20050524,13.286,13.89,13.129,13.462,16490,0
20050525,13.595,13.84,13.304,13.791,13507,0
20050526,14.178,14.451,13.119,14.198,22612,0
20050527,14.178,14.557,13.945,14.372,5614,0
20050531,14.567,15.179,14.471,14.79,24986,0
20050601,15.295,15.295,14.52,14.686,10624,0
20050602,14.617,15.026,14.267,15.007,23386,0
20050603,15.007,15.208,14.51,14.76,9702,0
20050606,16.509,17.219,15.792,16.181,63850,0
20050607,16.997,17.043,16.171,16.696,38164,0
20050608,16.734,16.928,16.171,16.316,30112,0
20050609,16.122,17.373,16.122,17.033,37333,0
20050610,17.482,18.763,17.393,18.451,70267,0
20050613,18.073,18.451,17.159,17.453,56687,0
20050614,17.014,17.655,16.968,17.209,28977,0
20050615,16.752,17.783,16.752,17.783,12050,0
20050616,18.211,18.431,17.907,17.907,17721,0
20050617,17.871,18.113,17.139,17.606,10398,0
20050620,17.964,17.964,17.092,17.316,21312,0
20050621,17.169,17.587,17.169,17.529,10088,0
20050622,17.645,18.043,17.645,17.675,8481,0
20050623,18.013,18.013,17.482,17.482,17636,0
20050624,18.063,18.063,17.139,17.209,7376,0
20050627,16.849,16.849,15.733,15.86,34254,0
20050628,15.684,16.402,14.76,16.218,16792,0
20050629,16.218,16.5,16.218,16.343,12026,0
20050630,16.5,16.549,16.092,16.316,4703,0
20050701,16.053,17.335,15.693,17.289,6969,0
20050705,18.063,18.063,16.316,16.509,9025,0
20050706,16.218,16.218,15.558,16.023,4096,0
20050707,15.733,15.927,15.538,15.577,1713,0
20050708,16.363,16.987,15.935,16.849,3836,0
20050711,16.181,17.871,15.112,17.433,20761,0
20050712,17.482,17.482,16.636,16.636,7124,0
20050713,16.509,16.706,16.363,16.706,1827,0
20050714,16.596,16.997,16.596,16.616,2345,0
20050715,16.539,16.539,16.287,16.297,2378,0
20050718,15.974,16.023,15.782,15.811,6537,0
20050719,16.053,17.482,16.053,17.383,8752,0
20050720,17.383,18.345,17.308,18.211,5296,0
20050721,18.354,19.413,17.871,19.083,51651,0
20050722,19.423,19.91,18.394,19.423,22594,0
20050725,19.714,19.714,19.152,19.152,13017,0
20050726,20.395,20.395,18.568,18.568,13011,0
20050727,18.726,18.782,16.801,18.441,18175,0
20050728,18.441,18.938,17.636,18.938,9638,0
20050729,18.033,18.345,17.383,17.974,17322,0
20050801,17.665,18.354,17.626,18.211,15528,0
20050802,17.88,18.451,17.88,18.23,4433,0
20050803,18.421,18.421,18.103,18.152,2469,0
20050804,18.211,18.608,18.123,18.608,6709,0
20050805,18.938,19.22,18.211,19.22,11609,0
20050808,19.578,19.664,19.423,19.491,9919,0
20050809,19.664,21.104,19.015,20.686,31712,0
20050810,20.91,22.045,20.91,21.9,33941,0
20050811,21.947,22.812,21.9,22.698,20613,0
20050812,22.812,22.822,22.26,22.54,6410,0
20050815,22.356,22.898,21.307,22.336,13477,0
20050816,22.336,22.336,20.385,20.811,19795,0
20050817,20.209,21.171,19.91,20.706,14049,0
20050818,20.395,20.596,20.395,20.405,6259,0
20050819,19.813,21.209,19.463,21.199,9660,0
20050822,20.89,20.9,20.646,20.706,7538,0
20050823,20.636,20.782,20.636,20.646,3231,0
20050824,20.405,20.482,20.318,20.318,5380,0
20050825,20.199,22.5,20.151,22.5,47860,0
20050826,23.23,23.784,22.727,23.443,25717,0
20050829,23.746,24.996,23.423,24.996,28536,0
20050830,25.319,25.319,23.716,24.074,21912,0
20050831,24.074,27.775,24.074,27.271,59654,0
20050901,27.677,29.28,27.591,28.999,106764,0
20050902,29.136,29.328,27.785,29.27,44599,0
20050906,30.038,31.224,29.583,31.224,65691,0
20050907,32.011,32.408,30.301,32.031,87779,0
20050908,30.949,32.777,30.406,32.32,73337,0
20050909,32.438,33.009,31.184,32.864,32984,0
20050912,33.187,33.217,32.553,33.207,38804,0
20050913,33.455,33.455,32.836,33.138,17702,0
20050914,32.807,33.138,29.328,31.707,84729,0
20050915,30.863,32.708,30.019,32.438,33050,0
20050916,32.768,33.863,31.757,33.395,26290,0
20050919,33.921,33.921,33.018,33.768,16282,0
20050920,33.99,34.331,33.088,33.768,33180,0
20050921,34.341,34.38,33.787,33.843,12092,0
20050922,34.166,34.303,32.97,34.039,30757,0
20050923,34.293,34.36,32.728,33.95,14418,0
20050926,34.039,34.652,33.99,34.474,36469,0
20050927,34.93,34.93,34.236,34.672,15894,0
20050928,34.406,34.858,34,34.592,18441,0
20050929,34.828,34.828,34.156,34.523,14003,0
20050930,34.721,34.721,33.018,33.167,23293,0
20051003,33.97,34.331,33.167,34.313,17647,0
20051004,33.99,34.156,29.241,31.428,51446,0
20051005,31.174,31.174,28,28.281,48422,0
20051006,27.329,27.677,24.822,25.154,92093,0
20051007,24.736,26.272,24.404,26.036,28461,0
20051010,26.094,28.63,25.687,27.076,38937,0
20051011,27.145,28.163,26.871,28.163,10227,0
20051012,27.872,29.474,27.872,28.979,21622,0
20051013,29.94,29.94,22.822,24.074,88533,0
20051014,23.646,23.726,22.431,22.997,43069,0
20051017,23.23,24.434,22.639,23.395,30313,0
20051018,23.164,23.365,23.164,23.211,8147,0
20051019,22.888,23.939,22.737,23.598,17110,0
20051020,23.716,24.473,23.551,24.015,9325,0
20051021,24.648,26.747,24.648,26.272,31401,0
20051024,26.405,26.797,25.463,26.414,14357,0
20051025,27.193,28.133,27.056,27.872,18026,0
20051026,31.573,31.573,27.193,27.387,19347,0
20051027,27.145,27.279,25.182,25.978,35425,0
20051028,25.727,25.736,22.336,23.144,74381,0
20051031,22.822,24.27,22.393,23.472,27094,0
20051101,22.997,23.482,22.384,23.375,26019,0
20051102,24.766,24.766,23.551,24.28,7500,0
20051103,25.697,25.697,24.766,25.135,4045,0
20051104,25.648,25.677,25.192,25.503,8136,0
20051107,25.357,25.493,25.25,25.25,5826,0
20051108,24.786,26.871,24.786,25.619,13733,0
20051109,25.154,25.717,24.949,25.357,13820,0
20051110,24.881,25.395,24.881,25.25,11608,0
20051111,24.776,25.473,24.387,24.658,14491,0
20051114,24.093,24.27,23.338,23.405,6558,0
20051115,23.114,24.54,22.784,24.28,63620,0
20051116,24.378,25.571,24.378,25.348,12317,0
20051117,25.25,25.619,25.125,25.405,4890,0
20051118,24.776,26.085,24.776,25.929,24815,0
20051121,25.23,25.88,25.164,25.542,6456,0
20051122,25.154,26.163,25.056,25.182,10724,0
20051123,25.25,26.223,25.095,26.007,48142,0
20051125,25.677,27.619,25.677,26.823,9765,0
20051128,27.203,27.638,27.203,27.387,16952,0
20051129,26.997,28.084,26.997,27.727,11730,0
20051130,27.677,28.969,27.677,28.349,27548,0
20051201,28.649,28.852,27.755,28,17182,0
20051202,27.717,28.737,27.717,28.281,11451,0
20051205,29.028,29.048,28.747,28.842,55379,0
20051206,28.281,28.797,28.281,28.611,12164,0
20051207,28.153,28.388,27.105,27.367,12994,0
20051208,27.095,27.155,25.513,25.542,12426,0
20051209,24.716,26.243,24.034,24.9,35641,0
20051212,25.154,25.26,24.453,24.9,10629,0
20051213,24.424,25.376,24.289,24.813,17937,0
20051214,24.91,27.184,24.54,26.899,33186,0
20051215,26.997,26.997,25.561,25.909,12049,0
20051216,25.523,25.523,24.034,24.502,15754,0
20051219,25.483,26.094,24.473,25.493,9372,0
20051220,25.036,26.143,24.473,25.26,5232,0
20051221,24.89,26.62,24.89,26.541,6345,0
20051222,26.124,26.442,26.124,26.143,1196,0
20051223,26.213,26.709,26.036,26.452,2936,0
20051227,26.452,26.452,26.183,26.223,2788,0
20051228,26.046,26.32,25.929,26.134,16310,0
20051229,25.26,26.223,25.26,26.223,3088,0
20051230,25.658,26.114,25.329,25.707,5697,0
20060103,25.173,25.835,25.154,25.309,10555,0
20060104,25.23,25.25,24.668,24.861,8618,0
20060105,24.949,25.086,24.28,24.299,7500,0
20060106,25.319,25.319,24.064,24.162,6901,0
20060109,24.162,25.319,24.162,24.482,10998,0
20060110,24.24,24.628,23.891,24.387,5250,0
20060111,24.123,24.123,23.134,23.346,12469,0
20060112,23.259,24.034,23.259,23.443,26712,0
20060113,23.804,24.024,23.755,23.979,1390,0
20060117,23.988,24.861,23.979,24.309,12359,0
20060118,23.852,26.61,23.852,25.978,12742,0
20060119,26.076,26.223,25.473,25.473,6832,0
20060120,24.949,25.736,24.949,25.26,2163,0
20060123,25.154,25.154,24.832,25.125,3607,0
20060124,25.154,25.173,25.135,25.135,1641,0
20060125,25.493,25.88,24.608,25.25,14025,0
20060126,25.513,25.948,25.503,25.638,5019,0
20060127,25.948,26.709,25.852,26.709,43621,0
20060130,27.095,27.184,26.833,26.833,5835,0
20060131,26.432,26.823,26.432,26.669,2465,0
20060201,26.233,27.184,26.233,26.777,3318,0
20060202,26.807,27.175,26.767,27.175,3689,0
20060203,27.175,27.175,24.618,26.843,6855,0
20060206,26.709,27.036,26.203,26.203,9349,0
20060207,26.899,26.899,25.006,25.056,10268,0
20060208,24.881,25.046,24.881,25.046,317,0
20060209,24.949,25.026,24.152,24.152,6877,0
