Date,Open,High,Low,Close,Volume,OpenInt
20160511,4.5,4.5,4.07,4.1085,35269,0
20160512,4.22,4.22,3.987,4.11,119940,0
20160513,4,4.04,3.956,3.98,7061,0
20160516,4,4,3.75,3.99,3400,0
20160517,4,4,3.85,3.9899,750,0
20160518,4,4,3.88,3.88,5900,0
20160519,3.98,3.98,3.87,3.94,1650,0
20160520,3.82,3.98,3.82,3.98,6800,0
20160523,3.98,3.98,3.98,3.98,500,0
20160524,3.9001,3.98,3.9001,3.98,850,0
20160525,3.96,3.98,3.89,3.89,9402,0
20160526,3.98,3.98,3.8501,3.8501,1828,0
20160527,3.8501,3.95,3.8,3.83,2540,0
20160531,3.82,3.95,3.8,3.8,22325,0
20160601,3.95,3.95,3.8,3.83,6600,0
20160602,3.85,3.9,3.85,3.85,10789,0
20160603,3.858,3.92,3.85,3.85,14600,0
20160606,3.9151,3.92,3.85,3.85,7500,0
20160607,3.85,3.92,3.85,3.86,6270,0
20160608,3.75,3.92,3.71,3.8552,2201,0
20160609,3.74,3.74,3.3137,3.4,24997,0
20160610,3.73,3.8447,3.06,3.6541,5119,0
20160613,3.65,3.92,3.64,3.8,6733,0
20160614,3.867,3.9,3.43,3.73,7860,0
20160615,3.74,3.9,3.55,3.9,4951,0
20160616,3.7,3.9,3.6701,3.9,5092,0
20160617,3.9,3.9,3.49,3.49,9377,0
20160620,3.57,3.82,3.4,3.5,9277,0
20160621,3.6,4.25,3.0001,3.94,23993,0
20160622,3.89,3.9,3.85,3.85,6461,0
20160623,3.85,3.86,3.85,3.85,354,0
20160624,3.8,3.81,3.53,3.57,4011,0
20160627,3.65,3.65,3.2601,3.474,5373,0
20160628,3.45,3.75,3.43,3.45,9291,0
20160629,3.6899,3.71,3.6899,3.6899,2200,0
20160630,3.7999,3.989,3.559,3.9,50318,0
20160701,3.89,3.95,3.65,3.94,34928,0
20160705,3.84,3.89,3.798,3.8299,6203,0
20160706,3.79,3.79,3.56,3.75,13900,0
20160707,3.85,4.015,3.75,3.94,18028,0
20160708,3.97,4.1,3.85,3.97,22775,0
20160711,3.97,3.97,3.906,3.91,9297,0
20160712,3.91,4.25,3.7,3.8,78028,0
20160713,4,4,3.6988,3.78,5123,0
20160714,3.8744,3.8744,3.7,3.7,7563,0
20160715,3.71,3.71,3.5,3.54,5324,0
20160718,3.71,3.71,3.71,3.71,2000,0
20160719,3.76,3.76,3.5035,3.515,4287,0
20160720,3.5101,3.789,3.5101,3.769,1600,0
20160721,3.63,3.85,3.6,3.61,6620,0
20160722,3.625,3.625,3.51,3.51,5000,0
20160725,3.53,3.53,3.45,3.45,16179,0
20160726,3.486,3.7,3.486,3.689,2315,0
20160727,3.49,3.49,3.45,3.45,2900,0
20160728,3.45,3.45,3.0201,3.34,10056,0
20160729,3.44,3.44,3.3,3.31,4800,0
20160801,3.45,3.45,2.8101,2.9101,20872,0
20160802,2.991,3,2.85,2.8652,22018,0
20160803,2.8755,3.09,2.85,3.09,17881,0
20160804,3.05,3.14,2.93,3,19662,0
20160805,2.98,3.17,2.98,3,8415,0
20160808,3.1699,3.1699,2.88,2.88,14510,0
20160809,3.12,3.22,2.94,3.22,4804,0
20160810,3.24,3.2899,3.06,3.22,7750,0
20160811,3.0793,3.41,2.91,3.19,276282,0
20160812,3.1,3.4,3.1,3.23,26421,0
20160815,3.24,3.4,3.24,3.3899,27700,0
20160816,3.46,3.63,3.19,3.28,14876,0
20160817,3.4,3.44,3.18,3.4399,21980,0
20160818,3.44,3.52,3.18,3.2499,15758,0
20160819,3.19,3.42,3.19,3.33,10055,0
20160822,3.68,3.81,3.2,3.5,28776,0
20160823,3.51,3.55,2.81,3.25,349877,0
20160824,3.18,3.23,3.15,3.21,6170,0
20160825,3.2902,3.3299,3.11,3.3299,6932,0
20160826,3.4,3.4,3.07,3.07,32265,0
20160829,3.18,3.1999,2.87,2.99,27900,0
20160830,3.14,3.28,2.81,3.28,103955,0
20160831,3.12,3.4992,3.1199,3.44,25529,0
20160901,3.4,3.7,3.2401,3.62,135787,0
20160902,3.74,3.75,3.5104,3.63,49784,0
20160906,3.65,4.16,3.65,4.07,206736,0
20160907,4.15,4.15,3.8,4,67419,0
20160908,3.9555,4,3.91,3.98,35738,0
20160909,4,4.1,3.9156,4.1,58971,0
20160912,4.05,4.05,3.76,3.9,41501,0
20160913,3.86,4.07,3.77,3.84,39033,0
20160914,3.93,4.1,3.81,3.92,38880,0
20160915,4.0899,4.0899,3.91,3.92,56558,0
20160916,3.97,4,3.82,3.84,86345,0
20160919,3.89,3.99,3.751,3.96,23356,0
20160920,4.04,4.04,3.81,3.84,29962,0
20160921,3.88,4.1,3.87,4.09,49332,0
20160922,4.07,4.28,4.07,4.21,78331,0
20160923,4.2499,4.69,4.1,4.34,106200,0
20160926,4.35,4.56,4.33,4.34,70730,0
20160927,4.37,4.37,4.25,4.3,28609,0
20160928,4.25,4.36,4.25,4.29,30070,0
20160929,4.34,4.38,4.25,4.27,45819,0
20160930,4.301,4.33,4.1275,4.23,65576,0
20161003,4.3,4.39,4.2,4.31,40743,0
20161004,4.1,4.499,4.1,4.41,76948,0
20161005,4.38,4.5,4.18,4.38,106607,0
20161006,4.22,4.35,4.1555,4.333,22426,0
20161007,4.28,4.311,4.2,4.24,19739,0
20161010,4.24,4.28,4.17,4.27,14770,0
20161011,4.26,4.3,4.18,4.29,30494,0
20161012,4.2581,4.45,4.2581,4.36,44575,0
20161013,4.38,4.4,4.27,4.35,4009,0
20161014,4.1463,4.3899,4.1463,4.29,60010,0
20161017,4.31,4.31,4.118,4.1899,61608,0
20161018,4.2,4.23,4.1,4.2099,25455,0
20161019,4.22,4.22,4.01,4.15,7734,0
20161020,4.1,4.15,4.05,4.15,30644,0
20161021,4.15,4.19,4.02,4.15,70085,0
20161024,4.19,4.2,4.03,4.075,48770,0
20161025,4.11,4.19,4.02,4.05,49653,0
20161026,4.09,4.09,3.95,3.97,56550,0
20161027,3.91,3.98,3.75,3.85,34131,0
20161028,3.9,4,3.81,4,29240,0
20161031,4,4.04,3.69,3.95,39360,0
20161101,3.8943,4.07,3.8315,3.99,54928,0
20161102,4,4.03,3.76,3.9899,15319,0
20161103,3.83,4.05,3.81,3.8101,69984,0
20161104,3.83,3.9731,3.7,3.79,27822,0
20161107,3.7,3.9999,3.7,3.78,27624,0
20161108,3.75,3.92,3.7001,3.76,39909,0
20161109,3.81,4.12,3.74,3.8,79785,0
20161110,3.8,4.04,3.7643,3.77,24895,0
20161111,3.79,3.9899,3.79,3.79,22970,0
20161114,3.89,3.9,3.55,3.8,34353,0
20161115,3.7882,3.881,3.51,3.881,29550,0
20161116,3.88,3.8853,3.63,3.7899,59310,0
20161117,3.91,3.91,3.7011,3.8,43324,0
20161118,3.8,3.845,3.66,3.75,12930,0
20161121,3.8,4,3.78,3.8,63327,0
20161122,3.8,3.85,3.73,3.8154,19765,0
20161123,3.8,3.93,3.67,3.69,24223,0
20161125,3.8,3.8434,3.75,3.75,9334,0
20161128,3.8,3.89,3.6712,3.71,21101,0
20161129,3.77,3.8,3.71,3.79,3505,0
20161130,3.8844,3.8899,3.67,3.67,5637,0
20161201,3.69,3.72,3.69,3.7,7480,0
20161202,3.6756,3.795,3.6756,3.73,17977,0
20161205,3.85,4.0752,3.76,3.83,42612,0
20161206,3.89,3.89,3.68,3.69,18748,0
20161207,3.71,3.9,3.6701,3.89,32255,0
20161208,3.77,3.88,3.7338,3.81,6661,0
20161209,3.8,3.84,3.71,3.84,24767,0
20161212,3.84,3.9,3.8,3.89,17790,0
20161213,3.9,3.9,3.7501,3.8,12972,0
20161214,3.91,3.9162,3.35,3.56,119573,0
20161215,3.6,3.6,3.3961,3.56,64607,0
20161216,3.56,3.63,3.43,3.45,11332,0
20161219,3.58,3.5884,3.42,3.42,10647,0
20161220,3.471,3.55,3.11,3.51,30543,0
20161221,3.45,3.52,3.2171,3.52,6278,0
20161222,3.5,3.73,3.4,3.68,63671,0
20161223,3.661,3.88,3.661,3.74,45178,0
20161227,3.62,3.7608,3.6,3.61,5596,0
20161228,3.68,3.74,3.47,3.47,20853,0
20161229,3.52,3.75,3.52,3.7259,6882,0
20161230,3.73,3.73,3.58,3.73,26995,0
20170103,3.662,3.74,3.66,3.7325,6084,0
20170104,3.73,3.75,3.5646,3.58,11621,0
20170105,3.7166,3.75,3.51,3.68,15518,0
20170106,3.62,3.77,3.5,3.67,56877,0
20170109,3.65,3.6991,3.6,3.68,16833,0
20170110,3.69,3.7,3.5001,3.68,16418,0
20170111,3.65,3.79,3.62,3.62,25312,0
20170112,3.59,3.671,3.47,3.59,35700,0
20170113,3.56,3.9,3.5,3.5574,114818,0
20170117,3.55,3.63,3.47,3.5131,41304,0
20170118,3.5,3.71,3.45,3.59,34481,0
20170119,3.55,3.6971,3.35,3.3999,32991,0
20170120,3.4267,3.52,3.13,3.4,65209,0
20170123,3.2635,3.2944,3.1375,3.17,55003,0
20170124,3.2,3.22,3.11,3.13,21751,0
20170125,3.13,3.34,3.11,3.29,57238,0
20170126,3.28,3.28,3.15,3.15,3640,0
