Date,Open,High,Low,Close,Volume,OpenInt
20050225,4.04,4.22,4.04,4.11,60982,0
20050228,4.1,4.13,3.98,3.98,111447,0
20050301,3.99,3.99,3.8,3.82,140322,0
20050302,3.81,3.9,3.81,3.84,96572,0
20050303,3.83,3.9,3.8,3.8,107411,0
20050304,3.85,3.9,3.75,3.8,363034,0
20050307,3.78,3.85,3.77,3.78,93197,0
20050308,3.78,3.86,3.75,3.83,183422,0
20050309,3.86,4,3.62,3.71,326085,0
20050310,3.34,3.39,3.2,3.2,2960271,0
20050311,3.24,3.28,3,3,1447762,0
20050314,3.12,3.2,3,3.17,541315,0
20050315,3.18,3.2,3.02,3.03,278219,0
20050316,3.01,3.08,3,3.05,280926,0
20050317,3.09,3.1,3,3.03,391537,0
20050318,3,3.07,2.99,3.03,263373,0
20050321,3.1,3.14,3,3.04,306039,0
20050322,3.1,3.13,3.02,3.02,160638,0
20050323,3.05,3.1,3,3.01,155683,0
20050324,3.06,3.07,3,3.01,193821,0
20050328,3.05,3.08,3,3,234744,0
20050329,3.02,3.09,2.81,2.81,301639,0
20050330,2.87,3.02,2.85,2.91,316813,0
20050331,2.9,2.99,2.89,2.99,166137,0
20050401,2.99,3,2.9,2.94,106644,0
20050404,3.01,3.1,2.97,3.01,249473,0
20050405,3.05,3.07,2.97,3.01,191469,0
20050406,2.97,3.08,2.95,2.98,106958,0
20050407,2.98,3.05,2.82,3.02,146067,0
20050408,3.06,3.07,2.93,3,107421,0
20050411,3.04,3.05,2.94,2.96,64335,0
20050412,3,3,2.88,2.98,80961,0
20050413,3.03,3.07,2.95,3.01,77434,0
20050414,3,3.02,2.91,2.94,113290,0
20050415,2.92,3,2.9,2.96,185537,0
20050418,2.93,2.99,2.93,2.95,172013,0
20050419,2.97,2.99,2.91,2.93,198983,0
20050420,2.92,2.97,2.82,2.84,179660,0
20050421,2.84,2.87,2.69,2.77,245762,0
20050422,2.75,2.84,2.73,2.74,179980,0
20050425,2.79,2.79,2.69,2.73,103470,0
20050426,2.92,3.03,2.84,2.87,469001,0
20050427,2.87,2.98,2.87,2.93,304357,0
20050428,2.95,2.99,2.89,2.89,186512,0
20050429,3,3,2.7,2.7,185397,0
20050502,2.7,2.82,2.7,2.72,146409,0
20050503,2.79,2.79,2.66,2.73,98255,0
20050504,2.68,2.74,2.61,2.61,116510,0
20050505,2.6,2.67,2.55,2.55,157576,0
20050506,2.57,2.63,2.5,2.52,321244,0
20050509,2.46,2.65,2.45,2.45,209048,0
20050510,2.36,2.55,2.34,2.42,199789,0
20050511,2.48,2.48,2.26,2.41,103324,0
20050512,2.45,2.56,2.42,2.49,168858,0
20050513,2.57,2.57,2.42,2.47,79485,0
20050516,2.47,2.49,2.43,2.44,290775,0
20050517,2.45,2.47,2.37,2.41,194252,0
20050518,2.47,2.47,2.41,2.43,117467,0
20050519,2.43,2.47,2.36,2.38,101126,0
20050520,2.37,2.4,2.31,2.34,260537,0
20050523,2.33,2.58,2.25,2.33,1009887,0
20050524,2.36,2.36,2.26,2.35,226625,0
20050525,2.29,2.36,2.29,2.32,153414,0
20050526,2.39,2.4,2.3,2.33,190290,0
