Date,Open,High,Low,Close,Volume,OpenInt
20120131,11.779,11.866,11.759,11.809,43787,0
20120201,11.661,11.906,11.661,11.847,17557,0
20120202,11.857,11.857,11.809,11.857,30587,0
20120203,11.779,11.946,11.779,11.946,19626,0
20120206,11.896,11.985,11.828,11.828,14113,0
20120207,11.857,11.857,11.759,11.809,24592,0
20120208,11.769,11.857,11.769,11.819,6224,0
20120209,11.769,11.936,11.739,11.916,26023,0
20120210,11.876,11.936,11.837,11.936,25155,0
20120213,11.896,11.926,11.876,11.906,7143,0
20120214,11.896,11.896,11.876,11.896,9010,0
20120215,11.946,11.946,11.916,11.946,2710,0
20120216,11.955,12.415,11.955,12.415,13323,0
20120217,11.985,12.983,11.985,12.415,28164,0
20120221,12.365,12.692,12.365,12.692,1379,0
20120222,12.722,12.732,12.523,12.553,2638,0
20120223,12.642,12.732,12.642,12.732,916,0
20120224,12.692,12.692,11.975,12.045,5616,0
20120227,12.533,12.533,12.035,12.445,3063,0
20120228,12.2,12.445,12.2,12.435,613,0
20120229,12.415,12.445,12.191,12.395,3164,0
20120301,12.445,12.632,12.365,12.632,2023,0
20120302,12.592,12.592,12.592,12.592,100,0
20120305,12.266,12.592,12.246,12.246,1684,0
20120306,12.266,12.286,12.246,12.286,2961,0
20120307,12.229,12.246,12.229,12.246,1529,0
20120312,12.246,12.246,12.104,12.104,6428,0
20120313,12.246,12.445,12.191,12.425,6941,0
20120314,12.229,12.445,12.229,12.445,8166,0
20120315,12.246,12.246,12.182,12.229,6779,0
20120316,12.209,12.246,12.209,12.246,3405,0
20120319,12.256,12.296,12.162,12.2,4289,0
20120320,12.239,12.246,12.152,12.162,3470,0
20120321,12.246,12.692,12.246,12.692,10029,0
20120323,12.345,12.642,12.345,12.642,1734,0
20120327,12.276,12.543,12.276,12.543,2449,0
20120328,12.632,12.642,12.494,12.642,11467,0
20120329,12.563,12.563,12.494,12.494,613,0
20120402,12.296,12.296,12.276,12.276,1147,0
20120404,12.484,12.484,12.484,12.484,260,0
20120405,12.276,12.276,12.276,12.276,100,0
20120409,12.316,12.316,12.246,12.246,2755,0
20120410,12.276,12.276,12.2,12.2,7887,0
20120411,12.326,12.326,12.246,12.246,4908,0
20120412,12.246,12.246,12.239,12.246,10305,0
20120413,12.229,12.256,12.229,12.246,8722,0
20120416,12.266,12.266,12.246,12.246,613,0
20120417,12.445,12.465,12.345,12.465,11122,0
20120418,12.435,12.455,12.435,12.455,513,0
20120423,12.246,12.246,12.172,12.172,3978,0
20120424,12.435,12.435,12.435,12.435,100,0
20120425,12.256,12.455,12.256,12.395,11733,0
