Date,Open,High,Low,Close,Volume,OpenInt
20140807,6.88,6.88,6.88,6.88,125,0
20140811,6.5,6.503,6.5,6.5,2869,0
20140812,6.5,6.5,6.4999,6.5,2036,0
20140813,6.5,6.5,6.4041,6.4041,466,0
20140815,6.1299,6.49,6.1299,6.3,2048,0
20140818,6.04,6.4,6.01,6.4,2570,0
20140820,6.0301,6.16,6.03,6.0401,8928,0
20140821,6.04,6.0401,6.04,6.0401,400,0
20140825,6.03,6.0301,6.03,6.03,2520,0
20140826,6.02,6.02,6.02,6.02,3000,0
20140827,6.02,6.05,6.02,6.05,7100,0
20140828,6.1,6.25,5.98,6,2879,0
20140829,6.4399,6.4399,5.98,5.98,1050,0
20140902,6.1,6.2,6.04,6.04,2850,0
20140903,6.05,6.44,6.05,6.41,11142,0
20140904,6.136,6.136,6.136,6.136,190,0
20140905,6.15,6.5,6.1,6.2,4723,0
20140908,6.41,6.44,6.1595,6.44,3470,0
20140909,6.42,6.44,6.14,6.4,2748,0
20140910,6.44,6.44,6.15,6.15,1630,0
20140911,6.15,6.44,6.09,6.44,16139,0
20140912,6.43,6.44,6.4,6.44,3822,0
20140915,6.09,6.43,6.06,6.42,5345,0
20140916,6.42,6.42,6.05,6.05,2404,0
20140917,6.41,6.41,6.2101,6.2101,863,0
20140918,6.38,6.4,6.23,6.4,2429,0
20140919,6.4,6.4,6.05,6.05,7512,0
20140922,6.17,6.35,6,6,1259,0
20140923,6.05,6.05,6.05,6.05,155,0
20140925,6.63,6.79,6.0901,6.17,11919,0
20140929,6.0501,6.0501,6.0501,6.0501,100,0
20140930,6.1,6.1,6.1,6.1,600,0
20141001,6.4,6.4,6.4,6.4,170,0
20141003,6.12,6.38,6.12,6.14,1790,0
20141008,6.38,6.38,6.38,6.38,250,0
20141009,6.1,6.1,6.0001,6.0001,19975,0
20141014,5.99,6,5.9,5.9,2102,0
20141020,5.6601,6,5.6601,6,275,0
20141021,6,6,6,6,643,0
20141022,5.66,5.66,5.66,5.66,994,0
20141023,5.66,5.97,5.66,5.97,300,0
20141030,5.7,5.7,5.6,5.6,654,0
20141106,5.97,5.97,5.97,5.97,191,0
