Date,Open,High,Low,Close,Volume,OpenInt
20061120,10,10,10,10,0,0
20061121,10.11,11.99,9.25,10.56,1731542,0
20061122,10.57,10.89,9.9,10.64,368465,0
20061124,10.83,10.83,10.5,10.6,90937,0
20061127,10.75,10.75,10.11,10.2,86101,0
20061128,10.3,10.35,9.85,10.1,107156,0
20061129,10.14,10.96,10.01,10.18,233976,0
20061130,10.25,10.25,10.02,10.03,38247,0
20061201,10.14,10.15,10,10.07,47950,0
20061204,10,10.15,10,10,41249,0
20061205,10.1,10.15,10,10,95886,0
20061206,10.1,10.1,10,10.05,48812,0
20061207,10.06,10.08,10,10,37900,0
20061208,10,10.05,10,10,25982,0
20061211,10,10.09,10,10.01,32149,0
20061212,10,10.09,10,10.02,71629,0
20061213,10.02,10.73,10,10.2,202946,0
20061214,10.17,10.18,10,10.09,32025,0
20061215,10.2,10.23,10,10,26818,0
20061218,10.04,10.05,10,10.01,45352,0
20061219,10,10.21,10,10.05,12023,0
20061220,10.02,10.08,10,10,21020,0
20061221,10.07,11.15,10.02,10.07,68219,0
20061222,10.06,10.09,10,10,19176,0
20061226,10.1,10.1,10,10,84200,0
20061227,10,10.06,10,10,3300,0
20061228,10.05,10.05,10,10,13100,0
20061229,10.18,10.18,10,10,5800,0
20070103,10.03,10.03,10.01,10.01,53298,0
20070104,10.09,10.14,10.01,10.05,27344,0
20070105,10.03,10.1,10.02,10.1,4501,0
20070108,10.01,10.27,10.01,10.05,38242,0
20070109,10.02,10.1,9.75,9.85,124905,0
20070110,9.87,9.87,9.8,9.8,16900,0
20070111,9.81,10.02,9.81,9.9,13025,0
20070112,10.04,10.04,9.8,9.8,8300,0
20070116,10,10.01,9.76,9.76,13900,0
20070117,9.72,9.8,9.6,9.6,3325,0
20070118,9.67,9.98,9.03,9.4,14557,0
20070119,9.42,9.6,9.25,9.25,2617,0
20070122,9.17,9.42,9.17,9.34,9087,0
20070123,9.17,9.49,9.06,9.24,46894,0
20070124,9.08,9.39,9.03,9.03,30312,0
20070125,9.15,9.35,8.91,9,94139,0
20070126,8.96,9.2,8.95,9.19,40400,0
20070129,9.17,9.2,8.97,9.02,15701,0
20070130,9.02,9.1,8.9,8.96,28847,0
20070131,8.95,9.5,8.82,9.25,32980,0
20070201,9.5,9.74,9.28,9.28,8477,0
20070202,9.32,9.48,9.25,9.37,4200,0
20070205,9.44,9.44,9.26,9.34,2000,0
20070206,9.36,9.55,9.2,9.42,11600,0
20070207,9.41,9.43,9.35,9.39,1375,0
20070208,9.35,9.4,9.25,9.4,5819,0
20070209,9.3,9.4,8.86,9.18,43359,0
20070212,9.12,9.31,9.12,9.21,1900,0
20070213,9.22,9.25,8.9,8.9,14596,0
20070214,8.92,9.11,8.89,9.11,2402,0
20070215,8.94,9.18,8.91,9.18,8905,0
20070216,9.3,9.3,8.99,9,6950,0
20070220,9.08,9.17,9.08,9.11,1800,0
20070221,9.13,9.14,9.02,9.14,3100,0
20070222,9.35,9.4,9.06,9.06,18686,0
20070223,9.13,9.13,8.93,8.97,1000,0
20070226,9.07,9.59,9.06,9.5,25000,0
20070227,9.62,9.62,9.26,9.36,12659,0
20070228,9.33,9.98,9.33,9.83,25554,0
20070301,9.54,9.95,9.54,9.74,11501,0
20070302,9.74,9.99,9.65,9.66,25900,0
20070305,9.66,9.66,9,9.39,16300,0
20070306,9.5,9.8,9.34,9.67,12768,0
20070307,9.74,9.74,9.55,9.58,13560,0
20070308,9.61,9.79,9.49,9.6,37906,0
20070309,9.64,9.83,9.54,9.67,54900,0
20070312,9.77,9.89,9.65,9.65,11000,0
20070313,9.68,9.7,9.55,9.56,12419,0
20070314,9.69,9.7,9.5,9.55,3700,0
20070315,9.55,9.61,9.12,9.25,103298,0
20070316,9.5,9.5,9.2,9.2,1100,0
20070319,9.49,9.49,9.3,9.3,12400,0
20070320,9.31,9.31,9.18,9.2,5600,0
20070321,9.29,9.29,9.2,9.2,1300,0
20070322,9.1,9.3,9.1,9.26,13900,0
20070323,9.74,9.74,9.4,9.5,43907,0
20070326,9.6,9.64,9.55,9.6,6740,0
20070327,9.6,9.74,9.5,9.6,11802,0
20070328,9.5,9.59,9.07,9.5,6444,0
20070329,9.5,9.5,9.06,9.37,11628,0
20070330,9.25,9.39,9.25,9.39,1028,0
20070402,9.26,9.4,9.26,9.3,24900,0
20070403,9.33,9.64,9.28,9.37,24255,0
20070404,9.4,9.4,9.32,9.4,7798,0
20070405,9.4,9.78,9.35,9.55,109086,0
20070409,9.51,9.69,9.5,9.52,24883,0
20070410,9.51,10,9.5,9.7,46545,0
20070411,9.48,9.6,9.48,9.5,700,0
20070412,9.55,9.8,9.51,9.8,1900,0
20070413,9.56,9.89,9.56,9.7,1648,0
20070416,9.7,9.86,9.65,9.8,7095,0
20070417,9.76,10,9.56,9.83,20800,0
20070418,9.81,9.81,9.72,9.72,4200,0
20070419,9.72,9.72,9.61,9.7,3200,0
20070420,9.71,9.8,9.7,9.7,4600,0
20070423,9.75,9.75,9.66,9.73,1475,0
20070424,9.82,9.94,9.73,9.83,3700,0
20070425,9.8,9.94,9.71,9.9,14200,0
20070426,9.9,10.14,9.85,9.99,44150,0
20070427,9.91,10.18,9.91,10.05,18550,0
20070430,10.07,10.86,9.9,9.99,13500,0
20070501,10,10,9.85,9.85,1700,0
20070502,9.9,9.92,9.77,9.77,2350,0
20070503,9.86,9.86,9.85,9.85,402,0
20070504,9.75,9.75,9.25,9.4,54206,0
20070507,9.4,9.4,9.31,9.31,500,0
20070508,9.4,9.4,9.4,9.4,350,0
20070509,9.54,9.54,9.45,9.45,4900,0
20070510,9.52,9.52,9.45,9.45,940,0
20070511,9.55,9.55,9.35,9.44,1400,0
20070514,9.5,9.51,9.36,9.4,38765,0
20070515,9.38,9.38,9.11,9.21,25108,0
20070516,9.2,9.26,9.09,9.23,23501,0
20070517,9.3,9.64,9.26,9.5,13833,0
20070518,9.64,9.64,9.35,9.5,1610,0
20070521,9.4,9.4,9.4,9.4,200,0
20070522,9.45,9.45,9.38,9.38,5450,0
20070524,9.5,9.5,9.1,9.3,6057,0
20070525,9.3,9.5,9.25,9.42,2742,0
20070529,9.41,9.41,9.3,9.3,1400,0
20070530,9.26,9.27,9.26,9.26,973,0
20070531,9.25,9.26,9.25,9.26,2000,0
20070601,9.16,9.22,9.16,9.2,31150,0
20070604,9.22,9.3,9,9.04,10706,0
20070605,9,9.1,8.97,9,18295,0
20070606,9.04,9.04,8.98,9,92600,0
20070607,9.05,9.12,9,9.03,323953,0
20070608,9,9.1,8.9,9.05,4250,0
20070611,9,9.35,9,9.21,30075,0
20070612,9.29,9.32,9.13,9.28,17700,0
20070613,9.3,9.42,9.18,9.38,7578,0
20070614,9.43,10.05,9.41,9.77,71756,0
20070615,9.92,10,9.76,9.95,32029,0
20070618,9.95,10,9.82,10,18155,0
20070619,9.9,9.95,9.9,9.95,1107,0
20070620,10,10,9.9,9.98,26983,0
20070621,9.99,10.13,9.99,10.07,63862,0
20070622,10,10,9.74,9.93,7292,0
20070625,9.9,9.9,9.71,9.71,6620,0
20070626,9.85,9.86,9.31,9.55,14020,0
20070627,9.57,9.57,9.38,9.47,53718,0
20070628,9.5,9.7,9.41,9.5,46368,0
20070629,9.5,9.95,9.35,9.89,28430,0
20070702,9.9,9.9,9.76,9.8,6182,0
20070703,9.76,9.76,9.61,9.72,3200,0
20070705,9.7,9.73,9.68,9.68,12250,0
20070706,9.59,9.62,9.58,9.58,3100,0
20070709,9.66,10,9.55,9.6,125128,0
20070710,9.81,9.95,9.71,9.79,25770,0
20070711,9.75,9.95,9.75,9.93,2700,0
20070712,9.88,9.9,9.8,9.8,2200,0
20070713,9.8,9.84,9.66,9.72,2675,0
20070716,9.77,9.8,9.59,9.61,2400,0
20070717,9.69,9.69,9.61,9.66,6400,0
20070718,9.66,9.82,9.66,9.81,13145,0
20070719,9.75,9.85,9.71,9.84,4765,0
20070720,9.76,9.88,9.68,9.88,122811,0
20070723,9.96,10.02,9.9,9.9,17685,0
20070724,9.96,9.96,9.7,9.95,12800,0
20070725,9.83,9.94,9.81,9.85,15700,0
20070726,9.81,9.81,9.67,9.76,10644,0
20070727,9.76,9.8,9.7,9.74,12446,0
20070730,9.8,9.92,9.75,9.92,13850,0
20070731,9.98,9.98,9.69,9.85,13400,0
20070801,9.74,9.92,9.68,9.84,4323,0
20070802,9.89,10.5,9.76,10.42,77481,0
20070803,10.47,10.5,10.19,10.19,13370,0
20070806,10.26,10.3,9.77,10,11127,0
20070807,9.94,9.95,9.82,9.93,4477,0
20070808,9.98,10.13,9.88,10.02,12076,0
20070809,10.08,10.08,9.89,10,7925,0
20070810,9.91,9.91,9.69,9.69,2200,0
20070813,9.75,9.91,9.71,9.71,2600,0
20070814,9.84,10,9.84,9.86,8105,0
20070815,9.82,10.1,9.76,9.98,26214,0
20070816,9.96,10,9.84,9.88,103796,0
20070817,9.9,10.07,9.78,9.96,23626,0
20070820,10.06,10.06,9.88,9.94,18800,0
20070821,10.03,10.12,10,10.03,5196,0
20070822,9.98,10.29,9.95,10.18,9800,0
20070823,10.17,10.18,10.04,10.12,3500,0
20070824,10.19,10.28,10.19,10.25,2700,0
20070827,10.28,10.43,10.23,10.37,16862,0
20070828,10.43,10.5,10.3,10.47,24684,0
20070829,10.01,10.5,10.01,10.49,4394,0
20070830,10.5,10.5,10.18,10.31,14100,0
20070831,10.4,10.41,10.36,10.38,2200,0
20070904,10.4,10.46,10.19,10.2,8285,0
20070905,10.21,10.35,10.18,10.26,3400,0
20070906,10.3,10.45,10.27,10.34,5550,0
20070907,10.02,10.14,10.02,10.11,6300,0
20070910,10.08,10.33,10.04,10.25,5300,0
20070911,10.2,10.25,10.2,10.22,2200,0
20070912,10.22,10.22,10.1,10.17,10200,0
20070913,10.08,10.16,10.06,10.15,13148,0
20070914,10.21,10.23,10.19,10.23,2250,0
20070917,10.12,10.26,10.12,10.26,1000,0
