Date,Open,High,Low,Close,Volume,OpenInt
20130306,0.6206,0.6206,0.589,0.598,510530,0
20130307,0.6048,0.6183,0.5867,0.6093,439153,0
20130308,0.6206,0.6251,0.598,0.6161,2057925,0
20130311,0.6161,0.6431,0.6115,0.6319,1789362,0
20130312,0.6319,0.6431,0.6003,0.6206,348621,0
20130313,0.6003,0.6206,0.5912,0.6206,535310,0
20130314,0.6206,0.6296,0.598,0.6296,330226,0
20130315,0.6003,0.6544,0.5867,0.5912,1397185,0
20130318,0.5867,0.6048,0.5845,0.6048,309811,0
20130319,0.5935,0.6048,0.5912,0.5912,96099,0
20130320,0.5912,0.6048,0.5235,0.5484,1879589,0
20130321,0.5303,0.6048,0.5303,0.5303,470811,0
20130322,0.5303,0.5587,0.48518,0.5461,763202,0
20130325,0.5213,0.5642,0.5077,0.5077,808424,0
20130326,0.5077,0.5935,0.5077,0.5281,3878873,0
20130327,0.519,0.6025,0.5145,0.5642,524626,0
20130328,0.5822,0.5867,0.5529,0.5642,1044209,0
20130401,0.5551,0.5642,0.5077,0.5619,250492,0
20130402,0.5529,0.6048,0.5484,0.5958,619280,0
20130403,0.598,0.607,0.5551,0.5912,1225416,0
20130404,0.598,0.598,0.5867,0.5867,245188,0
20130405,0.5867,0.5935,0.5822,0.5867,98908,0
20130408,0.5664,0.5958,0.5664,0.5867,149714,0
20130409,0.5867,0.5867,0.5652,0.5867,75865,0
20130410,0.5732,0.5867,0.5664,0.5732,60386,0
20130411,0.5822,0.5822,0.5664,0.5822,67357,0
20130412,0.5506,0.5822,0.5484,0.5777,33297,0
20130415,0.5642,0.5777,0.5529,0.5732,149182,0
20130416,0.5754,0.5754,0.5574,0.5732,267859,0
20130417,0.5529,0.5732,0.5529,0.5619,46113,0
20130418,0.5461,0.5732,0.5213,0.5619,145225,0
20130419,0.5235,0.5732,0.5235,0.5281,168614,0
20130422,0.5281,0.5596,0.5281,0.5416,24195,0
20130423,0.5416,0.5664,0.5416,0.5438,307958,0
20130424,0.5326,0.5732,0.5326,0.5541,148495,0
20130425,0.5303,0.5732,0.5303,0.5709,237965,0
20130426,0.5709,0.5709,0.5551,0.5551,98381,0
20130429,0.5642,0.5754,0.5371,0.5754,1133802,0
20130430,0.5642,0.5867,0.5642,0.5867,167262,0
20130501,0.5912,0.5935,0.5822,0.5912,37884,0
20130502,0.5642,0.598,0.5642,0.5845,143913,0
20130503,0.5484,0.5958,0.5484,0.5867,249650,0
20130506,0.5777,0.5867,0.5754,0.5867,57829,0
20130507,0.5777,0.5867,0.5642,0.5867,96905,0
20130508,0.5867,0.5867,0.5754,0.5867,133269,0
20130509,0.5484,0.58,0.5416,0.58,322555,0
20130510,0.58,0.5867,0.5642,0.5867,398451,0
20130513,0.5867,0.5935,0.5642,0.5935,129839,0
20130514,0.5912,0.6183,0.5754,0.6183,193939,0
20130515,0.6183,0.6228,0.6138,0.6228,98456,0
20130516,0.6206,0.6522,0.5845,0.6522,467926,0
20130517,0.677,0.677,0.6093,0.677,382224,0
20130520,0.6206,0.7605,0.6183,0.6815,121442,0
20130521,0.6003,0.7334,0.6003,0.6477,96737,0
20130522,0.677,0.677,0.6138,0.6725,41646,0
20130523,0.668,0.677,0.6014,0.6725,123817,0
20130524,0.6725,0.677,0.5755,0.677,98704,0
20130528,0.6657,0.6725,0.6319,0.6725,10635,0
20130529,0.589,0.677,0.5867,0.6747,94260,0
20130530,0.6161,0.6747,0.6161,0.668,67955,0
20130531,0.668,0.677,0.6206,0.677,210867,0
20130603,0.6747,0.677,0.6093,0.6747,24302,0
20130604,0.6093,0.677,0.6093,0.6747,48528,0
20130605,0.6477,0.6747,0.6431,0.6725,113886,0
20130606,0.6477,0.677,0.6477,0.6747,12847,0
20130607,0.6454,0.677,0.6431,0.6567,144520,0
20130610,0.6612,0.677,0.6431,0.677,74447,0
20130611,0.6454,0.677,0.6432,0.677,20384,0
20130612,0.6499,0.6792,0.5935,0.6544,867849,0
20130613,0.6115,0.6747,0.6115,0.6747,36320,0
20130614,0.6273,0.6747,0.6206,0.668,458647,0
20130617,0.6702,0.6883,0.6319,0.6657,189827,0
20130618,0.6431,0.6635,0.6251,0.6635,378156,0
20130619,0.6544,0.6883,0.6381,0.6635,93170,0
20130620,0.644,0.677,0.644,0.677,144077,0
20130621,0.6544,0.6883,0.6341,0.668,59602,0
20130624,0.6612,0.6657,0.6115,0.6161,312899,0
20130625,0.6206,0.6594,0.6048,0.6206,161546,0
20130626,0.6409,0.6409,0.6003,0.6228,85295,0
20130627,0.598,0.6657,0.598,0.6296,183587,0
20130628,0.6025,0.6612,0.6025,0.6115,112592,0
20130701,0.6612,0.6612,0.6005,0.6431,487229,0
20130702,0.6657,0.6657,0.6206,0.6589,34091,0
20130703,0.6431,0.6567,0.6431,0.6567,2659,0
20130705,0.6273,0.6589,0.6273,0.6589,25259,0
20130708,0.6341,0.6589,0.6341,0.6526,30953,0
20130709,0.6431,0.6589,0.6273,0.6589,36027,0
20130710,0.6216,0.6589,0.6216,0.6589,3279,0
20130711,0.6499,0.6589,0.6212,0.6589,24816,0
20130712,0.6544,0.677,0.6544,0.6747,168321,0
20130715,0.6725,0.677,0.6477,0.6747,13786,0
20130716,0.6364,0.677,0.6364,0.677,16396,0
20130717,0.677,0.677,0.6431,0.6747,15953,0
20130718,0.6544,0.6747,0.6544,0.6702,78036,0
20130719,0.6431,0.6747,0.6386,0.6747,12851,0
20130723,0.6454,0.6747,0.6454,0.6747,10201,0
20130724,0.6544,0.677,0.6522,0.6725,78878,0
20130725,0.6612,0.6612,0.6612,0.6612,11078,0
20130726,0.6725,0.677,0.6568,0.6612,70680,0
20130729,0.677,0.677,0.6657,0.677,162631,0
20130730,0.677,0.7018,0.6499,0.6747,1143152,0
20130731,0.677,0.677,0.6657,0.677,319732,0
20130801,0.695,0.6973,0.6657,0.677,502075,0
20130802,0.6883,0.7108,0.677,0.7086,493580,0
20130805,0.7086,0.7108,0.677,0.7086,39377,0
20130806,0.677,0.7289,0.677,0.7063,140771,0
20130807,0.6928,0.7208,0.6928,0.7172,86881,0
20130808,0.7108,0.7176,0.6883,0.6883,5713019,0
20130809,0.09929,0.16473,0.0835,0.11392,19384778,0
20130812,0.12412,0.12412,0.09027,0.09478,3279052,0
20130813,0.10155,0.10155,0.09027,0.09252,1622689,0
20130814,0.09252,0.10155,0.05867,0.0677,4412393,0
20130815,0.07898,0.09049,0.06996,0.07673,1780153,0
20130816,0.09027,0.09027,0.08124,0.08801,515045,0
20130819,0.09471,0.11735,0.09367,0.11283,1683549,0
20130820,0.1196,0.13991,0.11283,0.13314,1741077,0
