Date,Open,High,Low,Close,Volume,OpenInt
20170310,100.49,100.49,100.49,100.49,310,0
20170314,100.48,100.48,100.48,100.48,154,0
20170316,100.71,100.71,100.61,100.61,544,0
20170317,99.78,99.92,99.78,99.92,2432,0
20170320,99.92,99.92,99.92,99.92,0,0
20170321,100.23,100.23,100.23,100.23,548,0
20170322,100.92,100.92,100.92,100.92,154,0
20170331,100.88,100.88,100.88,100.88,128,0
20170403,101.13,101.13,101.12,101.12,269,0
20170406,100.48,100.94,100.48,100.94,1708,0
20170410,101.14,101.14,101.14,101.14,100,0
20170424,100.69,100.73,100.66,100.72,1207,0
20170425,100.34,100.62,100.34,100.62,681,0
20170428,100.03,100.03,100.03,100.03,152,0
20170501,100.7,100.7,100.68,100.68,4707,0
20170502,101,101,101,101,100,0
20170503,101.01,101.01,99.064,99.064,339,0
20170511,100.77,100.77,100.27,100.27,572,0
20170515,101.59,101.59,101.59,101.59,105,0
20170602,101.39,101.39,101.39,101.39,202,0
20170609,100.91,100.91,100.91,100.91,102,0
20170622,100.23,100.23,100.23,100.23,449,0
20170623,101.14,101.16,101.14,101.16,322,0
20170628,101.1,101.12,101.1,101.12,1099,0
20170712,101.17,101.17,101.17,101.17,207,0
20170719,101.21,101.21,101.21,101.21,105,0
20170801,101.54,101.54,101.54,101.54,163,0
