Date,Open,High,Low,Close,Volume,OpenInt
20131004,20.148,20.148,20.148,20.148,869,0
20131008,20.953,20.953,20.148,20.148,2108,0
20131009,20.148,20.953,20.148,20.953,3598,0
20131010,20.439,20.439,20.439,20.439,248,0
20131014,20.953,20.953,20.148,20.148,3603,0
20131015,20.953,20.953,20.953,20.953,1365,0
20131016,20.953,20.953,20.953,20.953,7371,0
20131017,20.953,20.953,20.953,20.953,5459,0
20131018,21.074,21.244,21.042,21.244,13990,0
20131021,20.953,20.953,20.953,20.953,4670,0
20131022,20.953,20.953,20.953,20.953,683,0
20131023,20.986,21.083,20.986,21.05,5336,0
20131024,21.292,21.292,21.107,21.132,18461,0
20131025,21.203,21.203,21.083,21.107,4012,0
20131028,21.115,21.178,21.115,21.178,7411,0
20131029,21.292,21.301,21.276,21.292,6105,0
20131030,21.203,21.284,21.115,21.14,5168,0
20131031,21.124,21.14,21.115,21.14,6213,0
20131101,21.09,21.09,21.034,21.034,7075,0
20131105,21.074,21.172,21.034,21.09,8551,0
20131106,21.244,21.244,21.244,21.244,1954,0
20131107,21.389,21.389,21.083,21.115,17359,0
20131108,20.961,21.155,20.961,21.099,26685,0
20131111,21.148,21.357,21.148,21.332,6640,0
20131112,21.332,21.332,21.124,21.23,12574,0
20131113,21.107,21.14,21.107,21.115,6351,0
20131114,21.22,21.332,21.22,21.323,3690,0
20131115,21.124,21.213,21.05,21.213,11702,0
20131118,21.155,21.178,21.155,21.172,4840,0
20131119,21.14,21.244,21.132,21.132,16326,0
20131120,21.099,21.14,21.058,21.067,3647,0
20131121,21.099,21.172,21.09,21.172,1020,0
20131122,21.172,21.213,21.172,21.213,1462,0
20131125,21.26,21.301,21.26,21.269,9091,0
20131126,21.244,21.244,21.178,21.178,4829,0
20131127,21.332,21.332,21.213,21.253,5118,0
20131129,21.301,21.301,21.301,21.301,1737,0
20131202,21.23,21.23,21.196,21.203,2781,0
20131203,20.961,21.034,20.825,20.842,25650,0
20131204,20.656,20.736,20.632,20.736,5180,0
20131205,20.639,20.647,20.59,20.59,3728,0
20131206,20.704,20.807,20.704,20.807,4529,0
20131209,20.762,20.817,20.752,20.817,9934,0
20131210,20.752,20.752,20.72,20.72,2066,0
20131211,20.72,20.72,20.566,20.566,5002,0
20131212,20.439,20.486,20.365,20.423,10791,0
20131213,20.414,20.462,20.398,20.462,51712,0
20131216,20.632,20.639,20.614,20.632,3598,0
20131217,20.566,20.672,20.543,20.656,36273,0
20131218,20.664,20.995,20.608,20.938,34036,0
20131219,21.124,21.124,20.953,21.011,4658,0
20131220,21.11,21.117,21.052,21.11,15783,0
20131223,21.256,21.319,21.239,21.256,4623,0
20131224,21.362,21.467,21.362,21.458,2453,0
20131226,21.54,21.557,21.5,21.509,9467,0
20131227,21.418,21.435,21.386,21.386,6269,0
20131230,21.394,21.394,21.354,21.354,13533,0
20131231,21.54,21.662,21.54,21.614,16607,0
20140102,21.354,21.386,21.248,21.386,35633,0
20140103,21.476,21.476,21.435,21.435,246,0
20140106,21.484,21.509,21.336,21.435,162843,0
20140107,21.565,21.656,21.565,21.646,34571,0
20140108,21.606,21.695,21.606,21.606,20812,0
20140109,21.767,21.767,21.492,21.516,71251,0
20140110,21.606,21.686,21.599,21.686,5407,0
20140113,21.711,21.728,21.509,21.525,5432,0
20140114,21.646,21.776,21.646,21.767,8533,0
20140115,21.906,21.947,21.656,21.874,39995,0
20140116,21.703,21.947,21.703,21.947,251527,0
20140117,21.923,21.947,21.866,21.899,26751,0
20140121,22.125,22.125,21.899,22.005,33066,0
20140122,22.241,22.241,21.899,21.932,54725,0
20140123,21.915,21.915,21.484,21.752,38615,0
20140124,21.549,21.59,21.02,21.152,65494,0
20140127,21.166,21.264,20.768,20.946,73529,0
20140128,21.117,21.216,20.953,21.173,54122,0
20140129,20.882,20.929,20.67,20.842,35082,0
20140130,20.939,21.134,20.891,21.126,22748,0
20140131,20.638,21.02,20.638,20.953,82170,0
20140203,20.777,20.817,20.515,20.532,14259,0
20140204,20.693,20.768,20.621,20.768,24147,0
20140205,20.777,20.777,20.647,20.726,194308,0
20140206,21.012,21.126,21.012,21.126,2050,0
20140207,21.248,21.256,21.225,21.233,7804,0
20140210,21.225,21.225,21.166,21.166,1974,0
20140211,21.233,21.582,21.233,21.582,29801,0
20140212,21.614,21.639,21.557,21.573,1119,0
20140213,21.427,21.639,21.427,21.639,45969,0
20140214,21.573,21.686,21.549,21.686,11308,0
20140218,21.776,21.809,21.711,21.767,12788,0
20140219,21.792,21.874,21.719,21.719,34025,0
20140220,21.662,21.915,21.662,21.906,7457,0
20140221,21.859,21.923,21.785,21.843,14771,0
20140224,21.996,22.125,21.956,22.086,52062,0
20140225,22.061,22.095,21.923,22.013,51555,0
20140226,21.923,22.038,21.891,21.947,46192,0
20140227,21.76,22.023,21.76,22.005,10044,0
20140228,21.973,22.028,21.866,21.891,7483,0
20140303,21.525,21.573,21.5,21.525,3330,0
20140304,21.956,21.979,21.833,21.947,24955,0
20140305,22.013,22.013,21.874,21.947,14709,0
20140306,22.005,22.023,21.979,22.013,3580,0
20140307,21.973,21.973,21.737,21.833,4593,0
20140310,21.752,21.76,21.614,21.76,30547,0
20140311,21.728,21.752,21.671,21.671,4923,0
20140312,21.394,21.557,21.394,21.484,5292,0
20140313,21.525,21.525,21.028,21.028,29547,0
20140314,21.11,21.207,20.997,21.117,9050,0
20140317,21.296,21.378,21.239,21.345,7252,0
20140318,21.427,21.557,21.427,21.5,10043,0
20140319,21.476,21.476,21.336,21.336,44862,0
20140320,21.273,21.362,21.264,21.319,41274,0
20140321,21.435,21.484,21.435,21.435,1639,0
20140324,21.435,21.435,21.319,21.319,1846,0
20140325,21.614,21.614,21.492,21.492,768,0
20140326,21.623,21.623,21.614,21.614,1598,0
20140327,21.606,21.606,21.509,21.533,18528,0
20140328,21.639,21.809,21.639,21.792,4453,0
20140331,21.737,21.899,21.737,21.866,15657,0
20140401,22.095,22.102,21.899,21.979,4858,0
20140402,21.996,22.051,21.996,22.046,6857,0
20140403,22.038,22.069,21.932,21.932,11536,0
20140404,22.023,22.215,22.005,22.005,7006,0
20140407,21.801,21.85,21.76,21.85,14185,0
20140408,21.743,21.843,21.743,21.843,7625,0
20140409,21.94,21.94,21.809,21.915,1050,0
20140410,21.923,21.94,21.639,21.646,12713,0
20140411,21.452,21.458,21.394,21.427,4208,0
20140414,21.606,21.606,21.582,21.599,2890,0
20140415,21.509,21.516,21.345,21.345,11001,0
20140416,21.656,21.752,21.646,21.752,14163,0
20140417,21.818,21.923,21.76,21.882,11204,0
20140421,21.662,21.956,21.662,21.956,5190,0
20140422,21.923,22.142,21.923,22.118,4670,0
20140423,22.023,22.051,22.023,22.023,2945,0
20140424,22.134,22.134,22.005,22.061,89883,0
20140425,22.051,22.051,21.899,21.947,4238,0
20140428,21.973,22.078,21.801,22.069,49815,0
20140429,22.224,22.265,22.142,22.184,30127,0
20140430,22.118,22.265,22.118,22.265,29899,0
20140501,22.192,22.354,22.192,22.231,8518,0
20140502,22.142,22.184,22.102,22.134,14869,0
20140505,21.965,22.142,21.923,22.142,5811,0
20140506,22.151,22.151,22.005,22.061,487818,0
20140507,22.078,22.199,22.023,22.199,35161,0
