Date,Open,High,Low,Close,Volume,OpenInt
20150603,50.225,50.225,50.225,50.225,160,0
20150604,51.26,52.39,51.26,52.39,1360,0
20150605,52.39,52.39,52.39,52.39,160,0
20150608,50.175,50.94,50.175,50.675,2400,0
20150609,48.95,48.95,48.95,48.95,889,0
20150610,47.5,47.74,47.5,47.74,407,0
20150615,52.675,52.675,52.16,52.16,400,0
20150616,49.375,49.375,49.375,49.375,160,0
20150617,48.25,51.25,47.925,50.6,560,0
20150618,50.6,50.6,50.6,50.6,80,0
20150619,53.975,53.975,53.975,53.975,80,0
20150622,53.25,53.325,53.25,53.325,400,0
20150623,53.55,53.55,50.79,50.79,303,0
20150624,50.15,50.925,50.15,50.925,480,0
20150625,52.24,52.875,52.24,52.875,560,0
20150626,52.875,52.875,52.875,52.875,80,0
20150629,57.59,57.725,57.59,57.725,1040,0
20150630,58.05,58.21,57.75,57.75,1186,0
20150701,58.475,58.475,58.44,58.44,320,0
20150702,63.34,64.31,63.34,64.31,240,0
20150706,68.79,70.25,66.575,70.25,1120,0
20150707,70.6,75.74,64.075,64.11,1760,0
20150708,65.06,72.56,65.06,72.56,2160,0
20150709,66.34,66.4,63.71,66.225,2080,0
20150710,64.625,68.75,64.625,68.75,960,0
20150713,68.75,70.3,68.75,70.3,1680,0
20150714,66.25,68.7,61.16,61.16,4610,0
20150715,64.15,69.59,62.96,68.41,2527,0
20150716,66.875,71,66.75,71,1520,0
20150717,74.76,74.825,74.35,74.35,400,0
20150720,80.625,85.4,80.625,85.125,4480,0
20150721,82.51,84.66,77.6,83.86,6720,0
20150722,85.69,89.35,85.69,88.875,5040,0
20150723,87.5,90.91,86.875,88.75,2480,0
20150724,88.14,97.45,88.14,96.56,2320,0
20150727,103.12,105,99.19,104.98,9360,0
20150728,103.89,106.24,89.96,92.81,13120,0
20150729,93.86,95.69,83.66,85.275,9440,0
20150730,87.525,91.24,85.84,89.3,10560,0
20150731,90.81,96.21,90.61,96.16,11200,0
20150803,100.79,105.11,97.6,105,16111,0
20150804,103.95,105.84,98.91,104.62,5200,0
20150805,97.99,108.25,96.04,107.65,7520,0
20150806,109.94,110.01,92.95,93.575,9695,0
20150807,96.91,102.8,89.225,102.09,20240,0
20150810,102.09,102.09,81.06,81.06,17040,0
20150811,87.41,90.31,81.3,81.725,14524,0
20150812,82.36,82.99,75.025,76.11,17360,0
20150813,78.375,83.04,77.61,81.85,10480,0
20150814,82.09,84.06,79.46,83.79,4320,0
20150817,84.475,86.45,81.725,84.275,7360,0
20150818,85.26,85.8,83.14,83.14,1840,0
20150819,85,95.625,84.175,92.7,16800,0
20150820,93.75,100.11,91.675,100.11,7760,0
20150821,101.11,111.28,101.11,111.26,20960,0
20150824,111.54,134.05,111.54,130.61,19384,0
20150825,111.35,135.57,111.35,132.36,18480,0
20150826,133.71,136.25,124.36,124.56,9200,0
20150827,111.35,115.41,94.86,99.71,25440,0
20150828,101.28,102.5,83.125,89.91,25920,0
20150831,91.39,97.21,80.25,82.24,29440,0
20150901,90.375,96.26,86.84,95.04,39120,0
20150902,91.525,102.91,89.94,91.625,20160,0
20150903,91.64,91.89,81.31,89.85,11360,0
20150904,90.74,95.625,90.74,93.75,8000,0
20150908,92.75,94.96,87.94,89.85,8320,0
20150909,87.74,97.26,82.5,97.06,15600,0
20150910,96.05,99.175,91.5,93.95,4430,0
20150911,97.76,104.38,97.725,99.74,30080,0
20150914,101.15,107.79,101.15,106.9,8160,0
20150915,104.66,104.66,99.375,101.25,10800,0
20150916,99.66,99.66,86.26,86.275,14960,0
20150917,87.14,88.375,81.375,88.375,16960,0
20150918,92.875,99.4,92.875,98.51,14320,0
20150921,95.56,98.2,92.5,96.85,9280,0
20150922,103.21,104.96,96.225,101.61,12400,0
20150923,99.375,110.81,99.325,110.59,17760,0
20150924,112.34,117.24,105.44,108.54,16138,0
20150925,103.87,113.64,103.87,112.04,6080,0
20150928,115.92,129.7,115.92,129.55,19532,0
20150929,123.89,129.09,120.45,128.75,5520,0
20150930,124.28,124.28,113.26,116.04,12560,0
20151001,107.6,115.12,102.74,111.26,7920,0
20151002,113.06,115.22,91.55,91.84,13200,0
20151005,86.96,86.96,77.24,77.375,41445,0
20151006,76,78.41,64.875,65.31,44720,0
20151007,60.9,70.7,58.46,64.81,75280,0
20151008,66.8,66.8,56.375,57.51,61600,0
