Date,Open,High,Low,Close,Volume,OpenInt
20080507,40.65,40.81,40.65,40.68,900,0
20080508,40.56,40.68,40.52,40.68,7426,0
20080509,40.47,40.52,40.22,40.22,7695,0
20080512,40.38,40.38,36.86,39.98,22185,0
20080513,40.51,40.51,40.08,40.28,7444,0
20080514,40.3,40.4,40.25,40.27,6300,0
20080515,40.04,40.48,40.04,40.28,7410,0
20080516,40.25,40.25,39.69,39.69,30552,0
20080519,39.75,40.11,39.75,40.1,2885,0
20080520,39.45,39.45,39.2,39.28,36138,0
20080521,38.93,38.93,38.67,38.67,11713,0
20080522,38.74,39.07,38.74,39,7529,0
20080523,38.81,38.81,38.68,38.7,3427,0
20080527,39.03,39.04,38.94,39.04,7677,0
20080528,39.34,39.49,39.24,39.34,4355,0
20080529,39.84,40.1,39.8,40.04,9158,0
20080530,40.04,40.05,39.8,39.81,18327,0
20080602,40.05,40.06,39.79,39.89,8629,0
20080603,40.33,40.43,40.26,40.3,10423,0
20080604,40.39,40.45,40.26,40.44,30270,0
20080605,40.08,40.1,39.52,39.57,7226,0
20080606,39.18,39.18,38.7,38.7,3650,0
20080609,38.98,39.34,38.86,39.34,4897,0
20080610,40.02,40.28,39.87,40.24,13316,0
20080611,39.97,39.97,39.63,39.72,4030,0
20080612,40.39,40.5,40.34,40.35,18640,0
20080613,40.98,40.98,40.62,40.76,47698,0
20080616,39.97,40.2,39.84,40.13,11493,0
20080617,39.96,40.06,39.92,39.94,5427,0
20080618,40.12,40.12,39.78,39.78,7485,0
20080619,40.09,40.09,39.88,39.88,5423,0
20080620,39.47,39.48,39.19,39.23,10556,0
20080623,39.8,40.07,39.8,39.84,3196,0
20080624,39.65,39.65,39.42,39.51,900,0
20080625,39.43,39.66,39,39,1450,0
20080626,38.93,38.93,38.56,38.6,19905,0
20080627,38.51,38.67,38.51,38.57,11492,0
20080630,38.68,38.69,38.68,38.69,2850,0
20080701,38.58,38.58,38.31,38.48,1600,0
20080702,38.17,38.17,38,38.14,7844,0
20080703,38.7,38.95,38.68,38.95,5500,0
20080707,39.4,39.41,38.67,38.77,6850,0
20080708,38.9,39.19,38.9,39.03,2911,0
20080710,38.73,38.73,38.36,38.36,15582,0
20080711,37.65,37.94,37.61,37.64,6935,0
20080714,37.8,37.86,37.64,37.78,5810,0
20080715,37.37,38.01,37.32,37.95,15973,0
20080716,38.12,38.39,37.98,38.35,9520,0
20080717,38.2,38.34,37.93,38.22,6825,0
20080718,38.25,38.25,38.09,38.18,6368,0
20080721,38.17,38.17,37.9,37.9,4990,0
20080722,37.88,38.5,37.86,38.45,21129,0
20080723,38.55,38.83,38.55,38.75,14102,0
20080724,38.81,39.05,38.67,38.95,7980,0
20080725,38.91,38.92,38.75,38.89,11149,0
20080728,38.55,38.65,38.48,38.63,13744,0
20080729,39.02,39.64,39.02,39.58,43715,0
20080730,39.76,39.77,39.44,39.68,23442,0
20080731,39.05,39.44,39.03,39.31,8690,0
20080801,39.71,39.73,39.23,39.5,27810,0
20080804,39.43,39.67,39.25,39.28,38776,0
20080805,39.92,40.46,39.87,40.45,131794,0
20080806,40.25,40.76,40.17,40.53,43071,0
20080807,40.46,41.11,40.45,41.11,38639,0
