Date,Open,High,Low,Close,Volume,OpenInt
20050225,31.502,32.012,31.177,31.66,433023,0
20050228,32.012,32.142,31.743,31.855,627334,0
20050301,32.058,32.291,31.883,32.124,840721,0
20050302,31.706,31.864,31.391,31.539,799123,0
20050303,31.733,31.91,31.65,31.78,331074,0
20050304,31.595,32.049,31.595,32.012,252508,0
20050307,31.78,31.92,31.65,31.696,368793,0
20050308,31.595,31.678,31.317,31.409,534974,0
20050309,31.455,31.688,31.177,31.353,640483,0
20050310,31.4,31.409,30.944,31.131,379570,0
20050311,31.873,32.022,31.586,31.688,808930,0
20050314,31.743,32.004,31.696,31.696,360709,0
20050315,31.121,31.121,30.462,30.657,960887,0
20050316,30.667,30.76,30.157,30.388,889003,0
20050317,30.417,30.713,30.111,30.536,684994,0
20050318,30.574,30.713,30.352,30.574,482491,0
20050321,30.62,30.713,30.166,30.269,214141,0
20050322,30.528,30.612,29.897,29.98,540903,0
20050323,30.073,30.092,29.749,29.877,1204234,0
20050324,29.71,29.832,29.469,29.562,486263,0
20050328,30.202,30.202,29.841,29.925,870358,0
20050329,28.858,29.552,28.858,29.135,1104330,0
20050330,29.777,29.777,28.839,29.359,1214040,0
20050331,29.117,29.832,29.117,29.516,743836,0
20050401,29.702,30.629,29.702,29.877,865402,0
20050404,29.693,30.388,29.693,30.175,311566,0
20050405,30.018,30.435,30.018,30.343,179762,0
20050406,29.925,30.76,29.803,30.574,392610,0
20050407,30.064,30.899,30.064,30.899,515578,0
20050408,30.435,30.899,30.435,30.62,240436,0
20050411,30.249,30.76,30.249,30.285,345729,0
20050412,30.388,30.612,29.887,30.528,732627,0
20050413,30.703,30.703,29.98,30.166,353812,0
20050414,29.693,29.693,28.951,28.996,793087,0
20050415,28.996,29.228,28.412,28.617,455547,0
20050418,28.375,28.57,28.162,28.44,886956,0
20050419,28.765,29.034,28.653,28.951,458674,0
20050420,29.228,29.228,28.523,28.551,405865,0
20050421,29.09,29.443,28.996,29.349,486694,0
20050422,29.257,29.266,28.765,28.903,347669,0
20050425,29.368,29.684,29.368,29.552,225027,0
20050426,29.552,29.552,29.154,29.276,358554,0
20050427,28.227,28.951,28.227,28.719,1944836,0
20050428,28.486,28.486,27.986,28.199,517732,0
20050429,28.394,28.719,28.162,28.617,323636,0
20050502,28.347,28.662,28.301,28.403,231171,0
20050503,28.319,28.338,28.162,28.236,316416,0
20050504,28.849,29.582,28.765,29.507,732521,0
20050505,28.82,29.925,28.82,29.368,174159,0
20050506,29.451,29.6,29.321,29.415,156052,0
20050509,29.182,29.405,29.144,29.405,433347,0
20050510,29.015,29.164,28.82,28.903,578190,0
20050511,28.719,28.996,28.542,28.951,362217,0
20050512,29.636,29.636,28.449,28.449,228043,0
20050513,28.719,28.886,28.478,28.561,223519,0
20050516,28.719,28.903,28.588,28.903,169955,0
20050517,28.858,28.951,28.682,28.931,168445,0
20050518,29.09,29.562,29.053,29.507,321695,0
20050519,29.6,29.906,29.59,29.851,552327,0
20050520,29.832,29.915,29.61,29.767,189138,0
20050523,29.739,29.961,29.61,29.832,110465,0
20050524,29.043,30.008,29.043,29.961,538425,0
20050525,29.646,29.646,29.294,29.461,180301,0
20050526,29.395,29.803,29.395,29.786,258865,0
20050527,30.472,30.472,29.877,29.961,140642,0
20050531,29.925,30.018,29.72,29.832,127817,0
20050601,29.887,30.157,29.739,30.102,305855,0
20050602,29.925,30.064,29.823,29.998,307794,0
20050603,30.028,30.285,29.934,30.018,131588,0
20050606,30.111,30.285,30.028,30.285,183103,0
20050607,29.97,30.269,29.97,29.998,198513,0
20050608,30.157,30.295,30.044,30.157,123398,0
20050609,30.343,30.51,30.211,30.435,306392,0
20050610,30.528,30.584,30.305,30.5,226535,0
20050613,30.612,30.686,30.388,30.407,171572,0
20050614,30.407,30.435,30.202,30.407,70051,0
20050615,30.713,30.899,30.5,30.87,443154,0
20050616,30.899,31.037,30.62,30.899,299174,0
20050617,30.992,31.075,30.899,31.01,277942,0
20050620,30.574,30.574,30.295,30.482,270613,0
20050621,30.388,30.518,30.343,30.426,180516,0
20050622,30.713,30.713,30.555,30.686,302297,0
20050623,30.944,30.973,30.528,30.62,348100,0
20050624,30.482,30.518,30.249,30.324,196359,0
20050627,30.157,30.202,29.99,30.064,144197,0
20050628,30.018,30.231,29.861,30.157,449405,0
20050629,29.877,30.064,29.786,29.925,159394,0
20050630,29.961,30.064,29.619,29.693,320403,0
20050701,29.97,30.064,29.925,30.064,370947,0
20050705,29.461,29.934,29.461,29.777,305316,0
20050706,29.562,29.813,29.516,29.516,422245,0
20050707,29.276,29.684,29.276,29.684,235263,0
20050708,29.786,30.073,29.702,30.018,306717,0
20050711,30.806,31.037,30.629,31.001,187954,0
20050712,31.066,31.372,31.028,31.308,353381,0
20050713,31.195,31.372,31.195,31.27,512128,0
20050714,31.827,32.476,31.743,32.058,510187,0
20050715,31.595,31.864,31.512,31.688,337108,0
20050718,31.688,31.78,31.613,31.688,161009,0
20050719,31.827,32.291,31.827,32.291,480658,0
20050720,31.966,32.299,31.891,32.124,222439,0
20050721,32.198,32.745,32.198,32.662,150340,0
20050722,32.476,32.671,32.392,32.597,185367,0
20050725,32.755,33.023,32.707,32.736,410607,0
20050726,32.745,32.848,32.532,32.707,250352,0
20050727,33.395,33.395,31.512,32.801,432916,0
20050728,33.265,33.46,33.115,33.432,381293,0
20050729,33.543,33.636,33.33,33.395,312861,0
20050801,33.655,33.914,33.646,33.841,216081,0
20050802,34.155,34.314,33.998,34.295,237311,0
20050803,34.147,34.286,34.054,34.1,283115,0
20050804,34.1,34.1,33.729,33.729,678634,0
20050805,33.079,33.691,32.208,32.707,620331,0
20050808,32.235,33.46,32.235,33.032,325468,0
20050809,32.782,33.906,32.782,33.804,652123,0
20050810,34.249,34.276,33.774,33.868,401663,0
20050811,34.379,34.843,34.35,34.61,411685,0
20050812,34.75,34.768,34.369,34.63,330103,0
20050815,34.147,34.704,33.507,34.517,331504,0
20050816,33.868,34.081,33.59,33.59,605781,0
20050817,33.784,34.091,32.866,33.961,340340,0
20050818,33.079,33.228,32.782,32.904,452531,0
20050819,32.782,32.932,32.707,32.874,369438,0
20050822,33.784,34.128,33.729,33.85,300250,0
20050823,33.774,33.822,33.404,33.497,365344,0
20050824,33.218,33.218,32.383,32.43,688225,0
20050825,32.755,33.032,32.727,32.977,460937,0
20050826,32.987,32.987,32.17,32.208,775519,0
20050829,31.92,32.245,31.827,32.208,555667,0
20050830,32.707,32.707,31.808,31.873,566553,0
20050831,32.17,32.616,32.068,32.569,606319,0
20050901,33.125,33.386,32.848,33.321,744267,0
20050902,33.135,34.054,33.079,33.961,660313,0
20050906,34.22,34.471,34.025,34.471,381832,0
20050907,34.704,35.018,34.61,34.982,586813,0
20050908,34.564,34.972,34.564,34.704,512775,0
20050909,34.935,35.492,34.888,35.353,361680,0
20050912,35.817,35.817,35.213,35.213,408775,0
20050913,35.167,35.399,34.982,34.991,288825,0
20050914,35.492,35.557,35.279,35.418,352843,0
20050915,35.705,35.808,35.501,35.77,613864,0
