Date,Open,High,Low,Close,Volume,OpenInt
20060921,45.04,45.04,45.04,45.04,112,0
20060925,45.164,45.164,45.164,45.164,112,0
20060926,45.164,45.565,45.147,45.565,3154,0
20060927,45.849,45.849,45.849,45.849,8224,0
20060928,45.849,46.027,45.751,46.027,8337,0
20061002,46.267,46.267,46.152,46.152,336,0
20061004,46.027,46.027,46.027,46.027,112,0
20061005,46.869,46.869,46.869,46.869,336,0
20061011,46.647,46.647,46.558,46.558,1128,0
20061017,47.126,47.126,46.95,47.108,789,0
20061018,47.135,47.314,46.969,47.01,8111,0
20061019,47.093,47.135,47.075,47.075,452,0
20061020,47.101,47.108,47.101,47.108,452,0
20061023,47.268,47.268,47.26,47.26,224,0
20061025,47.296,47.402,47.268,47.402,7885,0
20061026,47.625,47.625,47.437,47.491,8449,0
20061027,47.331,47.419,47.215,47.215,6984,0
20061030,47.084,47.25,47.084,47.25,336,0
20061031,47.305,47.314,47.305,47.314,901,0
20061101,47.084,47.135,46.993,46.993,675,0
20061102,46.914,46.95,46.914,46.95,224,0
20061103,46.96,46.96,46.859,46.859,675,0
20061106,47.135,47.358,47.135,47.322,2027,0
20061107,47.491,47.81,47.491,47.625,34473,0
20061108,47.411,47.73,47.411,47.73,1354,0
20061109,47.553,47.553,47.482,47.482,1239,0
20061110,47.625,47.677,47.625,47.677,563,0
20061113,47.917,47.917,47.713,47.713,2141,0
20061114,47.952,47.952,47.952,47.952,112,0
20061115,48.298,48.298,48.298,48.298,901,0
20061117,48.378,48.378,48.378,48.378,12280,0
20061120,48.112,48.112,48.112,48.112,224,0
20061121,48.21,48.28,48.21,48.262,789,0
20061122,48.655,48.655,48.609,48.609,336,0
20061124,48.467,48.646,48.467,48.538,452,0
20061127,48.335,48.335,47.775,47.864,563,0
20061128,47.668,47.882,47.668,47.82,563,0
20061129,48.486,48.486,48.335,48.335,563,0
20061130,48.335,48.724,48.335,48.724,675,0
20061201,48.821,48.821,48.183,48.44,1804,0
20061204,48.689,48.689,48.689,48.689,112,0
20061205,48.999,49.17,48.999,49.17,2703,0
20061206,49.213,49.213,49.079,49.079,224,0
20061207,49.231,49.354,49.152,49.152,6310,0
20061208,49.134,49.178,49.018,49.055,12954,0
20061211,49.046,49.195,49.046,49.195,1239,0
20061212,49.195,49.221,48.948,49.213,1690,0
20061213,49.257,49.266,49.134,49.221,2027,0
20061214,49.152,49.452,49.152,49.452,1465,0
20061215,49.471,49.674,49.471,49.674,4058,0
20061218,49.764,49.764,49.381,49.381,7548,0
20061220,49.772,49.808,49.745,49.745,452,0
20061221,49.621,49.692,49.539,49.558,901,0
20061222,49.507,49.558,49.204,49.293,2251,0
20061227,49.507,49.507,49.507,49.507,563,0
20061228,49.489,49.489,49.489,49.489,112,0
20061229,49.612,49.684,49.568,49.568,2251,0
20070103,49.949,49.995,49.71,49.755,1013,0
20070104,49.577,49.577,49.498,49.515,563,0
20070105,48.858,49.354,48.858,49.071,150616,0
20070108,49.087,49.16,49.087,49.142,789,0
20070109,49.302,49.302,49.142,49.142,336,0
20070110,48.965,49.16,48.965,49.16,336,0
20070111,49.373,49.577,49.373,49.577,1013,0
20070112,49.692,49.888,49.692,49.888,563,0
20070116,50.091,50.11,50.076,50.11,12843,0
20070117,50.198,50.332,50.189,50.217,1354,0
20070118,50.375,50.375,50.127,50.172,2141,0
20070119,50.198,50.286,50.198,50.286,789,0
20070122,50.154,50.154,49.87,49.87,1128,0
20070123,50.019,50.43,50.019,50.351,11040,0
20070124,50.332,50.43,50.332,50.43,6310,0
20070125,50.296,50.305,50.029,50.029,2703,0
20070126,49.94,49.94,49.781,49.879,2027,0
20070129,50.066,50.189,50.066,50.189,901,0
20070130,50.332,50.332,50.323,50.323,224,0
20070131,50.332,50.873,50.332,50.873,1804,0
20070201,51.208,51.414,51.208,51.414,452,0
20070202,51.512,51.53,51.414,51.45,6647,0
20070205,51.335,51.405,51.335,51.405,224,0
20070206,51.45,51.494,51.405,51.405,1354,0
20070207,51.575,51.689,51.566,51.629,6196,0
20070208,51.218,51.218,51.159,51.167,9802,0
20070209,51.388,51.388,51.14,51.14,452,0
20070212,51.13,51.13,51.043,51.043,1465,0
20070213,51.442,51.494,51.442,51.494,6083,0
20070214,52.018,52.629,52.018,52.524,23881,0
20070215,52.321,52.622,52.321,52.587,14645,0
20070216,52.364,52.39,52.231,52.373,17349,0
20070220,52.507,52.666,52.462,52.666,4619,0
20070221,52.426,52.587,52.426,52.453,2027,0
20070222,52.666,52.772,52.479,52.559,2479,0
20070223,52.507,52.596,52.507,52.596,10139,0
20070226,52.728,52.728,52.436,52.559,2929,0
20070227,51.726,51.948,51.477,51.477,5746,0
20070228,50.598,51.176,50.154,50.864,1690,0
20070301,49.978,50.588,49.799,50.588,2703,0
20070302,50.42,50.509,48.92,48.92,1013,0
20070305,49.339,49.745,49.142,49.186,7208,0
20070306,49.844,50.323,49.844,50.154,2817,0
20070307,50.332,50.544,50.315,50.351,1577,0
20070308,50.891,50.934,50.891,50.934,563,0
20070309,51.094,51.121,50.561,51.043,57225,0
20070312,50.952,51.45,50.952,51.45,7775,0
20070313,50.91,51.067,50.588,50.588,2703,0
20070314,50.145,50.145,49.764,50.145,12280,0
20070315,50.296,50.658,50.296,50.643,9236,0
20070316,50.705,50.705,50.465,50.465,789,0
20070319,50.952,51.176,50.952,51.167,1577,0
20070320,50.998,51.37,50.998,51.37,675,0
20070321,51.477,52.356,51.477,52.231,5070,0
20070322,52.238,52.303,52.115,52.267,2367,0
20070323,52.373,52.587,52.373,52.587,45511,0
20070326,52.462,52.462,52.151,52.445,9687,0
20070327,52.124,52.657,52.071,52.151,3831,0
20070328,51.636,51.849,51.104,51.575,9913,0
20070329,51.974,52.151,51.734,51.919,3042,0
20070330,51.911,52.081,51.911,51.911,8449,0
20070402,51.902,51.938,51.849,51.938,789,0
20070403,52.09,52.453,51.823,52.39,9802,0
20070404,52.373,52.497,52.294,52.294,6422,0
20070405,52.445,52.647,52.445,52.596,4058,0
20070409,52.763,52.763,52.462,52.657,2027,0
20070410,52.949,52.949,52.889,52.889,336,0
20070411,52.889,52.889,52.577,52.577,4058,0
20070412,52.045,53.092,52.045,53.092,4058,0
20070413,53.092,53.138,53.047,53.138,4504,0
20070416,53.35,53.599,53.35,53.599,6534,0
20070417,53.439,53.607,53.439,53.607,6310,0
20070418,53.394,53.74,53.394,53.74,5408,0
20070419,53.439,53.865,53.244,53.616,14645,0
20070420,54.06,54.218,54.06,54.218,2141,0
20070423,54.149,54.218,54.14,54.159,2703,0
20070424,54.032,54.149,53.607,54.149,36612,0
20070425,53.829,54.45,53.571,54.425,6083,0
20070426,54.45,54.521,54.371,54.521,1804,0
20070427,54.966,54.992,54.966,54.975,901,0
20070430,54.859,54.966,54.566,54.566,10139,0
20070501,55.241,55.241,54.237,54.512,789,0
20070502,54.592,55.159,54.566,55.072,2592,0
20070503,55.035,55.223,55.035,55.188,22643,0
20070504,55.302,55.507,55.302,55.444,3717,0
20070507,55.631,55.631,55.542,55.551,5070,0
20070508,55.081,55.392,55.035,55.267,9575,0
20070509,55.257,55.719,55.123,55.719,10702,0
20070510,55.302,55.302,54.566,54.6,9236,0
20070511,54.549,55.392,54.549,55.365,5179,0
20070514,55.48,55.658,55.026,55.1,9127,0
20070515,55.365,55.648,55.302,55.409,4170,0
20070516,55.48,55.586,55.328,55.586,4844,0
20070517,55.48,55.551,55.267,55.551,4393,0
20070518,55.542,55.586,55.328,55.551,901,0
20070521,55.658,55.869,55.542,55.869,3492,0
20070522,55.869,56.688,55.586,55.879,151406,0
20070523,56.056,56.396,56.056,56.056,4281,0
