Date,Open,High,Low,Close,Volume,OpenInt
20131029,23.485,23.584,23.374,23.584,37620,0
20131030,23.692,23.692,23.374,23.383,36030,0
20131031,24.364,26.467,23.238,23.273,16047,0
20131101,23.348,23.365,23.238,23.34,15150,0
20131104,23.447,23.447,23.283,23.383,27827,0
20131105,23.802,23.802,23.283,23.43,32980,0
20131106,23.465,23.665,23.465,23.665,25179,0
20131107,23.685,23.685,23.283,23.301,29338,0
20131108,23.41,23.41,23.156,23.321,11017,0
20131111,23.42,23.438,23.348,23.365,14048,0
20131112,23.465,23.475,23.301,23.402,17502,0
20131113,23.402,23.612,23.356,23.593,11585,0
20131114,23.603,23.774,23.603,23.756,26257,0
20131115,23.784,23.84,23.692,23.784,30106,0
20131118,23.91,23.91,23.675,23.71,32114,0
20131119,23.747,23.747,23.584,23.621,32675,0
20131120,23.72,23.72,23.475,23.521,25841,0
20131121,23.521,23.603,23.521,23.593,15876,0
20131122,23.638,23.72,23.555,23.72,38772,0
20131125,23.784,23.802,23.657,23.685,48512,0
20131126,23.71,23.784,23.612,23.648,9828,0
20131127,23.738,23.738,23.629,23.675,17667,0
20131129,23.774,23.774,23.621,23.629,14536,0
20131202,23.603,23.603,23.494,23.529,10315,0
20131203,23.503,23.638,23.494,23.638,12039,0
20131204,23.511,23.593,23.42,23.593,22321,0
20131205,23.665,23.665,23.356,23.356,29160,0
20131206,23.593,23.72,23.564,23.692,43814,0
20131209,23.793,23.802,23.729,23.747,31185,0
20131210,23.738,23.738,23.511,23.555,25982,0
20131211,23.593,23.675,23.574,23.584,18019,0
20131212,23.665,23.665,23.247,23.283,82064,0
20131213,23.301,23.301,23.194,23.247,41805,0
20131216,23.348,23.356,23.194,23.238,74431,0
20131217,23.238,23.238,23.111,23.156,45831,0
20131218,23.185,23.503,23.012,23.503,40255,0
20131219,23.503,23.503,23.365,23.475,46850,0
20131220,23.595,23.65,23.487,23.558,31008,0
20131223,23.767,23.767,23.523,23.566,37143,0
20131224,23.576,23.641,23.576,23.595,43654,0
20131226,23.732,23.732,23.605,23.688,39954,0
20131227,23.782,23.792,23.718,23.754,39693,0
20131230,23.811,23.811,23.754,23.811,51256,0
20131231,23.865,23.865,23.754,23.792,70258,0
20140102,23.801,23.801,23.545,23.6,98535,0
20140103,23.571,23.628,23.472,23.527,91414,0
20140106,23.545,23.545,23.389,23.444,85292,0
20140107,23.571,23.6,23.491,23.571,18089,0
20140108,23.609,23.609,23.346,23.399,48554,0
20140109,23.453,23.508,23.362,23.508,22019,0
20140110,23.619,23.619,23.453,23.527,28054,0
20140113,23.527,23.562,23.371,23.371,56619,0
20140114,23.435,23.518,23.399,23.491,30264,0
20140115,23.482,23.545,23.444,23.482,22759,0
20140116,23.389,23.482,23.381,23.453,33930,0
20140117,23.399,23.399,23.269,23.289,82220,0
20140121,23.462,23.462,23.251,23.346,37549,0
20140122,23.406,23.435,23.371,23.389,35331,0
20140123,23.269,23.269,23.116,23.142,48190,0
20140124,23.06,23.161,22.95,22.96,68694,0
20140127,22.96,22.96,22.796,22.869,40401,0
20140128,22.941,23.043,22.888,23.007,24563,0
20140129,22.931,22.931,22.567,22.585,122539,0
20140130,22.696,22.723,22.621,22.659,47536,0
20140131,22.475,22.687,22.368,22.55,37700,0
20140203,22.523,22.531,22.036,22.036,85858,0
20140204,22.145,22.202,22.111,22.194,24139,0
20140205,22.101,22.202,22.056,22.194,18684,0
20140206,22.274,22.455,22.274,22.438,26280,0
20140207,22.485,22.649,22.485,22.649,20669,0
20140210,22.705,22.741,22.604,22.741,22376,0
20140211,22.814,23.007,22.723,23.007,11249,0
20140212,23.043,23.079,22.86,22.895,15739,0
20140213,22.796,23.034,22.759,23.007,9470,0
20140214,23.007,23.198,23.007,23.142,10793,0
20140218,23.181,23.181,22.97,23.034,16117,0
20140219,23.007,23.06,22.941,22.941,23217,0
20140220,22.86,23.142,22.86,23.079,8401,0
20140221,23.151,23.151,23.034,23.06,5385,0
20140224,23.043,23.26,23.043,23.142,10184,0
20140225,23.181,23.307,23.142,23.171,10752,0
20140226,23.289,23.307,23.161,23.171,12720,0
20140227,23.208,23.26,23.151,23.26,5885,0
20140228,23.317,23.518,23.26,23.389,14237,0
20140303,23.353,23.353,23.198,23.269,17269,0
20140304,23.482,23.637,23.482,23.628,28110,0
20140305,23.562,23.637,23.553,23.571,14679,0
20140306,23.553,23.6,23.535,23.553,7483,0
20140307,23.581,23.581,23.508,23.571,11322,0
20140310,23.637,23.637,23.553,23.619,8914,0
20140311,23.646,23.691,23.6,23.609,8174,0
20140312,23.571,23.637,23.571,23.628,8643,0
20140313,23.709,23.745,23.508,23.527,19035,0
20140314,23.545,23.655,23.545,23.545,7596,0
20140317,23.691,23.709,23.628,23.7,11389,0
20140318,23.762,23.772,23.691,23.772,13836,0
20140319,23.772,23.772,23.545,23.553,8584,0
20140320,23.518,23.646,23.472,23.637,10022,0
20140321,23.727,23.83,23.636,23.645,8983,0
20140324,23.736,23.772,23.589,23.662,16842,0
20140325,23.792,23.83,23.718,23.754,7244,0
20140326,23.811,23.882,23.736,23.762,13603,0
20140327,23.736,23.82,23.682,23.718,9902,0
20140328,23.811,23.848,23.745,23.762,16452,0
20140331,23.957,23.975,23.848,23.929,17421,0
20140401,23.985,23.985,23.865,23.919,11837,0
20140402,23.957,23.975,23.891,23.957,12766,0
20140403,23.985,24.03,23.919,23.985,27301,0
20140404,24.039,24.075,23.874,23.874,17798,0
20140407,23.91,23.985,23.891,23.9,18012,0
20140408,23.957,24.014,23.9,24.014,12119,0
20140409,24.039,24.122,24.014,24.113,20982,0
20140410,24.204,24.259,23.9,23.91,19623,0
20140411,23.891,23.948,23.754,23.762,30656,0
20140414,23.811,23.985,23.811,23.891,5027,0
20140415,24.03,24.03,23.857,24.023,8014,0
20140416,24.151,24.252,24.03,24.252,12743,0
20140417,24.224,24.268,24.169,24.252,18901,0
20140421,24.334,24.334,24.187,24.287,21426,0
20140422,24.259,24.325,24.259,24.278,15388,0
20140423,24.287,24.316,24.243,24.243,12858,0
20140424,24.259,24.353,24.259,24.316,20514,0
20140425,24.306,24.353,24.268,24.353,17037,0
20140428,24.463,24.657,24.454,24.618,24798,0
20140429,24.728,24.728,24.544,24.544,24760,0
20140430,24.581,24.591,24.499,24.591,31272,0
20140501,24.648,24.648,24.481,24.554,30282,0
20140502,24.581,24.618,24.518,24.581,12152,0
20140505,24.563,24.591,24.406,24.544,23429,0
20140506,24.572,24.572,24.397,24.397,23995,0
20140507,24.49,24.628,24.471,24.628,25524,0
20140508,24.674,24.737,24.563,24.638,31368,0
20140509,24.682,24.756,24.638,24.747,19201,0
20140512,24.841,24.856,24.747,24.784,25345,0
20140513,24.822,24.856,24.784,24.841,20508,0
20140514,24.874,24.874,24.674,24.674,16546,0
20140515,24.657,24.657,24.454,24.463,21020,0
20140516,24.509,24.628,24.49,24.6,12391,0
20140519,24.509,24.6,24.509,24.572,14361,0
20140520,24.572,24.572,24.436,24.463,16934,0
20140521,24.518,24.628,24.471,24.6,14589,0
20140522,24.638,24.638,24.518,24.581,9043,0
20140523,24.638,24.657,24.618,24.648,11480,0
20140527,24.774,24.774,24.667,24.718,29141,0
20140528,24.628,24.756,24.628,24.69,191322,0
20140529,24.784,24.931,24.784,24.921,25328,0
20140530,24.921,25.105,24.921,25.097,41758,0
20140602,25.134,25.134,25.012,25.041,28609,0
20140603,25.458,25.458,24.941,24.951,35561,0
20140604,25.031,25.051,24.921,25.051,12840,0
20140605,25.124,25.153,25.012,25.143,37530,0
20140606,25.216,25.216,25.143,25.179,23905,0
20140609,25.206,25.381,25.143,25.169,25281,0
20140610,25.169,25.179,25.115,25.16,9901,0
20140611,25.115,25.143,25.069,25.097,9351,0
20140612,25.115,25.115,24.883,24.931,20940,0
20140613,24.903,24.951,24.814,24.893,29146,0
20140616,24.995,25.041,24.865,24.995,59345,0
20140617,24.995,25.079,24.961,25.021,21061,0
20140618,25.041,25.316,25.041,25.299,38969,0
20140619,25.372,25.458,25.372,25.458,21132,0
20140620,25.614,25.614,25.371,25.38,75437,0
20140623,25.448,25.482,25.186,25.252,20918,0
20140624,25.252,25.252,25.084,25.167,32192,0
20140625,25.113,25.141,25.019,25.141,1156500,0
20140626,25.158,25.158,24.937,25.048,59141,0
20140627,25.151,25.151,24.947,25.067,8527,0
20140630,25.084,25.177,25.048,25.048,776401,0
20140701,25.132,25.204,25.038,25.158,482269,0
20140702,25.103,25.223,25.103,25.177,116870,0
20140703,25.252,25.344,25.252,25.315,28963,0
20140707,25.315,25.371,25.271,25.344,108983,0
20140708,25.308,25.352,25.281,25.289,71205,0
20140709,25.448,25.448,25.344,25.361,29262,0
20140710,25.232,25.361,25.232,25.344,38110,0
20140711,25.371,25.398,25.271,25.371,17060,0
20140714,25.49,25.509,25.438,25.465,26562,0
20140715,25.438,25.566,25.261,25.271,38699,0
20140716,25.352,25.352,25.204,25.242,26950,0
20140717,25.204,25.289,25.076,25.076,12026,0
20140718,25.177,25.344,25.158,25.315,28884,0
20140721,25.308,25.308,25.141,25.204,26302,0
20140722,25.252,25.252,25.132,25.186,154564,0
20140723,25.242,25.242,25.151,25.151,16475,0
20140724,25.223,25.281,25.195,25.252,18395,0
20140725,25.334,25.334,25.076,25.132,22729,0
20140728,25.151,25.315,24.977,24.993,1246812,0
20140729,25.028,25.103,24.854,24.854,84914,0
20140730,24.947,24.957,24.604,24.604,74475,0
20140731,24.511,24.529,24.205,24.215,30886,0
20140801,24.161,24.484,24.161,24.4,41160,0
20140804,24.511,24.511,24.327,24.484,154209,0
20140805,24.474,24.538,24.28,24.362,17637,0
20140806,24.252,24.576,24.142,24.576,523418,0
20140807,24.678,24.678,24.346,24.38,59706,0
20140808,24.429,24.632,24.371,24.622,19363,0
20140811,24.687,24.889,24.687,24.828,23329,0
20140812,24.927,24.927,24.723,24.779,46714,0
20140813,24.779,24.871,24.77,24.837,15824,0
20140814,24.871,24.937,24.828,24.937,35967,0
20140815,25.113,25.132,24.861,24.984,36073,0
20140818,25.167,25.167,25.067,25.094,38179,0
20140819,25.151,25.204,25.103,25.186,27968,0
20140820,25.232,25.232,25.113,25.186,46509,0
20140821,25.252,25.315,25.195,25.195,41707,0
20140822,25.261,25.271,25.151,25.167,36348,0
20140825,25.315,25.344,25.271,25.298,124835,0
20140826,25.298,25.38,25.271,25.298,21149,0
20140827,25.289,25.308,25.271,25.298,15582,0
20140828,25.252,25.352,25.252,25.298,17738,0
20140829,25.334,25.334,25.252,25.334,86422,0
20140902,25.438,25.448,25.271,25.334,1402907,0
20140903,25.49,25.49,25.324,25.344,55074,0
20140904,25.458,25.49,25.352,25.371,53284,0
20140905,25.418,25.546,25.371,25.546,11762,0
20140908,25.648,25.648,25.38,25.408,29160,0
20140909,25.458,25.458,25.315,25.334,31669,0
20140910,25.352,25.474,25.324,25.448,485000,0
20140911,25.428,25.465,25.389,25.458,17461,0
20140912,25.438,25.438,25.242,25.308,17459,0
20140915,25.344,25.408,25.308,25.398,16263,0
20140916,25.352,25.64,25.352,25.586,16322,0
20140917,25.576,25.648,25.509,25.536,20721,0
20140918,25.556,25.658,25.528,25.604,14678,0
20140919,25.635,25.69,25.625,25.681,11940,0
20140922,25.625,25.625,25.54,25.56,23697,0
20140923,25.54,25.57,25.374,25.374,44138,0
20140924,25.431,25.69,25.374,25.671,75302,0
20140925,25.608,25.608,25.336,25.392,25033,0
20140926,25.421,25.493,25.282,25.46,42428,0
20140929,25.317,25.441,25.309,25.441,212679,0
20140930,25.485,25.493,25.392,25.46,37361,0
20141001,25.441,25.468,25.244,25.282,358750,0
20141002,25.317,25.383,25.216,25.317,129400,0
20141003,25.493,25.617,25.401,25.598,43088,0
20141006,25.652,25.737,25.485,25.643,50001,0
20141007,25.485,25.635,25.485,25.531,31813,0
20141008,25.56,25.847,25.485,25.847,46599,0
20141009,25.896,25.977,25.608,25.617,64486,0
20141010,25.598,25.94,25.598,25.708,67184,0
20141013,25.793,25.793,25.354,25.354,55739,0
20141014,25.411,25.54,25.309,25.364,41727,0
20141015,25.282,25.317,24.704,25.085,87455,0
20141016,24.947,24.993,24.659,24.879,91354,0
20141017,25.019,25.224,24.889,25.168,52219,0
20141020,25.168,25.54,25.152,25.512,1193269,0
20141021,25.493,25.652,25.374,25.652,226498,0
20141022,25.727,25.867,25.671,25.69,62507,0
20141023,25.887,25.905,25.635,25.681,62499,0
20141024,25.747,25.905,25.737,25.867,42416,0
20141027,25.877,26.025,25.867,25.933,98145,0
20141028,26.099,26.099,25.95,26.045,44372,0
20141029,26.065,26.155,25.905,26.025,28359,0
20141030,26.164,26.238,25.905,26.184,335866,0
20141031,26.481,26.481,26.285,26.341,57958,0
20141103,26.417,26.462,26.35,26.462,112957,0
20141104,26.499,26.638,26.443,26.583,112180,0
20141105,26.817,26.862,26.638,26.759,63001,0
20141106,26.833,26.918,26.713,26.824,65319,0
20141107,26.833,26.872,26.686,26.872,45559,0
20141110,26.882,27.021,26.797,27.002,74246,0
20141111,27.03,27.077,26.892,26.944,59234,0
20141112,26.862,27.002,26.853,26.972,57707,0
20141113,27.067,27.168,26.972,27.067,62260,0
20141114,27.085,27.113,26.853,26.927,59607,0
20141117,26.944,27.085,26.936,27.077,32916,0
20141118,27.095,27.217,27.067,27.197,53902,0
20141119,27.236,27.3,27.178,27.28,91446,0
20141120,27.253,27.253,27.15,27.168,84225,0
20141121,27.466,27.466,27.253,27.29,77741,0
20141124,27.385,27.429,27.253,27.28,89285,0
20141125,27.261,27.365,27.243,27.326,49841,0
20141126,27.365,27.437,27.345,27.437,37417,0
