Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.308,16.427,16.216,16.385,1084799,0
20050228,16.531,16.531,16.385,16.42,1058392,0
20050301,16.47,16.47,16.317,16.342,1060858,0
20050302,16.165,16.181,15.993,16.036,846434,0
20050303,16.155,16.165,16.103,16.138,581307,0
20050304,16.138,16.138,15.934,16.027,822138,0
20050307,16.044,16.129,16.018,16.094,747139,0
20050308,16.216,16.225,16.172,16.188,781999,0
20050309,16.233,16.246,16.12,16.12,1171417,0
20050310,16.12,16.12,15.976,16.027,919317,0
20050311,16.129,16.138,16.052,16.094,580603,0
20050314,16.12,16.138,16.07,16.094,506661,0
20050315,16.044,16.044,15.805,15.823,708413,0
20050316,15.908,15.941,15.823,15.823,1519281,0
20050317,15.934,16.111,15.925,16.103,978116,0
20050318,16.079,16.087,16.036,16.044,573914,0
20050321,16.165,16.165,16.018,16.044,423920,0
20050322,15.993,15.993,15.679,15.679,680596,0
20050323,15.661,15.661,15.49,15.534,1041493,0
20050324,15.618,15.661,15.574,15.592,636583,0
20050328,15.653,15.653,15.55,15.574,453144,0
20050329,15.482,15.508,15.337,15.337,738339,0
20050330,15.38,15.49,15.37,15.482,558772,0
20050331,15.508,15.541,15.482,15.508,505254,0
20050401,15.669,15.694,15.541,15.566,563348,0
20050404,15.618,15.643,15.541,15.636,596095,0
20050405,15.703,15.703,15.584,15.6,334840,0
20050406,15.679,15.738,15.661,15.694,343290,0
20050407,15.728,15.795,15.712,15.773,336601,0
20050408,15.908,15.908,15.788,15.805,716510,0
20050411,15.823,15.848,15.738,15.788,377442,0
20050412,15.72,15.795,15.618,15.782,795380,0
20050413,15.874,15.874,15.712,15.745,466172,0
20050414,15.788,15.788,15.574,15.584,783759,0
20050415,15.534,15.534,15.116,15.133,937625,0
20050418,14.909,15.099,14.895,15.099,921781,0
20050419,15.192,15.278,15.165,15.278,438005,0
20050420,15.269,15.278,14.979,14.979,514057,0
20050421,15.116,15.49,15.116,15.474,574969,0
20050422,15.55,15.55,15.337,15.422,305265,0
20050425,15.482,15.618,15.482,15.566,343643,0
20050426,15.584,15.738,15.584,15.636,502789,0
20050427,15.584,15.584,15.422,15.439,1448862,0
20050428,15.508,15.508,15.352,15.388,689046,0
20050429,15.508,15.712,15.456,15.712,997129,0
20050502,15.636,15.738,15.592,15.738,610177,0
20050503,15.653,15.653,15.55,15.566,295407,0
20050504,15.618,15.795,15.574,15.782,555251,0
20050505,15.874,15.874,15.72,15.805,401385,0
20050506,15.874,15.874,15.823,15.848,192596,0
20050509,15.899,15.916,15.866,15.908,518634,0
20050510,15.874,15.874,15.688,15.712,280971,0
20050511,15.694,15.782,15.694,15.763,389063,0
20050512,15.763,15.763,15.439,15.447,1117544,0
20050513,15.466,15.508,15.439,15.466,567926,0
20050516,15.466,15.55,15.456,15.55,373222,0
20050517,15.312,15.329,15.216,15.321,348573,0
20050518,15.302,15.414,15.261,15.388,440822,0
20050519,15.422,15.499,15.406,15.482,327799,0
20050520,15.466,15.49,15.43,15.482,351389,0
20050523,15.474,15.474,15.37,15.447,416525,0
20050524,15.43,15.447,15.37,15.396,321109,0
20050525,15.253,15.278,15.192,15.269,184498,0
20050526,15.261,15.329,15.226,15.302,440118,0
20050527,15.406,15.474,15.406,15.456,428849,0
20050531,15.482,15.534,15.482,15.516,507720,0
20050601,15.482,15.55,15.439,15.482,651022,0
20050602,15.49,15.499,15.352,15.38,503846,0
20050603,15.396,15.406,15.302,15.329,253508,0
20050606,15.396,15.534,15.396,15.534,779535,0
20050607,15.6,15.661,15.566,15.566,430963,0
20050608,15.754,15.773,15.694,15.712,720029,0
20050609,15.738,15.745,15.653,15.694,260196,0
20050610,15.72,15.763,15.703,15.745,737988,0
20050613,15.763,15.773,15.694,15.738,513352,0
20050614,15.679,15.754,15.669,15.738,483072,0
20050615,15.72,15.728,15.679,15.728,328502,0
20050616,15.72,15.763,15.688,15.72,479200,0
20050617,15.738,15.874,15.738,15.848,255621,0
20050620,15.908,15.908,15.805,15.839,335193,0
20050621,15.951,15.951,15.839,15.848,141894,0
20050622,16.103,16.111,16.027,16.06,321463,0
20050623,16.087,16.146,15.941,15.941,668975,0
20050624,16.079,16.129,16.036,16.036,374978,0
20050627,16.165,16.172,16.094,16.155,380614,0
20050628,16.273,16.352,16.273,16.334,372516,0
20050629,16.334,16.334,16.246,16.246,288365,0
20050630,16.299,16.334,16.225,16.225,495044,0
20050701,16.225,16.291,16.207,16.273,240832,0
20050705,16.246,16.411,16.233,16.402,571447,0
20050706,16.367,16.385,16.299,16.334,449974,0
20050707,16.087,16.165,16.027,16.138,703835,0
20050708,16.079,16.155,16.06,16.155,561237,0
20050711,16.198,16.308,16.198,16.291,272168,0
20050712,16.273,16.291,16.216,16.291,298222,0
20050713,16.367,16.411,16.325,16.393,625671,0
20050714,16.462,16.47,16.385,16.411,656302,0
20050715,16.445,16.445,16.352,16.402,224635,0
20050718,16.445,16.445,16.342,16.367,184498,0
20050719,16.42,16.546,16.367,16.531,408077,0
20050720,16.608,16.667,16.573,16.639,396457,0
20050721,16.777,17.253,16.759,17.246,2956527,0
20050722,17.177,17.229,17.092,17.21,833054,0
20050725,17.21,17.253,17.185,17.21,635880,0
20050726,17.202,17.21,17.159,17.185,545041,0
20050727,17.296,17.449,17.272,17.432,776366,0
20050728,17.432,17.484,17.348,17.484,1283029,0
20050729,17.503,17.578,17.493,17.544,830589,0
20050801,17.611,17.748,17.611,17.748,1461892,0
20050802,17.953,18.131,17.936,18.123,1880884,0
20050803,17.977,17.996,17.809,17.91,1197117,0
20050804,17.884,17.884,17.696,17.705,775660,0
20050805,17.801,17.801,17.696,17.738,682357,0
20050808,17.96,18.03,17.953,17.996,559124,0
20050809,17.996,18.022,17.927,17.977,678483,0
20050810,18.413,18.531,18.353,18.447,1648854,0
20050811,18.447,18.48,18.37,18.44,1123177,0
20050812,18.549,18.549,18.388,18.447,969666,0
20050815,18.72,18.72,18.618,18.686,963328,0
20050816,18.651,18.651,18.234,18.267,1103109,0
20050817,18.267,18.404,18.243,18.275,827067,0
20050818,17.85,17.859,17.731,17.791,1561886,0
20050819,17.757,17.791,17.705,17.775,698905,0
20050822,17.977,18.03,17.953,17.953,956990,0
20050823,17.953,17.953,17.569,17.611,2021721,0
20050824,17.468,17.468,17.331,17.339,1060858,0
20050825,17.408,17.528,17.398,17.518,434836,0
20050826,17.738,17.748,17.569,17.578,494338,0
20050829,17.544,17.629,17.503,17.611,535180,0
20050830,17.611,17.611,17.458,17.51,929527,0
20050831,17.484,17.552,17.449,17.552,519336,0
20050901,17.731,17.801,17.68,17.791,495748,0
20050902,17.791,17.801,17.714,17.731,480254,0
20050906,17.696,17.765,17.663,17.765,566518,0
20050907,17.809,17.809,17.723,17.731,747495,0
20050908,17.611,17.629,17.586,17.603,532364,0
20050909,17.663,17.731,17.621,17.731,855937,0
20050912,17.859,17.876,17.731,17.738,563701,0
20050913,17.578,17.621,17.51,17.518,498916,0
20050914,17.552,17.595,17.503,17.518,505254,0
20050915,17.578,17.655,17.552,17.611,554197,0
20050916,17.672,17.672,17.535,17.578,523564,0
20050919,17.561,17.637,17.544,17.544,642924,0
20050920,17.824,17.893,17.731,17.765,1059800,0
20050921,17.809,17.841,17.775,17.791,888684,0
20050922,17.775,17.801,17.645,17.696,780942,0
20050923,17.637,17.637,17.544,17.561,517929,0
20050926,17.748,17.775,17.663,17.738,780942,0
20050927,17.738,17.738,17.595,17.621,605600,0
20050928,17.621,17.705,17.586,17.705,364416,0
20050929,18.201,18.388,18.157,18.335,1534776,0
20050930,18.275,18.328,18.217,18.243,678835,0
20051003,18.32,18.37,18.293,18.343,761928,0
20051004,18.31,18.31,18.064,18.079,867557,0
20051005,17.936,17.936,17.569,17.569,1511888,0
20051006,17.458,17.468,17.024,17.059,1879121,0
20051007,17.323,17.493,17.323,17.468,490463,0
20051010,17.621,17.621,17.449,17.468,705243,0
20051011,17.51,17.611,17.51,17.586,463707,0
20051012,17.458,17.595,17.006,17.024,887275,0
20051013,17.031,17.111,16.871,16.997,1123529,0
20051014,16.997,16.997,16.759,16.931,564405,0
20051017,17.024,17.127,16.956,17.119,723905,0
20051018,17.119,17.119,16.931,16.931,364769,0
20051019,16.88,16.913,16.494,16.913,946074,0
20051020,16.768,16.785,16.352,16.36,1443230,0
20051021,16.623,16.667,16.445,16.639,600671,0
20051024,16.494,16.759,16.47,16.743,753833,0
20051025,16.614,16.639,16.47,16.546,2004468,0
20051026,16.427,16.608,16.427,16.462,713693,0
20051027,16.377,16.385,16.087,16.087,672850,0
20051028,16.052,16.233,15.985,16.225,851715,0
20051031,16.342,16.42,16.334,16.36,794675,0
20051101,16.649,16.649,16.582,16.59,919317,0
20051102,16.743,16.88,16.734,16.88,997481,0
20051103,16.997,17.015,16.931,16.956,830942,0
20051104,16.989,16.989,16.768,16.829,651371,0
20051107,16.717,16.726,16.623,16.676,534126,0
20051108,16.743,16.743,16.676,16.709,646796,0
20051109,16.931,16.997,16.871,16.956,567926,0
20051110,17.272,17.272,16.829,16.981,511942,0
20051111,17.024,17.101,16.974,17.083,433427,0
20051114,16.946,16.946,16.836,16.845,459482,0
20051115,17.015,17.015,16.819,16.819,619686,0
20051116,16.853,16.956,16.853,16.937,615813,0
20051117,17.185,17.185,17.136,17.185,686229,0
20051118,17.305,17.305,17.152,17.253,647148,0
20051121,17.305,17.365,17.237,17.348,513000,0
20051122,17.28,17.357,17.21,17.348,717565,0
20051123,17.348,17.552,17.348,17.493,596095,0
20051125,17.493,17.51,17.416,17.493,289070,0
20051128,17.535,17.586,17.398,17.424,721439,0
20051129,17.348,17.408,17.323,17.331,409486,0
20051130,17.339,17.365,17.288,17.313,507720,0
20051201,17.449,17.696,17.449,17.68,1014383,0
20051202,17.68,17.705,17.655,17.68,569336,0
20051205,17.611,17.68,17.578,17.672,390473,0
20051206,17.493,17.663,17.484,17.552,842205,0
20051207,17.738,17.748,17.611,17.655,436244,0
20051208,17.689,17.705,17.569,17.621,490115,0
20051209,17.637,17.672,17.535,17.611,357023,0
20051212,17.714,17.714,17.621,17.696,576023,0
20051213,17.696,17.775,17.663,17.775,475325,0
20051214,17.809,17.833,17.663,17.748,472510,0
20051215,17.68,17.748,17.637,17.738,364416,0
20051216,17.791,17.809,17.645,17.672,437299,0
20051219,17.893,17.91,17.731,17.782,608065,0
20051220,17.893,17.977,17.884,17.977,734467,0
20051221,18.022,18.131,18.012,18.105,906992,0
20051222,18.038,18.131,18.004,18.03,328151,0
20051223,17.748,17.757,17.663,17.748,562646,0
20051227,17.748,17.809,17.561,17.603,692567,0
20051228,17.569,17.655,17.552,17.621,523914,0
20051229,17.696,17.765,17.655,17.689,504903,0
20051230,17.51,17.535,17.357,17.503,527084,0
20060103,17.738,17.91,17.723,17.893,1231975,0
20060104,18.234,18.343,18.201,18.32,1336548,0
20060105,18.335,18.37,18.302,18.328,1287957,0
20060106,18.583,18.771,18.549,18.753,2100942,0
20060109,18.916,18.968,18.839,18.968,1946375,0
20060110,18.787,18.796,18.72,18.787,1259086,0
20060111,18.89,19.018,18.821,19.001,3037511,0
20060112,19.061,19.061,18.899,18.916,1443230,0
20060113,19.23,19.273,19.129,19.266,981284,0
20060117,19.23,19.273,18.974,19.025,2490002,0
20060118,18.993,19.112,18.993,19.043,1600968,0
20060119,19.598,19.793,19.529,19.673,2206218,0
20060120,19.673,19.673,19.273,19.299,1918202,0
20060123,19.384,19.393,19.273,19.393,1163316,0
20060124,19.598,19.614,19.495,19.614,1726315,0
20060125,19.614,19.64,19.41,19.486,1786169,0
20060126,19.598,19.826,19.452,19.658,2010101,0
20060127,20.108,20.544,20.108,20.416,3439952,0
20060130,19.673,20.561,19.673,20.45,2236848,0
20060131,20.465,20.475,20.362,20.381,2001650,0
20060201,20.346,20.458,20.279,20.346,2066087,0
20060202,20.169,20.176,19.861,19.913,4337790,0
20060203,19.537,19.708,19.495,19.553,1848843,0
20060206,20.132,20.193,20.083,20.176,2160093,0
20060207,20.304,20.304,19.897,19.955,2134390,0
20060208,19.75,20.049,19.75,20.006,1454850,0
20060209,19.937,19.964,19.741,19.811,1702723,0
20060210,19.913,19.937,19.64,19.878,1253453,0
20060213,19.913,19.964,19.741,19.836,1864337,0
20060214,20.176,20.441,20.151,20.424,1544985,0
20060215,20.45,20.45,20.297,20.346,1100292,0
20060216,20.16,20.381,20.124,20.371,1455906,0
20060217,20.362,20.432,20.263,20.346,1116487,0
20060221,20.73,20.824,20.697,20.714,2281565,0
20060222,21.004,21.183,20.891,21.148,1628433,0
20060223,21.148,21.148,20.988,21.018,1646388,0
20060224,20.918,21.018,20.858,20.978,1087618,0
20060227,21.011,21.011,20.858,20.918,1383375,0
20060228,20.824,20.824,20.509,20.618,1837222,0
20060301,20.661,20.798,20.628,20.774,1134796,0
20060302,20.832,20.841,20.679,20.824,1336548,0
20060303,20.874,21.004,20.79,20.891,2015031,0
20060306,20.961,21.004,20.611,20.705,1483722,0
20060307,20.254,20.39,19.964,20.132,2658658,0
20060308,19.767,19.887,19.598,19.861,2904769,0
20060309,19.913,20.049,19.785,19.793,938330,0
20060310,19.767,19.919,19.741,19.913,630246,0
20060313,20.124,20.169,20.065,20.083,1956585,0
20060314,20.092,20.398,20.065,20.39,1428442,0
20060315,20.45,20.553,20.346,20.553,1277044,0
20060316,20.432,20.585,20.371,20.441,2041789,0
20060317,20.491,20.491,20.381,20.465,893261,0
20060320,20.645,20.679,20.491,20.525,1513298,0
20060321,20.815,20.918,20.585,20.628,1422455,0
20060322,20.475,20.705,20.424,20.661,1421752,0
20060323,20.764,20.891,20.697,20.807,703835,0
20060324,20.807,20.952,20.807,20.901,1108391,0
20060327,21.13,21.174,21.004,21.07,1124937,0
20060328,20.996,21.027,20.661,20.824,1241480,0
20060329,20.901,21.027,20.841,20.961,1408374,0
20060330,21.148,21.302,21.089,21.174,853122,0
20060331,21.19,21.19,20.988,21.097,940441,0
20060403,21.548,21.642,21.48,21.522,1963975,0
20060404,21.701,22.205,21.582,21.795,1091839,0
20060405,21.795,22.211,21.754,21.94,1217889,0
20060406,22.187,22.187,21.974,22.112,1794972,0
20060407,22.152,22.169,21.727,21.804,2379096,0
20060410,21.983,22.06,21.899,22.06,1398866,0
20060411,22.008,22.076,21.626,21.659,1636881,0
20060412,21.616,21.626,21.556,21.616,1717865,0
20060413,21.754,21.795,21.633,21.778,786575,0
20060417,21.854,22.06,21.839,22.052,2853715,0
20060418,22.604,22.835,22.537,22.835,4407855,0
20060419,22.929,23.083,22.664,23.083,2417121,0
20060420,23.167,23.211,22.868,23.083,2492470,0
20060421,23.115,23.286,23.106,23.184,2251637,0
20060424,22.724,22.724,22.597,22.621,2304099,0
20060425,22.152,22.306,22.008,22.052,2846321,0
20060426,22.248,22.332,22.211,22.239,2077000,0
20060427,21.882,21.915,21.447,21.745,3283623,0
20060428,22.152,22.375,22.008,22.324,1728074,0
20060501,22.427,22.587,22.366,22.408,1995313,0
20060502,22.707,22.947,22.664,22.929,2532606,0
20060503,22.998,23.005,22.656,22.776,1824548,0
20060504,23.005,23.098,22.947,23.092,1374924,0
20060505,23.236,23.33,23.15,23.303,1496398,0
20060508,23.696,23.832,23.499,23.78,2378037,0
20060509,23.534,23.771,23.475,23.705,2586124,0
20060510,23.475,23.499,23.269,23.405,2156925,0
20060511,23.577,23.593,23.005,23.039,1987919,0
20060512,23.064,23.26,22.681,22.859,3765991,0
20060515,22.383,22.664,22.161,22.494,4067734,0
20060516,22.392,22.699,22.299,22.656,2241424,0
20060517,22.519,22.707,21.854,21.948,4092734,0
20060518,21.89,22.179,21.745,21.754,2611830,0
20060519,22.06,22.291,21.616,22.196,2286846,0
20060522,20.679,20.874,20.313,20.722,8023504,0
20060523,21.157,21.556,21.018,21.045,3655785,0
20060524,21.036,21.216,20.132,20.764,3949783,0
20060525,20.739,21.394,20.73,21.37,2057984,0
20060526,21.25,21.335,21.011,21.257,1978061,0
20060530,21.105,21.105,20.441,20.45,2803719,0
20060531,20.661,20.874,20.618,20.807,1530549,0
20060601,20.645,21.122,20.553,21.011,2301988,0
20060602,21.122,21.335,21.018,21.257,1853067,0
20060605,21.403,21.42,20.544,20.594,3461076,0
20060606,21.241,21.275,20.603,21.045,3690642,0
20060607,21.027,21.335,20.807,20.85,3620574,0
20060608,20.169,20.371,19.469,20.193,6886243,0
20060609,20.16,20.297,19.854,19.904,3536427,0
20060612,19.897,19.997,19.129,19.452,1974890,0
20060613,18.89,19.171,18.515,18.745,4706081,0
20060614,18.89,19.282,18.839,19.282,4007175,0
20060615,19.598,20.271,19.571,20.169,3089618,0
20060616,20.271,20.297,20.074,20.185,3091027,0
20060619,20.169,20.254,19.632,19.785,2706893,0
20060620,19.793,20.065,19.717,19.793,1225636,0
20060621,19.937,20.525,19.928,20.381,2217132,0
20060622,20.297,20.338,20.024,20.322,2542818,0
20060623,20.304,20.544,20.185,20.517,637291,0
20060626,20.517,20.585,20.45,20.561,637993,0
20060627,20.679,20.874,20.416,20.483,1628078,0
20060628,20.705,20.978,20.688,20.978,1620334,0
20060629,21.14,21.923,21.122,21.923,4048018,0
20060630,21.955,21.983,21.709,21.812,2910754,0
20060703,22.052,22.239,22,22.152,4074423,0
20060705,21.6,21.701,21.37,21.565,2343532,0
20060706,22.026,22.169,21.991,22.145,1166837,0
20060707,22,22.052,21.626,21.727,1685119,0
20060710,22.152,22.265,21.923,22.06,2328746,0
20060711,22.034,22.137,21.786,22.119,1487243,0
20060712,22.103,22.103,21.786,21.839,1321055,0
20060713,21.403,21.47,21.08,21.14,4367014,0
20060714,21.114,21.199,20.882,21.157,2232271,0
20060717,21.018,21.148,20.764,20.858,2591406,0
20060718,21.122,21.234,20.832,21.045,1572803,0
20060719,21.174,21.955,21.165,21.907,3832536,0
20060720,21.983,22.026,21.532,21.59,1548507,0
20060721,21.804,21.821,21.37,21.498,1413656,0
20060724,21.812,22.211,21.812,22.187,1921374,0
20060725,21.923,22.179,21.829,22.076,2554438,0
20060726,21.882,22.052,21.812,21.923,1654134,0
20060727,22.332,22.383,22.128,22.265,1653430,0
20060728,22.366,22.649,22.332,22.537,2142136,0
20060731,22.152,22.4,22.137,22.34,1380557,0
20060801,21.847,22.145,21.829,21.899,3670926,0
20060802,22.152,22.332,22.119,22.187,1134093,0
20060803,21.804,22.366,21.804,22.255,939033,0
20060804,22.366,22.468,22.008,22.068,1341124,0
20060807,22.179,22.265,22.068,22.22,1153457,0
20060808,22.179,22.408,22.179,22.255,1464357,0
20060809,22.707,22.819,22.503,22.519,2059394,0
20060810,22.691,22.724,22.546,22.714,1431966,0
20060811,22.656,22.724,22.562,22.714,870377,0
20060814,22.859,22.989,22.74,22.793,1120714,0
20060815,23.005,23.211,22.919,23.193,1592870,0
20060816,23.346,23.371,23.193,23.303,1664343,0
20060817,23.303,23.303,22.784,22.894,1758002,0
20060818,22.835,22.868,22.64,22.835,1496749,0
20060821,22.477,22.572,22.435,22.537,1086560,0
20060822,22.58,22.749,22.58,22.691,1109096,0
20060823,22.554,22.612,22.255,22.375,1952358,0
20060824,22.34,22.349,22.211,22.314,1316479,0
20060825,22.179,22.366,22.179,22.265,1471751,0
20060828,22.169,22.291,22.145,22.255,1286550,0
