Date,Open,High,Low,Close,Volume,OpenInt
20071210,15.647,15.647,15.53,15.53,8893,0
20071211,15.593,15.593,15.549,15.549,967,0
20071212,15.479,15.479,15.479,15.479,16170,0
20071214,15.22,15.22,15.157,15.157,323,0
20071218,14.699,14.806,14.688,14.806,6951,0
20071219,14.726,14.726,14.528,14.528,13258,0
20071220,14.898,14.904,14.898,14.904,485,0
20071221,15.077,15.14,15.077,15.14,10027,0
20071224,15.831,15.831,15.187,15.355,21344,0
20071227,15.306,15.319,15.283,15.283,6468,0
20071228,15.344,16.018,15.344,15.369,6951,0
20071231,15.831,15.831,15.361,15.479,9700,0
20080102,15.831,15.885,15.831,15.88,2262,0
20080103,15.88,15.956,15.88,15.925,5336,0
20080104,15.988,15.988,14.279,14.284,25551,0
20080107,13.853,14.355,13.853,14.349,8246,0
20080109,14.359,14.41,13.927,14.41,7115,0
20080110,14.374,14.459,14.374,14.459,2911,0
20080111,14.397,14.51,14.397,14.452,3719,0
20080114,14.49,14.522,14.49,14.522,2262,0
20080115,14.379,14.379,14.229,14.229,5984,0
20080116,14.106,14.106,14.106,14.106,7442,0
20080117,14.039,14.039,13.679,13.679,2425,0
20080118,13.761,13.797,13.581,13.581,2588,0
20080122,11.69,13.421,11.69,13.421,2588,0
20080123,13.235,13.638,13.23,13.638,4204,0
20080124,13.672,13.672,13.672,13.672,163,0
20080125,13.857,13.857,13.857,13.857,1619,0
20080128,13.952,13.952,13.952,13.952,811,0
20080129,14.014,14.014,14.014,14.014,811,0
20080130,13.965,13.965,13.959,13.959,967,0
20080131,13.915,13.988,13.879,13.988,3885,0
20080201,14.138,14.187,14.138,14.18,1134,0
20080204,14.256,14.256,14.256,14.256,2749,0
20080205,14.118,14.118,14.118,14.118,1619,0
20080206,14.033,14.033,13.864,13.864,1296,0
20080207,13.864,13.864,13.864,13.864,2425,0
20080211,13.89,13.89,13.879,13.879,485,0
20080213,13.879,13.879,13.879,13.879,163,0
20080214,13.773,13.773,13.505,13.505,1454,0
20080219,13.672,13.717,13.672,13.692,1619,0
20080220,14.242,14.242,13.589,13.666,4042,0
20080221,13.623,13.63,13.505,13.505,27813,0
20080225,13.556,13.672,13.556,13.672,1777,0
20080226,13.857,13.952,13.857,13.952,4042,0
20080227,13.972,13.972,13.959,13.959,2749,0
20080228,13.91,13.91,13.853,13.903,3557,0
20080304,13.496,13.496,13.344,13.344,4854,0
20080310,12.781,12.781,12.781,12.781,643,0
20080311,13.167,13.167,13.167,13.167,967,0
20080318,12.986,12.986,12.927,12.927,4854,0
20080319,12.945,12.945,12.927,12.927,1134,0
20080324,13.284,13.284,13.284,13.284,163,0
20080327,13.364,13.364,13.351,13.351,1296,0
20080328,13.321,13.321,13.253,13.253,967,0
20080331,13.235,13.235,13.235,13.235,643,0
20080402,13.421,13.421,13.357,13.357,3234,0
20080403,13.421,13.476,13.414,13.476,3234,0
20080404,13.428,13.476,13.428,13.457,5499,0
20080407,13.638,13.638,13.606,13.606,1938,0
20080408,14.102,14.138,13.589,13.589,1454,0
20080410,13.499,13.55,13.499,13.505,3557,0
20080411,13.309,13.309,13.302,13.302,3234,0
