Date,Open,High,Low,Close,Volume,OpenInt
20140219,10.52,10.52,10.52,10.52,2467,0
20140220,10.504,10.577,10.504,10.577,1234,0
20140221,10.577,10.601,10.577,10.601,4319,0
20140224,10.617,10.706,10.617,10.706,1727,0
20140225,10.739,10.739,10.739,10.739,5706,0
20140226,10.698,10.698,10.634,10.641,2282,0
20140228,10.625,10.625,10.625,10.625,1234,0
20140303,10.796,10.796,10.796,10.796,987,0
20140304,10.665,10.665,10.665,10.665,617,0
20140305,10.665,10.665,10.665,10.665,247,0
20140306,10.577,10.706,10.577,10.706,3640,0
20140310,10.61,10.61,10.455,10.593,678,0
20140312,10.746,10.746,10.746,10.746,123,0
20140313,10.771,10.852,10.771,10.852,370,0
20140314,10.909,10.909,10.861,10.861,2303,0
20140317,10.861,10.868,10.763,10.763,11659,0
20140318,10.731,10.731,10.731,10.731,123,0
20140319,10.544,10.584,10.472,10.472,1269,0
20140320,10.504,10.553,10.504,10.553,1419,0
20140325,10.415,10.415,10.415,10.415,493,0
20140402,10.196,10.245,10.179,10.237,35288,0
20140403,10.269,10.269,10.196,10.212,8020,0
20140404,10.326,10.415,10.326,10.358,29463,0
20140407,10.423,10.617,10.277,10.277,12018,0
20140409,10.333,10.374,10.269,10.374,3886,0
20140414,10.463,10.52,10.455,10.455,617,0
20140415,10.252,10.342,10.252,10.293,1665,0
20140416,10.318,10.333,10.261,10.333,9994,0
20140417,10.285,10.285,10.22,10.22,1234,0
20140421,10.204,10.204,10.139,10.179,1974,0
20140422,10.098,10.196,10.091,10.196,21715,0
20140423,10.171,10.179,10.115,10.156,18890,0
20140424,10.156,10.228,10.147,10.147,9994,0
20140425,10.285,10.415,10.285,10.309,6909,0
20140428,10.237,10.261,10.196,10.245,1367,0
20140429,10.301,10.301,10.261,10.277,750,0
20140430,10.204,10.237,10.171,10.188,5800,0
20140501,10.131,10.139,10.098,10.115,7274,0
20140502,10.164,10.164,10.115,10.156,3825,0
20140505,10.309,10.342,10.252,10.252,2733,0
20140506,10.261,10.269,10.261,10.269,247,0
20140507,10.188,10.188,10.131,10.139,2046,0
20140508,10.123,10.179,10.115,10.147,35693,0
20140509,10.261,10.261,10.245,10.252,1660,0
20140512,10.277,10.277,10.277,10.277,740,0
20140513,10.35,10.35,10.285,10.342,2715,0
20140515,10.309,10.358,10.309,10.35,1357,0
20140516,10.293,10.293,10.293,10.293,123,0
20140519,9.953,10.358,9.953,10.358,1304,0
20140520,10.35,10.35,10.35,10.35,123,0
20140521,10.293,10.293,10.293,10.293,309,0
20140522,10.391,10.391,10.391,10.391,123,0
20140523,10.326,10.391,10.326,10.391,16323,0
20140527,10.212,10.212,10.123,10.139,25497,0
20140528,9.912,10.147,9.912,10.107,41244,0
20140529,10.098,10.107,10.083,10.091,740,0
20140530,10.042,10.091,10.002,10.002,2225,0
20140602,10.034,10.042,9.985,9.985,12092,0
20140603,10.017,10.017,9.985,9.985,617,0
20140605,10.083,10.083,10.066,10.066,370,0
20140606,10.05,10.05,10.05,10.05,123,0
20140609,10.098,10.098,10.074,10.074,8390,0
20140610,10.196,10.196,10.164,10.171,1604,0
20140611,10.204,10.204,10.179,10.196,3332,0
20140612,10.212,10.269,10.212,10.269,1183,0
20140613,10.309,10.309,10.301,10.309,1543,0
20140616,10.261,10.261,10.261,10.261,2467,0
20140617,10.245,10.261,10.237,10.237,5438,0
20140618,10.269,10.277,10.269,10.277,2105,0
20140619,10.488,10.61,10.488,10.61,1173,0
20140620,10.569,10.569,10.569,10.569,123,0
20140623,10.584,10.634,10.584,10.584,370,0
20140624,10.61,10.658,10.61,10.61,1147,0
20140626,10.601,10.601,10.601,10.601,186,0
20140630,10.536,10.593,10.536,10.593,1357,0
20140701,10.593,10.593,10.593,10.593,186,0
20140702,10.512,10.512,10.512,10.512,247,0
20140703,10.61,10.617,10.61,10.617,556,0
20140707,10.56,10.601,10.56,10.601,2591,0
20140708,10.593,10.593,10.593,10.593,2579,0
20140709,10.617,10.641,10.617,10.641,1974,0
20140710,10.796,10.796,10.771,10.771,2221,0
20140711,10.739,10.763,10.731,10.756,7835,0
20140714,10.455,10.496,10.455,10.496,1357,0
20140715,10.504,10.504,10.423,10.423,5553,0
20140716,10.496,10.496,10.496,10.496,370,0
20140717,10.56,10.698,10.56,10.665,27576,0
20140718,10.61,10.61,10.61,10.61,493,0
20140721,10.61,10.61,10.61,10.61,395,0
20140722,10.658,10.658,10.658,10.658,4997,0
20140723,10.593,10.593,10.593,10.593,493,0
20140724,10.536,10.536,10.488,10.488,1111,0
20140725,10.634,10.634,10.634,10.634,2097,0
20140728,10.625,10.634,10.625,10.634,1505,0
20140729,10.617,10.617,10.617,10.617,2221,0
20140731,10.512,10.512,10.512,10.512,340,0
20140805,10.569,10.569,10.569,10.569,309,0
20140806,10.722,10.722,10.691,10.691,1661,0
20140807,10.691,10.746,10.691,10.746,4936,0
20140808,10.682,10.682,10.674,10.674,370,0
20140811,10.698,10.698,10.698,10.698,247,0
20140812,10.715,10.715,10.715,10.715,1777,0
20140813,10.722,10.722,10.722,10.722,247,0
20140814,10.682,10.763,10.682,10.763,6355,0
20140815,11.144,11.144,10.504,10.658,5725,0
20140818,10.625,10.625,10.617,10.617,4319,0
20140819,10.625,10.625,10.625,10.625,3084,0
20140821,10.438,10.438,10.438,10.438,247,0
20140822,10.488,10.536,10.488,10.536,410,0
20140825,10.553,10.553,10.553,10.553,247,0
20140826,10.665,10.665,10.625,10.651,12771,0
20140827,10.812,10.812,10.61,10.61,8883,0
20140829,10.691,10.691,10.691,10.691,123,0
20140902,10.577,10.577,10.52,10.544,2652,0
20140903,10.56,10.584,10.56,10.577,11339,0
20140904,10.731,10.731,10.665,10.665,6787,0
20140905,10.651,10.706,10.651,10.698,20863,0
20140908,10.78,10.78,10.569,10.658,4320,0
20140909,10.651,10.651,10.634,10.634,1851,0
20140910,10.584,10.584,10.584,10.584,1357,0
20140911,10.52,10.52,10.504,10.504,13213,0
20140912,11.136,11.136,10.423,10.423,371,0
20140915,10.455,10.472,10.455,10.455,2727,0
20140916,10.448,10.455,10.448,10.455,678,0
20140917,10.472,10.472,10.438,10.438,1789,0
20140918,10.431,10.431,10.431,10.431,1789,0
20140919,10.423,10.423,10.423,10.423,493,0
20140922,10.391,10.391,10.391,10.391,555,0
20140923,10.407,10.407,9.726,10.261,2282,0
20140924,10.407,10.415,10.034,10.407,1419,0
20140925,10.504,10.529,10.504,10.529,4441,0
20140926,10.529,10.529,10.496,10.496,2591,0
20140929,10.529,10.529,10.529,10.529,3701,0
20140930,10.61,10.61,10.496,10.512,2289,0
20141001,10.529,10.577,10.529,10.577,4842,0
20141002,10.529,11.104,10.496,10.504,2530,0
20141003,10.455,10.463,10.455,10.455,5861,0
20141006,10.496,10.496,10.479,10.496,678,0
20141007,10.488,10.52,10.488,10.488,617,0
20141008,10.488,10.488,10.488,10.488,808,0
20141009,10.593,10.593,10.593,10.593,123,0
