Date,Open,High,Low,Close,Volume,OpenInt
20160711,12.996,12.996,12.996,12.996,6460,0
20160712,13.153,13.212,13.153,13.212,368,0
20160721,13.3,13.3,13.3,13.3,143,0
20160808,13.448,13.47,13.448,13.47,747,0
20160812,13.694,13.694,13.654,13.674,1716,0
20160819,13.684,13.684,13.684,13.684,240,0
20160822,13.752,13.752,13.752,13.752,238,0
20160824,13.605,13.605,13.605,13.605,105,0
20160916,13.497,13.497,13.497,13.497,817,0
20160926,13.605,13.605,13.605,13.605,1934,0
20160929,13.929,13.929,13.924,13.924,1344,0
20161005,13.811,13.811,13.811,13.811,1635,0
20161006,13.752,13.752,13.703,13.703,2675,0
20161010,13.851,13.851,13.851,13.851,509,0
20161012,13.634,13.654,13.634,13.654,2201,0
20161013,13.408,13.556,13.408,13.556,559,0
20161014,13.566,13.566,13.566,13.566,2611,0
20161025,13.861,13.861,13.861,13.861,1017,0
20161026,13.792,13.792,13.792,13.792,2146,0
20161103,13.496,13.496,13.399,13.399,2072,0
20161111,13.131,13.131,13.123,13.123,1017,0
20161118,13.271,13.272,13.271,13.271,692,0
20161121,13.388,13.448,13.388,13.448,11655,0
20161122,13.448,13.448,13.448,13.448,3686,0
20161123,13.369,13.399,13.349,13.399,42013,0
20161128,13.507,13.507,13.507,13.507,235,0
20161201,13.467,13.467,13.438,13.438,311,0
20161202,13.428,13.428,13.389,13.389,4551,0
20161205,13.507,13.526,13.507,13.526,224,0
20161206,13.517,13.517,13.517,13.517,818,0
20161213,13.684,13.684,13.674,13.674,3459,0
20161214,13.418,13.418,13.418,13.418,102,0
20161216,13.305,13.305,13.305,13.305,331,0
20161220,13.202,13.202,13.202,13.202,131,0
20161228,13.33,13.34,13.33,13.339,1300,0
20170106,13.88,13.88,13.82,13.82,258,0
20170110,13.93,13.93,13.93,13.93,2000,0
20170120,14.05,14.05,14.05,14.05,333,0
20170201,14.29,14.29,14.29,14.29,510,0
20170213,14.8052,14.8096,14.7934,14.8096,1100,0
20170214,14.76,14.76,14.76,14.76,100,0
20170221,14.87,14.88,14.87,14.87,8909,0
20170223,14.8,14.8,14.62,14.62,6202,0
20170224,14.5332,14.5332,14.5332,14.5332,728,0
20170227,14.5,14.5,14.5,14.5,1003,0
20170228,14.4333,14.45,14.4333,14.45,747,0
20170301,14.48,14.6346,14.48,14.63,2601,0
20170302,14.4601,14.4601,14.4601,14.4601,236,0
20170306,14.6,14.6,14.6,14.6,152,0
20170308,14.3613,14.3613,14.3613,14.3613,800,0
20170309,14.2264,14.2264,14.2264,14.2264,120,0
20170317,14.7401,14.755,14.74,14.755,400,0
20170320,14.87,14.87,14.87,14.87,708,0
20170321,14.87,14.87,14.87,14.87,0,0
20170329,14.9488,14.9488,14.9488,14.9488,130,0
20170404,14.9899,14.9899,14.9899,14.9899,100,0
20170406,15,15,15,15,102,0
20170410,15.01,15.01,15.01,15.01,200,0
20170412,14.9497,14.95,14.9497,14.95,284,0
20170413,15,15,15,15,182,0
20170419,14.799,14.7999,14.799,14.7999,1000,0
20170421,14.632,14.632,14.6101,14.6101,1610,0
20170424,14.67,14.67,14.67,14.67,152,0
20170428,14.6,14.62,14.6,14.62,794,0
20170501,14.692,14.692,14.692,14.692,100,0
20170504,14.5,14.5,14.4101,14.4101,693,0
20170516,15.01,15.01,15.01,15.01,124,0
20170518,14.4701,14.482,14.4701,14.482,792,0
20170522,14.9309,14.9309,14.9309,14.9309,100,0
20170524,14.91,14.91,14.91,14.91,670,0
20170525,15,15,15,15,100,0
20170602,14.94,14.94,14.934,14.934,1500,0
20170615,14.6099,14.6099,14.6099,14.6099,500,0
20170616,14.604,14.604,14.604,14.604,1370,0
20170619,14.72,14.82,14.72,14.82,1250,0
20170620,14.71,14.71,14.62,14.62,470,0
20170621,14.669,14.669,14.669,14.669,100,0
20170623,14.8007,14.8007,14.8007,14.8007,231,0
20170626,14.8,14.93,14.8,14.86,2005,0
20170627,14.7891,14.7891,14.71,14.71,9778,0
20170703,14.8599,14.8599,14.8599,14.8599,367,0
20170706,14.81,14.81,14.71,14.71,360,0
20170712,15.0691,15.0691,15.0691,15.0691,500,0
20170720,15.3601,15.3601,15.3601,15.3601,100,0
20170728,15.5438,15.5438,15.5438,15.5438,100,0
20170731,15.6199,15.6199,15.618,15.618,606,0
20170801,15.62,15.62,15.62,15.62,500,0
