Date,Open,High,Low,Close,Volume,OpenInt
20110719,40.027,40.077,40.027,40.077,300,0
20110720,40.127,40.127,40.127,40.127,200,0
20110721,40.137,40.316,40.137,40.306,7210,0
20110722,40.256,40.336,40.057,40.256,168004,0
20110725,40.256,40.266,40.256,40.266,6409,0
20110726,40.316,40.316,40.167,40.236,3104,0
20110727,40.047,40.047,39.947,39.947,4550,0
20110728,39.887,40.007,39.887,39.927,2603,0
20110729,39.887,39.887,39.887,39.887,100,0
20110801,40.067,40.067,39.877,39.877,771,0
20110802,39.697,39.697,39.547,39.547,1817,0
20110803,39.408,39.408,39.388,39.388,10138,0
20110804,39.108,39.108,38.958,38.958,2003,0
20110805,38.958,38.958,38.579,38.738,27656,0
20110808,38.149,38.149,37.83,37.89,551,0
20110809,38.139,38.249,38.139,38.249,4171,0
20110810,38.109,38.109,37.999,37.999,2243,0
20110811,38.289,38.289,38.229,38.229,3893,0
20110812,38.609,38.609,38.449,38.449,876,0
20110816,38.619,38.639,38.609,38.609,370,0
20110817,38.778,38.898,38.698,38.698,28588,0
20110818,38.698,38.698,38.069,38.069,2395,0
20110819,38.539,38.549,37.92,37.92,110698,0
20110822,39.048,39.048,39.048,39.048,300,0
20110823,38.549,38.549,38.549,38.549,100,0
20110825,39.038,39.038,38.189,38.209,1088,0
20110826,38.309,38.309,38.309,38.309,150,0
20110830,38.499,38.768,38.499,38.768,2616,0
20110831,44.201,44.201,38.808,38.808,1312,0
20110901,38.748,38.888,38.748,38.748,1502,0
20110902,38.419,38.419,38.419,38.419,100,0
20110906,38.029,38.029,37.88,37.969,3405,0
20110907,38.479,38.479,38.479,38.479,300,0
20110908,37.81,38.569,37.81,38.569,901,0
20110909,38.179,38.179,38.179,38.179,1001,0
20110912,37.959,37.959,37.79,37.92,300,0
20110913,38.139,38.139,38.139,38.139,200,0
20110915,38.309,38.309,38.309,38.309,200,0
20110919,38.209,38.209,38.149,38.159,1252,0
20110920,38.399,38.399,38.369,38.369,601,0
20110921,38.059,38.069,38.009,38.009,1602,0
20110922,37.3,37.3,37.2,37.2,1604,0
20110923,37.34,37.34,37.34,37.34,100,0
20110926,37.43,37.46,37.41,37.41,6409,0
20110927,38.009,38.099,38.009,38.029,1202,0
20110928,37.949,38.009,37.77,37.77,3830,0
20110930,37.55,37.55,37.55,37.55,300,0
20111003,37.42,37.42,37.42,37.42,112,0
20111004,36.931,37.151,36.132,37.151,4181,0
20111005,37.4,37.4,37.4,37.4,250,0
20111007,37.989,37.989,37.989,37.989,29825,0
20111010,38.209,38.249,38.209,38.249,896,0
20111012,38.499,38.659,38.479,38.659,13602,0
20111013,38.449,38.529,38.419,38.449,2078,0
20111014,38.689,38.728,38.679,38.718,12289,0
20111017,38.299,38.299,38.299,38.299,501,0
20111018,38.509,38.509,38.469,38.499,330,0
20111019,38.649,38.649,38.639,38.639,601,0
20111021,38.539,38.639,38.539,38.639,1051,0
20111025,39.388,39.388,38.748,38.748,1724,0
20111026,38.828,38.828,38.828,38.828,501,0
20111027,39.577,39.577,39.577,39.577,200,0
20111028,39.457,39.677,39.457,39.677,601,0
20111101,38.698,38.698,38.619,38.619,300,0
20111103,39.058,39.058,39.038,39.058,1887,0
20111104,38.838,39.028,38.838,39.028,2051,0
20111107,39.048,39.048,39.048,39.048,479,0
20111108,39.168,39.168,39.168,39.168,250,0
20111109,38.778,38.808,38.619,38.619,3304,0
20111110,38.689,38.689,38.689,38.689,130,0
20111111,39.048,39.048,39.048,39.048,501,0
20111114,38.109,38.888,38.109,38.828,701,0
20111115,38.728,38.898,38.728,38.898,766,0
20111117,38.599,38.629,38.599,38.629,1202,0
20111118,38.449,38.499,38.449,38.499,406,0
20111121,38.029,38.119,38.029,38.119,421,0
20111123,38.029,38.029,37.72,37.77,5246,0
20111125,37.85,37.91,37.64,37.64,50277,0
20111128,38.129,38.129,38.119,38.119,25033,0
20111129,38.319,38.319,38.319,38.319,126,0
20111201,38.868,38.868,38.868,38.868,501,0
20111205,38.948,38.948,38.948,38.948,1371,0
20111206,38.998,38.998,38.998,38.998,320,0
20111207,38.898,38.898,38.838,38.848,34891,0
20111208,38.728,38.738,38.669,38.669,5316,0
20111209,38.838,38.898,38.838,38.898,1695,0
20111212,38.569,38.579,38.549,38.559,4963,0
20111213,38.489,38.489,38.489,38.489,200,0
20111214,38.309,38.309,38.309,38.309,401,0
20111219,38.289,38.299,38.229,38.229,1031,0
20111221,38.509,38.559,38.489,38.559,1926,0
20111223,38.778,38.778,38.778,38.778,300,0
20111227,38.788,39.348,38.788,38.788,200,0
20111228,38.629,38.629,38.569,38.569,2651,0
20111230,38.778,38.818,38.718,38.808,4254,0
20120103,39.108,39.108,38.998,38.998,901,0
20120105,38.848,38.848,38.848,38.848,801,0
20120109,38.908,38.908,38.848,38.848,1888,0
20120110,38.948,38.948,38.948,38.948,187,0
20120112,39.447,39.447,39.078,39.078,1101,0
20120113,38.928,38.928,38.928,38.928,1001,0
20120117,39.208,39.208,39.178,39.178,385,0
20120118,39.268,39.268,39.268,39.268,1162,0
20120123,39.517,39.517,39.517,39.517,851,0
20120124,39.398,39.847,39.298,39.457,3225,0
20120125,39.637,39.647,39.627,39.637,2569,0
20120127,40.047,40.097,40.047,40.097,1417,0
20120130,39.617,39.617,39.477,39.477,798,0
20120131,39.657,39.707,39.577,39.607,2698,0
20120201,39.128,40.007,39.128,39.867,2896,0
20120202,39.907,39.917,39.907,39.917,905,0
20120203,40.127,40.196,39.967,40.196,901,0
20120206,40.057,40.057,40.047,40.047,1402,0
20120207,40.077,40.077,40.017,40.017,325,0
20120209,40.067,40.067,40.067,40.067,688,0
20120210,39.727,39.817,39.507,39.817,693,0
20120213,39.947,39.947,39.907,39.947,1679,0
20120214,39.867,39.867,39.817,39.827,801,0
20120215,40.406,40.406,39.907,39.927,6781,0
20120216,39.907,39.967,39.907,39.967,850,0
20120217,40.117,40.117,40.117,40.117,200,0
20120221,40.137,40.157,39.977,39.987,2362,0
20120222,39.967,39.967,39.967,39.967,391,0
20120223,39.927,40.406,39.927,40.037,7024,0
20120227,40.286,40.286,39.897,39.897,2908,0
20120228,40.067,40.117,40.037,40.047,3403,0
20120229,40.127,40.137,40.127,40.137,1176,0
20120302,39.897,39.937,39.767,39.787,6087,0
20120305,39.717,39.717,39.627,39.707,3983,0
20120306,39.447,39.467,39.358,39.467,3214,0
20120307,39.398,39.398,39.398,39.398,426,0
20120309,39.717,39.837,39.717,39.837,2549,0
20120312,39.697,39.717,39.657,39.717,644,0
20120314,39.877,39.897,39.737,39.737,2628,0
20120315,39.807,39.807,39.807,39.807,1001,0
20120316,40.027,40.027,40.027,40.027,125,0
20120319,40.027,40.027,39.957,39.957,312,0
20120320,39.747,39.797,39.697,39.797,2784,0
20120321,39.727,39.767,39.687,39.757,3905,0
20120322,39.607,39.607,39.537,39.587,2203,0
20120323,39.567,39.747,39.567,39.737,13542,0
20120326,39.927,39.927,39.857,39.857,552,0
20120327,39.927,39.937,39.847,39.847,2253,0
20120328,39.647,39.667,39.647,39.667,1213,0
20120329,39.617,39.617,39.617,39.617,250,0
20120402,39.807,39.877,39.767,39.877,2669,0
20120403,39.837,39.857,39.647,39.647,872,0
20120404,39.457,39.457,39.428,39.428,511,0
20120405,39.368,39.368,39.368,39.368,100,0
20120409,39.767,39.767,39.218,39.218,300,0
20120410,38.968,38.968,38.938,38.948,2102,0
20120411,39.168,39.168,39.068,39.068,1052,0
20120412,39.278,39.378,39.278,39.308,1862,0
20120413,39.767,39.767,39.028,39.148,5373,0
20120416,39.188,39.198,39.088,39.198,4972,0
20120417,38.958,39.368,38.958,39.368,711,0
20120418,39.258,39.268,39.188,39.268,1833,0
20120419,39.198,39.258,39.188,39.198,3675,0
20120420,39.338,39.398,39.298,39.388,5188,0
20120423,39.727,39.727,38.978,39.018,3879,0
20120424,39.128,42.513,39.068,39.068,29062,0
20120425,39.238,39.288,39.238,39.288,857,0
20120426,39.288,39.388,39.288,39.388,1605,0
20120427,39.378,39.807,39.318,39.447,14703,0
20120430,39.637,39.637,39.338,39.338,861,0
20120501,39.497,39.497,39.378,39.398,1191,0
20120502,39.218,39.278,39.168,39.238,78961,0
20120503,39.208,39.238,39.108,39.128,3721,0
20120504,38.988,38.988,38.948,38.968,1316,0
20120507,38.978,39.048,38.978,39.048,2899,0
20120508,38.958,38.958,38.798,38.918,5852,0
20120509,38.679,38.818,38.609,38.738,3344,0
