Date,Open,High,Low,Close,Volume,OpenInt
20120625,20.688,20.764,20.688,20.764,587,0
20120626,20.825,20.825,20.739,20.807,1876,0
20120627,20.987,20.987,20.987,20.987,2053,0
20120628,21.523,21.523,20.748,20.748,1296,0
20120629,21.31,21.361,21.31,21.361,2502,0
20120702,21.276,21.352,21.276,21.352,7964,0
20120703,21.515,21.515,21.515,21.515,587,0
20120705,21.548,21.583,21.548,21.583,704,0
20120706,21.216,21.216,21.157,21.157,235,0
20120709,21.174,21.174,21.063,21.088,2728,0
20120710,21.011,21.011,20.952,20.952,4370,0
20120711,20.884,20.884,20.884,20.884,1876,0
20120712,20.688,20.919,20.688,20.919,449,0
20120713,21.234,21.234,21.234,21.234,140,0
20120716,20.978,21.071,20.978,21.071,7626,0
20120717,21.046,21.139,20.96,21.139,13316,0
20120718,21.301,21.301,21.301,21.301,4692,0
20120719,21.497,21.523,21.497,21.523,2816,0
20120720,22.043,22.043,21.327,21.327,235,0
20120724,20.593,20.602,20.593,20.602,6491,0
20120725,20.679,20.782,20.679,20.782,1179,0
20120726,21.063,21.182,21.063,21.182,1614,0
20120727,21.583,21.583,21.583,21.583,540,0
20120730,22.009,22.009,21.651,21.651,1407,0
20120802,21.198,21.198,20.739,20.858,18908,0
20120803,21.601,21.601,21.601,21.601,242,0
20120806,21.984,21.984,21.608,21.745,1876,0
20120807,21.881,22.06,21.83,22.06,4986,0
20120808,21.778,21.778,21.736,21.736,939,0
20120809,21.821,21.838,21.814,21.814,6894,0
20120810,21.957,21.957,21.787,21.787,235,0
20120813,21.728,21.745,21.728,21.745,4791,0
20120814,21.933,21.933,21.933,21.933,1407,0
20120816,22.077,22.094,22.077,22.094,1603,0
20120817,22.223,22.351,22.204,22.351,1525,0
20120820,22.154,22.247,22.119,22.171,704,0
20120822,22.145,22.163,22.103,22.163,3581,0
20120827,22.41,22.41,22.41,22.41,177,0
20120828,22.887,22.887,22.368,22.368,815,0
20120829,22.418,22.418,22.418,22.418,469,0
20120830,22.204,22.204,22.204,22.204,821,0
20120831,22.265,22.265,22.247,22.247,352,0
20120905,22.307,22.307,22.307,22.307,1173,0
20120911,22.793,22.793,22.751,22.751,332,0
20120912,22.81,22.81,22.81,22.81,939,0
20120913,22.887,22.938,22.887,22.887,1055,0
20120917,23.177,23.177,23.177,23.177,117,0
20120918,23.015,23.015,22.997,22.997,918,0
20120919,23.05,23.177,22.997,23.177,704,0
20120920,22.972,22.972,22.972,22.972,235,0
20120921,23.134,23.134,23.058,23.058,850,0
20120924,23.236,23.236,22.895,22.912,469,0
20120925,23.006,23.006,22.819,22.819,821,0
20121003,22.717,22.81,22.717,22.81,1291,0
20121008,22.819,22.819,22.819,22.819,704,0
20121009,22.469,22.469,22.086,22.443,1672,0
20121012,22.324,22.324,22.324,22.324,235,0
20121015,22.342,22.709,22.299,22.299,939,0
20121017,22.674,22.674,22.589,22.589,3519,0
20121018,22.793,22.793,22.793,22.793,352,0
20121019,22.546,22.546,22.171,22.171,4494,0
20121022,22.077,22.128,22.077,22.128,352,0
20121023,22.034,22.043,22.034,22.043,352,0
20121024,22.18,22.359,22.103,22.103,821,0
20121025,22.119,22.119,22.009,22.009,1173,0
20121026,22.128,22.128,21.992,22.018,11966,0
