Date,Open,High,Low,Close,Volume,OpenInt
20140806,24.586,25.316,24.1,24.196,68267,0
20140807,24.391,24.519,24.023,24.12,94015,0
20140808,24.187,24.45,24.158,24.45,82973,0
20140811,24.821,24.821,24.459,24.489,126041,0
20140812,24.538,24.586,24.342,24.41,55273,0
20140813,24.489,24.616,24.479,24.596,36054,0
20140814,24.616,24.656,24.586,24.616,44580,0
20140815,24.734,24.782,24.538,24.646,54606,0
20140818,24.831,24.937,24.821,24.937,78287,0
20140819,25.13,25.13,25.004,25.092,69307,0
20140820,25.219,25.219,25.034,25.16,52891,0
20140821,25.179,25.277,25.121,25.268,191898,0
20140822,25.287,25.356,25.199,25.268,55763,0
20140825,25.609,25.609,25.316,25.336,82635,0
20140826,25.346,25.455,25.336,25.405,70707,0
20140827,25.553,25.553,25.297,25.346,62824,0
20140828,25.297,25.366,25.219,25.326,106387,0
20140829,25.533,25.553,25.287,25.385,41215,0
20140902,25.533,25.543,25.277,25.346,71652,0
20140903,25.493,25.493,25.268,25.297,60875,0
20140904,25.366,25.503,25.219,25.277,54159,0
20140905,25.209,25.297,25.092,25.297,53807,0
20140908,25.297,25.336,25.16,25.287,150249,0
20140909,25.316,25.336,25.082,25.14,133810,0
20140910,25.14,25.199,24.994,25.16,76412,0
20140911,25.111,25.16,24.984,25.14,44690,0
20140912,25.111,25.17,24.956,25.014,47443,0
20140915,25.072,25.072,24.831,24.889,70658,0
20140916,24.801,25.15,24.772,25.102,54663,0
20140917,25.189,25.199,24.965,25.053,49484,0
20140918,25.15,25.229,25.111,25.219,38919,0
20140919,25.316,25.425,25.034,25.13,46508,0
20140922,25.072,25.072,24.704,24.782,138529,0
20140923,24.613,24.887,24.603,24.751,46543,0
20140924,24.769,24.972,24.623,24.972,36186,0
20140925,25.022,25.022,24.496,24.545,66793,0
20140926,24.583,24.858,24.563,24.808,46926,0
20140929,24.643,24.779,24.506,24.769,56871,0
20140930,24.858,24.877,24.593,24.692,94244,0
20141001,24.603,24.613,24.192,24.25,237615,0
20141002,24.222,24.358,23.912,24.289,146494,0
20141003,24.437,24.603,24.358,24.545,112963,0
20141006,24.623,24.623,24.279,24.398,23069,0
20141007,24.25,24.358,24.029,24.039,169240,0
20141008,24.077,24.466,23.842,24.447,88533,0
20141009,24.466,24.466,23.676,23.715,121411,0
20141010,23.51,24.368,23.21,23.21,61475,0
20141013,23.219,23.277,22.702,22.731,31543,0
20141014,22.907,23.012,22.672,22.731,38566,0
20141015,22.459,22.74,21.756,22.721,25361,0
20141016,22.429,22.897,21.785,22.721,48128,0
20141017,22.945,23.14,22.799,22.935,74759,0
20141020,22.817,23.257,22.817,23.229,57996,0
20141021,23.346,23.813,23.346,23.793,22592,0
20141022,23.803,23.951,23.578,23.578,21096,0
20141023,23.676,24.029,23.676,23.932,11908,0
20141024,23.842,23.961,23.783,23.951,3998,0
20141027,23.842,23.961,23.813,23.932,5225,0
20141028,24.029,24.222,23.951,24.202,23360,0
20141029,24.279,24.349,24.106,24.25,12537,0
20141030,24.173,24.486,24.173,24.437,12199,0
20141031,24.751,25.1,24.583,24.751,110344,0
20141103,24.828,24.925,24.769,24.769,27827,0
20141104,24.623,24.701,24.358,24.516,35288,0
20141105,24.76,25.051,24.682,24.779,27571,0
20141106,24.788,24.934,24.741,24.934,20393,0
20141107,24.944,24.972,24.858,24.858,17227,0
20141110,24.925,24.954,24.329,24.867,23459,0
20141111,24.934,24.954,24.808,24.944,12140,0
20141112,24.915,24.982,24.867,24.944,8667,0
20141113,24.896,25.012,24.848,24.963,13895,0
20141114,25.012,25.061,24.954,25.022,15467,0
20141117,25.032,25.032,24.896,24.972,7464,0
20141118,24.963,25.217,24.963,25.168,12280,0
20141119,25.071,25.207,24.963,25.051,9392,0
20141120,24.982,25.177,24.954,25.128,15883,0
20141121,25.354,25.413,25.285,25.324,26878,0
20141124,25.433,25.501,25.403,25.453,25452,0
20141125,25.551,25.598,25.501,25.531,20691,0
20141126,25.541,25.608,25.462,25.521,21326,0
20141128,25.541,25.541,25.295,25.374,17735,0
20141201,25.247,25.374,25.042,25.1,21975,0
20141202,25.042,25.158,25.042,25.119,11890,0
20141203,25.285,25.324,25.148,25.324,29425,0
20141204,25.314,25.423,25.247,25.413,10284,0
20141205,25.462,25.589,25.433,25.531,6673,0
20141208,25.531,25.531,25.177,25.266,23452,0
20141209,25.012,25.227,24.535,25.227,15610,0
20141210,25.08,25.148,24.798,24.818,13055,0
20141211,25.06,25.186,24.962,24.971,20030,0
20141212,24.787,24.943,24.767,24.767,13257,0
20141215,24.787,24.856,24.445,24.543,24800,0
20141216,24.376,24.729,24.162,24.171,32992,0
20141217,24.21,24.796,24.21,24.719,22238,0
20141218,25.147,25.226,24.981,25.226,30962,0
20141219,25.333,25.442,25.294,25.382,14139,0
20141222,25.442,25.442,25.333,25.392,9784,0
20141223,25.613,25.613,25.438,25.477,18440,0
20141224,25.486,25.556,25.457,25.506,9191,0
20141226,25.565,25.593,25.565,25.593,1570,0
20141229,25.486,25.673,25.418,25.623,28013,0
20141230,25.565,25.643,25.546,25.575,6123,0
20141231,25.603,25.701,25.369,25.369,17040,0
20150102,25.526,25.526,25.211,25.329,17746,0
20150105,25.113,25.113,24.724,24.763,18630,0
20150106,24.841,25.231,24.281,24.528,17906,0
20150107,24.565,24.782,24.546,24.704,26729,0
20150108,25.006,25.221,24.967,25.221,9432,0
20150109,25.122,25.379,24.976,24.976,4349,0
20150112,24.929,24.929,24.565,24.635,7253,0
20150113,24.831,25.006,24.311,24.518,15161,0
20150114,24.291,24.37,24.03,24.341,15125,0
20150115,24.419,24.419,24.03,24.03,35434,0
20150116,24.107,24.409,24.011,24.4,8100,0
20150120,24.537,24.655,24.224,24.439,13628,0
20150121,24.565,24.753,24.351,24.694,11772,0
20150122,24.753,25.103,24.684,25.074,9890,0
20150123,25.103,25.113,24.976,24.976,13189,0
20150126,24.889,25.113,24.831,25.065,31748,0
20150127,24.831,24.919,24.684,24.763,23931,0
20150128,24.851,24.851,24.38,24.419,21351,0
20150129,24.488,24.734,24.311,24.734,6841,0
20150130,24.664,24.684,24.478,24.478,14189,0
20150202,24.409,24.585,24.156,24.565,10081,0
20150203,24.772,24.929,24.684,24.929,11522,0
20150204,24.919,25.026,24.87,24.899,20909,0
20150205,25.006,25.036,24.938,25.026,9406,0
20150206,25.074,25.319,24.87,24.889,25114,0
20150209,24.861,24.919,24.782,24.831,31869,0
20150210,24.976,25.172,24.899,25.172,7931,0
20150211,25.152,25.211,25.036,25.172,6871,0
20150212,25.241,25.467,25.241,25.448,15819,0
20150213,25.565,25.663,25.467,25.663,32887,0
20150217,25.76,25.846,25.692,25.807,15751,0
