Date,Open,High,Low,Close,Volume,OpenInt
20140613,46.061,46.061,46.005,46.061,2767,0
20140616,45.821,45.839,45.821,45.839,1084,0
20140617,45.571,45.839,45.571,45.839,1626,0
20140618,45.95,46.54,45.95,46.54,27837,0
20140619,46.466,46.781,46.466,46.614,15971,0
20140620,46.282,46.466,46.282,46.466,2536,0
20140623,46.097,46.365,46.014,46.365,5809,0
20140624,45.968,46.43,45.959,45.977,86513,0
20140625,45.479,45.774,45.479,45.774,7802,0
20140626,45.598,45.616,45.294,45.616,4074,0
20140627,45.553,45.553,45.553,45.553,625,0
20140630,45.831,45.831,45.831,45.831,315,0
20140701,46.061,46.265,46.061,46.265,2155,0
20140702,46.125,46.346,46.116,46.309,4335,0
20140703,46.485,46.522,46.485,46.522,2167,0
20140707,46.151,46.151,45.821,45.977,107476,0
20140708,45.497,45.497,45.359,45.359,5716,0
20140709,45.387,45.387,45.359,45.359,3867,0
20140710,44.667,44.87,44.648,44.834,5200,0
20140711,44.815,44.87,44.815,44.87,994,0
20140714,45.294,45.359,45.267,45.267,1321,0
20140715,45.174,45.285,44.999,44.999,3160,0
20140716,45.71,45.71,45.71,45.71,357,0
20140717,45.137,45.137,44.777,44.777,2592,0
20140718,44.971,45.026,44.971,45.026,1586,0
20140722,45.129,45.174,45.045,45.053,3225,0
20140723,45.321,45.321,45.24,45.24,996,0
20140724,45.378,45.395,45.378,45.395,597,0
20140725,45.026,45.1,45.026,45.091,3189,0
20140728,44.981,44.981,44.85,44.916,2250,0
20140729,45.395,45.395,44.943,44.962,4502,0
20140730,44.546,44.787,44.546,44.787,8274,0
20140731,44.251,44.251,44.057,44.085,6032,0
20140801,43.569,43.846,43.569,43.569,4462,0
20140804,43.605,43.744,43.605,43.744,1628,0
20140805,43.44,43.596,43.236,43.356,7578,0
20140806,42.895,43.246,42.803,43.246,5102,0
20140807,43.171,43.171,42.701,42.738,11440,0
20140808,42.701,42.94,42.701,42.94,9938,0
20140811,43.208,43.356,43.116,43.301,7787,0
20140812,43.079,43.171,43.079,43.171,6614,0
20140813,43.31,43.319,43.273,43.31,2721,0
20140814,43.541,43.651,43.541,43.605,15808,0
20140815,43.735,43.735,43.31,43.513,22278,0
20140818,43.771,43.947,43.699,43.947,2397672,0
20140819,43.846,44.021,43.753,44.021,173670,0
20140820,43.643,43.919,43.623,43.864,269247,0
20140821,43.928,44.15,43.883,44.122,91634,0
20140822,43.864,43.938,43.744,43.762,238467,0
20140825,43.947,44.362,43.947,44.251,131083,0
20140826,44.316,44.482,44.306,44.344,166306,0
20140827,44.446,44.565,44.436,44.473,161601,0
20140828,44.085,44.261,44.047,44.204,96585,0
20140829,44.141,44.261,44.021,44.234,65691,0
20140902,44.168,44.224,44.066,44.214,125987,0
20140903,44.676,44.676,44.436,44.473,95286,0
20140904,44.261,44.538,44.186,44.297,53098,0
20140905,44.214,44.39,44.132,44.39,57517,0
20140908,43.715,43.975,43.68,43.809,110589,0
20140909,43.69,43.79,43.596,43.735,153709,0
20140910,43.605,43.919,43.587,43.909,94020,0
20140911,43.643,43.771,43.587,43.762,46008,0
20140912,43.578,43.79,43.578,43.762,32469,0
20140915,43.613,43.705,43.578,43.623,25784,0
20140916,43.384,43.919,43.384,43.836,40955,0
20140917,43.873,43.938,43.633,43.705,41439,0
20140918,43.919,44.141,43.919,44.066,58010,0
20140919,44.196,44.196,43.744,43.744,76551,0
20140922,43.771,43.826,43.569,43.699,31193,0
20140923,43.282,43.356,43.089,43.181,13765,0
20140924,43.005,43.31,42.895,43.273,55457,0
20140925,42.895,43.099,42.563,42.655,125332,0
20140926,42.701,42.857,42.599,42.81,28237,0
20140929,42.498,42.572,42.249,42.515,79898,0
20140930,42.406,42.636,42.323,42.415,51579,0
20141001,42.147,42.239,41.899,41.934,30581,0
20141002,41.603,41.613,41.224,41.39,25702,0
20141003,41.298,41.344,41.068,41.317,63847,0
