Date,Open,High,Low,Close,Volume,OpenInt
20130424,21.64,21.676,21.64,21.667,1540,0
20130426,21.708,21.708,21.708,21.708,47571,0
20130429,22.051,22.051,22.051,22.051,234,0
20130430,22.478,22.478,22.081,22.081,802,0
20130501,22.009,22.009,22.009,22.009,1164,0
20130502,22.058,22.258,22.058,22.096,8737,0
20130503,22.302,22.353,22.302,22.345,24378,0
20130506,22.258,22.302,22.248,22.292,110375,0
20130507,22.285,22.285,22.164,22.268,42813,0
20130508,22.437,22.446,22.42,22.437,13776,0
20130509,22.378,22.378,22.248,22.248,933,0
20130510,22.208,22.224,22.138,22.224,16191,0
20130513,22.258,22.31,22.156,22.24,22455,0
20130514,22.276,22.31,22.232,22.232,20301,0
20130515,22.217,22.248,22.217,22.248,20166,0
20130516,22.248,22.276,22.232,22.232,12895,0
20130517,22.24,22.24,22.24,22.24,12177,0
20130520,22.388,22.388,22.378,22.378,234,0
20130521,22.481,22.638,22.481,22.517,19127,0
20130522,22.49,22.49,22.335,22.335,4659,0
20130523,21.846,22.18,21.819,22.019,16077,0
20130524,22.345,22.345,21.837,21.897,23954,0
20130528,22.087,22.129,22.087,22.096,11476,0
20130529,21.9,22.253,21.848,22.003,46092,0
20130530,22.036,22.036,22.036,22.036,1632,0
20130531,22.37,22.37,21.677,21.677,2095,0
20130603,22.271,22.271,21.556,21.692,9622,0
20130604,21.718,21.803,21.608,21.608,7304,0
20130605,21.434,21.468,21.298,21.307,74402,0
20130606,21.718,21.718,21.183,21.313,7364,0
20130607,21.523,21.867,21.449,21.53,41784,0
20130610,22.039,22.039,21.409,21.468,36323,0
20130611,21.244,21.298,21.244,21.271,2783,0
20130612,21.349,21.349,21.132,21.132,77783,0
20130613,21.262,21.523,21.262,21.523,14319,0
20130614,21.391,21.458,21.289,21.289,12040,0
20130617,21.598,21.598,21.427,21.427,8899,0
20130618,21.563,21.624,21.563,21.624,810,0
20130619,21.183,21.262,21.183,21.262,3477,0
20130620,20.719,21.322,20.364,20.373,84362,0
20130621,20.357,20.4,20.357,20.4,11582,0
20130624,20.073,20.073,19.933,19.933,9855,0
20130625,20.209,20.323,20.2,20.323,32116,0
