Date,Open,High,Low,Close,Volume,OpenInt
20050225,42.629,43.001,42.554,42.861,35621,0
20050228,43.121,43.217,42.6,42.87,46429,0
20050301,43.092,43.391,42.982,43.391,75630,0
20050302,43.019,43.506,42.832,43.188,22787,0
20050303,43.207,43.207,42.59,42.908,139708,0
20050304,43.101,43.338,42.928,42.991,42898,0
20050307,43.001,43.871,43.001,43.515,49956,0
20050308,43.6,43.804,43.169,43.217,41932,0
20050309,43.217,43.448,43.029,43.13,48888,0
20050310,43.14,43.292,42.701,43.121,28453,0
20050311,43.375,43.375,42.525,42.639,36692,0
20050314,42.795,42.842,42.554,42.748,34979,0
20050315,42.814,42.889,42.308,42.308,25888,0
20050316,42.132,42.534,41.832,41.963,94672,0
20050317,41.898,42.122,41.796,41.879,42256,0
20050318,41.898,41.926,41.487,41.551,50492,0
20050321,41.786,41.907,41.393,41.73,50062,0
20050322,41.832,41.991,41.309,41.366,36799,0
20050323,41.337,41.749,41.319,41.468,28351,0
20050324,41.673,41.926,41.636,41.693,54558,0
20050328,41.786,41.973,41.616,41.616,219728,0
20050329,41.477,41.804,41.177,41.458,169660,0
20050330,41.525,42.037,41.448,41.944,33161,0
20050331,42.028,42.056,41.796,41.879,28351,0
20050401,42.254,42.282,41.487,41.57,49851,0
20050404,41.579,41.766,41.242,41.74,51455,0
20050405,41.74,41.898,41.56,41.636,29952,0
20050406,41.786,42.037,41.551,41.56,28990,0
20050407,41.644,42.245,41.644,42.245,23854,0
20050408,42.113,42.291,41.796,41.796,48781,0
20050411,41.879,41.926,41.543,41.57,29952,0
20050412,41.56,41.851,41.047,41.851,42683,0
20050413,41.644,41.654,41.02,41.131,56484,0
20050414,41.075,41.16,40.467,40.523,112322,0
20050415,39.618,39.832,39.047,39.243,199403,0
20050418,39.253,39.477,39.047,39.262,73171,0
20050419,39.747,39.889,39.439,39.718,49851,0
20050420,40.084,40.224,39.391,39.477,120992,0
20050421,39.869,40.7,39.823,40.504,271930,0
20050422,40.394,40.438,39.804,40.141,145915,0
20050425,40.326,40.655,40.224,40.448,274495,0
20050426,40.281,40.776,40,40,113927,0
20050427,39.776,40.29,39.718,40.131,73813,0
20050428,40,40.141,39.618,39.618,32521,0
20050429,40.048,40.16,39.541,40.104,27170,0
20050502,40.29,40.394,39.971,40.272,81622,0
20050503,40.186,40.646,40.113,40.336,22787,0
20050504,40.43,41.001,40.403,40.831,56054,0
20050505,40.965,41.085,40.646,40.776,29952,0
20050506,41.131,41.16,40.898,40.981,75842,0
20050509,40.927,41.206,40.811,41.206,38295,0
20050510,40.973,40.981,40.523,40.673,56484,0
20050511,40.917,41.038,40.394,41.038,65363,0
20050512,40.945,41.327,40.831,41.056,89431,0
20050513,41.16,41.813,41.15,41.535,112322,0
20050516,41.598,42.056,41.551,41.991,41507,0
20050517,41.832,42.245,41.664,42.178,71672,0
20050518,42.076,43.001,42.076,42.842,156825,0
20050519,42.966,43.207,42.908,43.188,66856,0
20050520,43.14,43.338,42.975,43.319,51241,0
20050523,43.375,43.628,43.274,43.468,72101,0
20050524,43.401,43.766,43.236,43.666,74561,0
20050525,43.562,43.581,43.236,43.581,50598,0
20050526,43.701,44.142,43.701,43.991,58729,0
20050527,43.991,44.04,43.757,44.001,141419,0
20050531,44.03,44.048,43.701,43.757,158642,0
20050601,43.757,44.374,43.757,44.15,247326,0
20050602,44.122,44.384,44.122,44.384,268829,0
20050603,44.347,44.347,43.701,43.889,50385,0
20050606,43.832,43.861,43.525,43.748,56803,0
20050607,43.898,44.235,43.496,43.581,466090,0
20050608,43.693,43.861,43.401,43.6,126870,0
20050609,43.581,43.916,43.328,43.889,39471,0
20050610,43.823,43.823,43.217,43.515,83227,0
20050613,43.542,43.881,43.328,43.638,29418,0
20050614,43.609,43.766,43.292,43.356,27492,0
20050615,43.506,43.693,42.956,43.6,82263,0
20050616,43.439,43.861,43.439,43.804,163457,0
20050617,43.945,44.067,43.693,43.766,31347,0
20050620,43.562,43.916,43.328,43.647,57873,0
20050621,43.795,43.991,43.572,43.935,33482,0
20050622,44.122,44.177,43.871,44.04,47497,0
20050623,44.169,44.552,43.738,43.748,190093,0
20050624,43.656,43.656,43.057,43.083,88255,0
20050627,43.092,43.15,42.59,42.766,55520,0
20050628,42.879,43.301,42.757,43.159,39898,0
20050629,43.301,43.448,43.101,43.246,48458,0
20050630,43.365,43.382,42.776,42.785,68894,0
20050701,43.073,43.073,42.795,42.899,19575,0
20050705,42.571,43.319,42.571,43.092,143131,0
20050706,43.111,43.591,43.111,43.197,22469,0
20050707,42.682,43.338,42.682,43.264,47178,0
20050708,43.328,44.216,43.311,44.216,50279,0
20050711,44.329,44.591,44.235,44.552,71888,0
20050712,44.654,45.067,44.44,44.916,70282,0
20050713,44.954,45.233,44.871,45.18,74561,0
20050714,45.646,45.739,45.337,45.476,218442,0
20050715,45.365,45.628,45.253,45.433,116601,0
20050718,45.476,45.476,45.225,45.337,73599,0
20050719,45.573,46.132,45.327,46.085,136926,0
20050720,45.365,46.065,45.216,45.938,49742,0
20050721,45.891,45.891,45.443,45.451,75312,0
20050722,45.573,45.731,45.225,45.496,39689,0
20050725,45.496,45.665,45.198,45.281,57873,0
20050726,45.506,45.591,45.281,45.524,59371,0
20050727,45.347,45.748,45.208,45.618,40116,0
20050728,45.646,45.777,45.433,45.711,28990,0
20050729,45.665,45.721,45.384,45.496,49531,0
20050801,45.563,45.682,45.414,45.496,41399,0
20050802,45.506,46.159,45.506,46.027,78413,0
20050803,45.842,46.294,45.842,46.178,49635,0
20050804,46.011,46.188,45.711,45.852,43968,0
20050805,45.711,45.871,45.524,45.711,25888,0
20050808,45.665,45.804,45.319,45.355,61938,0
20050809,45.553,45.881,45.515,45.591,138639,0
20050810,45.692,45.9,44.972,45.198,44395,0
20050811,45.076,45.394,45.029,45.104,43538,0
20050812,44.88,44.991,44.637,44.825,57764,0
20050815,44.825,45.29,44.692,45.18,32949,0
20050816,45.02,45.067,44.468,44.711,59908,0
20050817,44.767,45.216,44.767,45.029,42683,0
20050818,44.871,45.029,44.692,44.73,41610,0
20050819,44.916,45.01,44.73,44.73,30703,0
20050822,44.936,45.208,44.627,44.909,368207,0
20050823,44.909,45.038,44.692,44.954,35195,0
20050824,44.72,45.29,44.582,44.683,50492,0
20050825,44.692,44.88,44.646,44.683,24390,0
20050826,44.683,44.757,44.431,44.516,37870,0
20050829,44.516,45.001,43.656,44.964,62150,0
20050830,44.618,44.871,44.468,44.871,38938,0
20050831,44.777,45.216,44.674,45.18,124948,0
20050901,45.001,45.208,44.861,44.964,67929,0
20050902,45.134,45.134,44.88,44.964,25888,0
20050906,45.162,45.524,45.057,45.506,37227,0
20050907,45.375,45.628,45.225,45.476,52632,0
20050908,45.524,45.891,45.515,45.665,72315,0
20050909,45.739,45.9,45.582,45.852,22469,0
20050912,45.842,46.037,45.748,45.9,34339,0
20050913,45.842,46.188,45.721,45.938,48137,0
20050914,45.957,46.003,45.404,45.461,29527,0
20050915,45.543,45.599,45.124,45.281,36159,0
20050916,45.443,45.573,45.233,45.563,42152,0
20050919,45.414,45.515,45.057,45.216,46429,0
20050920,45.461,45.748,44.916,45.047,33588,0
20050921,44.909,44.909,44.402,44.45,83439,0
20050922,44.421,44.692,44.132,44.496,97025,0
20050923,44.357,44.73,44.253,44.654,60015,0
20050926,45.038,45.038,44.44,44.608,55946,0
20050927,44.654,44.654,44.347,44.384,22674,0
20050928,44.468,44.796,44.402,44.637,53380,0
20050929,44.506,45.243,44.402,45.134,47387,0
20050930,45.19,45.534,45.18,45.471,33482,0
20051003,45.599,45.786,45.573,45.618,97668,0
20051004,45.582,45.748,45.038,45.086,31559,0
20051005,45.047,45.047,44.393,44.44,84295,0
20051006,44.45,44.506,43.562,43.935,70282,0
20051007,44.122,44.253,43.945,44.057,32627,0
20051010,44.114,44.114,43.609,43.609,43647,0
20051011,43.693,43.842,43.284,43.382,59908,0
20051012,43.207,43.429,42.966,43.083,97881,0
20051013,43.092,43.468,42.889,43.356,57446,0
20051014,43.487,43.6,43.274,43.552,30272,0
20051017,43.496,43.693,43.365,43.647,94566,0
20051018,43.693,43.832,43.534,43.562,87507,0
20051019,43.188,44.114,43.188,44.114,72527,0
20051020,44.263,44.319,43.647,43.804,70176,0
20051021,44.292,44.44,44.04,44.15,76702,0
20051024,44.301,44.664,44.057,44.646,79805,0
20051025,44.412,44.582,44.076,44.393,45787,0
20051026,44.337,44.777,44.216,44.292,80016,0
20051027,44.197,44.197,43.647,43.647,33482,0
20051028,43.795,44.02,43.411,43.991,46962,0
20051031,44.207,44.89,44.207,44.366,128796,0
20051101,44.431,44.646,44.412,44.562,74561,0
20051102,44.393,45.104,44.393,45.047,47282,0
20051103,45.515,45.731,45.31,45.628,71353,0
20051104,45.682,45.832,45.476,45.795,91037,0
20051107,45.948,46.112,45.692,46.027,99808,0
20051108,45.852,46.141,45.711,45.91,52098,0
20051109,45.814,46.094,45.701,46.011,41610,0
20051110,45.804,46.274,45.628,46.274,107725,0
20051111,46.439,46.562,46.331,46.331,80764,0
20051114,46.458,46.524,46.294,46.477,74027,0
20051115,46.439,46.658,46.208,46.303,94351,0
20051116,46.402,46.505,46.217,46.505,41827,0
20051117,46.62,47.114,46.62,47.114,88788,0
20051118,47.348,47.497,47.032,47.235,230529,0
20051121,47.15,47.292,46.908,47.245,96278,0
20051122,47.14,47.768,47.022,47.582,100878,0
20051123,47.739,48.218,47.739,47.826,82048,0
20051125,48.01,48.096,47.854,48.049,29097,0
20051128,48.133,48.133,47.673,47.798,54986,0
20051129,47.908,48.078,47.553,47.592,93174,0
20051130,47.582,47.854,47.573,47.673,31665,0
20051201,47.982,48.536,47.982,48.413,314074,0
