Date,Open,High,Low,Close,Volume,OpenInt
20050225,58.66,59.337,58.592,59.337,16189,0
20050228,59.429,59.429,58.441,58.944,5782,0
20050301,59.183,59.391,58.926,59.391,10831,0
20050302,58.889,59.858,58.889,59.355,5782,0
20050303,59.602,59.602,58.67,59.241,12611,0
20050304,59.554,59.64,59.449,59.505,9358,0
20050307,59.792,59.972,59.669,59.811,18923,0
20050308,59.669,59.981,59.337,59.337,8830,0
20050309,58.718,59.088,58.554,58.651,16505,0
20050310,58.089,58.517,57.739,58.031,4731,0
20050311,58.022,58.166,57.806,57.87,3993,0
20050314,58.022,58.146,57.796,58.146,2208,0
20050315,58.469,58.564,57.768,57.768,6307,0
20050316,57.566,57.954,57.395,57.415,2417,0
20050317,57.348,57.681,57.31,57.671,8517,0
20050318,57.517,57.517,57.024,57.302,5992,0
20050321,57.263,57.367,56.834,57.292,6729,0
20050322,57.613,57.844,57.004,57.004,12611,0
20050323,56.749,56.967,56.681,56.69,3471,0
20050324,57.128,57.357,57.109,57.157,4626,0
20050328,57.185,57.185,56.834,56.986,5047,0
20050329,56.757,57.014,55.845,56.07,7884,0
20050330,56.358,56.816,56.302,56.767,4418,0
20050331,56.777,56.777,56.653,56.653,2734,0
20050401,56.653,56.663,56.433,56.663,2627,0
20050404,56.519,56.882,56.168,56.863,4731,0
20050405,56.853,56.92,56.786,56.91,3471,0
20050406,57.377,57.576,57.128,57.167,1682,0
20050407,57.024,57.556,57.024,57.433,4201,0
20050408,57.45,57.45,56.872,56.872,840,0
20050411,56.882,56.882,56.501,56.767,946,0
20050412,56.216,57.051,55.92,57.024,13140,0
20050413,56.826,56.826,55.902,55.902,6203,0
20050414,55.806,55.806,55.028,55.084,13665,0
20050415,54.409,54.97,53.75,53.75,9043,0
20050418,53.808,54.284,53.808,54.131,6625,0
20050419,54.817,55.16,54.779,55.16,5047,0
20050420,54.942,55.387,54.483,54.532,8092,0
20050421,55.329,55.976,55.047,55.976,6519,0
20050422,55.503,55.558,54.636,54.855,16926,0
20050425,55.31,55.732,55.253,55.635,11037,0
20050426,55.272,55.627,54.894,54.894,4097,0
20050427,54.188,54.789,53.954,54.627,11566,0
20050428,53.934,53.982,53.115,53.115,1892,0
20050429,53.353,53.676,52.582,53.514,11037,0
20050502,53.905,54.056,53.581,53.885,10619,0
20050503,54.076,54.436,53.838,54.095,10409,0
20050504,54.493,54.693,54.399,54.693,1367,0
20050505,55.234,55.272,54.665,54.865,5573,0
20050506,55.3,55.378,55.038,55.141,4941,0
20050509,55.31,55.683,55.057,55.627,4201,0
20050510,55.197,55.454,55.179,55.179,7358,0
20050511,54.952,55.225,54.409,55.225,8414,0
20050512,55.541,55.541,54.56,54.56,4521,0
20050513,54.665,54.894,54.066,54.455,9883,0
20050516,54.712,55.188,54.58,55.188,3047,0
20050517,54.731,55.16,54.731,55.16,2103,0
20050518,55.93,56.643,55.892,56.567,3889,0
20050519,56.882,57.138,56.872,57.138,1892,0
20050520,56.749,56.929,56.69,56.929,2103,0
20050523,57.1,57.507,57.1,57.395,3578,0
20050524,57.07,57.507,57.07,57.507,2000,0
20050525,57.147,57.147,56.786,57.004,2314,0
20050526,57.302,57.927,57.302,57.927,4418,0
20050527,57.927,58.137,57.632,58.022,7253,0
20050531,58.213,58.213,57.88,58.118,1682,0
20050601,58.622,58.622,57.964,58.413,20290,0
20050602,58.527,58.689,58.431,58.689,4097,0
20050603,58.461,58.517,58.06,58.166,5573,0
20050606,58.128,58.289,57.964,58.289,1786,0
20050607,58.689,59.039,58.261,58.261,6307,0
20050608,58.318,58.318,57.719,57.719,2208,0
20050609,58.488,58.488,58.376,58.469,840,0
20050610,58.395,58.574,58.395,58.422,3889,0
20050613,58.631,58.992,58.631,58.776,4521,0
20050614,58.906,59.049,58.794,59.002,2417,0
20050615,59.26,59.26,58.66,58.66,1892,0
20050616,59.792,60.163,59.727,60.143,4313,0
20050617,60.258,60.466,59.887,60.076,3047,0
20050620,59.896,59.981,59.717,59.981,3361,0
20050621,60.143,60.143,59.717,59.811,7042,0
20050622,60.02,60.02,59.717,59.717,735,0
20050623,59.914,59.914,59.203,59.231,3257,0
20050624,59.193,59.193,58.338,58.507,6625,0
20050627,58.451,58.461,58.051,58.279,4313,0
20050628,58.612,59.497,58.612,59.497,2627,0
20050629,59.564,59.621,59.4,59.478,1155,0
20050630,59.582,59.942,59.564,59.755,15139,0
20050701,59.346,59.429,59.27,59.27,946,0
20050705,59.497,60.325,59.497,60.211,1050,0
20050706,60.629,60.696,60.029,60.029,1577,0
20050707,59.488,60.278,59.308,60.201,2945,0
20050708,60.307,60.941,60.307,60.941,1682,0
20050711,61.639,62.33,61.639,62.293,14194,0
20050712,62.23,62.512,62.027,62.301,4941,0
20050713,61.817,61.951,61.817,61.941,2734,0
20050714,61.998,61.998,61.248,61.486,2417,0
20050715,61.037,61.694,61.037,61.657,840,0
20050718,61.353,61.353,61.143,61.324,946,0
20050719,61.542,61.864,61.505,61.864,3257,0
20050720,61.903,62.78,61.827,62.78,2103,0
20050721,62.301,62.378,61.75,61.75,4836,0
20050722,62.027,62.349,61.759,62.349,5047,0
20050725,62.646,62.875,62.257,62.257,1472,0
20050726,62.482,62.579,62.21,62.359,1892,0
20050727,62.066,62.77,62.017,62.77,1264,0
20050728,62.988,63.455,62.988,63.398,840,0
20050729,63.378,63.616,63.159,63.235,8414,0
20050801,63.748,63.776,63.407,63.702,10619,0
20050802,63.833,64.091,63.786,64.063,3361,0
20050803,63.776,63.805,63.597,63.635,4418,0
20050804,63.303,63.303,62.731,62.809,4626,0
20050805,62.454,62.454,61.836,61.951,1577,0
20050808,62.378,62.378,61.74,61.74,1472,0
20050809,62.105,62.171,61.685,61.874,946,0
20050810,62.301,62.675,61.685,61.807,4731,0
20050811,62.076,62.53,62.027,62.53,1155,0
20050812,62.133,62.133,61.561,61.884,2208,0
20050815,62.22,62.712,61.788,62.521,3889,0
20050816,61.961,61.961,61.456,61.57,5573,0
20050817,61.57,61.675,61.561,61.648,840,0
