Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.131,9.2616,9.0485,9.256,69395,0
20050228,9.0605,9.2741,9.0605,9.2331,112273,0
20050301,9.2331,9.2502,9.1662,9.1844,73485,0
20050302,9.2007,9.2464,9.1844,9.2407,49110,0
20050303,9.2225,9.2331,9.1099,9.2331,60849,0
20050304,8.9649,9.0765,8.9249,9.0765,90213,0
20050307,9.0927,9.1844,9.0927,9.1386,45552,0
20050308,9.1099,9.2063,9.0927,9.1386,48395,0
20050309,9.2178,9.2178,8.9928,9.0485,51952,0
20050310,9.1099,9.1606,8.9928,9.0485,35938,0
20050311,9.088,9.1662,9.0605,9.1662,72062,0
20050314,9.1558,9.1929,9.0272,9.0272,38789,0
20050315,9.0272,9.1052,8.9249,8.9592,46618,0
20050316,8.9592,9.0272,8.8794,8.9816,45723,0
20050317,8.9194,9.0038,8.8184,8.9649,60675,0
20050318,8.9026,8.9519,8.8238,8.8738,42168,0
20050321,8.8581,8.9983,8.8405,8.8646,45372,0
20050322,8.8971,9.0272,8.8469,8.9695,78821,0
20050323,8.9695,8.9695,8.5826,8.6225,92341,0
20050324,8.6833,8.7069,8.3182,8.4985,76506,0
20050328,8.4799,8.4799,8.251,8.3345,127220,0
20050329,8.3473,8.3517,8.251,8.3129,40569,0
20050330,8.2949,8.4516,8.2897,8.4516,46618,0
20050331,8.4799,8.6225,8.4586,8.5206,60316,0
20050401,8.6037,8.9695,8.5826,8.8238,114942,0
20050404,8.7849,8.8794,8.7405,8.8738,20106,0
20050405,8.8184,8.9751,8.755,8.9751,25088,0
20050406,8.9751,8.9871,8.9026,8.9194,32562,0
20050407,8.9092,8.9249,8.8238,8.9026,26869,0
20050408,8.9649,8.9816,8.7677,8.7677,32205,0
20050411,8.7894,8.8348,8.7115,8.8348,21354,0
20050412,8.8075,8.9649,8.7223,8.9026,33627,0
20050413,8.9026,8.9695,8.7794,8.8738,26688,0
20050414,8.8738,8.8738,8.755,8.7948,27402,0
20050415,8.7405,8.8581,8.7167,8.774,56044,0
20050418,8.8405,8.937,8.755,8.9194,42705,0
20050419,8.8915,8.9472,8.7223,8.7604,34878,0
20050420,8.774,8.8794,8.6724,8.6724,24732,0
20050421,8.6037,8.774,8.5826,8.774,62805,0
20050422,8.6679,8.734,8.6289,8.7115,33985,0
20050425,8.734,8.9408,8.7014,8.8794,28822,0
20050426,8.8184,8.8405,8.6833,8.774,42347,0
20050427,8.7115,8.755,8.6289,8.6679,53557,0
20050428,8.6888,8.755,8.676,8.6888,52663,0
20050429,8.6888,8.755,8.6289,8.6679,35229,0
20050502,8.7115,8.8184,8.6679,8.7948,35408,0
20050503,8.755,8.8794,8.676,8.755,35408,0
20050504,8.774,8.8515,8.7167,8.8405,18507,0
20050505,8.8738,8.9026,8.8469,8.8581,31136,0
20050506,8.9092,8.9249,8.8405,8.8915,31136,0
20050509,8.9092,8.9649,8.9092,8.9592,24197,0
20050510,8.9751,8.9751,8.8405,8.9092,30246,0
20050511,8.9092,8.9249,8.8012,8.8738,40569,0
20050512,8.8794,8.9816,8.774,8.8794,35586,0
20050513,8.8469,8.9408,8.7849,8.8405,38789,0
20050516,8.8184,8.8971,8.755,8.8238,32739,0
20050517,8.8581,8.9119,8.8075,8.9119,37719,0
20050518,8.9026,8.9408,8.7894,8.9408,35766,0
20050519,8.9695,9.0363,8.9249,9.0363,35938,0
20050520,9.0485,9.0485,8.8293,8.8794,50357,0
20050523,8.8794,8.9408,8.8405,8.9119,26688,0
20050524,8.8646,8.9092,8.8469,8.8683,42525,0
20050525,8.8794,8.8794,8.8075,8.8405,51421,0
20050526,8.8405,8.9026,8.7849,8.8859,49464,0
20050527,8.9194,9.0038,8.8405,8.9983,35766,0
20050531,8.9592,8.9871,8.8012,8.8238,62987,0
20050601,8.9249,8.9408,8.8738,8.9092,43771,0
20050602,8.9592,9.2063,8.8915,9.1434,79713,0
20050603,9.1434,9.2464,9.1099,9.1662,43417,0
20050606,9.131,9.1558,8.9751,9.0927,64232,0
20050607,9.1558,9.3519,9.1271,9.2007,48575,0
20050608,9.2502,9.2846,9.1271,9.1662,24378,0
20050609,9.172,9.2798,9.0765,9.2798,29180,0
20050610,9.2616,9.2741,9.2007,9.2684,15479,0
20050613,9.2684,9.2846,9.2007,9.2798,46789,0
20050614,9.2464,9.3411,9.2407,9.3186,39143,0
20050615,9.3186,9.3225,9.1099,9.1099,41636,0
20050616,9.2331,9.302,9.172,9.2952,41276,0
20050617,9.1929,9.2063,9.0485,9.15,36473,0
20050620,9.1099,9.1099,8.7014,8.8859,248209,0
20050621,8.8738,8.9408,8.8469,8.9026,63698,0
20050622,8.9249,8.9592,8.9119,8.937,35766,0
20050623,8.9519,8.9592,8.8794,8.9026,39143,0
20050624,8.9408,8.9408,8.774,8.8581,57114,0
20050627,8.8581,8.8738,8.7948,8.8075,62805,0
20050628,8.8515,8.8794,8.7794,8.8738,67260,0
20050629,8.9649,8.9649,8.8683,8.9092,22237,0
