Date,Open,High,Low,Close,Volume,OpenInt
20131002,21.021,21.021,21.021,21.021,121,0
20131003,20.6,20.6,20.6,20.6,486,0
20131004,20.6,20.6,20.6,20.6,5087,0
20131007,20.6,20.6,20.6,20.6,2791,0
20131008,20.6,20.6,20.6,20.6,1090,0
20131009,20.6,20.6,20.6,20.6,4687,0
20131010,20.542,20.542,20.534,20.534,1090,0
20131014,20.6,20.6,20.6,20.6,243,0
20131015,20.6,20.6,20.6,20.6,1333,0
20131016,20.6,20.6,20.6,20.6,362,0
20131018,21.012,21.012,20.996,20.996,454,0
20131021,21.426,21.426,21.426,21.426,731,0
20131022,21.426,21.426,21.426,21.426,486,0
20131023,21.319,21.319,21.319,21.319,243,0
20131024,21.426,21.426,21.392,21.392,243,0
20131025,21.392,21.426,21.382,21.382,3153,0
20131028,21.171,21.171,21.161,21.171,362,0
20131029,21.276,21.276,21.268,21.268,486,0
20131030,21.326,21.326,21.319,21.319,486,0
20131031,21.143,21.31,21.143,21.301,2998,0
20131101,21.236,21.245,21.219,21.219,362,0
20131104,21.121,21.326,21.121,21.326,243,0
20131105,21.245,21.276,21.245,21.26,607,0
20131106,21.276,21.326,21.276,21.319,731,0
20131107,21.245,21.245,21.161,21.161,731,0
20131108,21.012,21.112,21.012,21.103,7524,0
20131111,21.064,21.064,21.012,21.012,2791,0
20131112,20.971,20.981,20.971,20.971,3641,0
20131113,20.905,20.905,20.89,20.89,2429,0
20131114,21.171,21.171,21.103,21.103,8822,0
20131115,21.35,21.359,21.333,21.333,4611,0
20131118,21.392,21.392,21.276,21.276,2306,0
20131119,21.151,21.151,21.038,21.038,3153,0
20131120,21.136,21.136,21.021,21.038,15898,0
20131121,21.21,21.392,21.21,21.342,970,0
20131122,21.54,21.557,21.507,21.507,5462,0
20131125,21.524,21.567,21.524,21.557,5219,0
20131126,21.574,21.574,21.524,21.524,20069,0
20131127,21.54,21.599,21.515,21.515,17517,0
20131202,21.466,21.483,21.342,21.342,14198,0
20131203,21.103,21.161,21.103,21.161,8067,0
20131204,21.054,21.054,20.89,20.89,7311,0
20131205,20.756,20.782,20.707,20.734,6427,0
20131206,20.971,20.971,20.701,20.782,3945,0
20131209,20.683,20.765,20.634,20.644,17472,0
20131210,20.666,20.666,20.577,20.634,12813,0
20131211,20.551,20.551,20.462,20.486,6206,0
20131212,20.462,20.534,20.462,20.518,17354,0
20131213,20.65,20.65,20.625,20.644,2183,0
20131216,20.765,20.765,20.725,20.75,4245,0
20131217,20.634,20.634,20.634,20.634,626,0
20131218,20.421,20.625,20.412,20.6,4326,0
20131219,20.511,20.666,20.503,20.666,11884,0
20131220,20.716,20.971,20.716,20.971,3571,0
20131223,21.284,21.376,21.284,21.368,1942,0
20131224,21.491,21.491,21.458,21.458,3761,0
20131226,21.548,21.557,21.515,21.515,1294,0
20131227,21.548,21.599,21.548,21.58,362,0
20131230,21.749,21.749,21.725,21.725,240,0
20131231,21.793,21.841,21.793,21.841,1374,0
20140102,21.568,21.599,21.568,21.599,839,0
20140103,21.549,21.608,21.5,21.608,5672,0
20140106,21.623,21.665,21.568,21.59,41862,0
20140107,21.507,21.599,21.491,21.558,74393,0
20140108,21.399,21.475,21.399,21.475,24829,0
20140109,21.408,21.475,21.408,21.448,91795,0
20140110,21.491,21.491,21.43,21.43,1406,0
20140113,21.399,21.5,21.34,21.408,65814,0
20140114,21.425,21.524,21.39,21.491,10156,0
20140115,21.515,21.515,21.439,21.466,9298,0
20140116,21.457,21.549,21.457,21.549,10630,0
20140117,21.549,21.549,21.466,21.466,7168,0
20140121,21.656,21.731,21.656,21.725,12368,0
20140122,21.866,21.908,21.866,21.908,4019,0
20140123,21.889,21.974,21.889,21.974,3706,0
20140124,21.783,21.783,21.765,21.783,4819,0
20140127,21.815,21.815,21.524,21.651,6559,0
20140128,21.815,21.859,21.773,21.783,7731,0
20140129,21.807,21.807,21.709,21.731,7252,0
20140130,21.924,21.924,21.807,21.841,9705,0
20140131,21.793,21.974,21.793,21.974,9436,0
20140203,22.092,22.092,21.783,21.8,4319,0
20140204,21.717,21.749,21.651,21.682,9275,0
20140205,21.581,21.759,21.549,21.739,4048,0
20140206,21.924,21.942,21.924,21.942,2638,0
20140207,22.033,22.157,22.024,22.157,2879,0
20140210,22.092,22.115,22.033,22.083,16723,0
20140211,22.092,22.282,22.057,22.258,76277,0
20140212,22.25,22.34,22.174,22.34,10664,0
20140213,22.598,22.625,22.518,22.518,10480,0
20140214,22.518,22.518,22.498,22.508,4528,0
20140218,22.567,22.583,22.465,22.465,9650,0
20140219,22.434,22.492,22.273,22.273,10441,0
20140220,22.15,22.15,22.041,22.041,3668,0
20140221,22.15,22.15,22.049,22.049,8397,0
20140224,21.965,22.075,21.965,22.057,11619,0
20140225,22.016,22.016,21.965,21.974,5546,0
20140226,21.974,22.224,21.974,22.224,4316,0
20140227,22.224,22.224,22.092,22.107,48254,0
20140228,22.033,22.041,22.016,22.041,1741,0
20140303,22.041,22.041,22.033,22.033,1363,0
20140304,22.192,22.224,22.164,22.2,13556,0
20140305,22.15,22.266,22.107,22.215,7952,0
20140306,22.15,22.183,22.142,22.164,1782,0
20140307,22.083,22.107,22.075,22.107,411,0
20140310,22.024,22.125,22.024,22.065,19037,0
20140311,22.041,22.115,22.041,22.083,3766,0
20140312,22.057,22.083,21.899,22.083,12462,0
20140313,22.092,22.092,21.965,22.016,21868,0
20140314,22.132,22.183,22.115,22.115,7798,0
20140317,22.241,22.326,22.241,22.307,5729,0
20140318,22.407,22.492,22.334,22.458,6039,0
20140319,22.575,22.575,22.174,22.206,8497,0
20140320,22.2,22.273,22.107,22.273,1785,0
20140321,22.183,22.273,22.183,22.215,3789,0
20140324,22.083,22.083,21.999,22.041,5434,0
20140325,22.164,22.183,22.057,22.057,4665,0
20140326,22.107,22.15,22.083,22.1,4918,0
20140327,22.15,22.157,22.099,22.157,9872,0
20140328,22.233,22.35,22.233,22.342,5939,0
20140331,22.461,22.513,22.461,22.513,3669,0
20140401,22.571,22.967,22.571,22.86,6814,0
20140402,22.89,22.91,22.867,22.867,2260,0
20140403,22.928,23.01,22.928,22.977,1777,0
20140404,22.986,22.986,22.986,22.986,383,0
20140407,22.824,22.935,22.698,22.698,11174,0
20140408,22.841,22.841,22.758,22.799,6806,0
20140409,22.783,22.875,22.74,22.851,2830,0
20140411,22.808,22.884,22.799,22.816,10862,0
20140414,22.918,22.942,22.91,22.918,9739,0
20140415,22.9,22.935,22.9,22.935,1074,0
20140416,22.986,23.01,22.986,23.01,1144,0
20140417,23.104,23.247,23.095,23.214,5357,0
20140421,23.307,23.347,23.231,23.347,9698,0
20140422,23.483,23.5,23.46,23.5,3227,0
20140423,23.323,23.338,23.316,23.33,1758,0
20140424,23.28,23.29,23.186,23.186,3051,0
20140425,23.054,23.054,23.01,23.01,1164,0
20140428,23.178,23.224,23.104,23.214,4181,0
20140429,23.347,23.424,23.347,23.424,3028,0
20140430,23.45,23.46,23.307,23.33,8058,0
20140501,23.527,23.55,23.491,23.491,16361,0
20140502,23.576,23.643,23.5,23.643,45150,0
20140505,23.695,23.788,23.695,23.78,5819,0
20140506,23.813,23.813,23.643,23.72,5584,0
20140507,23.822,23.948,23.788,23.948,6369,0
20140508,23.712,23.762,23.669,23.736,12035,0
20140509,23.611,23.611,23.586,23.586,1741,0
20140512,23.772,23.772,23.686,23.72,5219,0
20140513,23.643,23.813,23.576,23.576,6305,0
20140514,23.653,23.745,23.653,23.712,4510,0
20140515,23.643,23.728,23.611,23.704,5630,0
20140516,23.83,23.83,23.754,23.754,1853,0
20140519,23.745,23.754,23.663,23.663,3309,0
20140520,23.736,23.78,23.678,23.78,50753,0
20140521,23.848,23.856,23.795,23.822,3125,0
20140522,23.94,24.032,23.931,24.007,19878,0
20140523,24.093,24.093,24.007,24.032,8821,0
20140527,24.084,24.084,23.931,23.972,12287,0
20140528,24.05,24.05,24.024,24.032,7012,0
20140529,24.124,24.124,23.965,24.016,10121,0
20140530,24.032,24.169,23.972,24.16,15271,0
20140602,24.218,24.218,24.21,24.218,355,0
20140603,24,24.253,24,24.176,5449,0
20140604,24.26,24.397,24.26,24.381,2589,0
20140605,24.397,24.497,24.361,24.448,10703,0
20140606,24.523,24.59,24.514,24.59,4393,0
20140609,24.685,24.685,24.685,24.685,553,0
20140610,24.617,24.726,24.617,24.692,11365,0
20140611,24.608,24.608,24.556,24.556,13811,0
20140612,24.556,24.581,24.448,24.448,4960,0
20140613,24.429,24.532,24.381,24.532,15799,0
20140616,24.751,24.828,24.676,24.828,3280,0
20140617,24.8,24.81,24.734,24.734,5543,0
20140618,24.708,24.92,24.42,24.497,66708,0
20140619,24.556,24.741,24.523,24.708,9197,0
20140620,24.639,24.792,24.639,24.692,12767,0
20140623,24.988,25.071,24.988,25.057,5481,0
20140624,25.063,25.199,25.048,25.048,5434,0
20140625,25.097,25.299,25.097,25.267,11969,0
20140626,25.334,25.394,25.216,25.24,14620,0
20140627,25.314,25.424,25.289,25.399,3382,0
20140630,25.357,25.484,25.357,25.484,1999,0
20140701,25.621,26.474,25.57,25.63,10150,0
20140702,25.723,25.723,25.381,25.466,5972,0
20140703,25.227,25.28,25.227,25.263,8386,0
20140707,25.433,25.433,25.15,25.169,17668,0
20140708,24.912,24.912,24.792,24.851,10134,0
20140709,24.896,25.051,24.818,25.041,5009,0
20140710,24.886,24.955,24.861,24.928,3762,0
20140711,24.974,25.073,24.912,25.073,4138,0
20140714,25.203,25.203,25.073,25.073,5351,0
20140715,25.041,25.1,24.981,25.1,17236,0
20140716,25.141,25.357,25.141,25.289,8328,0
20140717,25.296,25.399,25.28,25.371,4475,0
20140718,25.475,25.484,25.475,25.484,715,0
20140721,25.391,25.503,25.391,25.503,2115,0
20140722,25.706,25.706,25.578,25.648,5199,0
20140723,25.844,25.844,25.706,25.748,24711,0
20140724,25.723,25.836,25.587,25.603,5618,0
20140725,25.544,25.57,25.526,25.553,8030,0
20140728,25.409,25.493,25.371,25.493,5592,0
20140729,25.484,25.484,24.981,25.391,11511,0
20140730,25.46,25.503,24.981,25.09,14434,0
20140731,24.767,24.767,24.561,24.605,28660,0
20140801,24.406,24.546,24.331,24.406,43840,0
20140804,24.468,24.921,24.468,24.921,15480,0
20140805,24.851,25.014,24.375,24.415,7336,0
20140806,24.346,24.501,24.315,24.384,10031,0
20140807,24.529,24.529,24.262,24.415,26199,0
20140808,24.459,24.511,24.262,24.501,13848,0
20140811,25.544,25.544,25.321,25.424,5070,0
20140812,25.399,25.409,25.219,25.296,125769,0
20140813,25.364,25.621,25.289,25.621,1804,0
20140814,25.603,25.748,25.603,25.723,12363,0
20140815,25.852,25.963,25.783,25.963,9733,0
20140818,26.005,26.005,25.903,25.98,4202,0
