Date,Open,High,Low,Close,Volume,OpenInt
20110502,51.04,51.04,50.95,50.95,1000,0
20110503,50.36,50.55,49.66,49.82,13599,0
20110504,49.14,49.22,48.83,48.89,9200,0
20110505,47.52,47.52,44.24,44.42,31204,0
20110506,45.67,45.74,43.77,44.07,16751,0
20110509,48.52,48.52,44.71,46.22,12680,0
20110510,46.12,46.78,46.12,46.7,4145,0
20110511,45.39,45.39,44.62,44.8,3800,0
20110512,43.37,45.15,43.36,44.51,22840,0
20110513,44.53,44.85,44.12,44.15,2400,0
20110517,43.52,43.69,42.93,43.69,3300,0
20110518,44.47,45.25,44.47,45.04,2781,0
20110519,44.97,44.97,44.97,44.97,600,0
20110520,43.64,44.87,43.64,44.85,1800,0
20110523,43.49,43.72,43.27,43.68,1500,0
20110524,44.63,44.68,44.05,44.68,2378,0
20110526,44.85,45.16,44.85,45.06,900,0
20110527,45.12,45.12,45.12,45.12,510,0
20110531,46.11,46.11,46.11,46.11,1000,0
20110601,46.11,46.11,46.07,46.07,690,0
20110603,44.37,44.87,44.35,44.87,500,0
20110606,44.58,44.58,44.49,44.49,300,0
20110607,44.16,44.39,44.16,44.3,525,0
20110608,45.4,45.4,45.4,45.4,300,0
20110609,45.81,45.81,45.61,45.61,300,0
20110613,43.54,43.67,43.52,43.66,1300,0
20110614,44.01,44.45,44.01,44.45,1800,0
20110615,42.98,42.98,42.98,42.98,200,0
20110616,42.42,42.65,42.42,42.52,2000,0
20110617,41.45,41.45,41.24,41.24,300,0
20110621,41.95,41.95,41.92,41.92,282,0
20110622,42.32,42.56,42.3,42.55,1850,0
20110627,40.74,40.74,40.4,40.4,330,0
20110628,41.58,41.58,41.58,41.58,100,0
20110630,42.43,42.43,42.43,42.43,140,0
20110701,42.59,42.65,42.59,42.63,1760,0
20110705,43.49,43.49,43.49,43.49,200,0
20110706,43.26,43.26,43.26,43.26,200,0
20110707,43.89,44.21,43.83,43.88,2051,0
20110714,43.4,43.51,42.63,42.63,6100,0
20110715,43.21,43.21,43.2,43.2,555,0
20110719,43.45,43.78,43.45,43.46,1500,0
20110720,43.74,43.74,43.3,43.3,1350,0
20110725,43.7,43.9,43.7,43.9,285,0
20110726,43.92,44.4,43.92,44.37,1270,0
20110801,42.92,43.62,42.92,42.92,3300,0
20110802,41.51,41.51,41.48,41.48,800,0
20110803,41.08,41.17,40.67,40.78,5000,0
20110804,39.44,39.6,39.2,39.2,2798,0
20110805,38.86,38.86,38.86,38.86,600,0
20110808,37.03,37.03,37.03,37.03,400,0
20110809,35.86,35.86,35.86,35.86,300,0
20110810,35.58,36.55,35.58,36.54,6000,0
20110811,37.27,37.81,37.27,37.81,1300,0
20110815,38.4,38.85,38.39,38.81,2711,0
20110816,38.32,38.63,38.21,38.38,3258,0
20110817,39.05,39.05,39.05,39.05,100,0
20110818,36.72,37.04,36.69,36.69,1345,0
20110819,36.51,36.74,36.4,36.4,300,0
20110822,36.77,36.79,36.18,36.79,4390,0
20110823,37.31,37.95,37.27,37.53,3000,0
20110824,37.76,37.91,37.76,37.91,785,0
20110826,37.56,37.58,37.4,37.57,3415,0
20110829,38.36,38.36,38.34,38.34,559,0
20110831,39.04,39.11,39.03,39.11,500,0
20110901,39.19,39.19,39.19,39.19,200,0
20110902,37.7,38.24,37.7,38.11,300,0
20110907,39.08,39.08,39.05,39.05,6000,0
20110908,39.23,39.23,38.85,38.9,2500,0
20110912,38.51,38.57,38.51,38.51,1115,0
20110916,38.41,38.41,38.41,38.41,100,0
20110921,37.9,38.4,37.81,37.97,7900,0
20110922,35.71,35.91,35.71,35.71,3500,0
20110928,36.41,36.41,35.42,35.57,13365,0
20110929,36.31,36.31,36.05,36.05,600,0
20111004,33.34,33.59,33.34,33.59,1100,0
20111012,37.32,37.56,37.29,37.56,1400,0
20111018,38.58,38.58,38.58,38.58,200,0
20111019,38.82,38.82,37.55,37.55,1200,0
20111020,36.95,36.95,36.82,36.95,800,0
20111024,39.35,39.48,39.35,39.48,600,0
20111025,40.25,40.63,40.25,40.43,5000,0
20111026,39.92,40.01,39.77,39.77,1651,0
20111027,40.35,40.42,40.19,40.42,1500,0
20111031,40.29,40.29,40.29,40.29,100,0
20111103,40.27,40.27,40.27,40.27,100,0
20111104,40.35,40.35,40.32,40.32,400,0
20111108,41.58,41.95,41.58,41.95,3800,0
20111109,41.43,41.62,41.19,41.53,2000,0
20111110,42.51,42.51,42.51,42.51,600,0
20111116,44.21,44.21,44.21,44.21,545,0
20111117,42.78,42.8,42.78,42.8,959,0
20111118,42.18,42.18,42.18,42.18,200,0
20111125,41.79,41.79,41.79,41.79,690,0
20111201,43.64,43.65,43.11,43.63,8596,0
20111202,43.59,43.95,43.59,43.95,4247,0
20111208,43.41,43.41,42.83,42.83,2073,0
20111212,42.69,42.83,42.69,42.83,2189,0
20111213,43.94,43.94,43.49,43.49,385,0
20111215,41.72,41.72,40.97,40.97,741,0
20111219,41.05,41.05,41.04,41.04,600,0
20111220,42.36,42.37,42.36,42.37,200,0
20111221,42.68,42.68,42.54,42.54,200,0
20111223,43.44,43.55,43.44,43.44,200,0
20111227,43.97,43.97,43.97,43.97,100,0
20120104,44.85,44.85,44.85,44.85,245,0
20120112,44.77,44.77,44.77,44.77,491,0
20120117,44.07,44.07,44.07,44.07,140,0
20120118,44.3,44.3,44.3,44.3,570,0
20120119,44.16,44.25,44.16,44.25,631,0
20120120,43.22,43.22,43.22,43.22,820,0
20120123,43.61,43.61,43.52,43.57,2414,0
20120124,43.26,43.26,43.26,43.26,100,0
20120125,43.09,43.26,43.09,43.09,880,0
20120127,43.69,43.69,43.5,43.5,1704,0
20120130,43.5,43.5,43.5,43.5,150,0
20120203,42.51,42.51,42.51,42.51,1318,0
20120206,42.75,42.75,42.75,42.75,300,0
20120209,43.96,43.96,43.96,43.96,209,0
20120222,46.35,46.44,46.35,46.38,600,0
20120223,47.05,47.05,46.24,47.05,1282,0
20120224,47.91,47.94,47.91,47.94,800,0
20120227,47.45,47.57,47.45,47.45,200,0
20120228,47.32,47.32,47.32,47.32,168,0
20120229,46.56,46.56,46.56,46.56,500,0
20120301,47.07,48.01,47.04,47.7,438269,0
20120302,47.08,47.08,46.3,46.63,45220,0
20120305,46.64,46.78,46.61,46.61,13651,0
20120306,45.86,46.06,45.82,45.89,5400,0
20120307,46.41,46.41,46.41,46.41,100,0
20120308,46.6,46.6,46.6,46.6,250,0
20120309,46.85,47.16,46.85,47.15,1805,0
20120312,46.43,46.43,46.43,46.43,2200,0
20120313,46.73,46.92,46.67,46.67,2880,0
20120314,46.53,46.53,46.17,46.23,1185,0
20120316,46.27,46.27,46.27,46.27,100,0
20120319,47.13,47.13,47.13,47.13,800,0
20120320,46.27,46.27,46.27,46.27,100,0
20120321,46.27,46.48,46.27,46.48,1164,0
20120323,46.6,46.6,46.6,46.6,300,0
20120327,46.78,46.78,46.78,46.78,200,0
20120329,45.13,45.13,45.13,45.13,105,0
20120330,45.06,45.13,45.06,45.1,705,0
20120402,44.6,46.02,44.6,46.02,971,0
20120403,45.74,45.74,45.61,45.61,550,0
20120404,44.73,44.73,44.68,44.68,18908,0
20120405,44.62,44.87,44.62,44.87,885,0
20120409,44.87,44.87,44.87,44.87,225,0
20120410,44.71,44.79,44.14,44.25,14769,0
20120411,44.38,44.85,44.38,44.85,500,0
20120412,45.25,45.25,45.22,45.24,1950,0
20120413,44.89,44.89,44.82,44.83,1195,0
20120416,44.95,44.95,44.49,44.92,1580,0
20120417,45.57,45.57,45.28,45.28,2485,0
20120418,45.2,45.2,45.18,45.18,606,0
20120419,44.79,44.79,44.65,44.68,890,0
20120420,45.16,45.16,45.06,45.07,1813,0
20120423,44.33,44.74,44.24,44.73,3777,0
20120424,45.1,45.1,44.95,44.95,384,0
20120425,45.04,45.04,44.81,44.81,1542,0
20120426,45.31,45.31,45.22,45.22,755,0
20120427,45.24,45.36,45.21,45.34,1817,0
20120430,45.14,45.39,45.12,45.35,1433,0
20120501,45.96,45.96,45.96,45.96,200,0
20120502,45.68,45.68,45.66,45.66,444,0
20120503,44.91,45.2,44.91,44.91,300,0
20120507,42.23,42.4,42.07,42.4,683,0
20120509,41.92,41.92,41.92,41.92,100,0
20120511,41.99,41.99,41.47,41.47,3728,0
20120514,40.84,40.86,40.83,40.83,1065,0
20120515,41.14,41.14,41.01,41.01,895,0
20120517,40.39,40.39,40.05,40.05,955,0
20120518,40.06,40.06,39.89,39.93,600,0
20120522,39.96,39.96,39.79,39.79,804,0
20120523,39.26,39.26,38.83,39.15,1664,0
20120525,39.43,39.43,39.43,39.43,383,0
20120530,37.91,37.91,37.91,37.91,431,0
20120531,37.79,37.79,37.47,37.47,535,0
20120604,36.15,36.2,36.15,36.2,600,0
20120605,36.36,36.43,36.28,36.42,3301,0
20120606,36.86,37.21,36.82,36.91,2613,0
20120607,37.24,37.24,36.91,36.94,2546,0
20120608,36.08,36.08,36.03,36.05,1519,0
20120611,36.6,36.6,36.28,36.28,595,0
20120612,36.22,36.22,36.19,36.19,990,0
20120613,36.38,36.38,35.86,35.86,421,0
20120614,35.83,36.55,35.83,36.55,2870,0
20120615,36.32,36.54,36.32,36.53,2050,0
20120618,36.11,36.11,36.11,36.11,451,0
20120619,36.57,36.57,36.57,36.57,216,0
20120621,34.76,34.83,34.24,34.24,3685,0
20120622,34.45,34.79,34.27,34.77,8968,0
20120625,34.18,34.54,34.06,34.54,3936,0
20120626,34.25,34.58,34.17,34.56,4260,0
20120627,34.88,35.03,34.88,35.03,725,0
20120628,33.99,34.26,33.87,34.24,3700,0
20120629,35.74,36.96,35.56,36.85,9015,0
20120702,36.31,36.39,36,36.39,640,0
20120703,37.93,38.19,37.75,38,2430,0
20120705,37.84,38.79,37.75,37.81,1376,0
20120709,36.66,37.55,36.66,37.26,4620,0
20120710,37.11,37.11,37.07,37.07,390,0
20120711,37.38,37.53,37.38,37.53,360,0
20120713,37.57,37.93,37.55,37.9,840,0
20120716,37.91,38.38,37.91,38.33,2400,0
20120717,38.57,38.62,38.57,38.58,1910,0
20120718,38.66,38.86,38.66,38.81,490,0
20120719,39.4,39.98,39.4,39.91,1300,0
20120720,39.3,39.43,39.3,39.43,550,0
20120724,38.08,38.15,37.95,38.11,1468,0
20120725,38.03,38.38,37.48,38.38,2075,0
20120726,38.82,38.84,38.82,38.83,1755,0
20120727,38.67,38.93,38.63,38.92,3266,0
20120730,38.85,38.91,38.61,38.61,2910,0
20120731,37.72,37.72,37.72,37.72,764,0
20120801,38.49,38.49,38.44,38.44,300,0
20120802,37.58,37.67,37.56,37.64,1345,0
20120803,38.65,39.35,38.64,39.27,6941,0
20120806,39.56,39.66,39.52,39.66,700,0
