Date,Open,High,Low,Close,Volume,OpenInt
20050915,12.905,12.905,12.853,12.869,41857,0
20050916,12.958,13.002,12.923,13.002,21101,0
20050919,12.966,12.966,12.896,12.896,11877,0
20050920,12.941,12.966,12.81,12.836,14297,0
20050921,12.794,12.794,12.689,12.689,20292,0
20050922,12.665,12.766,12.665,12.766,194278,0
20050923,12.766,12.794,12.74,12.766,8416,0
20050926,12.853,12.853,12.74,12.74,7952,0
20050927,12.775,12.81,12.722,12.81,9339,0
20050928,12.836,12.836,12.722,12.766,13488,0
20050929,12.695,12.869,12.689,12.869,21559,0
20050930,12.887,12.887,12.827,12.853,12452,0
20051003,12.896,12.896,12.803,12.836,41506,0
20051004,12.861,12.861,12.74,12.74,15567,0
20051005,12.689,12.705,12.629,12.629,14990,0
20051006,12.638,12.657,12.499,12.499,14644,0
20051007,12.638,12.638,12.568,12.584,21906,0
20051010,12.61,12.61,12.54,12.54,23408,0
20051011,12.489,12.577,12.489,12.54,33553,0
20051012,12.489,12.559,12.437,12.499,35513,0
20051013,12.517,12.525,12.437,12.508,29056,0
20051014,12.559,12.584,12.499,12.559,19831,0
20051017,12.619,12.619,12.568,12.568,4958,0
20051018,12.577,12.593,12.517,12.517,15797,0
20051019,12.464,12.672,12.464,12.672,14065,0
20051020,12.665,12.672,12.499,12.517,15451,0
20051021,12.54,12.54,12.473,12.499,3344,0
20051024,12.568,12.629,12.55,12.629,13952,0
20051025,12.638,12.665,12.559,12.584,7609,0
20051026,12.559,12.657,12.559,12.638,9801,0
20051027,12.619,12.619,12.499,12.499,30208,0
20051028,12.568,12.672,12.55,12.672,10260,0
20051031,12.775,12.784,12.74,12.749,16024,0
20051101,12.705,12.714,12.705,12.714,5994,0
20051102,12.714,12.803,12.714,12.803,17985,0
20051103,12.861,12.869,12.784,12.784,18911,0
20051104,12.869,12.869,12.784,12.845,14755,0
20051107,12.905,12.905,12.845,12.878,20984,0
20051108,12.878,12.878,12.81,12.845,22944,0
20051109,12.869,12.932,12.818,12.869,28710,0
20051110,12.896,13.044,12.853,13.044,26056,0
20051111,13.061,13.061,13.017,13.044,15105,0
20051114,13.089,13.089,13.008,13.017,8302,0
20051115,13.036,13.053,12.958,12.992,14184,0
20051116,13.036,13.036,12.923,12.951,13837,0
20051117,13.008,13.044,12.958,13.036,53961,0
20051118,13.157,13.157,13.061,13.061,13952,0
20051121,13.113,13.218,13.113,13.218,5304,0
20051122,13.202,13.244,13.157,13.244,8302,0
20051123,13.235,13.341,13.218,13.305,14755,0
20051125,13.332,13.332,13.323,13.323,691,0
20051128,13.323,13.323,13.227,13.235,14644,0
20051129,13.277,13.277,13.227,13.227,10032,0
20051130,13.269,13.269,13.131,13.131,11183,0
20051201,13.166,13.244,13.166,13.244,8528,0
20051202,13.253,13.253,13.202,13.209,12106,0
20051205,13.193,13.202,13.14,13.157,9801,0
20051206,13.253,13.286,13.193,13.193,13374,0
20051207,13.218,13.218,13.044,13.095,13488,0
20051208,13.08,13.166,13.053,13.07,10489,0
20051209,13.166,13.166,13.104,13.131,28018,0
20051212,13.183,13.183,13.08,13.113,17176,0
20051213,13.183,13.313,13.157,13.269,23753,0
20051214,13.332,13.39,13.305,13.357,8995,0
20051215,13.383,13.383,13.296,13.305,33090,0
20051216,13.351,13.398,13.227,13.244,84166,0
20051219,13.305,13.313,13.218,13.227,22136,0
20051220,13.202,13.227,13.175,13.183,10032,0
20051221,13.175,13.277,13.175,13.202,8302,0
20051222,13.261,13.261,13.193,13.227,14528,0
20051223,13.269,13.269,13.235,13.269,7493,0
20051227,13.341,13.341,13.157,13.157,3229,0
20051228,13.193,13.193,13.14,13.166,8302,0
20051229,13.183,13.193,13.122,13.122,7264,0
20051230,13.122,13.122,13.027,13.044,6804,0
20060103,13.14,13.235,13.044,13.209,12338,0
20060104,13.269,13.269,13.235,13.269,9801,0
20060105,13.277,13.296,13.227,13.244,7493,0
20060106,13.341,13.357,13.277,13.341,5533,0
20060109,13.383,13.39,13.357,13.366,4031,0
20060110,13.39,13.39,13.323,13.351,13603,0
20060111,13.416,13.435,13.357,13.426,14297,0
20060112,13.39,13.39,13.341,13.341,6340,0
20060113,13.366,13.366,13.286,13.366,33783,0
20060117,13.366,13.366,13.244,13.296,8649,0
20060118,13.323,13.323,13.227,13.269,17295,0
20060119,13.357,13.357,13.269,13.305,34935,0
20060120,13.305,13.305,13.08,13.095,23753,0
20060123,13.113,13.14,13.061,13.061,15217,0
20060124,13.149,13.149,13.089,13.113,13952,0
20060125,13.244,13.244,13.053,13.095,22371,0
20060126,13.218,13.227,13.166,13.209,23863,0
20060127,13.244,13.296,13.193,13.269,5072,0
20060130,13.341,13.341,13.253,13.277,19715,0
20060131,13.227,13.261,13.227,13.235,10954,0
20060201,13.183,13.253,13.175,13.244,14297,0
20060202,13.277,13.277,13.113,13.166,19486,0
20060203,13.14,13.14,13.036,13.07,15797,0
20060206,13.07,13.095,13.036,13.095,6340,0
20060207,13.122,13.122,12.966,12.992,19831,0
20060208,13.044,13.08,12.992,13.08,41506,0
20060209,13.183,13.209,13.131,13.131,22022,0
20060210,13.07,13.166,13.036,13.14,16370,0
20060213,13.14,13.166,13.07,13.104,15217,0
20060214,13.183,13.296,13.131,13.269,13488,0
20060215,13.313,13.323,13.218,13.323,18104,0
20060216,13.332,13.357,13.323,13.341,9108,0
20060217,13.341,13.398,13.323,13.383,84860,0
20060221,13.435,13.435,13.305,13.313,45081,0
20060222,13.443,13.461,13.376,13.461,41967,0
20060223,13.452,13.452,13.366,13.407,55458,0
20060224,13.488,13.488,13.383,13.383,6111,0
20060227,13.443,13.497,13.426,13.443,9455,0
20060228,13.452,13.452,13.313,13.341,12338,0
20060301,13.426,13.426,13.341,13.357,16141,0
20060302,13.416,13.416,13.286,13.357,17525,0
20060303,13.235,13.416,13.235,13.341,13837,0
20060306,13.376,13.376,13.227,13.261,22136,0
20060307,13.296,13.305,13.227,13.244,18218,0
20060308,13.305,13.357,13.244,13.357,10260,0
20060309,13.39,13.39,13.261,13.296,11418,0
20060310,13.296,13.398,13.296,13.366,15105,0
20060313,13.479,13.479,13.39,13.39,28364,0
20060314,13.469,13.53,13.416,13.507,19370,0
20060315,13.556,13.592,13.469,13.548,16141,0
20060316,13.53,13.645,13.53,13.6,12569,0
20060317,13.573,13.618,13.539,13.573,21332,0
20060320,13.66,13.66,13.548,13.548,8416,0
20060321,13.618,13.618,13.497,13.515,7035,0
20060322,13.582,13.6,13.515,13.565,25824,0
20060323,13.608,13.608,13.522,13.522,19601,0
20060324,13.548,13.573,13.515,13.53,2304,0
20060327,13.548,13.548,13.461,13.479,7035,0
20060328,13.488,13.507,13.407,13.407,15913,0
20060329,13.469,13.469,13.383,13.443,5994,0
20060330,13.488,13.497,13.351,13.407,17065,0
20060331,13.452,13.452,13.341,13.341,7382,0
20060403,13.443,13.461,13.323,13.323,10032,0
20060404,13.286,13.461,13.286,13.461,13488,0
20060405,13.479,13.479,13.435,13.443,15797,0
20060406,13.426,13.426,13.376,13.416,12797,0
20060407,13.497,13.497,13.269,13.269,10489,0
20060410,13.209,13.305,13.209,13.277,15678,0
20060411,13.235,13.244,13.166,13.218,28249,0
20060412,13.296,13.296,13.183,13.227,27671,0
20060413,13.244,13.244,13.166,13.166,3920,0
20060417,13.166,13.227,13.131,13.131,23173,0
20060418,13.244,13.39,13.244,13.383,7264,0
20060419,13.376,13.416,13.341,13.366,3920,0
20060420,13.332,13.443,13.332,13.398,25944,0
20060421,13.443,13.461,13.383,13.383,2651,0
20060424,13.461,13.461,13.351,13.398,18448,0
20060425,13.469,13.469,13.323,13.366,22371,0
20060426,13.461,13.461,13.426,13.426,4613,0
20060427,13.416,13.556,13.383,13.507,15217,0
20060428,13.582,13.592,13.522,13.565,16835,0
20060501,13.548,13.608,13.515,13.522,11758,0
20060502,13.618,13.618,13.522,13.592,26867,0
20060503,13.582,13.582,13.507,13.53,38744,0
20060504,13.565,13.608,13.565,13.592,16141,0
20060505,13.653,13.738,13.653,13.738,13374,0
20060508,13.756,13.765,13.721,13.747,6804,0
20060509,13.782,13.782,13.711,13.765,17176,0
20060510,13.747,13.765,13.702,13.711,6111,0
20060511,13.685,13.685,13.573,13.6,23521,0
20060512,13.582,13.582,13.443,13.479,8995,0
20060515,13.443,13.522,13.426,13.515,65487,0
20060516,13.497,13.582,13.497,13.548,21906,0
20060517,13.548,13.548,13.269,13.323,52226,0
20060518,13.269,13.357,13.261,13.261,13259,0
20060519,13.253,13.357,13.218,13.227,8766,0
