Date,Open,High,Low,Close,Volume,OpenInt
20091125,20.354,20.566,20.305,20.542,17190,0
20091127,19.73,19.892,19.292,19.738,14473,0
20091130,19.876,20.16,19.738,19.99,17293,0
20091201,20.768,20.84,20.468,20.525,19567,0
20091202,20.558,21.159,20.379,20.566,29630,0
20091203,20.719,20.873,20.445,20.445,106206,0
20091204,20.931,21.15,20.525,20.704,43968,0
20091207,21.369,21.369,20.534,20.574,26453,0
20091208,20.281,20.906,19.658,19.706,35933,0
20091209,19.624,19.641,19.171,19.429,21141,0
20091210,19.478,19.512,19.348,19.357,4339,0
20091211,19.478,19.527,19.22,19.398,13085,0
20091214,19.527,19.641,19.518,19.624,13340,0
20091215,19.283,19.446,19.122,19.235,11033,0
20091216,19.357,19.583,19.339,19.339,189104,0
20091217,19.138,19.138,18.805,18.959,22160,0
20091218,18.943,18.943,18.677,18.902,13698,0
20091221,19.3,19.3,19.016,19.032,18160,0
20091222,19.292,19.315,19.138,19.186,3153,0
20091223,19.389,19.518,19.381,19.469,7512,0
20091224,20.169,20.169,19.633,19.682,2721,0
20091228,19.755,19.755,19.592,19.592,5221,0
20091229,19.843,19.892,19.713,19.738,6183,0
20091230,19.698,19.77,19.673,19.722,4949,0
20091231,19.826,19.826,19.649,19.649,10774,0
20100104,20.281,20.395,20.281,20.354,9784,0
20100105,20.493,20.558,20.281,20.387,22135,0
20100106,20.265,20.574,20.265,20.558,12465,0
20100107,20.201,20.29,20.087,20.257,7354,0
20100108,20.095,20.542,19.965,20.542,8138,0
20100111,20.768,20.826,20.68,20.808,24773,0
20100112,20.403,20.558,20.281,20.281,30056,0
20100113,20.808,20.971,20.614,20.971,37325,0
20100114,20.606,20.792,20.606,20.792,19152,0
20100115,20.663,20.663,20.314,20.484,10122,0
20100119,20.897,21.182,20.808,21.182,71998,0
20100120,20.776,20.776,20.314,20.534,54747,0
20100121,20.412,20.412,19.818,19.892,26560,0
20100122,19.713,19.787,19.315,19.454,34688,0
20100125,19.592,19.933,19.592,19.755,16533,0
20100126,19.494,19.826,19.454,19.583,17562,0
20100127,19.446,19.567,19.211,19.527,15521,0
20100128,19.339,19.389,18.976,19.251,34773,0
20100129,19.527,19.666,19.089,19.122,17901,0
20100201,19.616,19.706,19.535,19.706,5021,0
20100202,19.787,20.119,19.698,20.095,193885,0
20100203,19.901,19.925,19.633,19.795,130380,0
20100204,19.097,19.097,18.124,18.18,193149,0
20100205,17.969,17.994,17.223,17.864,94443,0
20100208,17.646,17.784,17.466,17.474,141433,0
20100209,17.847,18.18,17.669,18.01,40409,0
20100210,18.165,18.165,17.847,18.01,52179,0
20100211,17.784,18.165,17.612,18.141,10694,0
20100212,18.001,18.326,18.001,18.132,1662,0
20100216,18.189,18.668,18.189,18.668,10051,0
20100217,18.836,18.878,18.578,18.578,2943,0
20100218,18.481,18.619,18.447,18.586,14917,0
20100219,18.408,18.602,18.204,18.481,16825,0
20100222,18.748,18.748,18.546,18.659,11978,0
20100223,18.204,18.27,18.058,18.058,31628,0
20100224,18.23,18.464,18.221,18.383,8592,0
20100225,18.01,18.197,17.814,18.197,8489,0
20100226,18.358,18.797,18.358,18.757,13374,0
20100301,18.7,18.927,18.683,18.927,2566,0
20100302,19.323,19.552,19.308,19.503,5070,0
20100303,19.527,19.851,19.527,19.682,3717,0
20100304,19.641,19.641,19.518,19.552,8868,0
20100305,19.835,20.079,19.835,20.014,43819,0
20100308,20.056,20.152,20.056,20.119,12020,0
20100309,19.803,20.216,19.795,20.104,5930,0
20100310,20.177,20.347,20.177,20.24,16066,0
20100311,20.177,20.177,20.152,20.152,1972,0
20100312,20.542,20.614,20.329,20.419,8679,0
20100315,20.257,20.257,19.981,20.201,13571,0
20100316,20.347,20.84,20.347,20.84,12605,0
20100317,20.906,20.955,20.865,20.882,2588,0
20100318,20.672,20.688,20.451,20.566,8929,0
20100319,20.314,20.534,20.177,20.29,20461,0
20100322,19.884,20.265,19.876,20.24,2725,0
20100323,20.403,20.566,20.403,20.566,2220,0
20100324,20.119,20.185,20.022,20.07,19087,0
20100325,20.387,20.606,20.136,20.136,17379,0
20100326,20.484,20.484,20.257,20.362,5916,0
20100329,20.614,20.696,20.614,20.696,9388,0
20100330,20.768,20.801,20.712,20.76,16905,0
20100331,20.89,21.077,20.882,20.986,37370,0
20100401,21.335,21.588,21.295,21.459,13564,0
20100405,21.573,21.662,21.573,21.62,21988,0
20100406,21.442,21.596,21.312,21.588,29560,0
20100407,21.238,21.369,21.101,21.223,41334,0
20100408,20.923,21.084,20.826,21.084,4498,0
20100409,21.109,21.343,21.077,21.312,4425,0
20100412,21.531,21.758,21.531,21.67,25514,0
20100413,21.782,21.847,21.58,21.839,33391,0
20100414,22.026,22.228,21.88,22.219,33837,0
20100415,21.953,21.985,21.773,21.962,10896,0
20100416,21.75,21.75,21.15,21.328,26493,0
20100419,20.84,21.02,20.614,21.02,19082,0
20100420,21.377,21.384,21.166,21.352,74772,0
20100421,21.409,21.409,21.004,21.214,18428,0
20100422,20.768,20.801,20.445,20.801,26838,0
20100423,20.712,21.044,20.597,21.036,33025,0
20100426,21.254,21.312,21.15,21.166,22523,0
20100427,20.808,20.808,20.006,20.062,85352,0
20100428,20.185,20.338,19.633,20.169,51606,0
20100429,20.347,20.712,20.347,20.704,15844,0
20100430,20.923,20.923,20.5,20.5,54251,0
20100503,20.597,20.736,20.468,20.736,18794,0
20100504,19.925,19.925,18.911,18.991,67754,0
20100505,18.263,18.643,18.066,18.326,54845,0
20100506,18.035,18.221,15.82,17.151,83499,0
20100507,17.547,17.677,16.647,17.215,91703,0
20100510,18.026,19.122,18.026,18.902,34922,0
20100511,18.481,18.772,18.286,18.562,117133,0
20100512,18.781,18.976,18.765,18.967,36163,0
20100513,18.724,18.87,18.537,18.586,167604,0
20100514,18.439,18.439,17.483,17.776,76993,0
20100517,17.799,18.058,17.409,18.01,157644,0
20100518,18.254,18.254,17.183,17.28,60420,0
20100519,17.02,17.232,16.696,17.151,123312,0
20100520,16.411,16.679,16.071,16.298,121999,0
20100521,16.443,17.24,16.443,17.232,61090,0
20100524,16.922,17.044,16.728,16.85,17595,0
20100525,16.054,16.64,16.022,16.64,15740,0
20100526,16.825,17.068,16.541,16.721,29616,0
20100527,17.312,17.806,17.312,17.806,82132,0
20100528,17.686,17.831,17.409,17.654,82463,0
20100601,17.126,17.58,16.882,16.882,26847,0
